AvgNormIw,AvgVanillaIw,IterType,Bound,VanillaAvgRet,MinNormIw,EpsThisIter,AvgDiscRet,VarVanillaIw,BatchSize,eRenyi2,VarRet,VarDiscRet,MinVanillaIw,Delta,VarJ,SamplesThisIter,ESSRenyi,J,ESSClassic,MaxNormIw,MaxVanillaIw,AvgEpLen,VarNormIw,AvgRet
0.000116604,1.0,1,41.4845,48.2704665807,0.000116604,8576,48.2704665807,,100,1.0,3164.94170608,3164.94170608,1.0,0.6,56.2545,50000,100.0,48.2705,8575.99965547,0.000116604,1.0,5.8302238806,2.11783e-22,48.2704665807
0.000118723,1.0,1,39.546,49.3293346379,0.000118723,8423,49.3293346379,,100,1.0,3566.39876194,3566.39876194,1.0,0.6,59.7158,50000,100.0,49.3293,8423.00039784,0.000118723,1.0,5.93612727057,,49.3293346379
0.000120077,1.0,1,37.2159,50.0064316189,0.000120077,8328,50.0064316189,,100,1.0,4187.88881987,4187.88881987,1.0,0.6,64.71,50000,100.0,50.0064,8328.00051784,0.000120077,1.0,6.00384245917,4.76513e-22,50.0064316189
0.000119875,1.0,1,39.9857,49.9057359578,0.000119875,8342,49.9057359578,,100,1.0,4004.86617154,4004.86617154,1.0,0.6,63.2802,50000,100.0,49.9057,8342.00016806,0.000119875,1.0,5.99376648286,4.76513e-22,49.9057359578
0.000117994,1.0,1,40.6305,48.9656619239,0.000117994,8475,48.9656619239,,100,1.0,3617.02360554,3617.02360554,1.0,0.6,60.1382,50000,100.0,48.9657,8475.0003959,0.000117994,1.0,5.89970501475,2.11783e-22,48.9656619239
0.000118245,1.0,1,34.3562,49.0906796753,0.000118245,8457,49.0906796753,,100,1.0,3688.87784155,3688.87784155,1.0,0.6,60.7325,50000,100.0,49.0907,8456.99934582,0.000118245,1.0,5.91226203145,,49.0906796753
0.000118526,1.0,1,41.4982,49.2296814594,0.000118526,8437,49.2296814594,,100,1.0,3333.00002398,3333.00002398,1.0,0.6,57.7287,50000,100.0,49.2297,8437.00034429,0.000118526,1.0,5.92627711272,2.11783e-22,49.2296814594
0.000119804,1.0,1,42.9915,49.8698323735,0.000119804,8347,49.8698323735,,100,1.0,3688.81602396,3688.81602396,1.0,0.6,60.732,50000,100.0,49.8698,8347.00038002,0.000119804,1.0,5.99017611118,4.76513e-22,49.8698323735
0.000120685,1.0,1,39.4597,50.3108716858,0.000120685,8286,50.3108716858,,100,1.0,4079.10274572,4079.10274572,1.0,0.6,63.864,50000,100.0,50.3109,8286.00046633,0.000120685,1.0,6.03427468018,8.47135e-22,50.3108716858
0.000116577,1.0,1,34.3314,48.2573934687,0.000116577,8578,48.2573934687,,100,1.0,3749.26120896,3749.26120896,1.0,0.6,61.2276,50000,100.0,48.2574,8578.00005045,0.000116577,1.0,5.82886453719,2.11783e-22,48.2573934687
