Bound,VarNormIw,AvgRet,AvgEpLen,VanillaAvgRet,VarVanillaIw,VarJ,ESSClassic,J,VarRet,Delta,AvgNormIw,AvgDiscRet,MinNormIw,AvgVanillaIw,MinVanillaIw,MaxVanillaIw,IterType,MaxNormIw,ESSRenyi,eRenyi2,EpsThisIter,BatchSize,VarDiscRet
-51.9307,0.01,-340.228876482,415.41,-340.228876482,,,inf,-51.9307,18120.75556,1.0,0.01,-340.228876482,,3.63037e-29,,3.63037e-27,1,1.0,1.01685806324e-10,9.83421e+11,100,100,18120.75556
nan,nan,-340.228876482,415.41,-340.228876482,nan,nan,nan,nan,18120.75556,1.0,nan,-60.7655703774,nan,inf,2.75454e+26,inf,,nan,nan,nan,100,200,77.7573256768
-51.9307,0.005,-324.722128612,399.64,-324.722128612,,,inf,-51.9307,20522.3351861,1.0,0.005,-324.722128612,,9.77681e-39,,1.95536e-36,1,1.0,3.80710613394e-10,5.25333e+11,100,200,20522.3351861
-60.9173,3.50449e-18,-60.9173489182,87.33,-60.9173489182,,36.3699,100.0,-60.9173,1336.12873959,1.0,0.01,-60.9173489182,0.01,1.0,1.0,1.0,2,0.01,200.0,1.0,100,200,1336.12873959
nan,nan,-324.722128612,399.64,-324.722128612,nan,nan,nan,nan,20522.3351861,1.0,nan,-60.4750488546,nan,inf,5.11414e+35,inf,,nan,nan,nan,100,300,1329.21551699
-51.9307,0.00333333,-326.930944402,400.86,-326.930944402,,,inf,-51.9307,20129.2999263,1.0,0.00333333,-326.930944402,,1.16961e-40,,3.5088e-38,1,1.0,6.69682043109e-09,4.47974e+10,100,300,20129.2999263
-59.1255,3.50449e-18,-59.1255229457,86.48,-59.1255229457,,7.99374,100.0,-59.1255,64.5452812977,1.0,0.01,-59.1255229457,0.01,1.0,1.0,1.0,2,0.01,300.0,1.0,100,300,64.5452812977
-62.72,2.1793e-19,-66.3144803357,94.42,-66.3144803357,,36.4598,200.000000102,-62.72,2594.83661948,1.0,0.005,-66.3144803357,0.005,1.0,1.0,1.0,2,0.005,300.0,1.0,100,300,2594.83661948
nan,nan,-326.930944402,400.86,-326.930944402,nan,nan,nan,nan,20129.2999263,1.0,nan,-58.0642518239,nan,inf,2.84997e+37,inf,,nan,6.38562887978e+27,6.26407e-26,100,400,62.8777630602
-51.9307,0.0025,-338.627143282,412.54,-338.627143282,,,inf,-51.9307,18876.3149756,1.0,0.0025,-338.627143282,,2.79608e-39,,1.11843e-36,1,1.0,1.02917451112e-15,3.88661e+17,100,400,18876.3149756
-61.6567,3.50449e-18,-61.6566528314,89.05,-61.6566528314,,36.4253,100.0,-61.6567,1340.20628136,1.0,0.01,-61.6566528314,0.01,1.0,1.0,1.0,2,0.01,400.0,1.0,100,400,1340.20628136
-60.238,2.1793e-19,-58.8193058257,85.8,-58.8193058257,,26.3058,200.000000102,-60.238,53.6948777825,1.0,0.005,-58.8193058257,0.005,1.0,1.0,1.0,2,0.005,400.0,1.0,100,400,53.6948777825
-60.4069,5.43914e-20,-60.7446557221,87.73,-60.7446557221,,30.0717,299.999969474,-60.4069,1342.18754117,1.0,0.00333333,-60.7446557221,0.00333333,1.0,1.0,1.0,2,0.00333333,400.0,1.0,100,400,1342.18754117
nan,nan,-338.627143282,412.54,-338.627143282,nan,nan,nan,nan,18876.3149756,1.0,nan,-57.202001604,nan,inf,8.94109e+35,inf,,nan,inf,,100,500,54.0674943068
-51.9307,0.002,-309.575223565,380.39,-309.575223565,,,inf,-51.9307,23022.358753,1.0,0.002,-309.575223565,,7.58475e-40,,3.79238e-37,1,1.0,2.18109308985e-11,2.29243e+13,100,500,23022.358753
-61.4258,3.50449e-18,-61.4257594839,88.4,-61.4257594839,,36.4185,100.0,-61.4258,1339.70788657,1.0,0.01,-61.4257594839,0.01,1.0,1.0,1.0,2,0.01,500.0,1.0,100,500,1339.70788657
-61.4652,2.1793e-19,-61.5045850544,88.64,-61.5045850544,,36.3471,200.000000102,-61.4652,1329.19717807,1.0,0.005,-61.5045850544,0.005,1.0,1.0,1.0,2,0.005,500.0,1.0,100,500,1329.19717807
-60.2538,5.43914e-20,-57.8310144125,84.25,-57.8310144125,,29.9856,299.999969474,-60.2538,46.8549868693,1.0,0.00333333,-57.8310144125,0.00333333,1.0,1.0,1.0,2,0.00333333,500.0,1.0,100,500,46.8549868693
-60.8184,5.4346e-20,-62.5123712805,90.62,-62.5123712805,,31.7303,400.0,-60.8184,1339.41633308,1.0,0.0025,-62.5123712805,0.0025,1.0,1.0,1.0,2,0.0025,500.0,1.0,100,500,1339.41633308
-50.7431,0.00199998,-61.7829491466,89.4,-61.7829491466,4382.51,8.14771e-05,1.0000094009,-50.7431,1336.89473897,1.0,0.002,-61.7829491466,,2.96059,,1480.29,1,0.999995,0.0479470110611,10428.2,100,500,1336.89473897
-58.8052,3.50449e-18,-58.8051914571,86.36,-58.8051914571,,6.77594,100.0,-58.8052,46.3771548628,1.0,0.01,-58.8051914571,0.01,1.0,1.0,1.0,2,0.01,500.0,1.0,100,500,46.3771548628
-58.1803,2.1793e-19,-57.5553899243,84.07,-57.5553899243,,6.99304,200.000000102,-58.1803,51.6269681579,1.0,0.005,-57.5553899243,0.005,1.0,1.0,1.0,2,0.005,500.0,1.0,100,500,51.6269681579
-60.4594,5.43914e-20,-65.0175392033,93.16,-65.0175392033,,30.0571,299.999969474,-60.4594,2607.38435789,1.0,0.00333333,-65.0175392033,0.00333333,1.0,1.0,1.0,2,0.00333333,500.0,1.0,100,500,2607.38435789
-59.7301,5.4346e-20,-57.5424838132,84.2,-57.5424838132,,26.3551,400.0,-59.7301,62.3290526534,1.0,0.0025,-57.5424838132,0.0025,1.0,1.0,1.0,2,0.0025,500.0,1.0,100,500,62.3290526534
-51.9178,0.00137791,-56.3786453357,82.59,-56.3786453357,6988.01,23.3782,1.4501606572,-51.9178,42.9725188097,1.0,0.002,-56.3786453357,,4.50397,,1868.01,1,0.829494,,inf,100,500,42.9725188097
-61.3261,3.50449e-18,-61.326081848,88.4,-61.326081848,,36.2675,100.0,-61.3261,1328.61996359,1.0,0.01,-61.326081848,0.01,1.0,1.0,1.0,2,0.01,500.0,1.0,100,500,1328.61996359
-60.0456,2.1793e-19,-58.7650542915,86.37,-58.7650542915,,26.2291,200.000000102,-60.0456,57.8931501489,1.0,0.005,-58.7650542915,0.005,1.0,1.0,1.0,2,0.005,500.0,1.0,100,500,57.8931501489
-59.6864,5.43914e-20,-58.9680816498,86.34,-58.9680816498,,21.8505,299.999969474,-59.6864,56.1944312228,1.0,0.00333333,-58.9680816498,0.00333333,1.0,1.0,1.0,2,0.00333333,500.0,1.0,100,500,56.1944312228
-60.9846,5.4346e-20,-64.879250984,92.92,-64.879250984,,31.7539,400.0,-60.9846,2606.76080134,1.0,0.0025,-64.879250984,0.0025,1.0,1.0,1.0,2,0.0025,500.0,1.0,100,500,2606.76080134
-56.2238,0.000106971,-60.1335535841,86.37,-60.1335535841,43.4869,31.5732,18.0575306025,-56.2238,1336.19963933,1.0,0.002,-60.1335535841,1.19628e-20,1.27519,7.62744e-18,101.789,1,0.159645,,inf,100,500,1336.19963933
-57.8103,3.50449e-18,-57.8103166135,84.27,-57.8103166135,,7.87351,100.0,-57.8103,62.6183558439,1.0,0.01,-57.8103166135,0.01,1.0,1.0,1.0,2,0.01,500.0,1.0,100,500,62.6183558439
-58.2978,2.1793e-19,-58.7853327775,86.36,-58.7853327775,,7.74532,200.000000102,-58.2978,58.0932992514,1.0,0.005,-58.7853327775,0.005,1.0,1.0,1.0,2,0.005,500.0,1.0,100,500,58.0932992514
-59.8847,5.43914e-20,-63.0585606557,91.82,-63.0585606557,,22.1256,299.999969474,-59.8847,1347.00574172,1.0,0.00333333,-63.0585606557,0.00333333,1.0,1.0,1.0,2,0.00333333,500.0,1.0,100,500,1347.00574172
-59.6092,5.4346e-20,-58.7827097259,86.15,-58.7827097259,,19.4894,400.0,-59.6092,50.3180695123,1.0,0.0025,-58.7827097259,0.0025,1.0,1.0,1.0,2,0.0025,500.0,1.0,100,500,50.3180695123
-59.4202,6.0975e-06,-61.871635135,89.58,-61.871635135,1.64633,16.0785,198.308585642,-59.4202,1336.2582414,1.0,0.002,-61.871635135,0.000981599,1.03923,0.510055,21.0941,1,0.0405956,,inf,100,500,1336.2582414
-62.6888,3.50449e-18,-62.6887518212,90.6,-62.6887518212,,36.4679,100.0,-62.6888,1343.33948616,1.0,0.01,-62.6887518212,0.01,1.0,1.0,1.0,2,0.01,500.0,1.0,100,500,1343.33948616
-60.39,2.1793e-19,-58.0913454157,85.22,-58.0913454157,,26.2603,200.000000102,-60.39,39.1213656834,1.0,0.005,-58.0913454157,0.005,1.0,1.0,1.0,2,0.005,500.0,1.0,100,500,39.1213656834
-59.6168,5.43914e-20,-58.0702250262,85.03,-58.0702250262,,21.8661,299.999969474,-59.6168,52.1106871079,1.0,0.00333333,-58.0702250262,0.00333333,1.0,1.0,1.0,2,0.00333333,500.0,1.0,100,500,52.1106871079
-59.5808,5.4346e-20,-59.4728729041,87.24,-59.4728729041,,19.3187,400.0,-59.5808,59.0481496307,1.0,0.0025,-59.4728729041,0.0025,1.0,1.0,1.0,2,0.0025,500.0,1.0,100,500,59.0481496307
-51.1924,0.002,-65.970508626,94.48,-65.970508626,5.13628e-16,8.59684e-05,1.00000022434,-51.1924,2613.42428862,1.0,0.002,-65.970508626,,1.01354e-09,,5.06768e-07,1,1.0,0.159517310588,3134.46,100,500,2613.42428862
-57.3024,3.50449e-18,-57.3023818476,83.52,-57.3023818476,,8.46398,100.0,-57.3024,72.3626395007,1.0,0.01,-57.3023818476,0.01,1.0,1.0,1.0,2,0.01,500.0,1.0,100,500,72.3626395007
-61.5517,2.1793e-19,-65.800925929,93.89,-65.800925929,,36.6608,200.000000102,-61.5517,2606.33335541,1.0,0.005,-65.800925929,0.005,1.0,1.0,1.0,2,0.005,500.0,1.0,100,500,2606.33335541
-60.5099,5.43914e-20,-58.4264487347,85.4,-58.4264487347,,30.3298,299.999969474,-60.5099,65.8100633786,1.0,0.00333333,-58.4264487347,0.00333333,1.0,1.0,1.0,2,0.00333333,500.0,1.0,100,500,65.8100633786
-60.9475,5.4346e-20,-62.2603173281,90.05,-62.2603173281,,31.9942,400.0,-60.9475,1345.99352891,1.0,0.0025,-62.2603173281,0.0025,1.0,1.0,1.0,2,0.0025,500.0,1.0,100,500,1345.99352891
