AvgNormIw,VarDiscRet,MaxNormIw,AvgDiscRet,ESSRenyi,VarVanillaIw,BatchSize,AvgVanillaIw,VarNormIw,Bound,AvgEpLen,MinVanillaIw,VanillaAvgRet,ESSClassic,AvgRet,eRenyi2,MaxVanillaIw,VarRet,VarJ,MinNormIw,J
0.01,256.62887337303863,1.0,2.2382096176443156e-15,2.3668210504590865e-05,293195970000.0,100,54147.574,0.010000002,2484550.2,4.41,,34.07641874443197,1.0,2.2382096176443156e-15,4225076.5,5414757.5,256.62887337303863,,,45.885044
0.01,949.5639817186491,1.0,-2.5579538487363606e-15,1.1163429141975487e-05,404713500000.0,100,63617.094,0.010000002,3110644.8,8.11,,71.05596070450632,1.0,-2.5579538487363606e-15,8957821.0,6361709.5,949.5639817186491,,,48.896774
0.01,1682.0153938353185,1.0,-6.536993168992922e-15,0.0005233097279762444,2398038800.0,100,4896.9766,0.010000002,562667.4,8.51,,75.05471719966046,1.0,-6.536993168992922e-15,191091.42,489697.66,1682.0153938353185,,,114.90802
0.01,1747.0512874742792,1.0,2.1316282072803005e-16,0.000870166944927474,208203730.0,100,1442.9263,0.010000003,188719.62,8.92,,79.15411551930895,1.0,2.1316282072803005e-16,114920.48,144292.62,1747.0512874742792,8.708358e-09,,130.81387
0.01,1035.686698380239,1.0,-5.4711790653527716e-15,,402148900000.0,100,63415.203,0.010000002,1763746.8,8.22,,72.15480718186234,1.0,-5.4711790653527716e-15,inf,6341520.5,1035.686698380239,,,27.813108
0.01,1913.1248646198576,1.0,-4.547473508864641e-15,nan,105101840000.0,100,32419.418,0.010000002,937002.0,8.11,,71.05492120506929,1.0,-4.547473508864641e-15,nan,3241941.8,1913.1248646198576,4.6634673e-14,,28.90363
0.01,1865.9631681628966,0.5460084,2.4300561562995426e-14,nan,986554200.0,100,4445.7476,0.004991502,269448.88,8.22,,72.15550562476898,1.983502178958432,2.4300561562995426e-14,nan,242741.56,1865.9631681628966,595.9324,,60.614037
0.01,1059.6936340300238,0.47170782,9.876544027065392e-15,nan,inf,100,1.79195e+35,0.0031805946,inf,8.53,,75.25552503168156,,9.876544027065392e-15,nan,8.4527684e+36,1059.6936340300238,177.58041,,32.289726
0.01,26754.25030051027,0.08535073,1.9042545318370686e-14,nan,1872285900000.0,100,586870.06,0.0005436111,50152460.0,15.57,,145.58507678438824,15.669684728391745,1.9042545318370686e-14,nan,5008978.5,26754.25030051027,393.1692,,85.45758
0.01,27342.596597854765,0.3421738,-3.439026841078885e-14,nan,188048400000.0,100,85144.11,0.002593943,6383546.0,19.41,,183.94815097754977,3.748120827749637,-3.439026841078885e-14,nan,2913408.5,27342.596597854765,528.32855,,74.97428
0.01,20646.99429804833,0.029161682,-2.3874235921539365e-14,nan,756585700000.0,100,1930453.8,2.0302023e-05,7920105.5,21.69,1424470.2,206.72724025238972,83.2646461126852,-2.3874235921539365e-14,nan,5629528.0,20646.99429804833,162.54079,0.00737894,4.1027236
0.01,33871.084330966216,1.0,-7.531752999057062e-15,nan,2164586300000000.0,100,4652511.5,0.010000002,655378100.0,24.89,,238.7167801675649,1.0,-7.531752999057062e-15,nan,465251140.0,33871.084330966216,,,140.86548
