Delta,VarVanillaIw,eRenyi2,ESSRenyi,IterType,MinVanillaIw,AvgDiscRet,VanillaAvgRet,VarRet,BatchSize,VarNormIw,VarDiscRet,Bound,J,AvgEpLen,MaxVanillaIw,MinNormIw,EpsThisIter,AvgRet,VarJ,AvgNormIw,AvgVanillaIw,MaxNormIw,ESSClassic
0.4,0.1709,1.16831,85.5934467191,1,0.0525215,-98.4463865608,-98.4463865608,10270.9236185,100,1.47396e-05,10270.9236185,-146.538,-91.3169,133.16,1.59323,0.000487763,100,-98.4463865608,87.7711,0.01,1.07678,0.0147962,87.2659848233
0.4,0.0774616,1.09576,91.2609404831,1,0.251371,-81.4149411404,-81.4149411404,4903.78995723,100,7.52834e-06,4903.78995723,-130.331,-76.8523,113.68,1.50721,0.00247812,100,-81.4149411404,54.0329,0.01,1.01436,0.0148587,93.0638601998
0.4,0.0491418,1.05172,95.0819620103,1,0.51668,-91.3771571863,-91.3771571863,8181.91421328,100,4.59465e-06,8181.91421328,-141.085,-88.6913,125.78,1.6432,0.004996,100,-91.3771571863,83.2265,0.01,1.03419,0.0158888,95.6491897658
0.4,0.0326917,1.03601,96.5245954758,1,0.838711,-88.3799092793,-88.3799092793,7153.39010064,100,3.33712e-06,7153.39010064,-138.377,-86.3759,121.49,1.87215,0.00847383,100,-88.3799092793,77.5447,0.01,0.989766,0.0189151,96.8019137235
0.4,0.00590999,1.01214,98.800301703,1,0.891882,-75.9576461004,-75.9576461004,3747.95862288,100,6.12494e-07,3747.95862288,-126.674,-75.2767,107.87,1.25423,0.00907956,100,-75.9576461004,57.1971,0.01,0.982297,0.0127684,99.3973008254
0.4,0.0937693,1.10776,90.2718667155,1,0.32297,-82.5731271693,-82.5731271693,6082.28375957,100,9.33153e-06,6082.28375957,-131.838,-78.0671,114.15,1.47521,0.00322187,100,-82.5731271693,58.9995,0.01,1.00243,0.0147163,91.5430422964
0.4,0.0296087,1.03034,97.0553899902,1,0.701094,-72.2759786621,-72.2759786621,2589.87857331,100,2.88503e-06,2589.87857331,-122.53,-70.6722,102.67,1.45358,0.00692056,100,-72.2759786621,40.4511,0.01,1.01306,0.0143484,97.2231472911
0.4,0.00633484,1.00822,99.184295492,1,0.865967,-86.8103012292,-86.8103012292,7164.75840914,100,6.47821e-07,7164.75840914,-137.659,-86.3658,119.17,1.29574,0.00875712,100,-86.8103012292,82.8909,0.01,0.988872,0.0131033,99.3627732089
0.4,0.00931811,1.01166,98.8478019153,1,0.884164,-75.0598121017,-75.0598121017,2578.68814598,100,9.37345e-07,2578.68814598,-125.799,-74.416,106.02,1.4231,0.00886786,100,-75.0598121017,46.8154,0.01,0.997043,0.0142732,99.0806015412
0.4,0.0101576,1.00812,99.1948276745,1,0.750243,-70.4540197049,-70.4540197049,1400.27510863,100,1.035e-06,1400.27510863,-121.333,-70.0456,100.8,1.19998,0.00757315,100,-70.4540197049,34.6273,0.01,0.990662,0.0121129,98.985740452
