MaxVanillaIw,VanillaAvgRet,EpsThisIter,Delta,VarJ,J,VarRet,VarNormIw,AvgNormIw,ESSRenyi,BatchSize,MaxNormIw,ESSClassic,VarVanillaIw,AvgVanillaIw,MinVanillaIw,VarDiscRet,AvgRet,AvgDiscRet,AvgEpLen,IterType,Bound,eRenyi2,MinNormIw
29.8333,-5.06895375081,100,0.3,1.64301,23.6566,302.594969884,0.000340507,0.01,45.91426084,100,0.0445711,22.8779458866,152.553,6.69342,0.0988357,302.594969884,-5.06895375081,-5.06895375081,500.0,1,18.1534,2.17797,0.000147661
10.1178,-5.06895375081,100,0.3,6.12621,5.8055,302.594969884,4.3504e-05,0.01,54.7728878969,200,0.019169,69.8963390917,12.12,5.27822,0.0335196,42.3186699394,-5.06895375081,4.51287993291,500.0,,-0.608236,3.65144,6.35056e-05
84.2728,3.30485156696,100,0.3,2.19221,23.6439,110.905221603,0.000185119,0.005,68.7653779448,200,0.043596,23.9013425706,691.721,9.66519,0.0659816,110.905221603,3.30485156696,3.30485156696,500.0,1,19.1471,2.90844,3.41336e-05
1.0,-3.02431850435,100,0.3,10.2591,-3.02432,106.311612223,3.50449e-18,0.01,200.0,200,0.01,100.0,,1.0,1.0,106.311612223,-3.02431850435,-3.02431850435,500.0,2,-7.21716,1.0,0.01
15.1557,3.30485156696,100,0.3,13.8194,-1.34792,110.905221603,1.66283e-05,0.005,43.1601682541,300,0.0164688,120.350886785,14.0825,4.60136,0.0118662,101.572413489,3.30485156696,-5.64160302472,500.0,,-9.16442,6.95085,1.28943e-05
131.667,-12.8581152277,100,0.3,3.95151,23.2752,218.084382008,0.00012638,0.00333333,93.7398436307,300,0.0432227,24.3184216029,1172.76,10.1542,0.0578144,218.084382008,-12.8581152277,-12.8581152277,500.0,1,16.8184,3.20035,1.89789e-05
1.0,-3.72963671681,100,0.3,7.72012,-3.72964,60.2022612898,3.50449e-18,0.01,300.0,300,0.01,100.0,,1.0,1.0,60.2022612898,-3.72963671681,-3.72963671681,500.0,2,-6.24858,1.0,0.01
1.0,-11.8244712065,100,0.3,11.6781,-7.77705,182.212508859,2.1793e-19,0.005,300.0,300,0.005,200.000000102,,1.0,1.0,182.212508859,-11.8244712065,-11.8244712065,500.0,2,-11.9565,1.0,0.005
17.2967,-12.8581152277,100,0.3,11.8885,-7.01762,218.084382008,9.96299e-06,0.00333333,32.8178292587,400,0.0166198,158.421765114,10.7911,3.4691,0.00759491,103.468781589,-12.8581152277,-9.03077898512,500.0,,-18.9313,12.1885,7.29767e-06
158.561,-9.20020346999,100,0.3,4.79715,23.21,93.2436376442,9.6841e-05,0.0025,115.932821882,400,0.0432349,24.3075000725,1302.52,9.16859,0.0242618,93.2436376442,-9.20020346999,-9.20020346999,500.0,1,17.404,3.45027,6.61547e-06
1.0,-0.927083146388,100,0.3,5.27076,-0.927083,28.0615699041,3.50449e-18,0.01,400.0,400,0.01,100.0,,1.0,1.0,28.0615699041,-0.927083146388,-0.927083146388,500.0,2,-3.05776,1.0,0.01
1.0,-3.86111446154,100,0.3,7.0389,-2.3941,67.6838608269,2.1793e-19,0.005,400.0,400,0.005,200.000000102,,1.0,1.0,67.6838608269,-3.86111446154,-3.86111446154,500.0,2,-5.06998,1.0,0.005
1.0,0.247765645178,100,0.3,6.77497,-1.51348,34.2983720723,5.43914e-20,0.00333333,400.0,400,0.00333333,299.999969474,,1.0,1.0,34.2983720723,0.247765645178,0.247765645178,500.0,2,-3.69833,1.0,0.00333333
41.2171,-9.20020346999,100,0.3,16.1867,-6.14324,93.2436376442,1.39047e-05,0.0025,38.1734597152,500,0.0161869,124.255202229,90.1543,6.3658,0.00630671,121.595152784,-9.20020346999,-4.22376158592,500.0,,-14.9371,13.0981,2.47679e-06
236.414,-7.43881290889,100,0.3,4.43316,23.4096,46.5606394119,7.9947e-05,0.002,123.93774084,500,0.0436331,23.8700444675,2347.01,10.8364,0.0115406,46.5606394119,-7.43881290889,-7.43881290889,500.0,1,17.7943,4.03428,2.12996e-06
1.0,-0.271794411768,100,0.3,11.0764,-0.271794,123.925021019,3.50449e-18,0.01,500.0,500,0.01,100.0,,1.0,1.0,123.925021019,-0.271794411768,-0.271794411768,500.0,2,-3.17486,1.0,0.01
1.0,-0.0716184224298,100,0.3,9.6527,-0.171706,64.286351702,2.1793e-19,0.005,500.0,500,0.005,200.000000102,,1.0,1.0,64.286351702,-0.0716184224298,-0.0716184224298,500.0,2,-2.22448,1.0,0.005
1.0,5.81667594355,100,0.3,19.0171,1.82442,883.525320308,5.43914e-20,0.00333333,500.0,500,0.00333333,299.999969474,,1.0,1.0,883.525320308,5.81667594355,5.81667594355,500.0,2,-5.53989,1.0,0.00333333
1.0,-4.12131314467,100,0.3,17.1084,0.337987,59.9342799186,5.4346e-20,0.0025,500.0,500,0.0025,400.0,,1.0,1.0,59.9342799186,-4.12131314467,-4.12131314467,500.0,2,-6.03969,1.0,0.0025
720.276,-1.16243562166,100,0.3,18.8109,80.5497,29.1644721282,0.000151473,0.002,133.093473587,500,0.0804053,12.8891071384,12155.2,17.9161,0.00174201,29.1644721282,-1.16243562166,-1.16243562166,500.0,1,69.4933,3.75676,1.94463e-07
1.0,-5.24344253025,100,0.3,10.4481,-5.24344,110.266049091,3.50449e-18,0.01,500.0,500,0.01,100.0,,1.0,1.0,110.266049091,-5.24344253025,-5.24344253025,500.0,2,-9.51377,1.0,0.01
1.0,-9.24355910886,100,0.3,10.4371,-7.2435,101.718877037,2.1793e-19,0.005,500.0,500,0.005,200.000000102,,1.0,1.0,101.718877037,-9.24355910886,-9.24355910886,500.0,2,-10.2631,1.0,0.005
1.0,-5.01364298545,100,0.3,8.89036,-6.50022,16.0963794207,5.43914e-20,0.00333333,500.0,500,0.00333333,299.999969474,,1.0,1.0,16.0963794207,-5.01364298545,-5.01364298545,500.0,2,-8.96569,1.0,0.00333333
1.0,2.59974755999,100,0.3,10.7057,-4.22522,160.836127016,5.4346e-20,0.0025,500.0,500,0.0025,400.0,,1.0,1.0,160.836127016,2.59974755999,2.59974755999,500.0,2,-6.57747,1.0,0.0025
546.246,-6.47909467575,100,0.3,7.37602,29.6601,135.21870485,0.000152906,0.002,95.3646932653,500,0.0807748,12.7713664288,6992.79,13.5252,0.00840096,135.21870485,-6.47909467575,-6.47909467575,500.0,1,24.8426,5.24303,1.24227e-06
1.0,7.72136287366,100,0.3,17.3527,7.72136,304.156681908,3.50449e-18,0.01,500.0,500,0.01,100.0,,1.0,1.0,304.156681908,7.72136287366,7.72136287366,500.0,2,0.798067,1.0,0.01
1.0,5.66376675983,100,0.3,16.4296,6.69256,239.018905027,2.1793e-19,0.005,500.0,500,0.005,200.000000102,,1.0,1.0,239.018905027,5.66376675983,5.66376675983,500.0,2,1.79706,1.0,0.005
1.0,-6.18335282555,100,0.3,15.7682,2.40059,96.4885096115,5.43914e-20,0.00333333,500.0,500,0.00333333,299.999969474,,1.0,1.0,96.4885096115,-6.18335282555,-6.18335282555,500.0,2,-1.59657,1.0,0.00333333
1.0,0.282704921965,100,0.3,17.211,1.87112,440.006087983,5.4346e-20,0.0025,500.0,500,0.0025,400.0,,1.0,1.0,440.006087983,0.282704921965,0.282704921965,500.0,2,-1.59053,1.0,0.0025
1211.1,-2.6524483808,100,0.3,5.4455,44.4802,127.940428523,0.000155943,0.002,134.159504921,500,0.0815547,12.5288805701,34389.6,29.7002,0.0124512,127.940428523,-2.6524483808,-2.6524483808,500.0,1,38.5029,3.72691,8.38459e-07
1.0,7.20813711425,100,0.3,15.4777,7.20814,241.977749341,3.50449e-18,0.01,500.0,500,0.01,100.0,,1.0,1.0,241.977749341,7.20813711425,7.20813711425,500.0,2,1.34286,1.0,0.01
1.0,5.07777180763,100,0.3,15.3691,6.14295,232.922426969,2.1793e-19,0.005,500.0,500,0.005,200.000000102,,1.0,1.0,232.922426969,5.07777180763,5.07777180763,500.0,2,1.99557,1.0,0.005
1.0,8.67166907823,100,0.3,14.0321,6.98586,115.168349339,5.43914e-20,0.00333333,500.0,500,0.00333333,299.999969474,,1.0,1.0,115.168349339,8.67166907823,8.67166907823,500.0,2,3.59954,1.0,0.00333333
1.0,9.99915580286,100,0.3,17.1491,7.73918,584.702270725,5.4346e-20,0.0025,500.0,500,0.0025,400.0,,1.0,1.0,584.702270725,9.99915580286,9.99915580286,500.0,2,3.16806,1.0,0.0025
728.531,6.38225280366,100,0.3,13.6723,57.6854,453.667722861,0.000147738,0.002,118.357183653,500,0.0794309,13.2063327304,12428.2,18.3438,0.00987323,453.667722861,6.38225280366,6.38225280366,500.0,1,49.282,4.2245,1.07647e-06
1.0,-3.35121601577,100,0.3,15.0677,-3.35122,229.327606295,3.50449e-18,0.01,500.0,500,0.01,100.0,,1.0,1.0,229.327606295,-3.35121601577,-3.35121601577,500.0,2,-8.17197,1.0,0.01
1.0,12.9074885637,100,0.3,17.381,4.77814,247.464821326,2.1793e-19,0.005,500.0,500,0.005,200.000000102,,1.0,1.0,247.464821326,12.9074885637,12.9074885637,500.0,2,-0.298915,1.0,0.005
1.0,14.5394932826,100,0.3,20.636,8.03192,615.97845511,5.43914e-20,0.00333333,500.0,500,0.00333333,299.999969474,,1.0,1.0,615.97845511,14.5394932826,14.5394932826,500.0,2,2.59854,1.0,0.00333333
1.0,1.8609177245,100,0.3,19.4055,6.48917,202.210698218,5.4346e-20,0.0025,500.0,500,0.0025,400.0,,1.0,1.0,202.210698218,1.8609177245,1.8609177245,500.0,2,1.78372,1.0,0.0025
492.343,5.42882560475,100,0.3,11.4923,59.8152,261.336925412,0.000151464,0.002,121.299800023,500,0.0804027,12.8898062151,5679.44,12.2469,0.00260163,261.336925412,5.42882560475,5.42882560475,500.0,1,51.2704,4.12202,4.24863e-07
1.0,17.1732764039,100,0.3,21.6827,17.1733,474.886882194,3.50449e-18,0.01,500.0,500,0.01,100.0,,1.0,1.0,474.886882194,17.1732764039,17.1732764039,500.0,2,8.06546,1.0,0.01
1.0,15.6579041187,100,0.3,20.8438,16.4156,401.655217735,2.1793e-19,0.005,500.0,500,0.005,200.000000102,,1.0,1.0,401.655217735,15.6579041187,15.6579041187,500.0,2,9.97539,1.0,0.005
1.0,8.05169678626,100,0.3,21.6057,13.6276,489.7587713,5.43914e-20,0.00333333,500.0,500,0.00333333,299.999969474,,1.0,1.0,489.7587713,8.05169678626,8.05169678626,500.0,2,8.36922,1.0,0.00333333
1.0,18.9797001515,100,0.3,21.4586,14.9656,424.214456266,5.4346e-20,0.0025,500.0,500,0.0025,400.0,,1.0,1.0,424.214456266,18.9797001515,18.9797001515,500.0,2,10.062,1.0,0.0025
1046.13,20.8478539851,100,0.3,8.90827,58.363,401.002667759,0.000164244,0.002,499.99797345,500,0.0914946,11.9107411076,21471.8,22.8675,2.19524e-08,401.002667759,20.8478539851,20.8478539851,500.0,1,53.977,1.0,1.91996e-12
1.0,32.9444962901,100,0.3,21.2567,32.9445,456.412502838,3.50449e-18,0.01,500.0,500,0.01,100.0,,1.0,1.0,456.412502838,32.9444962901,32.9444962901,500.0,2,22.873,1.0,0.01
1.0,17.646807284,100,0.3,23.3841,25.2957,530.070430331,2.1793e-19,0.005,500.0,500,0.005,200.000000102,,1.0,1.0,530.070430331,17.646807284,17.646807284,500.0,2,18.174,1.0,0.005
1.0,13.6342448748,100,0.3,21.6886,21.4085,229.190358262,5.43914e-20,0.00333333,500.0,500,0.00333333,299.999969474,,1.0,1.0,229.190358262,13.6342448748,13.6342448748,500.0,2,15.5937,1.0,0.00333333
1.0,16.5629057554,100,0.3,23.1338,20.1971,719.094267481,5.4346e-20,0.0025,500.0,500,0.0025,400.0,,1.0,1.0,719.094267481,16.5629057554,16.5629057554,500.0,2,15.1614,1.0,0.0025
574.555,34.238981931,100,0.3,10.8724,64.3444,383.046512364,0.000176307,0.002,120.189419009,500,0.0948478,11.1139659996,6469.6,12.1153,0.0032652,383.046512364,34.238981931,34.238981931,500.0,1,55.1577,4.1601,5.39022e-07
1.0,21.3575361196,100,0.3,19.1768,21.3575,371.466189141,3.50449e-18,0.01,500.0,500,0.01,100.0,,1.0,1.0,371.466189141,21.3575361196,21.3575361196,500.0,2,15.0483,1.0,0.01
1.0,26.5376940644,100,0.3,23.122,23.9476,695.038101804,2.1793e-19,0.005,500.0,500,0.005,200.000000102,,1.0,1.0,695.038101804,26.5376940644,26.5376940644,500.0,2,17.2696,1.0,0.005
1.0,31.7261094344,100,0.3,21.1388,26.5404,233.290324467,5.43914e-20,0.00333333,500.0,500,0.00333333,299.999969474,,1.0,1.0,233.290324467,31.7261094344,31.7261094344,500.0,2,21.0879,1.0,0.00333333
1.0,35.8711284432,100,0.3,22.7731,28.8731,675.372276891,5.4346e-20,0.0025,500.0,500,0.0025,400.0,,1.0,1.0,675.372276891,35.8711284432,35.8711284432,500.0,2,22.5662,1.0,0.0025
596.762,27.3387891158,100,0.3,13.5658,80.4342,695.774629489,0.000148437,0.002,155.702824424,500,0.0796142,13.145792614,8339.93,14.9913,0.0474086,695.774629489,27.3387891158,27.3387891158,500.0,1,70.3254,3.21125,6.3248e-06
1.0,40.2210165893,100,0.3,24.5526,40.221,608.9184994,3.50449e-18,0.01,500.0,500,0.01,100.0,,1.0,1.0,608.9184994,40.2210165893,40.2210165893,500.0,2,28.2274,1.0,0.01
1.0,42.1181664234,100,0.3,20.2472,41.1696,217.441389539,2.1793e-19,0.005,500.0,500,0.005,200.000000102,,1.0,1.0,217.441389539,42.1181664234,42.1181664234,500.0,2,32.6889,1.0,0.005
1.0,30.9597764484,100,0.3,22.1158,37.7663,583.775206344,5.43914e-20,0.00333333,500.0,500,0.00333333,299.999969474,,1.0,1.0,583.775206344,30.9597764484,30.9597764484,500.0,2,30.8418,1.0,0.00333333
1.0,39.0977425452,100,0.3,21.3839,38.0992,364.062471315,5.4346e-20,0.0025,500.0,500,0.0025,400.0,,1.0,1.0,364.062471315,39.0977425452,39.0977425452,500.0,2,32.1024,1.0,0.0025
377.129,42.1874674722,100,0.3,12.9576,76.4014,439.246229924,0.000136125,0.002,113.622176054,500,0.0762923,14.3008135338,3326.26,9.88643,0.000449308,439.246229924,42.1874674722,42.1874674722,500.0,1,65.0853,4.40055,9.08938e-08
1.0,45.7455660989,100,0.3,20.7304,45.7456,434.091222032,3.50449e-18,0.01,500.0,500,0.01,100.0,,1.0,1.0,434.091222032,45.7455660989,45.7455660989,500.0,2,34.3446,1.0,0.01
1.0,49.7998507922,100,0.3,18.8987,47.7727,279.143758438,2.1793e-19,0.005,500.0,500,0.005,200.000000102,,1.0,1.0,279.143758438,49.7998507922,49.7998507922,500.0,2,39.6249,1.0,0.005
1.0,48.0509584094,100,0.3,16.7105,47.8655,124.598974951,5.43914e-20,0.00333333,500.0,500,0.00333333,299.999969474,,1.0,1.0,124.598974951,48.0509584094,48.0509584094,500.0,2,41.2128,1.0,0.00333333
1.0,44.0493545494,100,0.3,21.4722,46.9114,1005.63157444,5.4346e-20,0.0025,500.0,500,0.0025,400.0,,1.0,1.0,1005.63157444,44.0493545494,44.0493545494,500.0,2,39.4172,1.0,0.0025
365.24,42.1285529385,100,0.3,18.5797,95.3945,493.412609979,0.000174081,0.002,121.783058132,500,0.0942613,11.2528804748,2613.61,7.74952,0.0014256,493.412609979,42.1285529385,42.1285529385,500.0,1,81.8125,4.10566,3.6792e-07
1.0,51.9978718199,100,0.3,21.6475,51.9979,473.346460471,3.50449e-18,0.01,500.0,500,0.01,100.0,,1.0,1.0,473.346460471,51.9978718199,51.9978718199,500.0,2,39.6097,1.0,0.01
1.0,54.9454928699,100,0.3,18.4315,53.4717,208.569613029,2.1793e-19,0.005,500.0,500,0.005,200.000000102,,1.0,1.0,208.569613029,54.9454928699,54.9454928699,500.0,2,44.7119,1.0,0.005
1.0,45.5718985118,100,0.3,17.626,50.8384,213.116582501,5.43914e-20,0.00333333,500.0,500,0.00333333,299.999969474,,1.0,1.0,213.116582501,45.5718985118,45.5718985118,500.0,2,43.6861,1.0,0.00333333
1.0,47.3345071885,100,0.3,17.7614,49.9624,323.870482129,5.4346e-20,0.0025,500.0,500,0.0025,400.0,,1.0,1.0,323.870482129,47.3345071885,47.3345071885,500.0,2,43.7683,1.0,0.0025
569.194,60.2278343606,100,0.3,7.15114,78.1537,236.868815197,0.000174666,0.002,194.341180182,500,0.0944179,11.2160170157,6347.74,12.0569,0.0417215,236.868815197,60.2278343606,60.2278343606,500.0,1,69.2224,2.57279,6.92078e-06
1.0,57.5818125343,100,0.3,16.5647,57.5818,277.161438215,3.50449e-18,0.01,500.0,500,0.01,100.0,,1.0,1.0,277.161438215,57.5818125343,57.5818125343,500.0,2,44.0845,1.0,0.01
1.0,50.1016661117,100,0.3,22.5537,53.8417,722.193738995,2.1793e-19,0.005,500.0,500,0.005,200.000000102,,1.0,1.0,722.193738995,50.1016661117,50.1016661117,500.0,2,43.8357,1.0,0.005
