VarVanillaIw,AvgVanillaIw,eRenyi2,VanillaAvgRet,AvgNormIw,BatchSize,VarJ,EpsThisIter,VarDiscRet,MaxNormIw,MaxVanillaIw,ESSClassic,VarNormIw,MinNormIw,MinVanillaIw,AvgEpLen,AvgRet,Bound,VarRet,AvgDiscRet,J,IterType,ESSRenyi
173376.19,42.376465,3.3081818,-3.8869062878449294,0.01,100,7.953186,100,183.73377711775504,0.9827577,4164.5796,1.035391680250027,0.009654728,1.2239184e-06,0.0051865336,500.0,-3.8869062878449294,36.676937,183.73377711775504,-3.8869062878449294,44.36234,1,30.228085145637785
402.4084,6.0827084,3.355139,-3.8869062878449294,0.01,200,33.42609,100,132.4583554701383,0.3169756,192.807,8.498100960905768,0.0010876097,3.9475884e-07,0.00024012028,500.0,-3.8869062878449294,-11.491198,183.73377711775504,-1.1073925910404068,-4.9122586,,59.61004863892793
453253.28,48.41377,6.0710864,-3.9869168403947377,0.0049999994,200,9.662087,100,289.2345328828706,0.9833835,9521.86,1.03407605101583,0.0048344065,3.2602003e-07,0.0031567717,500.0,-3.9869168403947377,36.597183,289.2345328828706,-3.9869168403947377,44.473736,1,32.943033026020835
,1.0,1.0,1.4765390196761663,0.009999998,200,14.682044,100,217.7398317612911,0.01,1.0,100.0,3.5044917e-18,0.01,1.0,500.0,1.4765390196761663,-3.4920418,217.7398317612911,1.4765390196761663,1.4765389,2,200.0
1086.8441,9.754978,7.1956654,-3.9869168403947377,0.005,300,32.837696,100,203.7132287140088,0.16236804,316.77933,16.17576912935067,0.00028553192,5.3829694e-08,0.0001050215,500.0,-3.9869168403947377,-11.123404,289.2345328828706,0.5250585136299212,-0.95577496,,41.69176650273909
697609.06,49.159946,8.368531,-6.126863049935915,0.0033333332,300,13.059562,100,139.37347317251331,0.98098195,14467.506,1.03914227823928,0.0032073539,1.29068e-07,0.0019034927,500.0,-6.126863049935915,36.84936,139.37347317251331,-6.126863049935915,44.39997,1,35.84858463909171
,1.0,1.0,3.3455292628608966,0.009999998,300,13.436352,100,182.35915949245424,0.01,1.0,100.0,3.5044917e-18,0.01,1.0,500.0,3.3455292628608966,-1.537477,182.35915949245424,3.3455292628608966,3.345529,2,300.0
,1.0,1.0,-0.06766607665596414,0.0049999994,300,13.628782,100,186.9968786650875,0.005,1.0,200.00000010221265,2.179301e-19,0.005,1.0,500.0,-0.06766607665596414,-1.8138748,186.9968786650875,-0.06766607665596414,1.6389316,2,300.0
2101.234,12.778495,12.60516,-6.126863049935915,0.0033333334,400,23.119345,100,150.23040906080806,0.13704015,525.35004,21.69946613850104,0.0001429791,1.8030402e-08,6.912042e-05,500.0,-6.126863049935915,-12.90417,139.37347317251331,1.866639060007938,-2.8949378,,31.733036917509466
70552.41,13.886548,15.37541,-2.6294074749489598,0.0025000004,400,39.630802,100,246.06117061513265,0.9564752,5312.8555,1.0930383678403517,0.0022866693,4.1854667e-10,2.3248674e-06,500.0,-2.6294074749489598,41.586807,246.06117061513265,-2.6294074749489598,50.570656,1,26.01556627887633
,1.0,1.0,3.748533469609011,0.009999998,400,14.035713,100,198.99117995371915,0.01,1.0,100.0,3.5044917e-18,0.01,1.0,500.0,3.748533469609011,0.648967,198.99117995371915,3.748533469609011,3.7485332,2,400.0
,1.0,1.0,3.8135406696299436,0.0049999994,400,13.790015,100,185.1774562258678,0.005,1.0,200.00000010221265,2.179301e-19,0.005,1.0,500.0,3.8135406696299436,0.6447041,185.1774562258678,3.8135406696299436,3.7810373,2,400.0
,1.0,1.0,2.0442407051279052,0.0033333336,400,14.272787,100,231.10842451290202,0.0033333334,1.0,299.999969473632,5.4391416e-20,0.0033333334,1.0,500.0,2.0442407051279052,0.60892534,231.10842451290202,2.0442407051279052,3.202105,2,400.0
469599840.0,1385.0337,1762.5668,-2.6294074749489598,0.0024999995,500,63.6157,100,237.0009516642716,0.77639276,430132.06,1.6314169630033215,0.0015299855,3.397439e-10,0.00018822271,500.0,-2.6294074749489598,-84.210396,246.06117061513265,4.0929769470629065,10.073182,,0.2836771961279448
160792.58,18.565872,23.571772,-2.952310981247352,0.0020000003,500,33.28136,100,114.9805462854267,0.96595895,8966.936,1.071698071085444,0.0018659295,7.0679977e-12,6.561177e-08,500.0,-2.952310981247352,41.145844,114.9805462854267,-2.952310981247352,51.095093,1,21.211812502867485
,1.0,1.0,4.600142745264269,0.009999998,500,15.253264,100,235.01218448803866,0.01,1.0,100.0,3.5044917e-18,0.01,1.0,500.0,4.600142745264269,0.7399459,235.01218448803866,4.600142745264269,4.600143,2,500.0
,1.0,1.0,6.864779727963087,0.0049999994,500,16.936096,100,341.8548878903841,0.005,1.0,200.00000010221265,2.179301e-19,0.005,1.0,500.0,6.864779727963087,2.4127815,341.8548878903841,6.864779727963087,5.732461,2,500.0
,1.0,1.0,3.50300673661294,0.0033333336,500,16.80582,100,273.06104122073634,0.0033333334,1.0,299.999969473632,5.4391416e-20,0.0033333334,1.0,500.0,3.50300673661294,0.95594454,273.06104122073634,3.50300673661294,4.9893103,2,500.0
,1.0,1.0,7.650881633831799,0.0024999997,500,16.471245,100,234.9372005806556,0.0025,1.0,400.0,5.434597e-20,0.0025,1.0,500.0,7.650881633831799,2.1617048,234.9372005806556,7.650881633831799,5.654702,2,500.0
324875.72,26.382147,12.08341,4.765215192537439,0.002,500,45.541965,100,184.27518813838603,0.9662536,12745.922,1.071053678911109,0.0018670545,1.0750549e-08,0.00014181128,500.0,4.765215192537439,70.04621,184.27518813838603,4.765215192537439,80.90642,1,41.379046901062274
