J,MinVanillaIw,MaxVanillaIw,MinNormIw,ESSRenyi,AvgRet,ESSClassic,EpsThisIter,VarNormIw,AvgEpLen,BatchSize,IterType,VarJ,AvgNormIw,MaxNormIw,AvgDiscRet,AvgVanillaIw,Delta,eRenyi2,VarDiscRet,Bound,VarRet,VarVanillaIw,VanillaAvgRet
348.49,8.80948e-13,96.5178,4.77372e-15,12.4179980062,144.054315723,3.42059186423,100,0.00285199,15.74,100,1,189.553,0.01,0.523015,144.054315723,1.84541,0.7,8.05283,10506.6411826,265.857,10506.6411826,97.1258,144.054315723
62.7203,0.0103608,1.13514e+12,9.12727e-15,1429.83609872,144.054315723,1.00000785181,100,0.00999992,15.74,200,,0.00600363,0.01,0.999996,263.721681717,1.13515e+10,0.7,0.139876,12279.6097402,-inf,10506.6411826,1.28855e+22,144.054315723
357.723,7.3719e-11,360.992,1.36502e-13,14.9814431449,135.320986957,2.1813174085,100,0.00227859,14.79,200,1,314.465,0.005,0.668431,135.320986957,2.70029,0.7,13.3498,7502.98707674,282.491,7502.98707674,664.58,135.320986957
230.238,1.0,1.0,0.01,200.0,230.237842684,100.0,100,3.50449e-18,24.97,200,2,110.731,0.01,0.01,230.237842684,1.0,0.7,1.0,12385.1144062,185.679,12385.1144062,,230.237842684
362.415,0.00277015,1.3565e+10,2.03246e-13,236761.06718,135.320986957,1.00951296404,100,0.00495264,14.79,300,,1.77423,0.005,0.995268,238.216949464,6.81476e+07,0.7,0.0012671,7831.47424914,-inf,7502.98707674,9.20022e+17,135.320986957
336.681,0.000155871,675.689,1.57534e-07,47.1177747403,137.520569563,2.13712151249,100,0.0015538,15.04,300,1,522.069,0.00333333,0.682896,137.520569563,3.29816,0.7,6.36702,9915.66478045,273.935,9915.66478045,1521.18,137.520569563
230.474,1.0,1.0,0.01,300.0,230.474162974,100.0,100,3.50449e-18,25.0,300,2,111.356,0.01,0.01,230.474162974,1.0,0.7,1.0,12525.4958289,188.06,12525.4958289,,230.474162974
242.252,1.0,1.0,0.005,300.0,254.029344963,200.000000102,100,2.1793e-19,27.52,300,2,110.634,0.005,0.005,254.029344963,1.0,0.7,1.0,11921.5023709,208.266,11921.5023709,,254.029344963
232.886,0.00147997,6415.55,7.5581e-08,0.000259269176905,137.520569563,7.80496052598,100,0.000417359,15.04,400,,330.959,0.00333333,0.327637,226.847031733,65.2709,0.7,1.5428e+06,11472.898612,-34234.1,9915.66478045,160026.0,137.520569563
349.435,6.85816e-08,1304.59,4.00699e-11,43.4077880595,143.611712831,1.71903551506,100,0.00145168,15.68,400,1,475.086,0.0025,0.76223,143.611712831,4.27888,0.7,9.21494,7514.4622226,284.063,7514.4622226,4252.57,143.611712831
255.075,1.0,1.0,0.01,400.0,255.074785425,100.0,100,3.50449e-18,27.62,400,2,114.092,0.01,0.01,255.074785425,1.0,0.7,1.0,13148.3734329,201.4,13148.3734329,,255.074785425
258.918,1.0,1.0,0.005,400.0,262.760601592,200.000000102,100,2.1793e-19,28.44,400,2,118.002,0.005,0.005,262.760601592,1.0,0.7,1.0,14952.1758419,220.964,14952.1758419,,262.760601592
261.751,1.0,1.0,0.00333333,400.0,267.416659151,299.999969474,100,5.43914e-20,28.95,400,2,120.716,0.00333333,0.00333333,267.416659151,1.0,0.7,1.0,15979.3872933,230.761,15979.3872933,,267.416659151
257.029,0.000766522,1.45812e+07,2.63043e-11,1327.77674454,143.611712831,2.95566357341,100,0.000841688,15.68,500,,696.718,0.0025,0.500374,263.303975564,72851.4,0.7,0.376569,18004.3990717,-inf,7514.4622226,7.14738e+11,143.611712831
443.105,2.05875e-07,2124.37,8.36378e-11,21.176773762,151.990317333,1.34202971831,100,0.00148926,16.58,500,1,592.226,0.002,0.863038,151.990317333,4.92301,0.7,23.6108,12048.0094184,349.511,12048.0094184,9023.43,151.990317333
238.166,1.0,1.0,0.01,500.0,238.165649968,100.0,100,3.50449e-18,25.8,500,2,97.5387,0.01,0.01,238.165649968,1.0,0.7,1.0,9609.89890424,202.868,9609.89890424,,238.165649968
250.069,1.0,1.0,0.005,500.0,261.972164658,200.000000102,100,2.1793e-19,28.34,500,2,108.212,0.005,0.005,261.972164658,1.0,0.7,1.0,13760.0433614,209.077,13760.0433614,,261.972164658
259.38,1.0,1.0,0.00333333,500.0,278.00281764,299.999969474,100,5.43914e-20,30.09,500,2,110.924,0.00333333,0.00333333,278.00281764,1.0,0.7,1.0,13103.4696629,225.911,13103.4696629,,278.00281764
258.812,1.0,1.0,0.0025,500.0,257.107270562,400.0,100,5.4346e-20,27.84,500,2,111.795,0.0025,0.0025,257.107270562,1.0,0.7,1.0,13208.2703874,229.826,13208.2703874,,257.107270562
