MinVanillaIw,AvgEpLen,AvgRet,EpsThisIter,AvgVanillaIw,MaxVanillaIw,VarNormIw,AvgDiscRet,AvgNormIw,J,Bound,ESSClassic,VarJ,VanillaAvgRet,VarRet,ESSRenyi,eRenyi2,IterType,MaxNormIw,BatchSize,VarDiscRet,MinNormIw,Delta,VarVanillaIw
0.162253,41.84,12.782170309,100,158.038,717.45,0.000356969,12.782170309,0.01,53.9264,33.7151,22.0556055831,106.876,12.782170309,1143.02971371,97.5444601542,1.02517,1,0.0453972,100,1143.02971371,1.02667e-05,0.2,89157.1
0.00139383,41.84,12.782170309,100,3.46273,6.16322,4.238e-05,-8.1719035353,0.01,-8.35286,-21.2921,70.4442323987,29.8702,12.782170309,1143.02971371,195.167148035,1.02476,,0.0177987,200,643.641195476,4.02522e-06,0.2,5.08157
0.336186,38.54,0.152055870088,100,397.799,3612.22,0.000202767,0.152055870088,0.005,53.9301,39.5696,22.0503820191,151.163,0.152055870088,463.518075548,193.217248618,1.0351,1,0.0454026,200,463.518075548,4.22558e-06,0.2,1.28347e+06
1.0,95.04,-7.62274907074,100,1.0,1.0,3.50449e-18,-7.62274907074,0.01,-7.62275,-15.9571,100.0,23.3372,-7.62274907074,550.125557557,200.0,1.0,2,0.01,200,550.125557557,0.01,0.2,
0.000276838,38.54,0.152055870088,100,1.81716,2.97454,4.46287e-06,-11.7031186272,0.005,-9.92602,-15.9195,169.83369548,21.136,0.152055870088,463.518075548,290.057669622,1.03428,,0.00818459,300,215.664463773,7.61732e-07,0.2,0.589468
0.459973,42.28,-12.9747424923,100,618.104,8420.37,0.000140574,-12.9747424923,0.00333333,53.9328,42.1695,22.0434577421,185.166,-12.9747424923,1221.75676343,287.958554549,1.04182,1,0.0454097,300,1221.75676343,2.48056e-06,0.2,4.83359e+06
1.0,35.6,-3.62518963281,100,1.0,1.0,3.50449e-18,-3.62518963281,0.01,-3.62519,-9.81485,100.0,15.1975,-3.62518963281,233.296599662,300.0,1.0,2,0.01,300,233.296599662,0.01,0.2,
1.0,37.36,18.7572822126,100,1.0,1.0,2.1793e-19,18.7572822126,0.005,7.56605,-2.93855,200.000000102,23.685,18.7572822126,646.976360805,300.0,1.0,2,0.005,300,646.976360805,0.005,0.2,
0.00011876,42.28,-12.9747424923,100,1.45868,2.17404,1.30843e-06,1.85065965732,0.00333333,5.63883,-3.11106,268.488937443,21.0233,-12.9747424923,1221.75676343,384.345911907,1.04073,,0.00496807,400,98.2786204449,2.71387e-07,0.2,0.25056
0.468848,39.86,5.6867883689,100,752.035,13661.0,0.00010745,5.6867883689,0.0025,53.9397,43.732,22.0398215064,213.828,5.6867883689,310.75968665,382.412663014,1.04599,1,0.0454135,400,310.75968665,1.5586e-06,0.2,9.72302e+06
1.0,45.46,8.84720743159,100,1.0,1.0,3.50449e-18,8.84720743159,0.01,8.84721,-2.63107,100.0,25.5095,8.84720743159,657.3083338,400.0,1.0,2,0.01,400,657.3083338,0.01,0.2,
1.0,34.56,7.46271208728,100,1.0,1.0,2.1793e-19,7.46271208728,0.005,8.15496,0.0385923,200.000000102,22.1035,7.46271208728,328.722848114,400.0,1.0,2,0.005,400,328.722848114,0.005,0.2,
1.0,49.12,20.9190442748,100,1.0,1.0,5.43914e-20,20.9190442748,0.00333333,12.4097,2.41585,299.999969474,24.898,20.9190442748,781.809966333,400.0,1.0,2,0.00333333,400,781.809966333,0.00333333,0.2,
7.32011e-05,39.86,5.6867883689,100,1.36097,2.13289,6.09439e-07,-9.10722084718,0.0025,7.23783,-1.60832,364.542548709,26.5206,5.6867883689,310.75968665,478.61229383,1.04469,,0.00391794,500,343.453019341,1.34464e-07,0.2,0.180613
0.242099,96.14,24.1112124145,100,1701.96,70885.4,0.000162853,24.1112124145,0.002,209.805,190.342,12.0100382821,0.569385,24.1112124145,5185.50034927,465.160980724,1.0749,1,0.0832985,500,5185.50034927,2.84494e-07,0.2,1.17933e+08
1.0,83.66,16.9097095081,100,1.0,1.0,3.50449e-18,16.9097095081,0.01,16.9097,7.05558,100.0,23.6463,16.9097095081,564.795696892,500.0,1.0,2,0.01,500,564.795696892,0.01,0.2,
1.0,39.24,-5.02109031212,100,1.0,1.0,2.1793e-19,-5.02109031212,0.005,5.94431,-1.02362,200.000000102,22.8152,-5.02109031212,243.877860219,500.0,1.0,2,0.005,500,243.877860219,0.005,0.2,
1.0,37.18,7.53720830974,100,1.0,1.0,5.43914e-20,7.53720830974,0.00333333,6.47528,-0.653739,299.999969474,23.9985,7.53720830974,691.940188473,500.0,1.0,2,0.00333333,500,691.940188473,0.00333333,0.2,
1.0,41.14,1.76065100941,100,1.0,1.0,5.4346e-20,1.76065100941,0.0025,5.29662,-0.877289,400.0,22.9834,1.76065100941,372.222808213,500.0,1.0,2,0.0025,500,372.222808213,0.0025,0.2,
0.341266,48.34,1.51511645149,100,1145.4,47694.8,0.000162782,1.51511645149,0.002,99.3969,90.2171,12.0151278745,0.385718,1.51511645149,1524.10327341,469.521277489,1.06491,1,0.0832809,500,1524.10327341,5.95892e-07,0.2,5.33899e+07
1.0,37.64,-7.50527660999,100,1.0,1.0,3.50449e-18,-7.50527660999,0.01,-7.50528,-14.8075,100.0,15.1766,-7.50527660999,232.6567086,500.0,1.0,2,0.01,500,232.6567086,0.01,0.2,
1.0,49.12,8.91730117921,100,1.0,1.0,2.1793e-19,8.91730117921,0.005,0.706012,-9.93403,200.000000102,26.2984,8.91730117921,1028.31160109,500.0,1.0,2,0.005,500,1028.31160109,0.005,0.2,
1.0,45.26,8.6970622006,100,1.0,1.0,5.43914e-20,8.6970622006,0.00333333,3.3697,-5.31786,299.999969474,24.9335,8.6970622006,443.696596906,500.0,1.0,2,0.00333333,500,443.696596906,0.00333333,0.2,
1.0,59.04,-11.9533632052,100,1.0,1.0,5.4346e-20,-11.9533632052,0.0025,-0.461069,-8.3472,400.0,26.0348,-11.9533632052,676.878348601,500.0,1.0,2,0.0025,500,676.878348601,0.0025,0.2,
0.428555,36.56,4.13872323359,100,1486.85,61921.1,0.000162826,4.13872323359,0.002,75.1998,67.9335,12.0120007197,0.239295,4.13872323359,328.215430002,471.142321622,1.06125,1,0.0832917,500,328.215430002,5.7646e-07,0.2,8.99906e+07
1.0,38.58,-0.227778980697,100,1.0,1.0,3.50449e-18,-0.227778980697,0.01,-0.22778,-10.2204,100.0,26.4486,-0.227778980697,706.595959024,500.0,1.0,2,0.01,500,706.595959024,0.01,0.2,
1.0,85.92,23.3352840366,100,1.0,1.0,2.1793e-19,23.3352840366,0.005,11.5538,-2.86112,200.000000102,33.3881,23.3352840366,1265.04131954,500.0,1.0,2,0.005,500,1265.04131954,0.005,0.2,
1.0,42.82,22.3850838282,100,1.0,1.0,5.43914e-20,22.3850838282,0.00333333,15.1642,-3.18063,299.999969474,40.5664,22.3850838282,2655.71281583,500.0,1.0,2,0.00333333,500,2655.71281583,0.00333333,0.2,
1.0,39.36,10.197402011,100,1.0,1.0,5.4346e-20,10.197402011,0.0025,13.9225,-1.96459,400.0,37.9375,10.197402011,809.726439107,500.0,1.0,2,0.0025,500,809.726439107,0.0025,0.2,
0.330018,33.68,14.8509580942,100,2114.89,105710.0,0.000196263,14.8509580942,0.002,158.825,144.049,10.0064968953,0.327406,14.8509580942,327.073739031,462.417263738,1.08127,1,0.0999675,500,327.073739031,3.12091e-07,0.2,2.19458e+08
1.0,30.78,3.5979710077,100,1.0,1.0,3.50449e-18,3.5979710077,0.01,3.59797,-5.22378,100.0,19.1214,3.5979710077,369.321582712,500.0,1.0,2,0.01,500,369.321582712,0.01,0.2,
1.0,48.32,-2.67187366284,100,1.0,1.0,2.1793e-19,-2.67187366284,0.005,0.463049,-6.98988,200.000000102,24.8397,-2.67187366284,857.31487697,500.0,1.0,2,0.005,500,857.31487697,0.005,0.2,
1.0,98.14,-1.0400463296,100,1.0,1.0,5.43914e-20,-1.0400463296,0.00333333,-0.0379831,-6.12327,299.999969474,22.3244,-1.0400463296,262.229022194,500.0,1.0,2,0.00333333,500,262.229022194,0.00333333,0.2,
1.0,50.94,18.8277495381,100,1.0,1.0,5.4346e-20,18.8277495381,0.0025,4.67845,-7.52727,400.0,29.2305,18.8277495381,1672.3368709,500.0,1.0,2,0.0025,500,1672.3368709,0.0025,0.2,
0.47463,40.24,-5.95024845529,100,1676.38,69818.1,0.000162845,-5.95024845529,0.002,122.004,110.778,12.0106476594,0.350863,-5.95024845529,902.028318694,472.920711918,1.05726,1,0.0832964,500,902.028318694,5.66257e-07,0.2,1.14408e+08
1.0,45.88,15.2959576779,100,1.0,1.0,3.50449e-18,15.2959576779,0.01,15.296,-12.1426,100.0,50.4047,15.2959576779,2566.29557067,500.0,1.0,2,0.01,500,2566.29557067,0.01,0.2,
1.0,35.44,-9.66181571474,100,1.0,1.0,2.1793e-19,-9.66181571474,0.005,2.81707,-16.5849,200.000000102,41.1045,-9.66181571474,532.400876373,500.0,1.0,2,0.005,500,532.400876373,0.005,0.2,
1.0,101.6,3.86072597758,100,1.0,1.0,5.43914e-20,3.86072597758,0.00333333,3.16496,-12.6767,299.999969474,42.2236,3.86072597758,1988.51085177,500.0,1.0,2,0.00333333,500,1988.51085177,0.00333333,0.2,
1.0,98.84,10.5214765412,100,1.0,1.0,5.4346e-20,10.5214765412,0.0025,5.00409,-8.71518,400.0,39.1183,10.5214765412,739.250001841,500.0,1.0,2,0.0025,500,739.250001841,0.0025,0.2,
0.228585,40.98,2.6615576305,100,2389.2,119424.0,0.000196271,2.6615576305,0.002,137.155,124.385,10.0061074277,0.270051,2.6615576305,643.525768501,461.698429525,1.08296,1,0.0999695,500,643.525768501,1.91349e-07,0.2,2.80092e+08
1.0,59.54,-2.56909384082,100,1.0,1.0,3.50449e-18,-2.56909384082,0.01,-2.56909,-15.907,100.0,39.4464,-2.56909384082,1571.73219069,500.0,1.0,2,0.01,500,1571.73219069,0.01,0.2,
1.0,53.82,-9.21198090298,100,1.0,1.0,2.1793e-19,-9.21198090298,0.005,-5.89054,-17.9422,200.000000102,37.4533,-9.21198090298,1239.82081325,500.0,1.0,2,0.005,500,1239.82081325,0.005,0.2,
1.0,36.64,-3.78409046002,100,1.0,1.0,5.43914e-20,-3.78409046002,0.00333333,-5.18839,-15.0285,299.999969474,32.3764,-3.78409046002,339.630396471,500.0,1.0,2,0.00333333,500,339.630396471,0.00333333,0.2,
1.0,45.72,15.1570464242,100,1.0,1.0,5.4346e-20,15.1570464242,0.0025,-0.102031,-10.0653,400.0,36.4079,15.1570464242,1865.63890657,500.0,1.0,2,0.0025,500,1865.63890657,0.0025,0.2,
0.185397,41.3,-13.8273535751,100,2050.09,102469.0,0.000196254,-13.8273535751,0.002,99.6003,90.3208,10.0069559468,0.231351,-13.8273535751,663.164947647,461.118916192,1.08432,1,0.0999652,500,663.164947647,1.80867e-07,0.2,2.06207e+08
1.0,38.92,-9.48181769868,100,1.0,1.0,3.50449e-18,-9.48181769868,0.01,-9.48182,-17.4001,100.0,24.8294,-9.48181769868,622.72392602,500.0,1.0,2,0.01,500,622.72392602,0.01,0.2,
