EmpiricalD2,ReturnMeanIW,MaxIW,StdIW,Iteration,MeanEntropy,TimestepsSoFar,J_sample_variance,EpThisIter,MaxIWNorm,Weights,MinIWNorm,InitialReturnMean,ESSRenyi,MeanIWNorm,MeanIW,InitialBound,MinIW,ReturnStepMax,InitialReturnMax,ESSClassic,EpLenMean,EpRewMean,EntropyCoefficient,EpisodesSoFar,Bound,TimeElapsed,StdIWNorm,InitialReturnMin,InitialReturnStd,ReturnStepMaxmin
1.0,-1.0877848e-06,1.0,,1,1.4188708,5578,6.300865,100,0.01,[ 0.74  -1.049  0.227  0.317  0.   ],0.01,-1.0681152e-06,100.0,0.010000002,1.0,-0.3046553,1.0,100.0,9.139626,100.0,55.78,-151.3689476386113,,100,-0.3046553,19.454689025878906,1.8626451e-09,-2.565277,2.49757,94.57265
10.22019,1.8601205,33.704098,3.5064182,2,1.4114151,11666,242.85803,100,0.33704096,[ 7.404e-01 -1.049e+00  2.273e-01  3.175e-01 -1.173e-10],3.297549e-05,-4.272461e-06,9.784554,0.011023829,1.102383,-0.31743032,0.0032975492,100.0,9.522781,8.995034,60.88,-156.28062799191122,,200,0.84534013,49.5763418674469,0.03506418,-2.7744522,2.5261343,94.86595
1.0,8.0406666e-05,1.0007927,0.00022193599,3,1.4114156,18339,9.887239,100,0.010007927,[ 0.668 -1.116  0.224  0.267 -0.007],0.009994645,-2.2125244e-06,100.0,0.010000172,1.0000172,-0.33638346,0.9994645,100.0,10.091438,100.00001,66.73,-161.23194753475877,,300,-0.33630088,83.09409213066101,2.2193478e-06,-3.4244156,3.1285043,95.16763
2.854032,0.92629296,11.314556,1.4488798,4,1.4520111,24330,33.971222,100,0.11314556,[ 0.668 -1.116  0.224  0.267 -0.007],0.00063111284,-2.5177003e-06,35.03815,0.011050139,1.1050138,-0.3040741,0.06311128,100.0,9.122147,36.775375,59.91,-154.99446395148283,,400,0.41259807,113.3322525024414,0.014488798,-3.015419,2.4492834,94.82576
9.350255,2.1427424,38.212975,4.0228868,5,1.5115469,29838,216.49614,100,0.38212973,[ 0.71  -1.092  0.229  0.225  0.033],0.00019664913,3.5095215e-06,10.694896,0.01415661,1.415661,-0.27962884,0.019664913,100.0,8.388969,11.018953,55.08,-150.64367428706083,,500,1.2876775,136.5295045375824,0.040228862,-2.6037521,2.4770505,94.53
2.1113358,0.47412342,8.513694,1.2790378,6,1.5515577,36227,27.12251,100,0.085136935,[ 0.73  -1.108  0.2    0.148  0.092],0.0017277461,-5.0354006e-06,47.36338,0.011011077,1.1011078,-0.25370786,0.17277461,100.0,7.611084,42.565956,63.89,-158.38599650658264,,600,0.10548219,170.654776096344,0.012790378,-3.303566,2.9991467,95.041916
13.3200245,4.255382,47.09607,4.70763,7,1.5950518,43399,1990.8994,100,0.47096068,[ 0.692 -1.114  0.184  0.164  0.133],0.00013120685,-3.3569336e-06,7.5074935,0.011530716,1.1530718,-0.3981439,0.013120686,100.0,11.944214,5.6598454,71.72,-165.89834043481062,,700,2.8023043,201.74584579467773,0.04707629,-3.526619,2.8390417,95.37372
1.74683,0.58193034,6.0758166,0.7494297,8,1.6365627,50370,38.7825,100,0.060758166,[ 0.686 -1.196  0.178  0.07   0.176],0.0010220953,3.5858154e-06,57.246555,0.009685393,0.96853936,-0.3032735,0.10220954,100.0,9.098312,62.549847,69.71,-163.1047747243438,,800,0.18109602,233.00958156585693,0.007494297,-3.984726,2.9529016,95.32048
7.9740357,2.4215178,24.03217,3.1282341,9,1.6835936,57132,203.85959,100,0.24032168,[ 0.663 -1.215  0.194  0.093  0.217],0.00017664897,3.890991e-06,12.540701,0.012719064,1.2719064,-0.30692798,0.017664898,100.0,9.207954,14.186279,67.62,-161.2127559875436,,900,1.5547935,266.7450077533722,0.031282343,-3.94059,3.237587,95.2318
11.461111,3.7849674,22.95186,3.0232196,10,1.5722655,64353,1120.472,100,0.22951859,[ 0.636 -1.184  0.209  0.008  0.265],1.2284488e-06,2.5177003e-06,8.725158,0.012417142,1.2417142,-0.46539456,0.00012284488,100.0,13.961914,14.434525,72.21,-164.70008197078013,,1000,2.2093997,301.01211285591125,0.030232195,-4.2561493,3.6765573,95.435234
2.712988,1.9841292,6.8515773,1.1085677,11,1.5896897,71058,171.82382,100,0.06851577,[ 0.601 -1.184  0.225 -0.04   0.153],0.001078864,3.6621093e-06,36.85973,0.010345922,1.0345922,-0.56328624,0.107886404,100.0,16.898697,46.5524,67.05,-158.78612939817646,,1100,1.0563259,333.34413170814514,0.011085678,-4.9660263,4.374763,95.26364
2.1144657,0.6871533,5.1592155,0.79170895,12,1.6242517,77776,45.083916,100,0.051592153,[ 0.604 -1.177  0.196 -0.085  0.171],0.0010937096,-8.926391e-06,47.29327,0.008738852,0.8738853,-0.3647225,0.10937096,100.0,10.941406,54.92178,67.18,-158.03861317272197,,1200,0.15681595,361.02519607543945,0.007917089,-5.587059,4.2167583,95.295074
2.2029157,1.5156144,5.627734,0.91687757,13,1.6009511,84583,160.51918,100,0.056277342,[ 0.595 -1.18   0.185 -0.13   0.205],0.00052092486,1.0910034e-05,45.394382,0.009850524,0.9850524,-0.5975373,0.052092485,100.0,17.926445,53.57991,68.07,-157.09308556149634,,1300,0.6287201,391.7276756763458,0.009168776,-6.7431717,5.923848,95.3717
