J_sample_variance,MaxIWNorm,InitialReturnMean,MeanEntropy,ReturnMeanIW,MeanIWNorm,StdIW,TimeElapsed,MaxIW,ReturnStepMax,Bound,EpisodesSoFar,Iteration,InitialBound,EpRewMean,ReturnStepMaxmin,StdIWNorm,EmpiricalD2,TimestepsSoFar,InitialReturnStd,MeanIW,MinIW,MinIWNorm,InitialReturnMin,InitialReturnMax,ESSRenyi,EpLenMean,ESSClassic,EpThisIter,EntropyCoefficient,Weights
8.004203,0.02695635,-1.0681152e-06,1.4335492,0.085585356,0.009766882,0.41625452,19.63504719734192,2.695635,100.0,-0.25239098,100,1,6.7187567,-151.3689476386113,94.57265,0.004162545,1.2307171,5578,2.49757,0.9766883,0.34193963,0.0034193962,-2.565277,9.139626,81.25344,55.78,84.62831,100,4.950001,[ 0.74  -1.049  0.227  0.317  0.   ]
92.931274,0.14373478,-9.231568e-06,1.5110732,1.0088655,0.012367452,2.0378742,49.39590120315552,14.373479,100.0,0.39729452,200,2,6.7592835,-154.7708995037679,94.7906,0.020378742,5.3221006,11520,2.532652,1.2367451,0.045013435,0.00045013434,-2.862877,7.952919,18.789574,59.42,26.91679,100,4.8999996,[ 0.739 -1.052  0.211  0.318  0.015]
7.55896,0.030232592,1.9073486e-06,1.5253806,0.1373535,0.010262353,0.50020957,78.62533950805664,3.0232592,100.0,-0.04999301,300,3,7.162835,-150.22058664573467,94.5414,0.0050020954,1.2756826,17024,2.2189252,1.0262352,0.31683338,0.0031683338,-2.9600143,4.9761734,78.389404,55.04,80.80284,100,4.8500004,[ 0.76  -1.053  0.194  0.269  0.092]
5.40023,0.0100013735,3.2806397e-06,1.5253806,9.1940165e-06,0.010000004,3.039014e-05,106.05305576324463,1.0001373,100.0,-0.27478307,400,4,7.047037,-156.11993265089842,94.87628,3.039469e-07,1.0,23118,2.3121996,1.0000005,0.99993074,0.009999307,-2.7820892,8.243767,100.0,60.94,99.99998,100,4.799999,[ 0.767 -1.053  0.172  0.273  0.106]
5.6139226,0.01,-3.8146973e-06,1.5253806,-3.8072467e-06,0.010000002,,131.58131074905396,1.0,100.0,-0.26242447,500,5,6.9831333,-150.15924535618697,94.50369,1.8626451e-09,1.0,28582,2.357495,1.0,1.0,0.01,-2.7667923,7.8726196,100.0,54.64,100.0,100,4.75,[ 0.767 -1.053  0.172  0.273  0.106]
1115.3896,0.70730084,4.043579e-06,1.4616053,3.9505095,0.01444757,7.1576705,159.35065340995789,70.73009,100.0,2.6429248,600,6,6.915515,-153.71286582581934,94.702835,0.0715767,26.548298,34387,2.290897,1.444757,0.00244378,2.4437799e-05,-2.253891,7.6132965,3.7667198,58.05,3.9147406,100,4.699999,[ 0.767 -1.053  0.172  0.273  0.106]
92.53614,0.23254034,8.69751e-06,1.5372754,1.6210897,0.0132919885,2.5847228,193.10764265060425,23.254034,100.0,0.88248813,700,7,6.552376,-161.93609031205125,95.185486,0.025847225,9.155793,41114,2.3264897,1.329199,0.006285131,6.285131e-05,-3.13974,7.3229065,10.922047,67.27,20.914557,100,4.6499996,[ 0.719 -1.037  0.106  0.188  0.043]
7.1728606,0.010004817,-1.2969971e-06,1.5372754,6.2808394e-05,0.009999953,0.00023582182,218.24392557144165,1.0004817,100.0,-0.28064364,800,8,6.7907596,-153.441427939422,94.791534,2.358219e-06,0.9999992,47006,2.664818,0.9999953,0.9993526,0.009993525,-3.319992,8.421196,100.00008,58.92,99.999985,100,4.6000004,[ 0.77  -1.024  0.1    0.133  0.118]
278.76083,0.28493702,-1.3656616e-05,1.5735584,2.1496022,0.011500523,3.093622,245.1075837612152,28.493702,100.0,1.0939201,900,9,6.6677256,-154.42297771277413,94.88158,0.030936223,10.431206,53040,3.128706,1.1500523,0.022731245,0.00022731244,-3.6154175,9.805893,9.586619,60.34,12.141796,100,4.549999,[ 0.77  -1.024  0.1    0.133  0.118]
1042.416,0.32961112,9.918213e-07,1.5304259,3.411507,0.011275849,3.3919852,280.0453610420227,32.961113,100.0,2.1488369,1000,10,6.700884,-162.38237726544884,95.35969,0.033919856,11.033542,60053,3.6915565,1.1275849,0.0018109464,1.8109464e-05,-4.5186386,11.403908,9.063273,70.13,9.9510565,100,4.5,[ 0.722 -1.082  0.083  0.052  0.155]
