StdIWNorm,EpRewMean,EpLenMean,MaxIWNorm,ReturnStepMax,MaxIW,EmpiricalD2,Bound,EpThisIter,ReturnStepMaxmin,TimeElapsed,InitialReturnStd,ESSRenyi,EpisodesSoFar,Weights,MeanIWNorm,Iteration,InitialBound,MeanEntropy,InitialReturnMean,MinIWNorm,InitialReturnMax,ESSClassic,J_sample_variance,MeanIW,MinIW,StdIW,TimestepsSoFar,ReturnMeanIW,InitialReturnMin
7.0876155e-08,-107.7164208577093,17.36,0.010000186,100.0,1.0000186,1.0,-0.41022795,100,86.68869,10.856001138687134,3.4973137,100.0,100,[-0.718  0.851  0.951 -0.346  0.   ],0.009999994,1,1.0086412,1.4188708,-4.196167e-06,0.009999775,12.306763,100.00002,12.354767,0.9999995,0.9999775,7.082396e-06,1736,-2.503395e-06,-5.334259
0.029554911,-108.15610446657332,16.42,0.28605536,100.0,28.605536,23.997679,0.9939585,100,85.91116,22.660823345184326,2.6076138,4.16707,200,[-7.182e-01  8.514e-01  9.506e-01 -3.460e-01 -1.229e-07],0.01019403,2,1.160438,1.5066665,9.384155e-06,0.00026220258,7.7532654,10.631994,502.01184,1.0194032,0.026220258,2.9554913,3378,2.2600002,-4.2077026
2.3233297,-107.95802448095269,17.53,23.361185,100.0,2336.1187,185.50215,499.20642,100,86.68541,37.8543701171875,4.260493,0.5390773,300,[-0.716  0.763  0.912 -0.361  0.088],0.24689718,3,0.77697635,1.3506713,1.9073486e-06,6.0520046e-07,21.890762,1.1166922,26154910.0,24.689716,6.0520048e-05,232.333,5131,509.14478,-4.9615326
0.0030448358,-108.02269033916927,17.17,0.016959313,100.0,1.6959313,1.1266869,-0.6327665,100,86.417305,52.7466139793396,4.461171,88.7558,400,[-0.699  0.632  0.935 -0.493 -0.068],0.009999169,4,0.4606259,1.3554659,9.155273e-07,0.002036968,26.701385,91.514275,39.794582,0.999917,0.20369682,0.3044836,6848,0.31197754,-4.8492966
0.01501703,-107.52689620730636,17.37,0.116820484,100.0,11.682049,4.1500416,1.094908,100,86.62242,66.843590259552,4.3562536,24.096144,500,[-0.668  0.646  0.932 -0.483 -0.064],0.010367091,5,0.36068106,1.3780216,-5.760193e-06,0.000117095165,29.843372,32.27644,1245.2052,1.0367092,0.011709517,1.501703,8585,3.121437,-5.5570297
0.084213845,-108.29018674571124,17.79,0.6573106,100.0,65.731064,18.346825,2.4921846,100,86.8288,82.18463182449341,4.151998,5.4505343,600,[-0.74   0.674  0.942 -0.543 -0.041],0.023977248,6,0.6681466,1.322326,-2.2125244e-06,4.0626805e-05,21.29618,7.4985976,1352.2699,2.3977249,0.0040626805,8.421385,10364,5.5327964,-5.2995224
0.009518592,-108.04770115139848,17.39,0.057047293,100.0,5.7047296,1.8069843,0.08584589,100,86.765175,98.69545102119446,3.4237976,55.340824,700,[-0.73   0.697  0.84  -0.501 -0.096],0.0113234995,7,0.64065444,1.3242756,-2.1362305e-06,0.00049392815,20.45008,58.595448,104.0711,1.13235,0.049392816,0.95185924,12103,1.0021739,-4.713936
0.0043014907,-107.62903983073714,17.47,0.027530275,100.0,2.7530277,1.199245,-0.7863008,100,86.6789,111.03066515922546,5.2603407,83.385796,800,[-0.759  0.668  0.815 -0.551 -0.095],0.01047667,8,0.2137096,1.3229948,5.1879883e-06,0.0039266422,33.31713,85.57436,61.258442,1.0476669,0.39266425,0.43014908,13850,0.42988607,-4.66568
0.015142345,-107.71142381982645,17.85,0.13208261,100.0,13.2082615,3.7390668,0.37474442,100,86.931496,124.24367904663086,4.9742002,26.74464,900,[-0.752  0.67   0.802 -0.524 -0.096],0.009882148,9,0.44979173,1.3933136,4.272461e-06,0.0009791732,26.19622,29.869286,539.8929,0.98821485,0.097917326,1.5142344,15635,2.0632365,-5.450714
0.0037574407,-107.89414695360524,18.8,0.027179753,100.0,2.7179754,1.16714,-0.42758253,100,87.522484,140.04515862464905,4.6577787,85.67953,1000,[-0.797  0.636  0.788 -0.516 -0.026],0.010273853,10,0.77631843,1.4083848,7.6293946e-07,0.002942545,18.50988,88.20229,26.241117,1.0273855,0.2942545,0.37574407,17515,0.2389845,-5.7864075
0.023230884,-107.67525642405224,17.04,0.21796046,100.0,21.796047,2.0977504,1.5399197,100,86.36247,150.70359420776367,4.509145,47.670113,1100,[-0.791  0.63   0.76  -0.53  -0.01 ],0.013032377,11,0.33593082,1.294721,-9.155273e-07,0.00020258565,32.17359,23.937824,969.12317,1.3032379,0.020258566,2.3230886,19219,3.0932193,-5.1862793
0.007180489,-107.18580872415492,17.73,0.053419,100.0,5.3419003,1.4709052,-0.20202291,100,86.90914,165.62058472633362,5.046504,67.985344,1200,[-0.849  0.682  0.774 -0.527 -0.124],0.010102229,12,0.50803083,1.279293,-9.155273e-07,0.0014909959,23.600677,66.43583,144.77177,1.0102229,0.14909959,0.71804893,20992,0.7520808,-5.198868
0.024548242,-107.2052725689362,17.77,0.2432547,100.0,24.325472,2.3273463,6.24123,100,86.93416,181.43703079223633,5.161071,42.967392,1300,[-0.886  0.66   0.796 -0.526 -0.14 ],0.011892774,13,0.12491727,1.2204942,3.8146973e-07,0.0010471779,34.63128,19.009106,7125.401,1.1892775,0.1047178,2.4548242,22769,8.002305,-5.619713
0.029572565,-107.07157151148081,17.98,0.2948291,100.0,29.48291,4.4207573,1.5295658,100,87.09252,196.71202754974365,6.36299,22.620558,1400,[-0.877  0.629  0.76  -0.546 -0.199],0.01220136,14,0.1198535,1.2131389,-6.1035155e-07,0.0003046569,33.019196,14.546785,1913.2771,1.2201362,0.030465689,2.9572568,24567,3.8437269,-6.3246536
0.004258273,-107.67123810223687,17.43,0.024239209,100.0,2.4239209,1.2208259,-0.29802215,100,86.7351,210.40071177482605,4.0370064,81.91176,1500,[-0.89   0.626  0.755 -0.609 -0.206],0.009919595,15,0.49121135,1.1989558,7.6293944e-08,0.0021799866,21.65783,84.43945,39.305584,0.9919594,0.21799867,0.42582732,26310,0.4996429,-4.8382874
0.014889542,-107.56629629817664,18.06,0.09302127,100.0,9.302128,2.462021,1.4925046,100,87.08806,224.56799697875977,6.0614886,40.617035,1600,[-0.912  0.608  0.771 -0.627 -0.22 ],0.0130911395,16,0.27387476,1.2976664,-3.2424928e-06,0.0019822898,27.75233,43.59914,661.14,1.3091141,0.19822899,1.4889542,28116,2.9440281,-5.857338
0.0081380615,-106.69159067678572,19.4,0.062151555,100.0,6.2151556,1.2242404,-0.50856763,100,88.00087,239.85844373703003,8.015645,81.683304,1700,[-0.923  0.579  0.77  -0.638 -0.121],0.011031307,17,0.2077334,1.3020005,5.2261353e-06,0.0033523855,32.698143,64.756905,100.65894,1.1031307,0.33523855,0.8138062,30056,0.6973987,-6.9735794
0.22381698,-107.33879544624459,17.36,2.2511044,100.0,225.11044,267.83255,38.055927,100,86.86023,251.1174819469452,4.5869036,0.3733676,1800,[-0.922  0.598  0.76  -0.648 -0.117],0.026731225,18,0.5532302,1.0920758,2.1362305e-06,2.3456034e-08,22.463173,1.4063728,255743.44,2.6731222,2.3456034e-06,22.381697,31792,50.31003,-4.925644
