InitialReturnMin,StdIWNorm,ReturnStepMaxmin,ESSClassic,InitialReturnStd,ReturnStepMax,ESSRenyi,TimeElapsed,InitialReturnMax,MinIWNorm,StdIW,Bound,EpLenMean,MeanIW,TimestepsSoFar,EpRewMean,MeanIWNorm,J_sample_variance,EpisodesSoFar,InitialBound,Iteration,MeanEntropy,InitialReturnMean,MaxIWNorm,EmpiricalD2,ReturnMeanIW,Weights,EpThisIter,MinIW,MaxIW
-2.51548,1.1814729e-07,89.15846,100.0,1.5804397,100.0,100.0,12.97100567817688,5.4108276,0.009999749,1.1817641e-05,-0.18035725,21.25,1.0000011,2125,-115.19138151004096,0.010000011,2.5230198,100,1.2385107,1,1.4188708,8.392334e-07,0.010000367,1.0,3.6880374e-06,[ 0.867 -0.5   -0.634  0.472  0.   ],100,0.9999749,1.0000367
-3.3294296,0.061604682,89.71864,5.309966,2.0991528,100.0,5.3021207,28.503227472305298,5.6826096,8.882833e-06,6.1604686,2.6052384,22.51,1.4588394,4376,-115.71661858017201,0.014588393,1195.7964,200,1.2294557,2,1.4010864,5.1879883e-06,0.6191139,18.860378,3.4278631,[ 8.669e-01 -5.000e-01 -6.342e-01  4.722e-01  8.235e-08],100,0.0008882833,61.911396
-3.130577,0.0477683,88.83411,5.0609746,2.2104478,100.0,3.7255003,47.47229981422424,6.7599335,3.4297704e-05,4.7768297,1.6923168,20.36,1.1028957,6412,-113.66871115221778,0.011028957,854.2818,300,1.1757526,3,1.4581097,-2.670288e-06,0.47684008,26.842031,2.8597414,[ 0.876 -0.576 -0.711  0.393 -0.018],100,0.0034297705,47.68401
-3.7469788,1.8626451e-09,89.35079,100.0,2.3681018,100.0,100.0,66.84975957870483,8.051453,0.01,,-0.26837623,21.53,1.0,8565,-114.46884476382742,0.010000002,5.664552,400,1.1897335,4,1.4581097,5.4931643e-06,0.01,1.0,5.5469573e-06,[ 0.821 -0.717 -0.772  0.39   0.039],100,1.0,1.0
-3.4439774,0.004582401,89.276474,77.89326,2.3274958,100.0,72.129456,79.64260005950928,7.9243164,0.0017553591,0.45824012,-0.15148371,21.47,0.8601625,10712,-114.33373039247712,0.0086016245,5.533958,500,1.1939669,5,1.4611045,1.0681152e-06,0.019848585,1.3863962,0.15953335,[ 0.821 -0.717 -0.772  0.39   0.039],100,0.17553592,1.9848586
-3.1200714,1.0006843e-08,89.130974,99.99999,2.2345142,100.0,100.0,93.75411224365234,6.668831,0.009999977,9.968777e-07,-0.22229312,21.0,1.0000001,12812,-113.9152264997102,0.010000003,5.043493,600,1.2388114,6,1.4611045,1.2207031e-06,0.010000038,1.0,1.2516975e-06,[ 0.828 -0.699 -0.791  0.384  0.042],100,0.99999774,1.0000038
-3.9197235,0.14949404,89.29081,1.9154642,2.6357834,100.0,1.2535424,107.93934059143066,7.6841507,0.00016593038,14.949404,4.2658815,21.57,2.0891068,14969,-113.87022869377759,0.020891065,3890.1802,700,1.2049705,7,1.5633156,4.348755e-06,1.5037756,79.773926,6.5536137,[ 0.828 -0.699 -0.791  0.384  0.042],100,0.016593039,150.37756
-3.4796448,2.4777032e-08,89.155396,99.99999,2.9565625,100.0,100.0,125.96380496025085,9.584618,0.009999951,2.481501e-06,-0.31947714,21.34,1.0000012,17103,-113.75728285927613,0.010000011,8.829587,800,1.2438374,8,1.5633156,8.926391e-06,0.010000068,1.0,1.013279e-05,[ 0.876 -0.638 -0.829  0.374  0.144],100,0.9999951,1.0000068
-3.3530273,0.004699536,88.75035,81.34216,2.5576606,100.0,76.377396,137.7824785709381,9.098,0.0022721728,0.46995366,-0.15719453,20.47,0.981256,19150,-113.09998845339831,0.00981256,8.233713,900,1.2600552,9,1.5638,6.2561035e-06,0.029206695,1.3092879,0.18981567,[ 0.876 -0.638 -0.829  0.374  0.144],100,0.22721729,2.9206696
-3.6143112,0.06395781,88.61908,5.353165,2.761301,100.0,2.9809666,150.3033332824707,8.646034,0.00035016565,6.395781,2.4017506,20.14,1.5210583,21164,-112.49388830975475,0.015210586,1855.9812,1000,1.2756077,10,1.7038292,8.850097e-06,0.6351582,33.546165,4.0709844,[ 0.88  -0.623 -0.849  0.361  0.145],100,0.035016567,63.51582
-3.8695755,0.0031539642,88.508316,91.17702,2.8875682,100.0,92.07506,167.91340804100037,10.760315,0.0047611995,0.31539643,-0.22346094,19.93,1.0138927,23157,-111.87232729333016,0.010138926,11.838793,1100,1.3451494,11,1.72638,-2.5939942e-06,0.02308974,1.0860704,0.1503334,[ 0.843 -0.64  -0.936  0.34   0.285],100,0.47611994,2.308974
-3.8971176,0.011591413,88.61201,42.461838,2.7440164,100.0,33.306225,182.93171906471252,7.985527,0.0004569414,1.1591414,0.27526653,20.2,0.99576724,25177,-112.1547964921381,0.009957672,26.549997,1200,1.4602008,12,1.6965492,5.0354006e-06,0.06002442,3.0024416,0.7364988,[ 0.847 -0.612 -0.926  0.353  0.307],100,0.045694143,6.0024424
