Weights,InitialReturnMean,InitialReturnMin,MeanEntropy,MeanIWNorm,InitialReturnStd,TimeElapsed,MeanIW,ESSRenyi,ReturnStepMax,InitialBound,Bound,StdIWNorm,MinIWNorm,J_sample_variance,StdIW,MaxIWNorm,EpisodesSoFar,EmpiricalD2,ESSClassic,EpLenMean,EpRewMean,MaxIW,MinIW,Iteration,TimestepsSoFar,InitialReturnMax,EpThisIter,ReturnMeanIW,ReturnStepMaxmin
[ 0.911 -0.288 -0.586 -0.882  0.   ],1.0986329e-05,-7.197624,1.5857452,0.011780276,6.5082946,11.84636640548706,1.1780276,8.326842,100.0,140.86533,-1.4871461,0.019904193,0.00084188883,423.7667,1.9904193,0.17248759,100,12.009355,25.941574,20.43,-108.8235630534528,17.248758,0.084188886,1,2043,30.6531,100,2.0537481,88.47723
[ 0.891 -0.273 -0.588 -0.889  0.167],7.05719e-06,-6.9351654,1.716753,0.010463126,7.5383716,29.149084329605103,1.0463126,12.484989,100.0,157.16771,-2.1272175,0.015551313,0.00043558815,509.46698,1.5551314,0.10448918,200,8.009619,31.161589,20.61,-108.54121628678827,10.448918,0.043558817,2,4104,42.204678,100,1.854269,88.46887
[ 0.884 -0.273 -0.547 -0.894  0.298],-1.335144e-06,-8.346855,1.6699213,0.19307584,8.617141,46.10715937614441,19.30758,0.031444315,100.0,170.26628,132.16864,1.863994,4.0577606e-07,4502003.5,186.39937,18.73899,300,3180.225,1.0615294,21.98,-108.19778656559863,1873.899,4.0577608e-05,3,6302,42.27043,100,211.62788,89.15489
[ 0.825 -0.369 -0.443 -0.93   0.251],2.8991699e-06,-8.837242,1.5781347,0.051440567,11.0545435,66.18449711799622,5.144057,0.62900364,100.0,165.16777,189.16931,0.4229795,5.8728233e-07,4569855.5,42.297955,4.258861,400,158.9816,1.4574598,23.13,-107.65903550613918,425.88614,5.8728234e-05,4,8615,54.730663,100,212.17223,89.76303
[ 0.814 -0.487 -0.494 -0.896  0.159],-1.2969971e-06,-10.764626,1.6620617,0.008617106,12.237154,86.68014931678772,0.86171067,10.622519,100.0,156.12613,1.4469004,0.016997222,0.0003970041,4961.297,1.6997223,0.16289863,500,9.413963,20.446777,24.33,-107.66877226786559,16.289864,0.03970041,5,11048,50.619698,100,6.623976,90.14985
[ 0.868 -0.455 -0.53  -0.9    0.243],1.0681152e-06,-8.453514,1.7382789,0.056281567,7.931109,105.22064471244812,5.6281567,0.35625818,100.0,165.19688,25.67793,0.40549648,0.00015486787,223788.89,40.54965,4.035117,600,280.6953,1.8900411,22.25,-109.06844531176371,403.51172,0.015486788,6,13273,30.27861,100,42.58749,89.41872
[ 0.891 -0.519 -0.667 -0.93   0.319],-3.4332277e-07,-6.448105,1.8852851,0.008942764,7.206695,122.82205271720886,0.89427644,16.22208,100.0,172.2996,-3.7821922,0.009664637,0.0008258729,74.673,0.9664638,0.055749476,700,6.1644373,46.12633,20.46,-108.85383809203526,5.574948,0.08258729,7,15319,45.848255,100,0.012253076,88.51741
[ 0.889 -0.518 -0.66  -0.946  0.466],7.05719e-06,-8.236267,2.0561352,0.0072625135,7.232029,134.96731686592102,0.72625136,7.3660126,100.0,187.50014,-4.6665244,0.0072763893,0.0008102244,15.360557,0.7276389,0.04248396,800,13.575866,49.904568,20.96,-108.26288425123144,4.248396,0.08102244,8,17415,30.851864,100,-0.87735575,88.67738
[ 0.881 -0.522 -0.655 -0.944  0.637],-8.926391e-06,-8.472267,2.1835577,0.012488675,9.454298,150.00179767608643,1.2488675,8.613221,100.0,204.1898,0.46082354,0.039055075,0.00012952302,4948.6606,3.905507,0.39436778,900,11.610058,9.276763,24.06,-110.14729437299488,39.43678,0.012952302,9,19821,42.71157,100,5.311938,89.91269
[ 0.861 -0.525 -0.623 -0.997  0.764],-1.2626648e-05,-9.272614,2.3145845,0.01116877,9.036543,169.02427792549133,1.116877,16.545828,100.0,216.98065,-3.6884296,0.011972628,0.00045220973,166.4984,1.1972628,0.07107685,1000,6.0438194,46.530495,24.84,-109.92415152198683,7.107685,0.045220975,10,22305,41.253124,100,-0.30784836,90.14988
