InitialReturnMin,InitialReturnMean,MaxIW,ReturnStepMaxmin,Iteration,EmpiricalD2,J_sample_variance,StdIWNorm,InitialReturnStd,ReturnMeanIW,MinIW,MaxIWNorm,TimeElapsed,EpRewMean,TimestepsSoFar,Weights,EpThisIter,MeanEntropy,EntropyCoefficient,MeanIWNorm,MeanIW,ReturnStepMax,MinIWNorm,InitialBound,StdIW,ESSClassic,EpLenMean,InitialReturnMax,EpisodesSoFar,ESSRenyi,Bound
-2.51548,8.392334e-07,1.0000902,89.15846,1,1.0,2.5230143,3.1044206e-07,1.5804397,8.3222985e-06,0.99993473,0.010000902,6.947571516036987,-115.19138151004096,2125,[ 0.867 -0.5   -0.634  0.472  0.   ],100,1.4188708,,0.010000013,1.0000014,100.0,0.009999347,-0.18036008,3.1040545e-05,100.00001,21.25,5.4108276,100,100.0,-0.1803526
-3.3294296,6.1798096e-06,74.55597,89.71864,2,30.366266,1727.6967,0.074123874,2.0991542,4.113235,0.00029803446,0.7455597,17.070207357406616,-115.71660835165996,4376,[ 8.669e-01 -5.000e-01 -6.342e-01  4.722e-01 -1.152e-07],100,1.3947599,,0.015827142,1.5827142,100.0,2.9803446e-06,-0.18941417,7.4123874,4.360401,22.51,5.6826096,200,3.293128,3.0694232
-3.723999,6.8664554e-07,19.750467,89.33502,3,3.970608,57.603123,0.02027505,2.6322849,0.7647723,0.018154329,0.19750467,29.840795278549194,-113.98000497814346,6517,[ 0.898 -0.601 -0.729  0.4   -0.024],100,1.364484,,0.009590439,0.95904386,100.0,0.00018154328,-0.22408226,2.0275052,18.283623,21.41,6.7224884,300,25.18506,0.318256
-4.056671,5.41687e-06,768.0333,88.96874,4,1183.0973,56513.844,0.7639813,2.5785813,23.675865,1.3059832e-06,7.680333,42.72230505943298,-112.60500505763335,8580,[ 0.919 -0.55  -0.682  0.271 -0.054],100,1.3093717,,0.0791703,7.91703,100.0,1.3059832e-08,-0.24675238,76.398125,1.0624785,20.63,7.402733,400,0.0845239,15.18834
-3.5972824,1.6021728e-06,16.605625,87.464424,5,3.306146,279.66727,0.026354685,2.854775,2.6664562,0.002336213,0.16605625,56.971572160720825,-110.68807541387275,10392,[ 0.934 -0.479 -0.768  0.258 -0.11 ],100,1.1594039,,0.014827873,1.4827871,100.0,2.3362129e-05,-0.30074102,2.6354687,24.043886,18.12,9.022278,500,30.246698,2.1196218
-3.778534,3.1280517e-06,831.7736,87.62073,6,1362.8315,79120.49,0.8272882,2.7856543,27.669928,5.076723e-08,8.317736,67.77533054351807,-110.37712153353168,12229,[ 0.907 -0.519 -0.783  0.206 -0.259],100,0.95734483,,0.08670401,8.670402,100.0,5.076723e-10,-0.3047729,82.72885,1.0864763,18.37,9.14328,600,0.07337664,16.41865
-3.9172897,2.3651123e-06,294.52454,86.46346,7,140.19896,10340.438,0.29336235,2.5189226,9.481877,0.0002736781,2.9452453,80.3040292263031,-108.42890987920141,13890,[ 0.855 -0.457 -0.765  0.068 -0.462],100,0.877295,,0.03776658,3.776658,100.0,2.736781e-06,-0.37094924,29.336237,1.6303011,16.61,11.128548,700,0.71327204,5.089601
-4.552513,7.6293944e-08,955.18555,86.483955,8,197.16295,972396.1,0.94989336,3.1886437,97.98455,0.0023361617,9.551855,91.74196457862854,-108.12891561862263,15563,[ 0.883 -0.394 -0.739 -0.004 -0.542],100,0.8278293,,0.10091427,10.091427,100.0,2.3361616e-05,-0.34409964,94.989334,1.1160439,16.73,10.32299,800,0.5071947,93.152885
-4.5371246,3.8146973e-06,14.713564,86.918205,9,6.097273,147.95177,0.019593608,3.338582,1.4371393,0.004801071,0.14713563,103.60876297950745,-108.80770155116646,17297,[ 0.905 -0.363 -0.677  0.049 -0.591],100,0.7897111,,0.010489421,1.0489422,100.0,4.801071e-05,-0.4024453,1.959361,22.27569,17.34,12.073471,900,16.400774,0.44338566
-4.621071,6.1798096e-06,15.929903,86.71618,10,3.615763,26.347364,0.017116975,3.182819,0.70220494,0.06688637,0.15929903,117.0579571723938,-108.15870501125548,18999,[ 0.892 -0.362 -0.723  0.046 -0.629],100,0.7948967,,0.010238723,1.0238724,100.0,0.0006688637,-0.2848002,1.7116975,26.351328,17.02,8.544189,1000,27.656681,0.16064113
-4.8291473,3.1280517e-06,39.107468,86.57158,11,20.343452,622.66766,0.048210364,3.4988053,4.539629,0.0009523302,0.39107466,126.01993989944458,-107.85485804259626,20676,[ 0.872 -0.378 -0.701  0.01  -0.624],100,0.7723769,,0.014887218,1.488722,100.0,9.523302e-06,-0.35170773,4.8210363,8.705451,16.77,10.551323,1100,4.9155865,2.9532828
-4.310158,-2.5939942e-06,2.0276232,86.43013,12,1.1145085,12.533478,0.0036206867,3.1425533,0.080635846,0.3796299,0.020276232,136.41367745399475,-108.59225758897497,22349,[ 0.871 -0.4   -0.682  0.038 -0.647],100,0.771816,,0.009877065,0.98770666,100.0,0.003796299,-0.3646104,0.3620687,88.15409,16.73,10.938232,1200,89.72565,-0.3042816
-4.3027115,5.645752e-06,27.750706,86.70307,13,8.443765,240.04439,0.03336597,3.5393217,1.6656294,0.001641685,0.27750704,147.5267035961151,-108.42560820260907,24051,[ 0.872 -0.395 -0.687  0.037 -0.647],100,0.6704272,,0.012768553,1.2768551,100.0,1.641685e-05,-0.34219435,3.336597,12.773866,17.02,10.265999,1300,11.843059,0.6712594
-4.4476166,7.019043e-06,1.0000029,87.17662,14,1.0,10.786158,1.1596368e-08,3.267766,7.301569e-06,0.99999607,0.010000029,160.12199544906616,-109.0165863464727,25814,[ 0.922 -0.369 -0.633  0.062 -0.748],100,0.6704272,,0.01,1.0,100.0,0.009999961,-0.34965068,1.1624281e-06,100.0,17.63,10.489731,1400,100.0,-0.3496504
-4.325615,-4.5013426e-06,2.6263459,87.00578,15,1.1505094,13.692032,0.0036850949,3.3641016,0.10768035,0.35862118,0.026263459,170.49038696289062,-109.04987809818228,27564,[ 0.922 -0.369 -0.633  0.062 -0.748],100,0.6699163,,0.010075562,1.0075562,100.0,0.0035862117,-0.34999487,0.36850947,88.20132,17.5,10.49971,1500,86.91802,-0.26772562
-4.6207733,-5.569458e-06,5.260111,86.742805,16,2.0587254,16.389599,0.008790866,3.197979,0.537773,0.020900616,0.052601106,181.24995875358582,-108.40735208450627,29267,[ 0.924 -0.361 -0.637  0.063 -0.749],100,0.63526165,,0.009992299,0.9992299,100.0,0.00020900616,-0.29692817,0.8790865,56.37027,17.03,8.907677,1600,48.573746,0.11174083
-4.454506,1.6784668e-06,1.79564,87.02524,17,1.0522592,12.073799,0.002305208,3.2064557,0.10398696,0.57941103,0.0179564,189.31771516799927,-108.85691091140541,31015,[ 0.943 -0.324 -0.602  0.037 -0.784],100,0.633791,,0.010061798,1.0061798,100.0,0.0057941102,-0.33820993,0.2305208,95.01287,17.48,10.146347,1700,95.033615,-0.24294941
-4.5751343,-9.918213e-07,5.434945,86.99165,18,1.7028584,24.04271,0.007508313,3.3767517,0.424834,0.09692484,0.05434945,198.33061981201172,-108.4113223946208,32753,[ 0.942 -0.328 -0.607  0.03  -0.785],100,0.6358617,,0.0106152035,1.0615203,100.0,0.0009692484,-0.38276774,0.75083125,66.65346,17.38,11.483002,1800,58.72479,-0.074652135
-4.4634094,8.392334e-06,7.0438433,87.184235,19,2.3529165,59.359596,0.009027015,3.4504664,0.56221795,0.0887869,0.07043843,206.25372695922852,-108.85842879930544,34518,[ 0.942 -0.335 -0.595  0.035 -0.783],100,0.64598846,,0.009961821,0.99618196,100.0,0.000887869,-0.3595004,0.90270156,54.911015,17.65,10.785263,1900,42.500446,0.010759592
-4.5685577,-8.544922e-06,1.0,87.09202,20,1.0,10.64814,1.8626451e-09,3.246792,-8.493662e-06,1.0,0.01,216.53061747550964,-108.62729090183012,36272,[ 0.947 -0.328 -0.613  0.061 -0.773],100,0.64598846,,0.010000002,1.0,100.0,0.01,-0.30064556,,100.0,17.54,9.019112,2000,100.0,-0.30064556
-3.8826141,3.967285e-06,3.4137483,86.60043,21,1.765358,11.164896,0.0068230596,2.7272408,0.28703287,0.09382961,0.034137484,224.07336139678955,-108.82492145084521,37956,[ 0.947 -0.328 -0.613  0.061 -0.773],100,0.64504325,,0.009523214,0.95232147,100.0,0.0009382961,-0.32127318,0.682306,66.07973,16.84,9.638313,2100,56.645737,-0.13983762
-4.8528748,-2.4414062e-06,1.0000335,87.40245,22,1.0,11.199692,1.1683177e-07,3.32981,8.493662e-07,0.9999661,0.010000335,233.55450296401978,-108.49245141747036,39750,[ 0.945 -0.339 -0.603  0.064 -0.774],100,0.64504325,,0.009999998,0.99999976,100.0,0.009999661,-0.3165799,1.1682655e-05,99.99999,17.94,9.497322,2200,100.0,-0.31657654
-4.201195,6.866455e-06,1.0000736,87.1912,23,1.0,8.265713,2.8673603e-07,2.8605976,1.3768673e-05,0.99992627,0.0100007355,243.76874446868896,-109.3793861232609,41524,[ 0.945 -0.339 -0.603  0.064 -0.774],100,0.6450432,,0.010000007,1.0000007,100.0,0.009999262,-0.36125237,2.8667979e-05,100.0,17.74,10.837776,2300,100.0,-0.36124545
-4.1795044,5.0354006e-06,132.15198,86.68213,24,38.465317,15043.824,0.13157725,3.0073264,12.203594,0.001394918,1.3215197,252.609760761261,-108.472657946555,43214,[ 0.945 -0.339 -0.603  0.064 -0.774],100,0.6436494,,0.023137491,2.313749,100.0,1.3949179e-05,-0.30908084,13.157725,2.999473,16.9,9.272575,2400,2.5997446,10.286631
-4.405014,3.5095215e-06,5.006899,86.58513,25,1.7643363,24.816484,0.0091457805,3.443429,0.35076392,0.12370596,0.05006899,264.89810156822205,-108.26266637847058,44897,[ 0.896 -0.402 -0.636  0.033 -0.775],100,0.64307266,,0.010883085,1.0883087,100.0,0.0012370596,-0.34023827,0.914578,58.60924,16.83,10.2072525,2500,56.678535,-0.10117349
-3.8470383,7.93457e-06,1.0000509,86.823166,26,1.0,8.702194,2.746975e-07,2.93517,1.3627112e-05,0.9999116,0.010000509,274.8358836174011,-108.78410588030945,46610,[ 0.893 -0.411 -0.624  0.034 -0.776],100,0.64307266,,0.009999979,0.99999803,100.0,0.009999116,-0.31576228,2.7466489e-05,100.0,17.13,9.473106,2600,100.0,-0.31575662
