InitialReturnMean,EpisodesSoFar,J_sample_variance,StdIWNorm,ReturnStepMaxmin,TimestepsSoFar,ESSClassic,EpRewMean,ReturnStepMax,EpThisIter,MeanIW,StdIW,MinIWNorm,InitialReturnStd,MaxIWNorm,Iteration,InitialBound,InitialReturnMin,TimeElapsed,EpLenMean,Weights,ESSRenyi,Bound,MeanIWNorm,EntropyCoefficient,EmpiricalD2,ReturnMeanIW,InitialReturnMax,MeanEntropy,MinIW,MaxIW
-4.196167e-06,100,16.534145,0.006360839,86.68869,1736,69.38508,-107.7164208577093,100.0,100,0.9575932,0.6360839,0.0025116175,3.4973137,0.041588105,1,6.613182,-5.334259,4.618486166000366,17.36,[-0.718  0.851  0.951 -0.346  0.   ],66.75044,-0.45836875,0.009575932,4.950001,1.4981173,0.04373738,12.306763,1.4572097,0.25116175,4.1588106
-3.0517579e-06,200,18.08772,0.0042765266,86.71426,3460,84.56021,-107.81599250994486,100.0,100,1.0008143,0.4276527,0.0031370479,3.533298,0.03268907,2,6.6270986,-5.0258484,13.51289987564087,17.24,[-0.725  0.82   0.938 -0.35   0.038],85.7837,-0.3331059,0.010008142,4.8999996,1.1657226,0.22101673,15.396767,1.4686956,0.3137048,3.2689068
-5.569458e-06,300,41068.32,0.07193063,86.63838,5203,6.28672,-107.74260871799719,100.0,100,1.8630539,7.1930633,0.00016370956,4.535384,0.7124514,3,6.176557,-5.0394516,24.087308406829834,17.43,[-0.722  0.837  0.923 -0.369  0.05 ],7.0637574,14.765988,0.018630542,4.8500004,14.156772,18.327662,28.398354,1.4470886,0.016370956,71.24514
9.765625e-06,400,68102.09,0.5175041,85.96435,6803,1.3893155,-107.28984162986984,100.0,100,6.1426,51.750412,0.0001303486,2.636618,5.2047586,4,6.695199,-4.415428,34.74213004112244,16.0,[-0.768  0.737  0.98  -0.435  0.028],0.13120362,18.894928,0.061425995,4.799999,762.1741,25.819847,7.5250397,1.5892293,0.013034861,520.4759
-8.31604e-06,500,474361.53,0.26924834,86.84537,8540,2.117897,-108.49510381459284,100.0,100,3.9605343,26.924837,1.0077958e-06,3.607769,2.6971986,5,6.69785,-4.3105927,47.94139647483826,17.37,[-0.748  0.743  0.84  -0.394  0.17 ],1.356547,60.26839,0.03960534,4.75,73.716576,67.574776,25.529434,1.4687058,0.00010077959,269.71988
7.019043e-06,600,1597087.6,3.3091428,86.88314,10284,1.0286592,-107.43905949761793,100.0,100,33.73624,330.91437,1.5747664e-14,3.0238764,33.26165,6,6.5761814,-5.1289673,61.98173952102661,17.44,[-0.909  0.688  0.792 -0.566  0.05 ],0.018381964,102.70884,0.33736238,4.699999,5440.115,126.80832,9.802231,1.1179357,1.5747664e-12,3326.165
-5.8746336e-06,700,728519.0,0.52424383,86.821465,12023,1.4524198,-107.70047419968544,100.0,100,6.3643847,52.424393,4.459014e-07,4.6022635,5.272327,7,4.355517,-5.233467,74.7025876045227,17.39,[-0.936  0.838  0.844 -0.608 -0.301],0.33606902,69.25694,0.06364384,4.6499996,297.55792,83.79646,25.286324,0.9872247,4.4590142e-05,527.2327
6.713867e-06,800,19.489586,0.0019961528,86.431366,13691,96.05731,-107.28420969395893,100.0,100,0.9852862,0.19961527,0.0024400295,3.440524,0.016381424,8,3.8174558,-4.6327133,86.43585538864136,16.68,[-0.818  0.79   0.761 -0.604 -0.432],94.19311,-0.66371274,0.009852861,4.6000004,1.0616488,0.082048744,21.713547,1.0084757,0.24400297,1.6381423
2.0599366e-06,900,35.543255,0.0012995914,87.470566,15534,98.31567,-107.80836963484766,100.0,100,0.9928926,0.12995914,0.005669777,5.7054205,0.01296689,9,3.4375033,-5.484024,98.62741541862488,18.43,[-0.816  0.787  0.773 -0.596 -0.411],98.031235,-1.1195374,0.009928925,4.549999,1.0200831,0.043025583,34.53186,1.0119597,0.5669777,1.296689
7.095337e-06,1000,28136.646,0.065679096,87.307175,17332,6.795711,-107.51067890578096,100.0,100,1.7734816,6.5679097,3.890119e-05,5.185006,0.6459793,10,3.689764,-5.6681595,109.45457625389099,17.98,[-0.817  0.782  0.768 -0.601 -0.407],8.712192,13.981159,0.017734814,4.5,11.478168,16.908552,25.921852,0.9826662,0.0038901193,64.59793
-1.3046265e-05,1100,17.837568,5.1385905e-07,86.651985,19027,99.99998,-106.75092870130715,100.0,100,1.0000005,5.1384664e-05,0.009997987,4.2021165,0.010001896,11,3.5520043,-5.8495026,121.36882328987122,16.95,[-0.796  0.727  0.724 -0.646 -0.436],99.99989,-0.82082605,0.010000004,4.449999,1.0000011,2.014637e-05,24.625374,0.9826662,0.9997988,1.0001897
-1.0414124e-05,1200,346.94235,0.013105091,86.978424,20772,42.887806,-106.71887671325645,100.0,100,1.1356448,1.3105092,0.00080260425,5.016509,0.121120915,12,3.3998485,-5.3521957,129.27946138381958,17.45,[-0.796  0.727  0.724 -0.646 -0.436],53.433334,0.16231441,0.011356447,4.3999996,1.871491,1.426194,27.71616,0.967691,0.080260426,12.112092
7.6293946e-07,1300,69.6593,0.004922273,86.7993,22501,80.02497,-107.47187604353152,100.0,100,0.98522353,0.49222735,0.002587474,4.3548546,0.028746499,13,3.3492644,-5.2562256,141.74317359924316,17.29,[-0.832  0.735  0.708 -0.673 -0.451],79.21948,-0.33873755,0.009852234,4.3499985,1.2623158,0.6277112,25.805725,0.9677735,0.2587474,2.87465
7.3242186e-06,1400,984.22327,0.011917399,86.853676,24222,43.24072,-106.9847521696486,100.0,100,1.0401825,1.19174,0.00013899276,4.5898743,0.104837984,14,3.1724226,-4.9727325,152.63056802749634,17.21,[-0.82   0.749  0.716 -0.652 -0.451],48.117012,0.9912002,0.010401826,4.299999,2.078267,2.4169762,29.670296,0.9602109,0.013899276,10.483799
-3.6239624e-06,1500,363.2259,0.025725523,86.94872,25963,23.00153,-107.29341064505559,100.0,100,1.4060526,2.5725522,0.00046243917,4.8784275,0.18687694,15,3.108457,-5.6859894,166.02769088745117,17.41,[-0.791  0.725  0.68  -0.674 -0.459],31.052969,0.43484163,0.014060523,4.25,3.220304,2.1798973,29.173069,0.9929024,0.046243917,18.687695
-1.3046265e-05,1600,15174.013,0.058648538,87.00333,27705,5.4053845,-107.09988495674423,100.0,100,1.4019656,5.8648543,0.00020265377,4.3737135,0.5834259,16,3.4667273,-5.5978165,177.39458894729614,17.42,[-0.766  0.726  0.635 -0.669 -0.426],7.2257447,10.21251,0.014019656,4.200001,13.839404,12.829441,21.103516,1.0178876,0.020265378,58.34259
-2.5177003e-06,1700,12.774853,0.0054877847,86.18731,29331,79.36302,-107.15297520263567,100.0,100,1.0761758,0.5487785,0.0018635156,2.9242597,0.03240667,17,3.8213143,-4.2418594,187.8857479095459,16.26,[-0.704  0.694  0.581 -0.66  -0.401],75.02352,-0.26655525,0.010761758,4.1499996,1.3329153,0.19861938,12.087486,1.0344262,0.18635157,3.240667
-1.2359619e-05,1800,14.544707,0.0056461175,86.528305,31008,77.68136,-107.43792760608704,100.0,100,1.0533539,0.56461173,0.0018073758,3.082318,0.034888826,18,3.8611982,-4.5690155,197.83441162109375,16.77,[-0.717  0.675  0.568 -0.677 -0.384],69.93571,-0.20931989,0.0105335405,4.1000004,1.4298847,0.24500099,11.398125,1.0360602,0.18073758,3.4888828
5.0354006e-06,1900,2739.8704,0.021594567,87.11827,32770,25.201733,-107.13794289906599,100.0,100,1.2534702,2.159457,3.9800816e-05,5.047922,0.20961729,19,3.3187647,-5.497879,206.24639749526978,17.62,[-0.719  0.662  0.553 -0.665 -0.383],36.94423,3.64809,0.012534702,4.050001,2.7067828,5.0914264,26.318558,0.94460607,0.0039800815,20.96173
