MaxIW,StdIW,EpRewMean,InitialBound,InitialReturnMin,ReturnStepMax,EpLenMean,StdIWNorm,EmpiricalD2,InitialReturnStd,ReturnMeanIW,ESSRenyi,Iteration,MinIW,ESSClassic,MaxIWNorm,MeanIW,InitialReturnMax,J_sample_variance,TimestepsSoFar,Weights,Bound,EpisodesSoFar,EpThisIter,MeanEntropy,ReturnStepMaxmin,InitialReturnMean,MinIWNorm,MeanIWNorm,TimeElapsed
36.23242,3.6807134,-114.09164470450104,141.75276,-3.0504456,100.0,20.14,0.03680713,216.31908,1.4360125,1.1194248,0.4622801,1,0.03229271,8.976158,0.3623242,1.1558452,4.0299683,100.55964,2014,[0.865 0.619 0.341 0.65  0.   ],-0.8563061,100,100,1.642384,88.65788,6.866455e-06,0.00032292708,0.011558452,11.906834125518799
27.861324,3.397709,-113.91575056299229,164.11787,-3.040947,100.0,19.47,0.03397709,304.42526,1.4878408,0.84833145,0.32848784,2,0.04792809,11.444047,0.27861324,1.2214259,3.6157532,65.983315,3961,[0.869 0.628 0.334 0.649 0.223],-1.254565,200,100,1.8689796,88.29809,-6.8664554e-07,0.0004792809,0.012214257,28.527539014816284
31.256903,3.429967,-117.4106192846639,186.76784,-3.1074753,100.0,22.84,0.034299668,275.13943,1.4652704,0.43569618,0.36345208,3,0.019902932,11.934571,0.31256902,1.262672,3.9039154,31.375315,6245,[0.871 0.638 0.343 0.642 0.45 ],-1.7228212,300,100,2.0838308,89.71886,-2.1362305e-06,0.00019902931,0.012626721,44.91069674491882
7.482558,0.97160476,-118.16237161838907,208.253,-2.9471207,100.0,23.29,0.009716048,200.82707,1.413127,0.11347005,0.49794084,4,0.011849878,32.694042,0.07482558,0.6771692,3.9023514,2.5849295,8574,[0.871 0.639 0.346 0.639 0.665],-1.7299159,400,100,2.2992477,89.76174,-4.9591063e-06,0.00011849878,0.0067716907,61.662309408187866
17.183401,2.2332718,-117.70926251319398,229.71724,-3.2322922,100.0,22.99,0.022332719,116.026794,1.6497059,0.34404987,0.8618699,5,0.024365682,13.88063,0.171834,0.8965939,6.2258606,11.910743,10873,[0.871 0.638 0.349 0.638 0.88 ],-1.8913605,500,100,2.5073338,89.5159,-4.8065185e-06,0.00024365682,0.00896594,76.78957843780518
12.320618,1.3409641,-118.9461337087498,250.55748,-3.190117,100.0,24.2,0.013409641,84.94755,1.6503521,-0.012638696,1.177197,6,0.013358578,25.625622,0.123206176,0.7871232,5.2763824,4.5573344,13293,[0.872 0.642 0.352 0.632 1.088],-1.6336664,600,100,2.6797159,90.08309,-1.9073486e-06,0.00013358578,0.007871231,93.16549873352051
11.151645,1.4501284,-119.67603838814837,267.71008,-2.4300537,100.0,25.03,0.014501284,66.540245,1.8626364,0.22951624,1.5028499,7,0.004412848,21.962841,0.111516446,0.76930755,7.845436,10.410307,15796,[0.872 0.644 0.356 0.631 1.261],-1.9037156,700,100,2.871087,90.22925,4.043579e-06,4.412848e-05,0.007693076,109.8743851184845
37.945297,3.8064775,-122.60207808378937,286.88696,-2.918602,100.0,27.72,0.038064774,100.44842,1.8404125,0.23820294,0.99553585,8,0.034986578,9.278689,0.37945297,1.2173401,6.651886,5.6148767,18568,[0.874 0.649 0.361 0.627 1.452],-1.9840583,800,100,3.0464597,90.90053,-1.1825561e-05,0.00034986576,0.012173401,128.55759286880493
6.5634036,0.8519848,-123.84903614761774,304.1696,-3.581276,100.0,30.18,0.008519849,19.671099,2.961997,0.114618786,5.0836,9,0.05555975,44.994774,0.065634035,0.77056783,14.291145,10.1414,21586,[0.875 0.652 0.365 0.622 1.627],-1.9981897,900,100,3.1952918,91.208984,-2.1362305e-06,0.0005555975,0.0077056778,146.50129532814026
9.742987,1.6361506,-124.21438766853265,319.3496,-2.9518585,100.0,29.38,0.016361503,121.62276,1.672601,0.17516607,0.82221454,10,0.027474428,28.613039,0.097429864,1.0358474,5.387184,19.278524,24524,[0.875 0.653 0.37  0.619 1.776],-1.8052115,1000,100,3.3852072,91.51609,2.2888185e-06,0.00027474426,0.010358471,163.51287865638733
8.170378,1.0791128,-123.26987584426304,338.18048,-3.4295197,100.0,29.69,0.010791127,60.00909,2.793708,0.18505783,1.6664141,11,0.015472432,30.619389,0.081703775,0.71687925,10.207245,20.078585,27493,[0.874 0.653 0.372 0.617 1.966],-2.4506412,1100,100,3.5660472,91.373856,1.1138916e-05,0.00015472432,0.0071687927,181.64869856834412
4.115665,0.8917643,-126.02020787886067,356.37305,-3.2999802,100.0,32.03,0.008917642,75.0888,2.1292691,0.07692897,1.3317566,12,0.024183054,45.169727,0.04115665,0.80940074,6.949257,9.731962,30696,[0.874 0.653 0.373 0.612 2.146],-1.9303359,1200,100,3.7305331,92.095535,-4.4250487e-06,0.00024183052,0.008094007,204.79292488098145
21.032526,2.7094724,-126.06860443970909,372.64212,-3.752121,100.0,32.48,0.027094724,43.98097,2.9154613,0.98276687,2.2737107,13,0.03396463,12.904997,0.21032526,1.0429586,12.336067,80.011375,33944,[0.873 0.653 0.374 0.612 2.312],-1.7442503,1300,100,3.8857107,92.01511,-6.8664554e-07,0.0003396463,0.010429585,224.66946578025818
3.0814419,0.6659026,-126.21666854280362,388.15182,-4.171051,100.0,33.45,0.0066590263,25.22274,3.1627483,-0.34491688,3.9646764,14,0.010134197,53.408775,0.030814419,0.7129596,12.577591,5.5927043,37289,[0.872 0.652 0.374 0.611 2.467],-2.4504998,1400,100,4.030997,92.24746,-4.4250487e-06,0.00010134197,0.007129595,244.78124976158142
10.484146,1.3767402,-130.66610870563974,402.59152,-4.9898224,100.0,38.45,0.013767401,29.684282,3.7194345,0.1843363,3.368786,15,0.04390579,30.96791,0.104841456,0.92210937,15.244446,17.682507,41134,[0.872 0.652 0.376 0.608 2.612],-2.5842223,1500,100,4.171568,92.98082,8.087158e-06,0.0004390579,0.009221095,268.18923687934875
33.529316,3.616852,-127.34048287129731,416.7136,-5.0876617,100.0,35.51,0.036168516,36.54897,3.9504375,-0.09499955,2.7360554,16,0.045136258,12.233059,0.33529314,1.3503078,13.296837,177.05354,44685,[0.871 0.651 0.374 0.606 2.752],-2.7745667,1600,100,4.32003,92.40154,6.1798096e-06,0.00045136258,0.013503078,291.8221683502197
7.447428,1.0704082,-133.89596593090627,431.16788,-6.2356186,100.0,43.79,0.0107040815,4.246589,4.916673,0.15340042,23.548311,17,0.14061993,48.77471,0.07447428,1.0444905,25.054031,33.52601,49064,[0.87  0.651 0.375 0.604 2.901],-1.5675824,1700,100,4.4098663,93.60445,-3.1280517e-06,0.0014061993,0.010444905,317.4665858745575
13.373585,1.6268936,-130.92836673021617,440.3169,-5.1871643,100.0,39.6,0.016268935,22.758389,4.5943546,0.08449153,4.3939843,18,0.03772654,25.127699,0.13373585,0.942486,20.09185,42.48887,53024,[0.87  0.65  0.376 0.602 2.99 ],-3.110498,1800,100,4.549656,92.873634,4.348755e-06,0.0003772654,0.009424858,342.1843547821045
10.22192,1.4417639,-132.66710919348552,454.3643,-5.8710403,100.0,42.51,0.014417637,13.696209,4.642127,-0.77454287,7.3012905,19,0.016130071,28.254595,0.102219194,0.90477705,18.038872,16.051449,57275,[0.869 0.65  0.377 0.599 3.13 ],-2.9998415,1900,100,4.674737,93.299194,-9.918213e-07,0.0001613007,0.009047769,368.41317534446716
8.0231695,1.152708,-129.40756758713476,466.9384,-5.790756,100.0,38.58,0.01152708,15.167107,4.6604843,-0.5963654,6.5932155,20,0.03178445,41.93945,0.0802317,0.9796933,16.05925,23.560982,61133,[0.868 0.649 0.377 0.597 3.255],-2.681122,2000,100,4.803622,92.823616,2.5177003e-06,0.00031784447,0.009796933,391.75694370269775
14.653385,2.275605,-138.8163036688922,479.66205,-5.7595367,100.0,49.25,0.022756048,17.456694,5.4260054,3.2683642,5.7284617,21,0.028480936,22.699781,0.14653385,1.2331539,21.003922,583.78314,66058,[0.867 0.649 0.377 0.595 3.384],0.34313345,2100,100,4.9169283,93.82082,2.9754638e-06,0.00028480936,0.012331541,419.3056056499481
10.728578,1.607454,-135.01769568609575,490.4297,-8.1742325,100.0,48.58,0.01607454,5.5416307,7.4635844,-1.6091156,18.045229,22,0.012397142,35.340836,0.107285775,1.188398,37.894222,86.3943,70916,[ 0.759  0.65  -0.16   0.057  3.497],-4.5826335,2200,100,5.0224214,93.509796,-2.4032593e-06,0.00012397142,0.0118839815,448.2384126186371
11.889147,1.5937082,-137.09625330478295,501.05045,-7.205513,100.0,49.3,0.01593708,7.775944,6.394522,0.93014425,12.860174,23,0.041132994,31.795807,0.11889146,1.0881485,35.75065,462.07825,75846,[ 0.758  0.649 -0.159  0.054  3.603],-2.3929238,2300,100,5.132811,93.86065,2.5177003e-06,0.00041132994,0.010881484,477.8037099838257
4.9165874,0.9993304,-133.8047146087148,512.531,-7.657036,100.0,46.28,0.009993304,11.590601,6.172874,-0.25804186,8.627681,24,0.036554225,46.745987,0.04916587,0.9362785,22.502914,69.9185,80474,[ 0.757  0.649 -0.159  0.049  3.714],-2.8117454,2400,100,5.2497673,93.57738,-7.5531007e-06,0.00036554225,0.009362784,501.04194021224976
10.673698,1.1746566,-135.5752578861727,524.18805,-7.2242203,100.0,48.0,0.011746566,10.60627,5.793646,-1.388643,9.428386,25,0.02133381,34.906994,0.10673698,0.8602011,23.66056,83.089554,85274,[ 0.756  0.648 -0.16   0.047  3.83 ],-3.9571757,2500,100,5.3584785,93.772644,-2.2888185e-06,0.00021333809,0.008602011,529.8824353218079
