Bound,MaxIWNorm,MaxIW,InitialReturnMin,EpisodesSoFar,InitialReturnStd,ESSRenyi,ReturnStepMaxmin,EmpiricalD2,ESSClassic,InitialReturnMean,EntropyCoefficient,Iteration,TimestepsSoFar,MeanEntropy,ReturnStepMax,EpThisIter,MeanIWNorm,EpLenMean,TimeElapsed,InitialBound,StdIWNorm,MeanIW,MinIWNorm,InitialReturnMax,Weights,ReturnMeanIW,J_sample_variance,StdIW,MinIW,EpRewMean
-0.36260614,0.09555135,9.555135,-2.565277,100,2.49757,32.852646,94.57265,3.043895,42.459415,-1.0681152e-06,9.900002,1,5578,1.4999971,100.0,100,0.010929925,55.78,17.837123155593872,13.742168,0.012723814,1.0929927,0.0011252194,9.139626,[ 0.74  -1.049  0.227  0.317  0.   ],0.16891673,16.876057,1.2723814,0.11252195,-151.3689476386113
-0.34829098,0.030085316,3.0085316,-2.9222946,200,2.5850494,62.761948,94.99051,1.5933222,66.98171,1.7623901e-05,9.799999,2,11909,1.523395,100.0,100,0.0097002005,63.31,47.98059439659119,14.4294615,0.006810513,0.97002,0.0015041718,8.115822,[ 0.739 -1.051  0.22   0.336  0.081],-0.0068127215,8.239786,0.68105125,0.15041718,-158.5756455577497
0.9953544,0.35831618,35.83162,-2.8826065,300,2.7364,5.7845016,95.123825,17.287575,10.34217,7.019043e-06,9.700001,3,18511,1.6183497,100.0,100,0.01277373,66.02,79.17672777175903,14.515404,0.037610233,1.2773731,0.00037178758,7.846039,[ 0.725 -1.063  0.2    0.326  0.104],2.0827718,401.61877,3.761023,0.03717876,-160.96272331020347
2.0046358,0.2988696,29.886961,-2.916893,400,2.573266,8.4865055,94.9382,11.783413,8.84002,-8.621216e-06,9.599998,4,24708,1.5794607,100.0,100,0.011393266,61.97,106.75676536560059,15.241814,0.03658674,1.1393266,4.444533e-05,8.829971,[ 0.751 -1.056  0.209  0.26   0.199],3.0149899,736.754,3.658674,0.004444533,-156.83959588628062
0.21462417,0.25993893,25.993893,-3.3144684,500,2.9958959,10.29011,95.2849,9.718069,15.59717,-1.3198853e-05,9.5,5,31663,1.6639061,100.0,100,0.012887776,69.55,137.35390162467957,14.710206,0.029980138,1.2887776,0.00016431691,8.839722,[ 0.713 -1.136  0.175  0.205  0.161],1.1331837,187.59389,2.9980135,0.016431691,-163.96749095988642
9.664082,2.9815094,298.15094,-3.3586655,600,2.9304347,0.57730377,95.50665,173.21904,1.9272867,-5.722046e-06,9.399998,6,39202,1.6880782,100.0,100,0.04161211,75.39,174.49160718917847,15.308267,0.29683873,4.1612105,1.2791725e-05,9.973236,[ 0.663 -1.156  0.168  0.229  0.245],14.039431,19229.506,29.683868,0.0012791725,-169.37679776365349
-0.26933876,0.028030576,2.8030577,-4.242317,700,3.7912607,69.96985,95.7881,1.429187,79.44327,-2.2888183e-07,9.299999,7,47578,1.7115363,100.0,100,0.0092244735,83.76,207.99641251564026,15.322731,0.004692347,0.92244744,0.00223234,11.291817,[ 0.582 -1.197  0.13   0.1    0.269],0.18063492,14.846243,0.4692347,0.223234,-176.3940933774901
0.9806653,0.27797773,27.797773,-4.252762,800,3.2269037,11.856276,96.01781,8.434352,17.825054,-2.670288e-06,9.200001,8,56888,1.7759403,100.0,100,0.014274716,93.1,246.8089623451233,15.393256,0.030649383,1.4274716,0.000413073,10.586273,[ 0.575 -1.203  0.115  0.075  0.293],2.0054855,148.46686,3.0649383,0.0413073,-185.37136928206996
2.1149197,0.28998005,28.998007,-5.1207275,900,4.1027737,5.109484,96.17467,19.571447,9.410663,-1.8310546e-06,9.099998,9,66758,1.7739875,100.0,100,0.010523703,98.7,293.23155188560486,15.675599,0.032651044,1.0523704,2.3536479e-05,14.563614,[ 0.553 -1.199  0.077  0.081  0.357],4.2625494,1795.2765,3.2651048,0.002353648,-188.78020917303846
0.2980821,0.048804265,4.8804264,-5.054634,1000,3.7806554,54.227932,95.87511,1.8440682,60.025753,6.1035157e-06,9.0,10,75330,1.7622643,100.0,100,0.009474174,85.72,332.7029721736908,15.594872,0.0077314787,0.94741744,0.0016005255,11.130638,[ 0.568 -1.198  0.142  0.053  0.355],0.80191594,48.306118,0.7731478,0.16005255,-176.79303582249435
