EmpiricalD2,EpRewMean,ReturnStepMax,InitialReturnMin,EpLenMean,ReturnMeanIW,Bound,MeanIWNorm,EpisodesSoFar,MinIWNorm,ESSRenyi,ESSClassic,EpThisIter,MinIW,MaxIW,Weights,TimeElapsed,StdIWNorm,MeanEntropy,InitialBound,ReturnStepMaxmin,InitialReturnMean,MaxIWNorm,EntropyCoefficient,MeanIW,InitialReturnMax,TimestepsSoFar,J_sample_variance,Iteration,InitialReturnStd,StdIW
3.1454422,-108.8235630534528,100.0,-7.197624,20.43,4.426622,2.6144726,0.011803502,100,0.00018288217,31.792032,35.90902,100,0.018288217,13.00655,[ 0.911 -0.288 -0.586 -0.882  0.   ],6.997526168823242,0.015769124,1.4941835,-1.021759,88.47723,1.0986329e-05,0.1300655,,1.1803502,30.6531,2043,1713.8363,1,6.5082946,1.5769123
1.6222115,-108.43663699793866,100.0,-7.0454407,20.46,2.507762,0.5779526,0.010232979,200,0.0021998116,61.644245,59.444256,100,0.21998116,7.1961274,[ 0.839 -0.245 -0.595 -0.901  0.075],19.223283767700195,0.00845227,1.5559752,-1.5151633,88.49313,4.348755e-06,0.071961276,,1.0232979,45.455025,4089,1095.6924,2,7.057157,0.84522694
4.0283604,-108.08906626203009,100.0,-7.6642227,21.27,4.1190567,1.0645988,0.0104886005,300,0.0004758261,24.823996,22.25495,100,0.04758261,15.650921,[ 0.934 -0.285 -0.604 -0.949  0.137],32.47088122367859,0.019603815,1.5457395,-1.521856,88.90362,-1.2397766e-05,0.1565092,,1.0488601,45.655304,6216,2819.99,3,9.4050665,1.9603816
17.07274,-107.72684193364756,100.0,-6.361519,18.61,32.131836,28.222904,0.022455063,400,2.0000884e-06,5.8572903,3.5081894,100,0.00020000884,117.7065,[ 0.933 -0.233 -0.577 -1.007  0.127],45.30106520652771,0.11776546,1.4101448,-0.9460343,87.702705,-9.918213e-07,1.1770649,,2.2455063,28.380997,8077,111715.17,4,6.104267,11.776546
1.7178284,-107.68680543813454,100.0,-7.4763565,20.84,1.8112429,0.13325202,0.011981029,500,0.00039332412,58.21303,46.390217,100,0.039332412,11.408339,[ 0.858 -0.168 -0.52  -1.073 -0.009],60.913021087646484,0.0128796175,1.4169055,-1.2802685,88.86956,-4.0817263e-06,0.11408338,,1.1981031,38.407936,10161,370.51712,5,8.5729475,1.2879618
67.72813,-107.05173727302392,100.0,-7.032158,20.31,188.6618,174.40417,0.052301146,600,1.6486173e-06,1.4764915,1.9836575,100,0.00016486173,363.69604,[ 0.862 -0.169 -0.483 -1.109 -0.002],73.83633351325989,0.36764365,1.325209,-1.7324594,88.458626,-5.340576e-07,3.6369603,,5.230115,51.973763,12192,3573414.5,6,9.087372,36.76437
364.67908,-107.47184973690322,100.0,-8.718323,21.01,91.69991,61.351105,0.058425378,700,3.2333955e-07,0.2742137,1.2908455,100,3.2333955e-05,513.94385,[ 0.855 -0.222 -0.468 -1.048 -0.094],88.23214340209961,0.5109085,1.1892008,-1.5892209,88.89972,7.019043e-06,5.139438,,5.8425384,47.676834,14293,890189.2,7,8.489439,51.09086
3.7176135,-107.20090170980141,100.0,-8.911301,22.05,7.005842,3.3305497,0.010687551,800,0.00013105704,26.898977,25.999006,100,0.0131057035,16.7854,[ 0.97  -0.263 -0.527 -1.146 -0.23 ],102.42937278747559,0.01803095,1.2021649,-1.9061573,89.27657,4.997253e-06,0.167854,,1.0687551,57.18486,16498,5777.799,8,11.397936,1.8030949
1.1443859,-107.51816789779897,100.0,-8.818733,22.52,0.69936013,-1.2255803,0.010148594,900,0.0025808166,87.38311,89.05772,100,0.25808167,2.8892093,[ 0.896 -0.29  -0.549 -1.141 -0.217],116.32723689079285,0.0035573307,1.2043134,-1.7994157,89.451355,-1.7929077e-06,0.028892092,,1.0148594,53.982414,18750,212.28282,9,10.679191,0.35573307
2.379165,-106.98484464264588,100.0,-8.091797,21.34,6.189252,4.0158634,0.010580567,1000,6.103871e-05,42.031555,37.001575,100,0.006103871,12.048294,[ 0.887 -0.299 -0.571 -1.131 -0.215],127.39345240592957,0.013805866,1.1305904,-1.4090412,88.984085,4.196167e-06,0.12048294,,1.0580568,42.27137,20884,2897.6174,10,9.85436,1.3805866
