EntropyCoefficient,EmpiricalD2,EpLenMean,MaxIW,MinIW,MeanIWNorm,EpRewMean,EpThisIter,Weights,ReturnStepMaxmin,ESSClassic,InitialReturnMin,InitialReturnMax,ReturnStepMax,TimestepsSoFar,InitialReturnMean,MaxIWNorm,StdIWNorm,StdIW,EpisodesSoFar,Iteration,MinIWNorm,MeanEntropy,J_sample_variance,InitialReturnStd,Bound,MeanIW,TimeElapsed,ESSRenyi,InitialBound,ReturnMeanIW
9.900002,5.7905583,21.25,2.5928257,0.09969263,0.006818235,-115.19138151004096,100,[ 0.867 -0.5   -0.634  0.472  0.   ],89.15846,65.59555,-2.51548,5.4108276,100.0,2125,8.392334e-07,0.025928255,0.0049378993,0.49378994,100,1,0.0009969262,1.5729235,1.0595971,1.5804397,-0.4836607,0.6818237,4.447118759155273,17.269491,13.866464,-0.04964771
9.799999,7.499688,23.01,12.542966,0.052808646,0.010177076,-116.21726645412967,100,[ 0.866 -0.499 -0.644  0.459  0.154],89.898544,23.121548,-3.3390503,5.663994,100.0,4426,1.9836425e-06,0.12542966,0.018557386,1.8557386,200,2,0.00052808644,1.6770076,55.5821,2.2024417,0.5045606,1.0177075,15.790834665298462,13.333888,15.225852,1.0215994
9.700001,6.130037,22.54,6.047162,0.01668988,0.010296187,-115.96173071543771,100,[ 0.905 -0.438 -0.645  0.414  0.258],89.65469,44.51569,-2.756401,6.1016235,100.0,6680,-2.2125244e-06,0.06047162,0.011494894,1.1494894,300,3,0.0001668988,1.8165741,21.682148,2.0083797,-0.08011532,1.0296187,28.667311906814575,16.313116,16.063585,0.42344987
9.599998,2.080348,24.66,4.220582,0.13354617,0.008875677,-117.8753250238846,100,[ 0.886 -0.485 -0.658  0.401  0.398],90.43699,64.73081,-3.4226913,7.0710297,100.0,9146,8.392334e-07,0.042205818,0.006551546,0.6551546,400,4,0.0013354617,1.9036348,6.850332,2.3617327,-0.6420052,0.88756776,41.792187213897705,48.068882,17.203407,-0.30204397
9.5,1.8615074,23.64,3.486808,0.21864772,0.00840176,-116.6880131015374,100,[ 0.891 -0.49  -0.662  0.339  0.484],89.87754,72.09991,-3.6436386,7.889946,100.0,11510,7.705688e-06,0.03486808,0.005226435,0.5226435,500,5,0.0021864772,1.9804289,6.597751,2.5854535,-0.10152677,0.8401759,56.17178773880005,53.719906,17.821539,0.25730026
9.399998,3.954712,23.05,6.9478226,0.13153662,0.008640715,-115.90437909877267,100,[ 0.891 -0.489 -0.697  0.309  0.561],89.86415,40.905613,-3.911705,7.636116,100.0,13815,-3.2043456e-06,0.06947822,0.0103855925,1.0385592,600,6,0.0013153661,2.1015332,22.66754,2.8715153,-0.3365289,0.8640715,66.94460487365723,25.286291,18.361488,0.16965543
9.299999,2.9936025,23.42,11.950803,0.09276629,0.010364145,-116.7561110401166,100,[ 0.863 -0.543 -0.697  0.302  0.682],89.85293,35.706196,-3.9572906,9.59774,100.0,16157,4.348755e-06,0.11950803,0.013907411,1.3907411,700,7,0.0009276629,2.200597,6.5476,2.5643241,-0.511343,1.0364146,80.06866192817688,33.404568,19.224337,0.04219164
9.200001,64.43459,23.17,91.092865,0.0002511014,0.02486302,-116.31242519240223,100,[ 0.876 -0.513 -0.735  0.271  0.781],89.701195,5.099243,-3.608261,8.745552,100.0,18474,-2.0599366e-06,0.9109286,0.10725949,10.72595,800,8,2.511014e-06,2.1958675,2986.8892,2.5909474,4.07164,2.4863017,92.00435209274292,1.5519614,19.953974,6.4116917
9.099998,2.6828089,23.6,3.5139656,0.043785553,0.008955071,-116.49906905941967,100,[ 0.963 -0.407 -0.809  0.514  0.777],89.66285,63.66746,-3.390236,11.64859,100.0,20834,1.7547608e-06,0.035139654,0.006764848,0.6764848,900,9,0.00043785552,2.3045552,18.08435,2.6011622,-0.560445,0.89550704,105.34743213653564,37.274364,19.594107,0.07554014
9.0,3.1076021,23.96,3.928121,0.111449115,0.008783599,-116.87666956882563,100,[ 0.942 -0.439 -0.822  0.454  0.885],90.131065,60.859768,-3.3973694,8.55938,100.0,23230,-1.2435913e-05,0.03928121,0.0070439954,0.70439947,1000,10,0.0011144911,2.4276276,6.0209494,2.4778874,-0.7208487,0.87836,118.40224146842957,32.179153,20.455671,-0.21788833
8.899998,1.8695352,22.74,4.152054,0.13993694,0.00908358,-116.13660312222206,100,[ 0.927 -0.444 -0.853  0.456  1.008],89.60944,65.86445,-3.2479706,7.7166977,100.0,25504,-3.3569336e-06,0.041520536,0.0065393555,0.65393555,1100,11,0.0013993693,2.523919,4.2765536,2.3766372,-0.6362285,0.908358,128.72291922569275,53.48923,21.348652,-0.2845247
8.799999,180.21333,22.75,247.53899,6.2398125e-05,0.033350706,-115.62730970223454,100,[ 0.914 -0.446 -0.875  0.407  1.105],89.341255,1.7798703,-4.35981,9.295334,100.0,27779,-8.850097e-06,2.4753897,0.24774848,24.774849,1200,12,6.2398124e-07,2.3490725,39080.46,3.2047598,15.767021,3.3350701,140.25515961647034,0.5548979,21.900633,19.926483
8.699997,3.3036213,19.89,7.471742,0.12516856,0.009445116,-111.581471873279,100,[ 0.8   -0.356 -0.951  0.033  0.93 ],88.28557,45.196136,-4.586258,10.486916,100.0,29768,-2.5939942e-06,0.07471742,0.010400693,1.0400693,1300,13,0.0012516855,2.4897203,17.409405,3.4553988,-0.7705977,0.94451165,152.88698959350586,30.269814,20.087358,-0.1352351
8.599998,82.07799,20.14,114.84087,0.013038951,0.01716057,-112.3424361296899,100,[ 0.787 -0.363 -0.953 -0.004  1.07 ],88.34845,2.221965,-4.4419327,9.443878,100.0,31782,-3.5858154e-06,1.1484088,0.11383708,11.383707,1400,14,0.00013038951,2.5977488,9064.974,3.1696079,6.4520283,1.716057,165.0362389087677,1.2183535,21.09679,9.303982
8.5,2.1706665,21.57,4.039563,0.16568995,0.009309956,-114.21870315619,100,[ 0.679 -0.529 -0.942 -0.21   1.179],88.87418,64.99606,-3.8975906,9.725777,100.0,33939,-1.3122559e-05,0.040395632,0.00683223,0.683223,1500,15,0.0016568995,2.708455,13.568487,3.2247512,-0.64209545,0.93099564,178.67979073524475,46.0688,21.756659,-0.16445667
8.400002,4.0034747,22.09,28.23232,0.008183663,0.010437771,-114.15078621276636,100,[ 0.648 -0.548 -0.954 -0.28   1.289],88.87705,12.089586,-4.8272247,17.79795,100.0,36148,5.722046e-06,0.2823232,0.028146364,2.814636,1600,16,8.1836624e-05,2.7475853,188.42702,3.9691474,0.31926394,1.0437771,187.89233827590942,24.978302,22.157766,1.5063093
8.299999,7.461422,24.14,24.678593,0.035482462,0.0112612005,-113.86074477127515,100,[ 0.502 -0.541 -0.859 -0.531  1.328],89.888954,16.615406,-6.570511,22.394554,100.0,38562,1.0681152e-06,0.24678592,0.025227373,2.5227373,1700,17,0.00035482462,2.712958,3072.96,5.4087725,3.5714402,1.12612,199.5434889793396,13.402271,22.058472,5.6105094
8.200001,287.55707,28.66,324.18286,0.0088681895,0.039222,-113.35674723956885,100,[ 0.523 -0.395 -0.637 -0.778  1.294],91.23069,1.4616318,-9.8897705,29.834167,100.0,41428,9.231568e-06,3.2418284,0.32204264,32.20426,1800,18,8.8681896e-05,2.8863654,447985.5,8.345343,50.470757,3.9222,213.98312616348267,0.34775707,21.251795,67.334526
