ReturnMeanIW,EntropyCoefficient,StdIW,TimeElapsed,ReturnStepMax,InitialReturnMax,MaxIWNorm,Weights,InitialReturnStd,EmpiricalD2,MaxIW,MeanIWNorm,ReturnStepMaxmin,MinIW,MeanEntropy,EpRewMean,InitialBound,MeanIW,Iteration,J_sample_variance,ESSRenyi,InitialReturnMean,TimestepsSoFar,EpisodesSoFar,EpThisIter,ESSClassic,MinIWNorm,StdIWNorm,Bound,EpLenMean,InitialReturnMin
11.454432,8.400002,2.710213,229.64647364616394,100.0,49.984043,0.26487964,[ 1.063 -0.424 -0.303 -1.1   -0.115],12.354591,6.729885,26.487965,0.011348082,89.720894,0.00831109,1.3142104,-106.66682325499688,9.291571,1.1348082,16,15118.392,14.859095,-2.9373168e-06,38221,1600,100,14.916988,8.31109e-05,0.02710213,7.132141,22.99,-10.428116
3.6317513,8.299999,0.6394735,244.63456797599792,100.0,62.10884,0.06176091,[ 1.061 -0.454 -0.364 -1.12  -0.105],12.180731,1.3439932,6.176091,0.009654424,90.309975,0.2935253,1.3527615,-106.85473042553951,8.837648,0.96544236,17,1608.0259,74.405136,-2.632141e-06,40669,1700,100,69.50597,0.002935253,0.0063947346,1.2316439,24.48,-10.272743
295.77945,8.200001,131.12544,259.2114460468292,100.0,42.115982,13.183899,[ 1.078 -0.477 -0.385 -1.112 -0.066],8.859886,2923.6028,1318.3899,0.13856089,89.45836,6.1479755e-06,1.1676949,-107.59555420945532,9.688778,13.856091,18,8668233.0,0.03420437,-1.2588501e-06,42883,1800,100,1.1042947,6.147975e-08,1.3112541,219.87192,22.14,-9.087776
21.308378,8.100002,4.7128277,278.013530254364,100.0,61.976192,0.38999987,[ 0.991 -0.562 -0.373 -1.151 -0.251],16.096579,14.539939,38.99999,0.01519917,91.340126,0.001689831,1.1359543,-106.39574298838956,7.3924656,1.519917,19,31825.527,6.877608,7.5531007e-06,45661,1900,100,9.421139,1.689831e-05,0.047128275,13.430942,27.78,-12.107269
76.57233,8.0,37.5319,292.63317489624023,100.0,57.753292,3.7781363,[ 0.977 -0.558 -0.399 -1.1   -0.283],13.394756,130.2121,377.81363,0.044198293,90.4563,0.0019910154,1.1984926,-105.98561105220153,7.162528,4.4198294,20,626128.1,0.7679778,4.0817263e-06,48142,2000,100,1.3678182,1.9910154e-05,0.37531906,54.6048,24.81,-11.181313
1.639975,7.9000015,0.61031616,307.3909738063812,100.0,38.118084,0.038914174,[ 0.997 -0.571 -0.399 -1.046 -0.22 ],11.294193,1.4154745,3.8914175,0.0102271,90.44292,0.11849421,1.1698543,-106.92317369831406,8.197488,1.02271,21,303.58688,70.64768,-2.861023e-06,50641,2100,100,73.7394,0.0011849421,0.0061031617,0.1282916,24.99,-10.628319
15.048059,7.799999,5.021194,321.5537202358246,100.0,48.52388,0.5034538,[ 1.027 -0.598 -0.409 -1.084 -0.249],11.270238,14.793983,50.345383,0.01346406,89.75815,0.002915349,1.1789783,-106.55883842734626,7.507411,1.346406,22,25255.334,6.759505,1.0871887e-05,52947,2200,100,6.707848,2.915349e-05,0.050211936,8.826821,23.06,-9.685684
1.4747858,7.700001,0.64550155,336.44509053230286,100.0,49.947895,0.044484854,[ 0.999 -0.632 -0.439 -1.14  -0.24 ],14.022088,1.5589776,4.4484854,0.009870081,90.85343,0.17826286,1.1882616,-106.27324800096311,7.4131937,0.9870082,23,408.01913,64.1446,-1.0147095e-05,55556,2300,100,70.042076,0.0017826286,0.0064550154,-0.6040294,26.09,-12.364128
9.053039,7.6000023,1.7453414,347.9106864929199,100.0,46.003433,0.15826584,[ 0.998 -0.621 -0.443 -1.16  -0.231],12.034623,4.1977706,15.826585,0.011702698,90.06543,0.031882286,1.1501262,-106.54481923695896,7.497342,1.1702696,24,4960.5312,23.822168,-1.2969971e-06,57941,2400,100,31.0147,0.00031882286,0.017453413,5.9112396,23.85,-9.564964
15.70854,7.5,3.1869256,362.1934244632721,100.0,60.41732,0.32207787,[ 1.    -0.652 -0.501 -1.153 -0.269],14.170143,5.6280107,32.207787,0.010796909,90.935425,0.02020709,1.18939,-107.0186692758767,6.612032,1.0796908,25,31049.584,17.768267,-4.4250487e-06,60595,2500,100,10.29596,0.00020207089,0.03186926,10.930853,26.54,-11.627502
10.734767,7.4000015,6.786088,376.1874461174011,100.0,52.10727,0.586693,[ 0.995 -0.597 -0.493 -1.146 -0.23 ],11.738241,10.269331,58.6693,0.01746227,89.69184,0.0017952734,1.1865363,-106.44920391096815,7.0645766,1.7462271,26,13937.508,9.737733,-1.411438e-06,62882,2600,100,6.2103686,1.7952734e-05,0.06786087,5.1687036,22.87,-9.546387
