InitialReturnMin,StdIW,ReturnStepMax,InitialReturnStd,InitialReturnMean,StdIWNorm,J_sample_variance,ReturnMeanIW,EpThisIter,EpLenMean,EpRewMean,ESSRenyi,EmpiricalD2,Iteration,Bound,MeanIW,ESSClassic,InitialReturnMax,Weights,InitialBound,EpisodesSoFar,TimeElapsed,MaxIWNorm,MeanIWNorm,MinIW,ReturnStepMaxmin,MinIWNorm,MeanEntropy,MaxIW,TimestepsSoFar
-3.0504456,0.9603439,100.0,1.4360125,6.866455e-06,0.009603439,4.8040066,0.23219979,100,20.14,-114.09164470450104,41.16199,2.4294257,1,0.022821248,1.0686646,55.32342,4.0299683,[0.865 0.619 0.341 0.65  0.   ],1.2845454,100,11.940070629119873,0.05197031,0.010686647,0.14925815,88.65788,0.0014925814,1.4366118,5.197031,2014
-3.1853561,5.681327,100.0,1.6396903,-2.7465821e-06,0.05681327,113.89025,1.2147719,100,20.46,-114.36048193507185,4.851522,20.61209,2,0.51599914,1.6576387,7.845102,4.617386,[0.877 0.656 0.373 0.63  0.018],1.2826961,200,27.255173921585083,0.5038877,0.016576387,0.004889238,88.45184,4.889238e-05,1.4934568,50.38877,4060
-4.5221786,141.29988,100.0,2.0167103,1.9073486e-06,1.4129984,556196.75,74.42258,100,20.41,-113.52246426832316,0.021434234,4665.4336,3,62.46825,14.489366,1.0405728,5.250496,[0.836 0.623 0.433 0.523 0.075],1.3184422,300,42.7731249332428,14.203768,0.14489368,3.1381829e-12,88.26086,3.138183e-14,1.156233,1420.3768,6101
-4.7188187,8.92973,100.0,2.4587514,1.2207031e-06,0.0892973,4537.5503,6.405073,100,17.85,-110.15657501847868,3.529044,28.336287,4,5.0749407,1.6231517,3.1983376,7.4962616,[ 0.825  0.608  0.372  0.28  -0.263],0.9063587,400,57.26143455505371,0.8972692,0.016231518,1.5677038e-05,87.04286,1.5677038e-07,1.041318,89.72692,7886
-4.3017044,0.43857864,100.0,2.3546693,1.1444092e-06,0.004385786,6.8315687,0.12674962,100,16.38,-108.77256045027302,80.92967,1.2356408,5,-0.19904353,0.9870106,83.51099,8.792595,[ 0.774  0.604  0.441  0.223 -0.377],0.7482327,500,71.82368350028992,0.025222074,0.0098701045,0.22982101,86.09177,0.00229821,1.0402879,2.5222075,9524
-3.866928,0.9524684,100.0,2.1647518,,0.009524684,10.906654,0.47903842,100,17.18,-109.3880366496886,58.833954,1.6996988,6,0.20798373,1.2205784,62.152992,6.237236,[ 0.775  0.594  0.427  0.231 -0.379],0.83238,600,84.32612156867981,0.061275583,0.012205784,0.13876523,86.67508,0.0013876522,1.03508,6.127558,11242
-5.2998734,0.79625845,100.0,2.8901749,4.7302246e-06,0.0079625845,18.783411,0.7310257,100,18.07,-109.1603305766925,53.558052,1.8671329,7,0.28627542,0.92244875,57.302788,9.764496,[ 0.77   0.598  0.454  0.209 -0.384],0.70960146,700,98.54380321502686,0.055060472,0.0092244875,0.021336526,87.311424,0.00021336525,1.0108064,5.5060472,13049
-4.724823,0.00015234259,100.0,2.7306855,1.4495849e-06,1.5234119e-06,7.532344,6.7554414e-05,100,16.66,-108.70299422058815,100.00011,0.9999989,8,-0.24737343,0.999999,99.99999,7.423233,[ 0.768  0.613  0.493  0.218 -0.408],0.76336676,800,111.96226096153259,0.010005061,0.00999999,0.99949926,86.297005,0.009994992,1.0108165,1.000506,14715
-3.8909225,56.922794,100.0,2.6100788,3.890991e-06,0.5692279,405099.7,63.401283,100,16.16,-108.06373397818322,0.0570304,1753.4508,9,47.878056,6.1237197,1.1440918,11.121323,[ 0.768  0.613  0.493  0.218 -0.408],0.6401096,900,123.77906799316406,5.7227674,0.061237197,9.034212e-05,86.00871,9.0342115e-07,1.0061177,572.27673,16331
-5.475891,35.40999,100.0,2.807878,-2.2888185e-06,0.35409993,49778.39,23.504347,100,16.89,-108.5987936694463,0.085864104,1164.631,10,15.224595,4.5349703,1.6137334,7.2785416,[ 0.753  0.486  0.54   0.228 -0.413],0.76349735,1000,138.79510164260864,3.5594776,0.045349702,7.570852e-07,86.507454,7.570852e-09,0.9969901,355.94775,18020
