InitialReturnMax,ReturnStepMax,ESSClassic,Iteration,EmpiricalD2,ReturnMeanIW,TimeElapsed,EpLenMean,EpRewMean,TimestepsSoFar,EpisodesSoFar,EpThisIter,MinIWNorm,InitialBound,MeanEntropy,InitialReturnMin,MaxIWNorm,Weights,StdIW,Bound,J_sample_variance,InitialReturnMean,ReturnStepMaxmin,MeanIWNorm,InitialReturnStd,StdIWNorm,MinIW,MaxIW,ESSRenyi,MeanIW
9.139626,100.0,100.0,1,1.0,-1.0877848e-06,28.48412585258484,55.78,-151.3689476386113,5578,100,100,0.01,1.1142155,1.4188708,-2.565277,0.01,[ 0.74  -1.049  0.227  0.317  0.   ],,-0.3046553,6.300865,-1.0681152e-06,94.57265,0.010000002,2.49757,1.8626451e-09,1.0,1.0,100.0,1.0
9.522781,100.0,8.419251,2,11.192425,1.9281886,60.77987289428711,60.88,-156.28062799191122,11666,200,100,2.8011997e-05,1.1014404,1.4114176,-2.7744522,0.35286152,[ 7.404e-01 -1.049e+00  2.273e-01  3.175e-01  4.449e-10],3.6568651,0.86623716,261.4548,-4.272461e-06,94.86595,0.011087754,2.5261343,0.036568657,0.0028011997,35.28615,8.934614,1.1087755
8.545036,100.0,99.99998,3,1.0,1.6540289e-05,99.93882727622986,65.36,-160.50084380668753,18202,300,100,0.0099998405,1.1265957,1.4114176,-3.0119781,0.01000034,[ 0.668 -1.118  0.223  0.267 -0.007],9.871478e-06,-0.28481802,6.231872,1.2664795e-05,95.088715,0.010000015,2.4838476,9.872331e-08,0.9999841,1.000034,100.0,1.0000015
12.802841,100.0,11.495621,4,5.311,1.657059,134.60226345062256,65.15,-159.7397998191401,24717,400,100,0.00043629596,0.9846525,1.4563205,-3.4060287,0.34609133,[ 0.668 -1.118  0.223  0.267 -0.007],3.518098,0.67356145,230.37411,-3.6621093e-06,95.09625,0.012679198,3.1602407,0.035180975,0.043629598,34.609135,18.828846,1.2679198
7.7229996,100.0,3.9530556,5,58.403946,6.186778,167.94071197509766,58.41,-153.1569099574364,30558,500,100,0.00022394312,1.1988863,1.5637977,-3.0683289,0.9059942,[ 0.669 -1.126  0.261  0.292  0.037],8.987182,4.219409,4914.688,-9.155273e-07,94.7558,0.018232584,2.7027369,0.08987182,0.022394313,90.59942,1.712213,1.8232584
7.811653,100.0,100.0,6,1.0,-3.8295984e-06,204.65826201438904,54.51,-150.24468499951263,36009,600,100,0.01,1.3034054,1.5637977,-2.471817,0.01,[ 0.594 -1.109  0.285  0.326  0.145],,-0.2603923,6.0697193,-3.8146973e-06,94.48744,0.010000002,2.4513307,1.8626451e-09,1.0,1.0,100.0,1.0
6.5994415,100.0,58.73582,7,1.55818,0.434961,234.99468660354614,54.97,-150.13130184499286,41506,700,100,0.003022917,1.3438071,1.6165812,-3.040886,0.06624617,[ 0.594 -1.109  0.285  0.326  0.145],0.9620399,0.16036466,15.0533905,-9.231568e-06,94.537704,0.011477785,2.5440514,0.009620399,0.30229172,6.6246166,64.17744,1.1477785
8.346092,100.0,2.1050913,8,997.639,26.473652,264.6595344543457,53.85,-149.36396086503362,46891,800,100,3.3053195e-07,1.3383731,1.4346579,-2.6322556,4.9216,[ 0.584 -1.117  0.281  0.309  0.198],50.221603,17.68649,68683.58,-5.0354006e-06,94.452255,0.07364546,2.3259456,0.50221604,3.3053195e-05,492.16,0.10023666,7.364546
8.907806,100.0,100.0,9,1.0,7.931143e-06,298.23469138145447,54.72,-150.29396916083022,52363,900,100,0.009997656,1.1377158,1.4346582,-2.6401901,0.010003151,[ 0.542 -1.091  0.266  0.238  0.016],9.480326e-05,-0.29691896,6.222698,-1.5258789e-05,94.506805,0.0100000575,2.4819715,9.4802783e-07,0.9997656,1.0003152,100.0,1.0000057
9.556488,100.0,81.61739,10,1.2831392,0.31167522,331.590389251709,59.55,-154.72727889842687,58318,1000,100,0.002005109,1.1161194,1.4211993,-2.8529205,0.027545936,[ 0.542 -1.091  0.266  0.238  0.016],0.4544438,-0.049164176,15.432379,1.083374e-05,94.80345,0.009575639,2.7997236,0.004544438,0.2005109,2.7545936,77.93387,0.95756394
