ReturnStepMaxmin,InitialReturnMax,EpisodesSoFar,InitialReturnMin,InitialBound,Bound,MaxIWNorm,EmpiricalD2,InitialReturnMean,Iteration,TimestepsSoFar,Weights,EntropyCoefficient,InitialReturnStd,MinIWNorm,MeanIW,MinIW,EpLenMean,StdIW,EpThisIter,MaxIW,ReturnMeanIW,MeanEntropy,ReturnStepMax,MeanIWNorm,StdIWNorm,ESSClassic,J_sample_variance,EpRewMean,ESSRenyi,TimeElapsed
88.65788,4.0299683,100,-3.0504456,13.912498,1.4097809,0.83236676,50.76261,6.866455e-06,1,2014,[0.865 0.619 0.341 0.65  0.   ],9.900002,1.4360125,0.00033764011,1.61958,0.033764012,20.14,8.248283,100,83.23668,2.36687,1.5937601,100.0,0.016195802,0.08248283,3.7123444,515.23956,-114.09164470450104,1.9699538,3.9778997898101807
88.399994,4.580063,200,-2.6512375,15.466177,0.15166217,0.07225933,6.76726,-1.8310546e-06,2,4033,[0.879 0.656 0.291 0.652 0.175],9.799999,1.4106497,0.0007605168,0.9910675,0.07605168,20.19,1.2937171,100,7.225933,0.54881406,1.741627,100.0,0.009910677,0.0129371695,36.982113,11.230942,-114.72133201456208,14.777029,14.068787813186646
87.627174,3.6046982,300,-2.9821167,16.773626,-0.15559343,0.046667602,2.2629156,-1.1444092e-06,3,5888,[0.881 0.677 0.294 0.595 0.323],9.700001,1.4541068,0.0011855637,0.97057205,0.11855638,18.55,0.8861839,100,4.6667604,0.025158055,1.8334519,100.0,0.00970572,0.008861838,54.53557,3.9571428,-112.54460248180067,44.190777,25.241631031036377
88.33801,4.2325897,400,-2.8443222,17.460058,-0.16407253,0.04566769,6.369402,8.926391e-06,4,7837,[0.878 0.681 0.341 0.558 0.414],9.599998,1.4555272,0.0005490412,0.910177,0.054904122,19.49,0.842573,100,4.566769,0.19199656,1.9779898,100.0,0.009101769,0.008425729,53.851295,2.602575,-113.64608435942428,15.700061,35.78381872177124
88.53726,7.045456,500,-3.450058,18.556067,-0.35680744,0.116974555,4.9403996,1.1749267e-05,5,9874,[0.892 0.715 0.375 0.563 0.559],9.5,1.8075663,0.0007417588,0.97457045,0.07417588,20.37,1.3885721,100,11.697455,0.1651906,2.12319,100.0,0.009745705,0.013885721,33.002567,11.419033,-114.15563268099031,20.241278,47.61493968963623
88.82514,6.8575897,600,-3.874855,19.729397,-0.21083963,0.04350431,5.755787,2.822876e-06,6,11985,[0.888 0.73  0.401 0.522 0.705],9.399998,1.9296788,0.0007033879,0.7292859,0.07033879,21.11,0.7472269,100,4.350431,0.33756685,2.247504,100.0,0.0072928583,0.007472269,48.785095,6.5332427,-114.84894295510446,17.37382,60.03209447860718
88.549644,6.262436,700,-4.093231,20.693048,-0.36212105,0.04091369,2.4072714,1.1520386e-05,7,14102,[0.9   0.774 0.465 0.479 0.828],9.299999,2.0354295,0.0011307277,0.89691335,0.11307277,21.17,0.69439507,100,4.091369,-0.03824069,2.3510258,100.0,0.008969134,0.006943951,62.523693,5.2361703,-114.84110390653855,41.54081,70.4365746974945
88.27979,5.9222794,800,-3.411148,21.432024,-0.4527104,0.053770408,2.2882075,-5.569458e-06,8,16119,[0.89  0.764 0.526 0.442 0.932],9.200001,2.1763456,0.0017406723,0.9495959,0.17406723,20.17,0.8188575,100,5.377041,-0.15409283,2.4687743,100.0,0.00949596,0.008188575,57.352623,4.3264647,-113.23059940506468,43.70233,81.55551505088806
88.96171,8.529877,900,-4.109909,22.18151,-0.15622374,0.06635701,2.6636858,-2.2125244e-06,9,18312,[0.884 0.766 0.548 0.411 1.05 ],9.099998,2.537306,0.0021680074,1.1097816,0.21680075,21.93,1.0841002,100,6.6357007,0.30782437,2.5780008,100.0,0.011097816,0.010841002,51.17043,22.764572,-115.00571925695614,37.541965,93.76659417152405
89.43573,8.969742,1000,-3.3902512,22.903004,-0.37483296,0.031892803,3.2240553,-1.2283325e-05,10,20627,[0.853 0.73  0.58  0.306 1.159],9.0,2.804074,0.0017819863,0.81905717,0.17819864,23.15,0.6333463,100,3.1892803,0.16202566,2.6953127,100.0,0.008190571,0.006333463,62.580757,9.734826,-116.001759578869,31.016838,105.47922921180725
89.54495,8.78978,1100,-4.62278,23.695278,5.687607,1.1444465,45.41535,-6.2561035e-06,11,22967,[0.845 0.732 0.646 0.271 1.276],8.899998,3.1508286,1.8585668e-05,2.0631485,0.0018585669,23.4,11.356868,100,114.44466,7.6621113,2.7446673,100.0,0.020631485,0.11356868,3.194792,6077.781,-115.27032050196723,2.2018986,118.77596187591553
90.27053,14.799484,1200,-5.1978607,23.659761,-0.5565499,0.043349,1.8174595,6.713867e-06,12,25545,[ 0.726  0.608  0.416 -0.033  1.326],8.799999,4.0158486,0.0017300004,1.0238578,0.17300004,25.78,0.6973674,100,4.3349004,0.108505294,2.8341312,100.0,0.0102385795,0.0069736745,68.30969,19.410275,-117.30201322256194,55.02186,132.2989046573639
89.920456,24.040413,1300,-5.954262,23.855583,3.1449556,0.257871,6.145835,-1.6784668e-06,13,28030,[ 0.71   0.609  0.46  -0.068  1.415],8.699997,4.758799,0.0007362221,1.0812843,0.07362221,24.85,2.6297207,100,25.7871,5.131559,2.8706543,100.0,0.010812843,0.026297208,14.461755,2593.5515,-115.49504456520957,16.271183,144.45429587364197
90.265564,30.617794,1400,-6.3518143,23.667027,1.2962705,0.08505469,2.713109,-1.9454956e-06,14,30644,[ 0.633  0.423  0.384 -0.327  1.451],8.599998,5.3048825,0.00053811946,1.039236,0.053811945,26.14,1.1294535,100,8.505469,2.9773424,2.8828056,100.0,0.010392359,0.011294536,45.847183,732.73444,-116.11141784384576,36.858086,159.74761843681335
90.974,29.7196,1500,-7.493866,23.513195,1.2868099,0.084725864,3.424775,1.2588501e-06,15,33403,[ 0.562  0.367  0.257 -0.541  1.464],8.5,6.142651,0.000685763,1.0678071,0.068576306,27.59,1.3257986,100,8.472587,3.1201277,2.941058,100.0,0.010678071,0.013257987,39.345413,729.24524,-115.27925298932905,29.199,175.1728744506836
91.7972,18.60115,1600,-7.5459366,24.084858,3.2427025,0.14596389,6.9470043,6.1798096e-06,16,36581,[ 0.522  0.224  0.116 -0.449  1.522],8.400002,5.506777,7.9308265e-05,1.1847739,0.007930826,31.78,2.2989902,100,14.59639,4.8769484,2.8607175,100.0,0.011847739,0.0229899,20.984892,855.9448,-119.783350424256,14.394693,190.4383475780487
93.451935,48.836525,1700,-14.303528,22.11607,11.187787,0.156023,4.32051,1.2207031e-06,17,40937,[ 0.362 -0.048 -0.028 -0.516  1.441],8.299999,13.500334,0.0006473137,1.148853,0.064731374,43.56,1.9841465,100,15.602301,14.571481,2.8868244,100.0,0.01148853,0.019841464,25.108206,8575.488,-120.83672057434129,23.145416,209.50354886054993
94.37424,54.531155,1800,-17.571152,21.854256,5.455329,0.099386506,4.174476,-2.7465821e-06,18,46159,[ 0.155 -0.117  0.049 -0.581  1.468],8.200001,15.105352,0.00021575704,1.0933691,0.021575704,52.22,1.6426257,100,9.938651,9.16918,2.847741,100.0,0.010933692,0.016426258,30.702505,1629.3572,-120.94739675390286,23.955101,233.22009801864624
95.82838,62.959167,1900,-23.013008,20.968071,1902.5505,51.180717,125569.78,1.7929077e-06,19,54511,[-0.034 -0.319  0.093 -0.547  1.429],8.100002,18.63502,3.2376643e-06,51.620434,0.00032376644,83.52,509.20044,100,5118.072,2646.2207,2.7514894,100.0,0.51620436,5.0920043,1.0172445,700562700.0,-132.44819286507806,0.00079637,273.141676902771
96.762436,38.900368,2000,-35.37073,20.715235,8.5170965,0.41238192,10.189426,-1.9073486e-06,20,64890,[-0.352 -0.272  0.022 -0.666  1.332],8.0,21.816767,3.0093797e-05,1.0637466,0.0030093798,103.79,4.1693735,100,41.238194,12.65621,2.7418094,100.0,0.010637467,0.041693732,6.1114893,10487.963,-116.11809327016604,9.8140955,321.4857349395752
97.35394,37.849525,2100,-41.702145,20.270226,60.09296,2.17622,127.30923,-4.5776366e-07,21,80037,[-0.443 -0.385  0.004 -0.572  1.323],7.9000015,20.967789,0.0001492423,3.101225,0.014924231,151.47,21.633486,100,217.622,75.77733,2.785244,100.0,0.031012254,0.21633485,2.0136275,516328.03,-124.66441890350463,0.785489,382.1610589027405
97.84117,46.78745,2200,-45.01405,20.16532,10.587915,0.54969513,17.269373,-1.5258789e-07,22,102573,[-0.637 -0.446 -0.078 -0.54   1.367],7.799999,22.89506,1.5597634e-05,1.6887845,0.0015597634,225.36,5.7370768,100,54.969513,17.068981,2.7462034,100.0,0.016887845,0.057370763,7.9740257,22501.277,-130.5763216547734,5.7905984,467.3619544506073
