TimestepsSoFar,MeanIWNorm,EpThisIter,EpisodesSoFar,InitialReturnMax,InitialReturnStd,ESSRenyi,MaxIWNorm,ESSClassic,MeanEntropy,EntropyCoefficient,MaxIW,MeanIW,ReturnMeanIW,ReturnStepMaxmin,EmpiricalD2,MinIWNorm,Iteration,Bound,MinIW,StdIW,InitialReturnMean,TimeElapsed,StdIWNorm,EpRewMean,EpLenMean,ReturnStepMax,InitialBound,Weights,InitialReturnMin,J_sample_variance
2014,0.016407022,100,100,4.0299683,1.4360125,2.3293083,0.846017,3.6921806,1.5832145,4.950001,84.6017,1.6407024,2.3927975,88.65788,42.931202,0.00036246545,1,1.5126269,0.036246546,8.379519,6.866455e-06,3.933947801589966,0.0837952,-114.09164470450104,20.14,100.0,6.8890862,[0.865 0.619 0.341 0.65  0.   ],-3.0504456,532.0783
4021,0.012352438,100,200,4.540222,1.3257979,9.375569,0.28545085,10.741245,1.6724879,4.8999996,28.545086,1.2352437,1.066473,88.56887,10.666019,0.0006126142,2,0.57221127,0.061261423,3.560826,9.155273e-07,13.87966513633728,0.035608258,-114.60432578031111,20.07,100.0,7.6064105,[0.878 0.661 0.289 0.656 0.164],-2.5270462,35.15154
5980,0.008536876,100,300,4.375366,1.6493762,33.007717,0.046516348,58.186035,1.7033122,4.8500004,4.6516347,0.85368764,0.2737144,87.98317,3.0295947,0.00034626634,3,0.019859582,0.034626637,0.7236863,8.621216e-06,24.959030389785767,0.0072368626,-113.97878713732379,19.59,100.0,7.9657297,[0.905 0.738 0.285 0.595 0.254],-2.7841263,6.2184453
7893,0.009757306,100,400,4.549286,1.5622619,33.75981,0.045649596,61.855724,1.7987856,4.799999,4.5649595,0.9757306,0.06772077,87.89988,2.962102,0.0018365687,4,-0.19326809,0.18365687,0.76622194,1.2207031e-06,35.107003688812256,0.007662219,-113.23450731103613,19.13,100.0,8.024255,[0.912 0.781 0.333 0.547 0.285],-3.259552,2.8089292
9757,0.035834886,100,500,6.5635147,1.6949497,0.25243878,2.4097922,2.134921,1.7226591,4.75,240.97922,3.5834882,16.293718,87.448265,396.13562,2.904894e-09,5,11.93923,2.9048942e-07,24.26213,-6.5612794e-06,46.403462171554565,0.24262132,-112.26455832790785,18.64,100.0,8.325441,[0.892 0.744 0.386 0.521 0.38 ],-3.9009705,25026.07
11707,0.009132128,100,600,7.7519913,2.1540272,39.192413,0.047071565,60.9027,1.7747033,4.699999,4.7071567,0.91321284,0.3965752,87.83371,2.5515141,0.0009298047,6,-0.016178519,0.092980474,0.73168993,-8.239746e-06,60.50365400314331,0.0073168986,-112.62507627695909,19.5,100.0,7.8380876,[0.79  0.623 0.272 0.292 0.304],-3.8937225,7.977158
13753,5.5081477,100,700,9.034569,2.654272,0.0003544146,550.24664,1.0020659,1.5162687,4.6499996,55024.668,550.81476,770.95825,88.3031,282155.4,1.3249282e-14,7,610.9913,1.3249282e-12,5474.828,1.8310546e-06,70.48792219161987,54.748287,-113.57194302289795,20.46,100.0,7.9512196,[0.773 0.607 0.327 0.226 0.356],-4.249893,59530700.0
15442,0.009412814,100,800,4.756851,1.8296123,19.310444,0.05398056,51.77945,1.638711,4.6000004,5.398056,0.94128144,0.33159772,86.40219,5.178545,0.0007288627,8,-0.029231936,0.07288627,0.9083575,1.6021728e-06,83.81991314888,0.009083576,-110.12563975395324,16.89,100.0,6.8162766,[0.848 0.746 0.123 0.185 0.097],-3.1445923,7.4441633
17177,0.01044651,100,900,6.230194,1.8957206,30.481201,0.083484374,47.59148,1.7688527,4.549999,8.348437,1.044651,0.32530448,86.69899,3.2807107,0.000890596,9,-0.050848305,0.089059606,1.0962449,3.1280517e-06,95.55543160438538,0.01096245,-110.81850932737905,17.35,100.0,7.2484636,[0.794 0.704 0.12  0.119 0.22 ],-3.3227158,7.9661365
18908,0.22528115,100,1000,7.08004,2.0973685,0.02224818,21.642302,1.0832756,1.6134417,4.5,2164.2302,22.528112,121.671715,86.620094,4494.7495,2.735446e-07,10,105.8495,2.7354461e-05,215.27333,1.0223389e-05,104.48388314247131,2.152733,-110.58271475022339,17.31,100.0,7.723846,[0.8   0.728 0.139 0.091 0.35 ],-3.280449,1483686.5
20527,0.010307399,100,1100,8.101112,2.6652093,38.75365,0.067688234,47.68827,1.6908376,4.449999,6.7688236,1.0307399,0.31752396,86.12891,2.5804021,0.0014694106,11,-0.116253614,0.14694107,1.07955,8.850097e-06,117.3644347190857,0.0107955,-107.56175585821619,16.19,100.0,6.9097857,[ 0.778  0.65   0.102 -0.254  0.195],-4.604225,15.01948
22191,0.008314158,100,1200,15.406288,3.2520723,45.66465,0.041254867,60.98304,1.75018,4.3999996,4.125487,0.8314157,0.70586145,86.39181,2.1898777,0.0016762051,12,-0.054091513,0.16762051,0.66502863,9.841919e-06,126.38316607475281,0.0066502863,-107.91159476890621,16.64,100.0,6.9261518,[ 0.769  0.645  0.101 -0.334  0.272],-3.8587036,21.228539
23891,0.009776061,100,1300,9.461876,3.0237298,80.557755,0.02959297,86.13741,1.7648997,4.3499985,2.9592972,0.97760606,0.078686,86.59099,1.2413454,0.0037871485,13,-0.27271447,0.37871486,0.39218408,-1.6021728e-06,134.9154989719391,0.0039218403,-108.46070900803527,17.0,100.0,7.297883,[ 0.741  0.586  0.102 -0.338  0.331],-5.504875,12.633009
