InitialReturnMax,EmpiricalD2,MaxIW,ReturnStepMax,MeanIWNorm,StdIWNorm,MaxIWNorm,InitialReturnMean,InitialBound,MeanIW,MeanEntropy,ReturnMeanIW,ESSRenyi,ESSClassic,TimeElapsed,Bound,InitialReturnStd,TimestepsSoFar,EpRewMean,EpThisIter,Iteration,InitialReturnMin,StdIW,J_sample_variance,MinIW,EpLenMean,EpisodesSoFar,ReturnStepMaxmin,MinIWNorm,Weights
9.139626,50.346104,11.555119,100.0,0.011278293,0.018774474,0.11555118,-1.0681152e-06,141.58243,1.1278293,1.5507419,0.21147227,1.986251,26.517612,29.219539880752563,-1.9502013,2.49757,5578,-151.3689476386113,100,1,-2.565277,1.8774475,26.024927,0.020265209,55.78,100,94.57265,0.00020265208,[ 0.74  -1.049  0.227  0.317  0.   ]
7.7527924,74.47037,14.771053,100.0,0.011459988,0.020535879,0.14771053,4.9591063e-06,154.81577,1.145999,1.6853569,0.4275155,1.342816,23.74658,63.1217303276062,-1.8026068,2.369681,11377,-153.46865860663442,100,2,-2.6955338,2.0535882,36.67585,0.00542176,57.99,200,94.70706,5.42176e-05,[ 0.739 -1.051  0.224  0.317  0.132]
8.244148,32.286682,32.30039,100.0,0.010298464,0.033076093,0.3230039,-2.822876e-06,168.26088,1.0298464,1.8041468,-0.8703179,3.0972524,8.83756,99.91270041465759,-2.4317973,2.3270864,17277,-154.41085338105418,100,3,-2.5045853,3.3076096,27.477514,0.0075548626,59.0,300,94.76573,7.5548625e-05,[ 0.722 -1.061  0.228  0.302  0.266]
7.619751,35.746796,7.066019,100.0,0.011177306,0.014678697,0.07066019,4.577637e-06,180.16069,1.1177306,1.9158584,-0.42828664,2.7974536,36.701977,136.45302438735962,-1.9468681,2.5238185,23696,-158.6646544917194,100,4,-3.258812,1.4678698,15.296086,0.021143528,64.19,400,95.05641,0.00021143527,[ 0.721 -1.06   0.225  0.3    0.385]
7.036125,33.92955,10.893471,100.0,0.010190003,0.015146398,0.10893471,1.7547608e-06,191.3513,1.0190003,2.031124,-0.040456768,2.9472835,31.158682,169.02079367637634,-1.4066161,2.2943869,29679,-154.8287617763582,100,5,-2.8067703,1.5146397,11.081504,0.037914075,59.83,500,94.82437,0.00037914075,[ 0.716 -1.064  0.222  0.295  0.497]
8.648178,31.90661,27.24154,100.0,0.012271386,0.028776422,0.2724154,9.155273e-07,202.82414,1.2271386,2.1439428,-0.73769385,3.1341467,15.386908,206.929274559021,-2.3660288,2.8321898,36128,-158.6859829347735,100,6,-3.4151764,2.8776422,48.895866,0.011469901,64.49,600,95.078735,0.000114699,[ 0.714 -1.067  0.213  0.293  0.612]
9.666161,28.63666,24.791212,100.0,0.013293989,0.026499633,0.24791211,-6.3323973e-06,214.07208,1.329399,2.25532,-0.33879873,3.4920273,20.106714,241.5935697555542,-2.0630238,2.9440982,42075,-153.5115345088976,100,7,-3.3884811,2.6499634,17.527756,0.018517405,59.47,700,94.83734,0.00018517404,[ 0.713 -1.068  0.203  0.288  0.725]
10.329445,31.356953,4.7800503,100.0,0.0067072078,0.007954152,0.0478005,-4.4250487e-06,225.1877,0.6707207,2.370992,-0.25074303,3.1890855,41.556087,278.7855191230774,-2.1788125,2.7181032,48532,-158.84939925058856,100,8,-3.0540085,0.7954153,6.4229145,0.0046546333,64.57,800,95.07977,4.654633e-05,[ 0.707 -1.072  0.205  0.283  0.836]
13.983238,17.088066,13.383872,100.0,0.011261747,0.020016052,0.13383871,-2.2125244e-06,236.63309,1.1261747,2.47615,0.115940526,5.8520374,24.044428,316.1587710380554,-1.8108431,3.3150227,55039,-158.53905400665658,100,9,-4.0193024,2.001605,22.607964,0.03353667,65.07,900,95.12712,0.00033536667,[ 0.704 -1.074  0.205  0.279  0.952]
15.447205,12.315263,6.812727,100.0,0.008857307,0.010070024,0.06812727,2.2125244e-06,247.1001,0.88573056,2.5756812,-0.021922387,8.120006,43.618958,356.08385610580444,-1.8288904,3.2387743,61743,-159.9260218103469,100,10,-3.9710922,1.0070024,10.875167,0.0024020239,67.04,1000,95.22894,2.4020239e-05,[ 0.701 -1.077  0.195  0.268  1.057]
