MaxIWNorm,J_sample_variance,MeanIWNorm,StdIW,EpisodesSoFar,Weights,EpRewMean,TimeElapsed,EpThisIter,StdIWNorm,TimestepsSoFar,InitialBound,EpLenMean,ESSRenyi,InitialReturnMin,Iteration,ReturnMeanIW,InitialReturnStd,MaxIW,InitialReturnMean,ReturnStepMax,MeanEntropy,Bound,EmpiricalD2,InitialReturnMax,ESSClassic,ReturnStepMaxmin,MinIW,MinIWNorm,MeanIW
0.12143531,39.16331,0.011371127,1.9306344,100,[-0.718  0.851  0.951 -0.346  0.   ],-107.7164208577093,11.242530584335327,100,0.019306343,1736,141.47685,17.36,1.8175772,-5.334259,1,-0.9992801,3.4973137,12.143531,-4.196167e-06,100.0,1.6462908,-4.0420995,55.018295,12.306763,25.755564,86.68869,0.06453389,0.0006453389,1.1371129
0.11221872,69.57564,0.0075937277,1.3335252,200,[-0.718  0.847  0.948 -0.348  0.227],-107.7314512566046,25.786252975463867,100,0.013335251,3418,164.0616,16.82,3.048399,-4.6427307,2,0.6764978,3.2100725,11.221872,2.2125244e-06,100.0,1.86132,-2.573729,32.804104,17.02436,24.486732,86.32425,0.03475436,0.00034754357,0.7593728
0.07817246,9.727841,0.008505795,1.0181098,300,[-0.72   0.841  0.943 -0.35   0.442],-108.23396479278165,38.158838510513306,100,0.010181098,5136,185.50114,17.18,3.8106856,-4.9297714,3,-0.03031975,3.8088474,7.8172464,-8.163453e-06,100.0,2.0664084,-3.2619715,26.241997,18.925499,41.10636,86.73269,0.059773132,0.0005977313,0.8505796
0.4857791,272.8563,0.012698063,4.857686,400,[-0.727  0.839  0.952 -0.356  0.648],-107.91411265876188,51.154717445373535,100,0.04857686,6913,205.92761,17.77,4.0578938,-5.412552,4,1.3238628,4.813225,48.57791,-7.858276e-06,100.0,2.2635322,-2.2167084,24.643328,21.396606,6.396028,86.855484,0.014789559,0.00014789558,1.2698063
0.053862784,16.25462,0.007954456,0.90482813,500,[-0.734  0.827  0.929 -0.338  0.844],-108.87890244657613,67.46376276016235,100,0.009048281,8743,225.604,18.3,5.1842475,-4.3970566,5,-0.5282278,3.8173654,5.3862786,7.019043e-06,100.0,2.460838,-3.8187237,19.289202,22.476334,43.593285,87.38434,0.069625,0.00069624995,0.7954456
0.07688752,17.67612,0.008421712,1.0722896,600,[-0.731  0.828  0.918 -0.339  1.042],-109.81779504543103,81.05770945549011,100,0.010722897,10682,245.64438,19.39,2.743427,-5.57428,6,0.11633623,3.8221939,7.6887517,3.2806397e-06,100.0,2.6645203,-2.5367188,36.45076,13.182999,38.15118,88.03064,0.015635524,0.00015635524,0.84217125
0.09691034,69.816284,0.007456636,1.1541617,700,[-0.73   0.833  0.915 -0.341  1.246],-110.59468593706657,95.74337959289551,100,0.011541617,12781,265.68753,20.99,4.4499903,-6.6738815,7,0.6897894,5.197772,9.691034,4.043579e-06,100.0,2.8511147,-2.9343581,22.47196,22.935417,29.448296,88.69195,0.007204426,7.2044255e-05,0.7456636
0.08517119,41.11301,0.0086041605,1.1445272,800,[-0.739  0.82   0.884 -0.362  1.432],-112.13837321887908,111.57870483398438,100,0.011445273,15004,284.58698,22.23,3.2441528,-6.4742203,8,-0.44563138,4.7210655,8.517119,-7.6293944e-08,100.0,3.0442302,-3.35771,30.82469,15.735298,36.10842,89.16309,0.04834568,0.0004834568,0.8604161
0.053280067,93.93447,0.008891068,0.96357614,900,[-0.74   0.826  0.887 -0.375  1.625],-112.75070159850243,129.8383185863495,100,0.009635761,17533,303.57593,25.29,7.2721467,-7.723091,9,0.037179857,6.178942,5.3280067,6.6375733e-06,100.0,3.2034297,-3.1040814,13.751098,25.41304,45.986935,90.22603,0.03849979,0.0003849979,0.88910675
0.21186218,1535.5077,0.008475925,2.1342757,1000,[-0.741  0.822  0.876 -0.383  1.785],-117.61496723349701,148.1798539161682,100,0.021342758,20486,319.5028,29.53,4.5405016,-7.837715,10,3.1621292,6.4982986,21.186218,1.8310546e-06,100.0,3.359356,-0.78068066,22.023998,25.204552,13.622956,91.225716,0.04623963,0.00046239627,0.8475925
