delta,BatchSize,VarVanillaIw,MinVanillaIw,Bound,SamplesThisIter,VarNormIw,IterType,J,renyi2,VarJ,VarRet,MinNormIw,ESSClassic,AvgRet,EpsThisIter,MaxVanillaIw,VarDiscRet,VanillaAvgRet,MaxNormIw,AvgVanillaIw,AvgNormIw,ESSRenyi,AvgDiscRet,AvgEpLen
0.5,100,1.3834102e+30,,342.3724,50000,1.5049609e-07,1,54504.492,nan,28228.133,3615.0666183933386,,1.0198279795406096,48.57271445817556,8532,7.359892e+17,3615.0666183933386,48.57271445817556,0.24274962,1974192600000.0,6.511434e-07,nan,48.57271445817556,5.860290670417252
0.5,100,inf,,396.0155,50000,3.2239709e-07,1,99765.54,nan,34652.1,3395.7758690508804,,2.0000000598838024,47.99957964859492,8616,4.5807154e+24,3395.7758690508804,47.99957964859492,0.5,5.9072466e+18,6.447952e-07,nan,47.99957964859492,5.8031569173630455
0.5,100,2.2751693e+19,,367.37766,50000,2.9041198e-07,1,57986.113,nan,44077.844,3913.944486627652,,1.9998279242093497,44.143643126706934,9230,4347210200000.0,3913.944486627652,44.143643126706934,0.4911465,5327523.5,6.01902e-07,nan,44.143643126706934,5.417118093174431
0.5,100,inf,,539.659,50000,3.2150155e-07,1,96557.05,nan,60641.414,5290.409468824453,,2.0000000546193437,47.840530628683666,8640,3.6590528e+25,5290.409468824453,47.840530628683666,0.49999997,4.7055724e+19,6.430041e-07,nan,47.840530628683666,5.787037037037037
0.5,100,6.512226e+23,,309.0898,50000,3.0409882e-07,1,51804.508,nan,45527.266,3976.7214832901923,,1.9999999709057705,44.73610335926606,9130,731512400000000.0,3976.7214832901923,44.73610335926606,0.49987835,890459300.0,6.084946e-07,nan,44.73610335926606,5.47645125958379
0.5,100,inf,,496.65295,50000,3.236744e-07,1,90649.12,nan,71812.16,5285.028577874547,,1.999999908220161,48.23176281003273,8582,1.9810556e+26,5285.028577874547,48.23176281003273,0.5,2.5648718e+20,6.4734974e-07,nan,48.23176281003273,5.826147751106968
0.5,100,14451768.0,3.951999e-23,1462.3184,50000,1.3013302e-08,1,313935.75,nan,261209.69,10494.363700946104,1.1859058e-30,0.5484579086914871,50.47541959391261,8264,1713031.2,10494.363700946104,50.47541959391261,0.051404204,22.402878,6.722596e-07,nan,50.47541959391261,6.050338818973863
0.5,100,214601310000000.0,,418.78198,50000,1.4617173e-07,1,53406.535,nan,55795.13,4634.8154693389615,,1.8935453996551808,49.2960060132248,8428,11931660000.0,4634.8154693389615,49.2960060132248,0.3113984,25257.332,6.5917897e-07,nan,49.2960060132248,5.932605600379687
0.5,100,75397210.0,,613.0906,50000,6.4085846e-08,1,48951.938,nan,93863.055,5437.092968569163,,3.5961975402173043,49.96417296056874,8334,5447887.0,5437.092968569163,49.96417296056874,0.15882958,22.864973,6.666132e-07,nan,49.96417296056874,5.999520038396928
0.5,100,1.1406234e+28,,873.3209,50000,8.0784574e-08,1,184224.2,nan,125892.36,10062.597214872707,,0.8244704852951138,53.565583728556284,7862,5.7681e+16,10062.597214872707,53.565583728556284,0.15350612,265522630000.0,7.066339e-07,nan,53.565583728556284,6.359704909692191
0.5,100,inf,,1464.272,50000,3.633861e-07,1,379058.56,nan,157738.83,14136.3996399341,,1.999999839779364,55.380665626551234,7644,2.8960864e+19,14136.3996399341,55.380665626551234,0.49999553,42097105000000.0,7.267864e-07,nan,55.380665626551234,6.541077969649399
0.5,100,265792130000.0,,nan,50000,7.387544e-08,1,nan,nan,nan,42094.72765604422,,2.001183218070729,65.68577684927304,6604,355870980.0,42094.72765604422,65.68577684927304,0.18761663,1595.6648,8.4124076e-07,nan,65.68577684927304,7.571168988491823
0.5,100,6.664964e+24,,2952.8218,50000,9.66359e-08,1,433652.34,nan,181217.81,73560.39746190424,,0.9326913265656851,83.6100289431909,5340,1000332000000000.0,73560.39746190424,83.6100289431909,0.120452166,8640040000.0,1.0403662e-06,nan,83.6100289431909,9.363295880149813
0.5,100,9.436827e+18,,658.5378,50000,3.706908e-07,1,118106.64,nan,70798.03,15365.819611081812,,1.9919677694239877,74.41630962802212,5920,2237803300000.0,15365.819611081812,74.41630962802212,0.44352162,4734923.0,9.3843835e-07,nan,74.41630962802212,8.445945945945946
0.5,100,1.899893e+22,,2634.944,50000,7.2948245e-07,1,392483.66,nan,128355.84,88257.57201235839,,1.9999999552729393,157.71985902897342,2980,70690196000000.0,88257.57201235839,157.71985902897342,0.43802828,300862660.0,1.8642802e-06,nan,157.71985902897342,16.778523489932887
0.5,100,9241957000000.0,,3231.3035,50000,4.1902865e-07,1,473732.06,nan,82751.27,129589.89941477595,,1.7277864929923306,186.4806944401202,2544,1332642200.0,129589.89941477595,186.4806944401202,0.28376138,10255.827,2.1837882e-06,nan,186.4806944401202,19.654088050314467
0.5,100,114730320000.0,,3298.9336,50000,2.4281462e-07,1,421038.03,nan,74994.555,218921.0354619756,,1.6517794605066614,240.15757337774502,1998,119316480.0,218921.0354619756,240.15757337774502,0.17357963,1911.3213,2.780558e-06,nan,240.15757337774502,25.025025025025027
0.5,100,8185353600000.0,,3230.5386,50000,6.8286005e-07,1,432884.8,nan,53221.53,266550.5568644443,,3.991231896338128,376.85874762535684,1292,673677700.0,266550.5568644443,376.85874762535684,0.1945805,14887.365,4.2999654e-06,nan,376.85874762535684,38.69969040247678
0.5,100,26607.16,,nan,50000,8.1917904e-08,1,nan,nan,nan,2070490.1044567015,,6.347648540770193,1010.9363245275972,490,13504.219,2070490.1044567015,1010.9363245275972,0.023695162,6.461617,1.1337868e-05,nan,1010.9363245275972,102.04081632653062
0.5,100,114.27838,,4282.0967,50000,6.9466757e-09,1,783806.4,nan,45806.086,3427717.5393892894,,6.1034925409087935,1462.0803794995809,340,422.37988,3427717.5393892894,1462.0803794995809,0.0032931361,2.0957627,1.6339869e-05,nan,1462.0803794995809,147.05882352941177
0.5,100,142.65273,,4268.6567,50000,6.7889405e-09,1,792316.9,nan,46432.11,3238919.350660571,,4.752814235856058,1428.2381230833532,348,241.6526,3238919.350660571,1428.2381230833532,0.0016670646,2.3141277,1.5964239e-05,nan,1428.2381230833532,143.67816091954023
0.5,100,24.63597,,4338.832,50000,5.2639955e-09,1,825453.75,nan,30191.154,4308609.797521796,,3.8938995732712653,2041.6248640731444,244,63.081005,4308609.797521796,2041.6248640731444,0.0009220862,1.5576316,2.276867e-05,nan,2041.6248640731444,204.91803278688525
0.5,100,1.9523658,,4425.0273,50000,4.063765e-09,1,858988.2,nan,12889.736,3680158.0910255015,,4.1995041890766815,3467.148337404863,144,17.569832,3680158.0910255015,3467.148337404863,0.0008015883,0.8456317,3.8580252e-05,nan,3467.148337404863,347.22222222222223
0.5,100,2.659707,,4422.766,50000,4.1296784e-09,1,849324.4,nan,16355.822,4041823.5544436807,,2.878711172564287,3199.762536742238,156,20.713459,4041823.5544436807,3199.762536742238,0.0008161948,0.90377784,3.5612535e-05,nan,3199.762536742238,320.5128205128205
0.5,100,3.2004063,,4387.1387,50000,4.3590176e-09,1,851591.25,nan,14919.463,3745535.2427916354,,2.6348094764260113,3240.944330709117,154,16.055769,3745535.2427916354,3240.944330709117,0.00059254706,0.9774961,3.6075035e-05,nan,3240.944330709117,324.6753246753247
0.5,100,4.0610824,,4404.4277,50000,4.193575e-09,1,838824.0,nan,19255.729,4428512.324096822,,3.3948491721298675,2935.2551057999012,170,23.509777,4428512.324096822,2935.2551057999012,0.00075547455,1.0169679,3.2679738e-05,nan,2935.2551057999012,294.11764705882354
0.5,100,1.830459,,4447.963,50000,3.6293362e-09,1,855238.1,nan,14661.92,4429056.514449154,,3.272322971196637,3284.6174779786065,152,15.2626915,4429056.514449154,3284.6174779786065,0.0006796178,0.8208245,3.6549707e-05,nan,3284.6174779786065,328.94736842105266
0.5,100,1.2404745,,4476.576,50000,3.3547969e-09,1,867020.44,nan,11488.838,4375662.953204764,,3.0497531725134905,3567.5681404753404,140,12.3313465,4375662.953204764,3567.5681404753404,0.00064128294,0.7630628,3.9682538e-05,nan,3567.5681404753404,357.14285714285717
0.5,100,1.1026611,1.24609315e-29,4431.9307,50000,2.9373293e-09,1,858070.2,nan,10942.497,2925106.479036166,6.4314037e-34,1.9866880192380603,3841.562844444668,130,8.829174,2925106.479036166,3841.562844444668,0.00045569614,0.8279972,4.2735042e-05,nan,3841.562844444668,384.61538461538464
