AvgDiscRet,VarJ,J,MinNormIw,ESSRenyi,MinVanillaIw,MaxNormIw,VarRet,AvgRet,AvgEpLen,VanillaAvgRet,Bound,eRenyi2,Delta,VarDiscRet,MaxVanillaIw,ESSClassic,IterType,EpsThisIter,VarVanillaIw,VarNormIw,AvgNormIw,BatchSize,AvgVanillaIw
152.788015614,1115.45,367.374,0.000150151,36.4203492853,0.0159996,0.253735,17012.1350046,152.788015614,16.69,152.788015614,-30.4565,2.74572,0.1,17012.1350046,27.037,12.7631096923,1,100,7.83911,0.000690412,0.01,100,1.06556
232.385848818,498.768,365.134,0.000260588,45.3973173364,0.039275,0.30405,17680.550221,232.385848818,25.19,232.385848818,113.084,2.20277,0.1,17680.550221,45.8256,9.34474402389,1,100,22.2595,0.00097992,0.01,100,1.50717
232.082701127,117.301,271.906,0.000845293,80.7266954649,0.0827866,0.0314356,9019.92697337,232.082701127,25.16,232.082701127,88.7777,1.23875,0.1,9019.92697337,3.07875,76.4722012104,1,100,0.298091,3.10773e-05,0.01,100,0.979384
265.664699427,147.754,300.666,0.00099454,83.4119166188,0.106699,0.0532036,9813.39512981,265.664699427,28.74,265.664699427,81.7046,1.19887,0.1,9813.39512981,5.70796,68.1395147952,1,100,0.543622,4.723e-05,0.01,100,1.07285
269.382544863,101.542,284.03,0.00327513,93.6535035795,0.321894,0.0189015,8317.97137921,269.382544863,29.14,269.382544863,48.8007,1.06777,0.1,8317.97137921,1.85773,91.7657035233,1,100,0.0875549,9.0638e-06,0.01,100,0.982845
297.580100467,626.218,422.49,0.000199939,47.1539843747,0.0272069,0.343251,10128.4863903,297.580100467,32.16,297.580100467,134.105,2.12071,0.1,10128.4863903,46.7082,7.89853796494,1,100,21.8096,0.00117784,0.01,100,1.36076
318.434414053,175.794,350.721,0.00211271,85.1472988196,0.20408,0.0341769,13248.5152647,318.434414053,34.39,318.434414053,108.971,1.17444,0.1,13248.5152647,3.30138,80.1202294306,1,100,0.233861,2.5063e-05,0.01,100,0.965967
351.224479732,523.682,484.266,0.000560906,52.3110739281,0.0715525,0.128972,18461.9461137,351.224479732,37.93,351.224479732,132.795,1.91164,0.1,18461.9461137,16.4524,27.5777340198,1,100,4.31666,0.000265264,0.01,100,1.27566
380.165386389,207.059,403.609,0.00431516,93.8071421111,0.423077,0.0234599,26982.8035521,380.165386389,41.02,380.165386389,-4.31534,1.06602,0.1,26982.8035521,2.30011,92.1234103488,1,100,0.0830186,8.63639e-06,0.01,100,0.980441
362.613004903,734.975,563.595,0.000453436,45.1752135947,0.126883,0.644633,15973.8611333,362.613004903,39.13,362.613004903,241.123,2.2136,0.1,15973.8611333,180.384,2.3939212465,1,100,322.481,0.00411843,0.01,100,2.79825
404.404998478,368.717,475.212,0.00229053,74.3297428207,0.242203,0.0981837,26737.9258925,404.404998478,43.67,404.404998478,135.955,1.34536,0.1,26737.9258925,10.3821,49.4121593124,1,100,1.15629,0.000103414,0.01,100,1.05741
