EpisodesSoFar,entloss,surrgain,ev_tdlam_before,Step_size,TimeElapsed,optimgain,EpThisIter,EpRewMean,EpLenMean,entropy,TimestepsSoFar,meankl,DiscEpRewMean
100,,0.008796133,,1.0,6.467667818069458,0.008796133,100,75.55642342631181,8.56,0.4189424,856,0.009288284,1.69875732421875
200,,0.0061507197,,1.0,12.516449451446533,0.0061507197,100,87.24892712713374,9.73,0.4189424,1829,0.009824481,1.9992746448516845
300,,0.006351571,,1.0,18.566853523254395,0.006351571,100,93.03968803301115,10.31,0.4189424,2860,0.009528136,1.5989684677124023
400,,0.00677854,,1.0,24.504985332489014,0.00677854,100,103.03863706405768,11.31,0.4189424,3991,0.009831511,3.997742185592651
500,,0.00600994,,1.0,30.46189522743225,0.00600994,100,125.82723930122255,13.59,0.4189424,5350,0.00953606,3.897530975341797
600,,0.008559573,,1.0,36.017709493637085,0.008559573,100,114.53558470772785,12.46,0.4189424,6596,0.009575644,5.297260541915893
700,,0.006702926,,1.0,41.578004598617554,0.006702926,100,119.73450092344586,12.98,0.4189424,7894,0.009950191,3.2982546520233154
800,,0.0063730413,,1.0,47.08473467826843,0.0063730413,100,114.93216131835784,12.5,0.4189424,9144,0.009808362,4.096627149581909
900,,0.006406384,,1.0,52.68109107017517,0.006406384,100,131.62311647114177,14.17,0.4189424,10561,0.0095493235,2.098825664520264
1000,,0.009339542,,1.0,58.14384198188782,0.009339542,100,123.03607925873301,13.31,0.4189424,11892,0.009547782,4.897588768005371
1100,,0.0032479258,,1.0,63.5075569152832,0.0032479258,100,123.63558285291245,13.37,0.4189424,13229,0.009578565,4.198004808425903
1200,,0.00680318,,1.0,69.10079455375671,0.00680318,100,139.72882513072778,14.98,0.4189424,14727,0.009350828,3.5974932861328126
1300,,0.0049301325,,1.0,74.56494998931885,0.0049301325,100,143.72750367926218,15.38,0.4189424,16265,0.009420323,7.297210960388184
1400,,0.006836152,,1.0,80.26758694648743,0.006836152,100,131.73179877103829,14.18,0.4189424,17683,0.00997299,5.097401533126831
1500,,0.005818965,,1.0,85.86255764961243,0.005818965,100,150.42518198536254,16.05,0.4189424,19288,0.009859185,3.7971921348571778
1600,,0.0055900654,,1.0,91.11488175392151,0.0055900654,100,170.7184309251374,18.08,0.4189424,21096,0.009832517,5.097175054550171
1700,,0.0060365754,,1.0,96.68004298210144,0.0060365754,100,174.7149551212445,18.48,0.4189424,22944,0.009841077,2.998314447402954
1800,,0.007296873,,1.0,102.24515700340271,0.007296873,100,205.90428437193913,21.6,0.4189424,25104,0.009988364,11.594913368225098
1900,,0.013205618,,1.0,107.62470006942749,0.013205618,100,220.705105628936,23.08,0.4189424,27412,0.009723277,9.8955912399292
2000,,0.0105226515,,1.0,113.33687686920166,0.0105226515,100,224.7044473705207,23.48,0.4189424,29760,0.009845387,12.094914684295654
2100,,0.0067475685,,1.0,118.98454165458679,0.0067475685,100,278.28149038922396,28.84,0.4189424,32644,0.0100263525,18.49200310707092
2200,,0.008242222,,1.0,124.39302444458008,0.008242222,100,272.58101845100003,28.27,0.4189424,35471,0.009641854,14.992147445678711
2300,,0.007803634,,1.0,130.22674584388733,0.007803634,100,348.75184370869005,35.89,0.4189424,39060,0.009309642,21.98976881980896
2400,,0.009029865,,1.0,136.30398035049438,0.009029865,100,311.68103074108404,32.18,0.4189424,42278,0.009949567,19.89193021774292
2500,,0.015603975,,1.0,142.27457690238953,0.015603975,100,352.0488758757326,36.22,0.4189424,45900,0.010011692,28.98756057739258
2600,,0.008669793,,1.0,148.47704362869263,0.008669793,100,357.55096985085873,36.77,0.4189424,49577,0.009826066,29.78592156410217
2700,,0.009544313,,1.0,154.5762951374054,0.009544313,100,409.3455834206072,41.95,0.4189424,53772,0.008740654,50.28221428871155
2800,,0.011865199,,1.0,160.6566083431244,0.011865199,100,414.94361992699794,42.51,0.4189424,58023,0.009183784,34.18580966949463
2900,,0.013586607,,1.0,166.59262824058533,0.013586607,100,426.5213636375474,43.67,0.4189424,62390,0.009526775,38.38424620628357
3000,,0.016189868,,1.0,172.89032554626465,0.016189868,100,429.52595132192886,43.97,0.4189424,66787,0.009523114,31.785666427612306
3100,,0.0084156785,,1.0,179.23954892158508,0.0084156785,100,462.0198711115097,47.22,0.4189424,71509,0.00913967,42.87993327140808
3200,,0.0068408856,,1.0,185.2288224697113,0.0068408856,100,421.63617693035894,43.18,0.4189424,75827,0.00794484,33.88665060043335
3300,,0.010675453,,1.0,191.69152522087097,0.010675453,100,418.82855598720323,42.9,0.4189424,80117,0.009948423,35.28285422325134
3400,,0.010152612,,1.0,197.52400636672974,0.010152612,100,468.31806416844466,47.85,0.4189424,84902,0.009977349,47.97993328094483
3500,,0.005687983,,1.0,203.76893424987793,0.005687983,100,447.3165036103164,45.75,0.4189424,89477,0.008377108,38.480687866210936
3600,,0.008401316,,1.0,210.43379187583923,0.008401316,100,452.22701230988156,46.24,0.4189424,94101,0.009634845,49.084538249969484
3700,,0.010469999,,1.0,216.94382095336914,0.010469999,100,509.11077143336786,51.93,0.4189424,99294,0.00988023,58.47605432510376
3800,,0.0079209125,,1.0,224.00730848312378,0.0079209125,100,432.2205358333673,44.24,0.4189424,103718,0.009387196,28.786025733947753
3900,,0.0049747047,,1.0,230.51159620285034,0.0049747047,100,383.94096505985254,39.41,0.4189424,107659,0.009702601,30.78834711074829
4000,,0.013608307,,1.0,238.67448329925537,0.013608307,100,406.5414436714091,41.67,0.4189424,111826,0.009428026,26.0886256980896
4100,,0.008945639,,1.0,246.15310788154602,0.008945639,100,461.21487576933635,47.14,0.4189424,116540,0.010018547,52.47874913215637
4200,,0.017482117,,1.0,253.65688633918762,0.017482117,100,555.0974366036397,56.53,0.4189424,122193,0.009994597,56.8768976688385
4300,,0.009074272,,1.0,260.80981183052063,0.009074272,100,580.4877416819827,59.07,0.4189424,128100,0.009702682,67.97560710906983
4400,,0.011489745,,1.0,267.8591637611389,0.011489745,100,546.8009933783021,55.7,0.4189424,133670,0.009791115,68.67599174499512
