optimgain,TimeElapsed,entropy,meankl,ev_tdlam_before,Step_size,DiscEpRewMean,EpRewMean,entloss,EpisodesSoFar,TimestepsSoFar,EpLenMean,surrgain,EpThisIter
0.004774629,6.082998275756836,0.4189424,0.009376553,,1.0,0.9988509464263916,76.25464103708053,,100,863,8.63,0.004774629,100
0.0076830126,11.976558446884155,0.4189424,0.009232844,,1.0,1.599196662902832,76.35117699513839,,200,1727,8.64,0.0076830126,100
0.00680198,18.089783668518066,0.4189424,0.009057756,,1.0,2.1989048290252686,82.45187782966299,,300,2652,9.25,0.00680198,100
0.0066311755,23.981723070144653,0.4189424,0.008847661,,1.0,2.898105812072754,97.14276175062449,,400,3724,10.72,0.0066311755,100
0.005345603,29.831501245498657,0.4189424,0.009682707,,1.0,2.598241672515869,96.84202224464345,,500,4793,10.69,0.005345603,100
0.0036161884,35.46054768562317,0.4189424,0.00847652,,1.0,2.498063688278198,93.4462602355022,,600,5828,10.35,0.0036161884,100
0.009500726,41.00067925453186,0.4189424,0.009646324,,1.0,8.194970588684082,112.64033288261452,,700,7055,12.27,0.009500726,100
0.0054120785,46.63807964324951,0.4189424,0.009728118,,1.0,4.398539743423462,114.44055249946842,,800,8300,12.45,0.0054120785,100
0.0055965893,52.405301094055176,0.4189424,0.009964123,,1.0,2.098687324523926,131.3366737723427,,900,9714,14.14,0.0055965893,100
0.009529521,57.994815826416016,0.4189424,0.009404962,,1.0,4.59804515838623,158.62366132275952,,1000,11401,16.87,0.009529521,100
0.0053719035,63.25499749183655,0.4189424,0.009145523,,1.0,3.7984797859191897,148.22301013605104,,1100,12984,15.83,0.0053719035,100
0.006161575,68.76961183547974,0.4189424,0.009547276,,1.0,6.995624265670776,152.62054663443612,,1200,14611,16.27,0.006161575,100
0.008112454,74.26796269416809,0.4189424,0.010009778,,1.0,7.196687984466553,177.21294512820828,,1300,16484,18.73,0.008112454,100
0.0112109305,79.92563152313232,0.4189424,0.009687556,,1.0,8.49601957321167,182.41409840978045,,1400,18409,19.25,0.0112109305,100
