TimestepsSoFar,EpRewMean,EpLenMean,meankl,entropy,surrgain,EpisodesSoFar,TimeElapsed,optimgain,entloss,EpThisIter,ev_tdlam_before,DiscEpRewMean,Step_size
1073433,993.949196638474,100.42,0.00850435,0.4189424,0.0054532057,11400,3945.6691517829895,0.0054532057,,100,,195.6496082496643,1.0
1083810,1027.4487326168155,103.77,0.00938965,0.4189424,0.014332839,11500,3984.1652462482452,0.014332839,,100,,200.2482076740265,1.0
1094542,1062.9517509614436,107.32,0.0089857755,0.4189424,0.009157948,11600,4017.920421600342,0.009157948,,100,,249.0455352115631,1.0
1105317,1067.253538150234,107.75,0.010000046,0.4189424,0.008470427,11700,4043.664147377014,0.008470427,,100,,225.44590394973756,1.0
1116214,1079.455418281765,108.97,0.008584995,0.4189424,0.0073720715,11800,4067.7612993717194,0.0073720715,,100,,218.94767415046692,1.0
1127388,1107.1506246480244,111.74,0.0057914476,0.4189424,0.0053595835,11900,4096.778093576431,0.0053595835,,100,,266.3427113056183,1.0
1138192,1070.157497261807,108.04,0.004645326,0.4189424,0.008555764,12000,4125.332972764969,0.008555764,,100,,239.3471949481964,1.0
1149184,1088.9539753824395,109.92,0.007735593,0.4189424,0.0034861853,12100,4161.98971581459,0.0034861853,,100,,269.7450864696503,1.0
1160246,1095.9564016813924,110.62,0.0066853273,0.4189424,0.0050211526,12200,4203.038628101349,0.0050211526,,100,,251.54578454017638,1.0
1170591,1024.2632875399504,103.45,0.005330365,0.4189424,0.005882589,12300,4229.866902589798,0.005882589,,100,,212.44993978500366,1.0
1181515,1082.1579762778663,109.24,0.008939262,0.4189424,0.00962731,12400,4254.591958522797,0.00962731,,100,,252.3460371208191,1.0
1192598,1098.0562501014397,110.83,0.005878055,0.4189424,0.002797406,12500,4279.282356500626,0.002797406,,100,,274.2439570236206,1.0
1204011,1131.0520514279501,114.13,0.009368734,0.4189424,0.008864676,12600,4314.2928376197815,0.008864676,,100,,263.4428207588196,1.0
1215095,1098.1519853649181,110.84,0.010047077,0.4189424,0.010951093,12700,4341.3537085056305,0.010951093,,100,,272.3439841079712,1.0
1226450,1125.248621114371,113.55,0.008196667,0.4189424,0.004802339,12800,4369.534044742584,0.004802339,,100,,243.04288913726808,1.0
1236995,1044.2502215981442,105.45,0.008199771,0.4189424,0.0027887344,12900,4399.964586496353,0.0027887344,,100,,215.54744265556334,1.0
1247668,1057.0465978826278,106.73,0.0033578344,0.4189424,0.0050014276,13000,4431.517902374268,0.0050014276,,100,,227.64400360107422,1.0
1258891,1112.047573658642,112.23,0.007981918,0.4189424,0.009075154,13100,4458.683328866959,0.009075154,,100,,240.94204869270325,1.0
1270349,1135.5411513945908,114.58,0.009398306,0.4189424,0.004685719,13200,4488.804228544235,0.004685719,,100,,249.14052089691162,1.0
1281698,1124.6451378842282,113.49,0.009511615,0.4189424,0.010337406,13300,4520.582191228867,0.010337406,,100,,262.1407341194153,1.0
1293173,1137.2408747779702,114.75,0.008089987,0.4189424,0.005233187,13400,4552.941056013107,0.005233187,,100,,263.2397458076477,1.0
1304392,1111.646150484153,112.19,0.009602682,0.4189424,0.0036478448,13500,4580.489969968796,0.0036478448,,100,,268.34001544952395,1.0
1316060,1156.5471088835416,116.68,0.010012611,0.4189424,0.005704966,13600,4612.277295827866,0.005704966,,100,,269.5390927219391,1.0
1326893,1073.0501576203383,108.33,0.009678543,0.4189424,0.0072843097,13700,4643.275961399078,0.0072843097,,100,,247.04510994911195,1.0
1337624,1062.8472043353365,107.31,0.007978503,0.4189424,0.007990527,13800,4673.584991693497,0.007990527,,100,,224.44463116645812,1.0
1347813,1008.647090906239,101.89,0.008405784,0.4189424,0.007644586,13900,4696.7057502269745,0.007644586,,100,,198.14718710899353,1.0
1358970,1105.4460672488387,111.57,0.009915113,0.4189424,0.009039439,14000,4727.515085220337,0.009039439,,100,,281.04048362731936,1.0
1369539,1046.65271961703,105.69,0.009059351,0.4189424,0.007556235,14100,4757.5402772426605,0.007556235,,100,,230.8465621471405,1.0
1380545,1090.3456138610197,110.06,0.009877074,0.4189424,0.004955237,14200,4793.433612823486,0.004955237,,100,,223.34469930648802,1.0
1391650,1100.2431947560547,111.05,0.010101466,0.4189424,0.012259077,14300,4827.246791362762,0.012259077,,100,,247.24349033355713,1.0
1402720,1096.7505594884083,110.7,0.009812806,0.4189424,0.012961171,14400,4855.9395298957825,0.012961171,,100,,249.34428977012635,1.0
1413833,1101.0407296598291,111.13,0.003093551,0.4189424,0.004487363,14500,4883.225585699081,0.004487363,,100,,244.7422700023651,1.0
1425191,1125.5451555320174,113.58,0.009557668,0.4189424,0.0089610135,14600,4911.42685842514,0.0089610135,,100,,241.04201111793517,1.0
1436967,1167.3407902585204,117.76,0.0069153076,0.4189424,0.0020634667,14700,4946.603420495987,0.0020634667,,100,,273.1380110359192,1.0
