TimestepsSoFar,EpLenMean,optimgain,entropy,surrgain,TimeElapsed,EpRewMean,Step_size,ev_tdlam_before,EpThisIter,entloss,EpisodesSoFar,DiscEpRewMean,meankl
834,8.34,0.007066546,0.4189424,0.007066546,5.973086833953857,73.3542518351555,1.0,,100,,100,0.39950989723205566,0.008799807
1834,10.0,0.0065175067,0.4189424,0.0065175067,11.362452745437622,89.95277880274516,1.0,,100,,200,1.7987808513641357,0.009108964
2903,10.69,0.007073529,0.4189424,0.007073529,16.63945484161377,96.84876627672028,1.0,,100,,300,3.5981871509552,0.0096872905
4129,12.26,0.007141218,0.4189424,0.007141218,21.98748278617859,112.53474379476411,1.0,,100,,400,4.498425989151001,0.009417718
5250,11.21,0.006426698,0.4189424,0.006426698,27.191667318344116,102.0422662863665,1.0,,100,,500,4.798786659240722,0.009818297
6588,13.38,0.008183709,0.4189424,0.008183709,32.22499918937683,123.732350031696,1.0,,100,,600,1.798761444091797,0.009796886
7883,12.95,0.0074336543,0.4189424,0.0074336543,37.6034893989563,119.43198872752451,1.0,,100,,700,5.798307237625122,0.009141732
9173,12.9,0.0092127165,0.4189424,0.0092127165,43.08656573295593,118.92899689737487,1.0,,100,,800,2.9988173770904543,0.009836013
10395,12.22,0.005686735,0.4189424,0.005686735,48.55891704559326,112.14175311174338,1.0,,100,,900,3.1987009620666504,0.010014636
12088,16.93,0.006295508,0.4189424,0.006295508,53.882060050964355,159.2183302470207,1.0,,100,,1000,7.495193710327149,0.00970424
13603,15.15,0.005933428,0.4189424,0.005933428,59.79066276550293,141.42878917780843,1.0,,100,,1100,7.795848751068116,0.009689371
15115,15.12,0.0052672485,0.4189424,0.0052672485,65.36887001991272,141.11934631202135,1.0,,100,,1200,3.39824987411499,0.009343371
16719,16.04,0.00692104,0.4189424,0.00692104,71.1782443523407,150.32436453717864,1.0,,100,,1300,5.697264890670777,0.009459742
18476,17.57,0.006539154,0.4189424,0.006539154,77.23207330703735,165.61749408947736,1.0,,100,,1400,6.695901002883911,0.009951416
20286,18.1,0.010622832,0.4189424,0.010622832,83.08843994140625,170.9147572037913,1.0,,100,,1500,6.097353134155274,0.010033757
22661,23.75,0.009470265,0.4189424,0.009470265,88.67395997047424,227.39276181922295,1.0,,100,,1600,8.195672817230225,0.009681274
24903,22.42,0.0073770867,0.4189424,0.0073770867,93.7991840839386,214.0907314201043,1.0,,100,,1700,9.095802602767945,0.009986901
27925,30.22,0.005908515,0.4189424,0.005908515,99.70034432411194,292.06155807805203,1.0,,100,,1800,24.79091718673706,0.0097863
30914,29.89,0.009309674,0.4189424,0.009309674,105.2370114326477,288.77562639826937,1.0,,100,,1900,15.2937300491333,0.00989995
34295,33.81,0.010590502,0.4189424,0.010590502,111.35707020759583,327.951905554409,1.0,,100,,2000,27.288358840942383,0.009477213
37898,36.03,0.016429609,0.4189424,0.016429609,117.4313542842865,350.15204602276094,1.0,,100,,2100,23.788944911956786,0.009869219
41774,38.76,0.012650794,0.4189424,0.012650794,123.36669874191284,377.43692881294476,1.0,,100,,2200,30.686317625045778,0.009539797
46030,42.56,0.012608045,0.4189424,0.012608045,128.71495413780212,415.4284128891239,1.0,,100,,2300,41.984096450805666,0.009762399
50702,46.72,0.014145342,0.4189424,0.014145342,134.94287276268005,457.0207328909778,1.0,,100,,2400,35.787536230087284,0.009572658
55294,45.92,0.012600313,0.4189424,0.012600313,141.48866629600525,449.0238485434474,1.0,,100,,2500,33.88249607086182,0.009581168
59987,46.93,0.012918321,0.4189424,0.012918321,149.45180344581604,459.112801876413,1.0,,100,,2600,43.48305234909058,0.009782087
65120,51.33,0.014076304,0.4189424,0.014076304,156.59227585792542,503.1128321700019,1.0,,100,,2700,45.68227463722229,0.0092485575
70561,54.41,0.012021074,0.4189424,0.012021074,163.22477960586548,533.9163685475725,1.0,,100,,2800,59.47871214866638,0.009864528
75863,53.02,0.0140336985,0.4189424,0.0140336985,170.24315762519836,520.0028191217026,1.0,,100,,2900,51.07996154785156,0.008751339
80532,46.69,0.013068881,0.4189424,0.013068881,176.12814164161682,456.71863673430016,1.0,,100,,3000,45.78306053161621,0.009733827
85767,52.35,0.018053638,0.4189424,0.018053638,182.948983669281,513.3021743528454,1.0,,100,,3100,58.67640525817871,0.0100072045
91672,59.05,0.023174893,0.4189424,0.023174893,189.85018157958984,580.2862154819719,1.0,,100,,3200,71.97252908706665,0.0096374545
97927,62.55,0.009718883,0.4189424,0.009718883,197.239022731781,615.2749087999784,1.0,,100,,3300,82.76744916915894,0.009955869
103865,59.38,0.016280532,0.4189424,0.016280532,204.56612396240234,583.5745427552789,1.0,,100,,3400,64.27655670166016,0.009835456
110241,63.76,0.020256132,0.4189424,0.020256132,212.28682351112366,627.3717771435568,1.0,,100,,3500,85.6709295463562,0.009794877
117072,68.31,0.021002937,0.4189424,0.021002937,218.5919952392578,672.8568703640227,1.0,,100,,3600,85.2665897655487,0.009974077
123992,69.2,0.017772712,0.4189424,0.017772712,224.86063981056213,681.7680892035003,1.0,,100,,3700,87.07515833854676,0.009782984
131313,73.21,0.021106722,0.4189424,0.021106722,232.2142345905304,721.8617548607683,1.0,,100,,3800,113.66268578529358,0.009947756
138684,73.71,0.017395576,0.4189424,0.017395576,239.19151496887207,726.8701548042899,1.0,,100,,3900,102.26669686317445,0.009992393
146018,73.34,0.018061027,0.4189424,0.018061027,245.78903150558472,723.1526635206375,1.0,,100,,4000,119.36202264785767,0.009905327
153774,77.56,0.02059474,0.4189424,0.02059474,252.21338057518005,765.3425087085415,1.0,,100,,4100,125.45613849639892,0.009981093
161437,76.63,0.023969596,0.4189424,0.023969596,259.4516143798828,756.0469739782413,1.0,,100,,4200,105.16454333305359,0.009701753
169336,78.99,0.020321365,0.4189424,0.020321365,268.0580892562866,779.644162001566,1.0,,100,,4300,134.1557685279846,0.0093815075
177513,81.77,0.017718755,0.4189424,0.017718755,276.35939955711365,807.4308703518328,1.0,,100,,4400,135.1536029624939,0.009865191
