Step_size,meankl,optimgain,DiscEpRewMean,entloss,TimestepsSoFar,EpThisIter,TimeElapsed,EpRewMean,surrgain,ev_tdlam_before,EpisodesSoFar,entropy,EpLenMean
1.0,0.009743427,0.006615871,0.8993426609039307,,864,100,5.874115705490112,76.35213825887638,0.006615871,,100,0.4189424,8.64
1.0,0.009394005,0.004292674,2.7990420722961424,,1779,100,11.223282098770142,81.45158183057737,0.004292674,,200,0.4189424,9.15
1.0,0.009125939,0.0025233899,1.798970193862915,,2795,100,16.578777313232422,91.54897840984114,0.0025233899,,300,0.4189424,10.16
1.0,0.009605452,0.0051556127,4.398371849060059,,3846,100,21.96681022644043,95.04637787453032,0.0051556127,,400,0.4189424,10.51
1.0,0.009751015,0.0067727733,1.5989932823181152,,5033,100,27.309934616088867,108.6332885819998,0.0067727733,,500,0.4189424,11.87
1.0,0.009799182,0.004766894,2.8974925231933595,,6277,100,32.66973900794983,114.33960851738017,0.004766894,,600,0.4189424,12.44
1.0,0.009892659,0.003951871,2.6987788009643556,,7634,100,38.137717962265015,125.62979165312063,0.003951871,,700,0.4189424,13.57
1.0,0.009569256,0.005811736,3.4984682273864744,,8975,100,43.614009618759155,124.03603382262703,0.005811736,,800,0.4189424,13.41
1.0,0.009948181,0.005459708,3.2980040454864503,,10453,100,48.95883369445801,137.72791403067134,0.005459708,,900,0.4189424,14.78
1.0,0.009594428,0.008066273,6.595924491882324,,11981,100,54.26746106147766,142.7223232324951,0.008066273,,1000,0.4189424,15.28
1.0,0.009778439,0.007735835,7.297051773071289,,13495,100,59.864306688308716,141.33027238395567,0.007735835,,1100,0.4189424,15.14
1.0,0.009974106,0.007053799,6.797537631988526,,15103,100,65.05888772010803,150.7290863884553,0.007053799,,1200,0.4189424,16.08
1.0,0.009389329,0.005238671,7.395582933425903,,17057,100,70.61057186126709,185.3114255429207,0.005238671,,1300,0.4189424,19.54
