optimgain,entloss,ev_tdlam_before,DiscEpRewMean,TimestepsSoFar,meankl,EpisodesSoFar,Step_size,entropy,surrgain,EpThisIter,EpLenMean,EpRewMean,TimeElapsed
0.0038207434,,,0.9988463211059571,812,0.009167526,100,1.0,0.4189424,0.0038207434,100,8.12,71.1569832752821,18.54013228416443
0.0054169972,,,0.3995711898803711,1793,0.009066329,200,1.0,0.4189424,0.0054169972,100,9.81,88.05098943001848,38.45210576057434
0.0041983486,,,0.698922700881958,2786,0.00926527,300,1.0,0.4189424,0.0041983486,100,9.93,89.24709215515318,59.28503346443176
0.0039564976,,,2.0990874862670896,4007,0.0099269925,400,1.0,0.4189424,0.0039564976,100,12.21,112.03800019679467,88.47785186767578
0.007102135,,,0.9991113185882569,5153,0.009809388,500,1.0,0.4189424,0.007102135,100,11.46,104.53819647765835,119.02356505393982
0.005731757,,,2.8976574325561524,6301,0.009974759,600,1.0,0.4189424,0.005731757,100,11.48,104.7412132921686,154.58806943893433
0.0091354605,,,1.7988373947143554,7670,0.009818515,700,1.0,0.4189424,0.0091354605,100,13.69,126.83207897732791,193.16489148139954
0.008821105,,,1.898997392654419,9096,0.009435032,800,1.0,0.4189424,0.008821105,100,14.26,132.524898161514,230.36108660697937
0.007989324,,,8.796103038787841,10905,0.009824212,900,1.0,0.4189424,0.007989324,100,18.09,170.8056431623085,272.64847207069397
0.007545465,,,6.897838563919067,12690,0.009775342,1000,1.0,0.4189424,0.007545465,100,17.85,168.42372379982308,308.98321771621704
0.013121073,,,10.794215450286865,14773,0.00966307,1100,1.0,0.4189424,0.013121073,100,20.83,198.1939904771276,347.0690817832947
0.011060371,,,12.694179458618164,16835,0.009796318,1200,1.0,0.4189424,0.011060371,100,20.62,196.11249236791048,392.2835428714752
0.011386709,,,9.894848461151122,19158,0.0099680675,1300,1.0,0.4189424,0.011386709,100,23.23,222.19307084309492,433.317494392395
0.013017882,,,29.88634630203247,21958,0.009584922,1400,1.0,0.4189424,0.013017882,100,28.0,269.87870813888526,479.9533705711365
0.012471677,,,19.790103912353516,25324,0.009391651,1500,1.0,0.4189424,0.012471677,100,33.66,326.44976845403295,527.4699757099152
0.01400852,,,21.292000637054443,28368,0.009712064,1600,1.0,0.4189424,0.01400852,100,30.44,294.26453849150255,572.6437239646912
0.012200715,,,33.887696475982665,32296,0.009840735,1700,1.0,0.4189424,0.012200715,100,39.28,382.63173544069593,614.1622002124786
0.016050875,,,32.58357502937317,36423,0.009857679,1800,1.0,0.4189424,0.016050875,100,41.27,402.515887786357,660.9586341381073
0.01088808,,,43.08300806999207,40706,0.009639941,1900,1.0,0.4189424,0.01088808,100,42.83,418.12396547603566,708.614387512207
0.013822982,,,42.681850337982176,45645,0.009622449,2000,1.0,0.4189424,0.013822982,100,49.39,483.6968596613062,760.1010327339172
0.016833344,,,51.08072671890259,50969,0.009695259,2100,1.0,0.4189424,0.016833344,100,53.24,522.1901370627781,806.5209419727325
0.017327363,,,128.95554677963256,58136,0.010005081,2200,1.0,0.4189424,0.017327363,100,71.67,706.4431621910643,849.9376246929169
0.014603896,,,159.4492577934265,66688,0.009097543,2300,1.0,0.4189424,0.014603896,100,85.52,844.9070774131151,904.647501707077
0.020411229,,,155.75178159713744,76048,0.009821352,2400,1.0,0.4189424,0.020411229,100,93.6,925.6913721456483,956.2007400989532
0.017687913,,,234.43125160217286,86797,0.009322093,2500,1.0,0.4189424,0.017687913,100,107.49,1064.5912510954468,1021.2034125328064
0.02100575,,,252.12902886390685,98026,0.009633937,2600,1.0,0.4189424,0.02100575,100,112.29,1112.587630770076,1096.509611606598
0.0037742725,,,298.2239886665344,110104,0.0094695445,2700,1.0,0.4189424,0.0037742725,100,120.78,1197.5011445496127,1158.463261127472
0.0068828086,,,336.2312655639648,123090,0.0068557616,2800,1.0,0.4189424,0.0068828086,100,129.86,1288.3290365067414,1228.204575061798
0.016225684,,,314.63295586585997,135455,0.009272542,2900,1.0,0.4189424,0.016225684,100,123.65,1226.2341696836143,1302.0113756656647
0.011871445,,,365.0288165283203,149178,0.009688118,3000,1.0,0.4189424,0.011871445,100,137.23,1362.0435033570857,1376.760885477066
0.0071215327,,,357.12630842208864,162995,0.0065964465,3100,1.0,0.4189424,0.0071215327,100,138.17,1371.4333693613717,1462.2046225070953
0.0067288484,,,353.12040740966796,176462,0.009847388,3200,1.0,0.4189424,0.0067288484,100,134.67,1336.402480020536,1540.261500120163
0.009674897,,,358.42153535842897,190410,0.009216027,3300,1.0,0.4189424,0.009674897,100,139.48,1384.5026245813494,1617.9234852790833
0.0068423157,,,410.2285095500946,204398,0.009997229,3400,1.0,0.4189424,0.0068423157,100,139.88,1388.5502816779085,1691.7545521259308
0.0063064257,,,371.2207580089569,218397,0.009671954,3500,1.0,0.4189424,0.0063064257,100,139.99,1389.5973283014243,1781.5121941566467
0.0056651025,,,406.51873098373414,232030,0.009237981,3600,1.0,0.4189424,0.0056651025,100,136.33,1353.025068329212,1863.3595292568207
0.0142746065,,,392.7321528434753,246194,0.008302654,3700,1.0,0.4189424,0.0142746065,100,141.64,1406.1599096022258,1942.4747800827026
0.010082501,,,412.1225257968903,260346,0.0067272447,3800,1.0,0.4189424,0.010082501,100,141.52,1404.9446777883238,2021.051441669464
0.010832,,,329.7334605026245,272996,0.00756038,3900,1.0,0.4189424,0.010832,100,126.5,1254.7630895295342,2091.3883471488953
0.012845442,,,305.1374075698852,285285,0.009152668,4000,1.0,0.4189424,0.012845442,100,122.89,1218.6597182091614,2177.785682439804
0.0132752685,,,264.6453612041473,296711,0.0081323525,4100,1.0,0.4189424,0.0132752685,100,114.26,1132.3687836852055,2246.3195476531982
0.010570894,,,301.64287789344786,309337,0.009858179,4200,1.0,0.4189424,0.010570894,100,126.26,1252.3711294753605,2337.071507692337
