EpThisIter,surrgain,EpisodesSoFar,optimgain,EpLenMean,meankl,TimestepsSoFar,DiscEpRewMean,TimeElapsed,entloss,Step_size,entropy,EpRewMean,ev_tdlam_before
100,0.0056188954,100,0.0056188954,8.96,0.00925506,896,1.2988135719299316,75.47348117828369,,1.0,0.4189424,79.54855054824354,
100,0.004756356,200,0.004756356,8.04,0.008904726,1700,0.7994021701812745,93.36795592308044,,1.0,0.4189424,70.35456138280824,
100,0.0055385455,300,0.0055385455,9.75,0.008863162,2675,1.8989985466003418,150.1596963405609,,1.0,0.4189424,87.44905435635636,
100,0.0060221325,400,0.0060221325,10.66,0.009673106,3741,2.998649139404297,182.58332777023315,,1.0,0.4189424,96.54767566295446,
100,0.0049310443,500,0.0049310443,11.26,0.009308551,4867,3.4977986812591553,227.86108827590942,,1.0,0.4189424,102.54393800811255,
100,0.0046178997,600,0.0046178997,11.83,0.007855813,6050,4.0971455574035645,268.6326220035553,,1.0,0.4189424,108.24521615714634,
100,0.0035811276,700,0.0035811276,11.31,0.009561355,7181,3.198313455581665,302.558132648468,,1.0,0.4189424,103.0470138535837,
100,0.007978572,800,0.007978572,11.9,0.00965107,8371,2.0989938831329344,338.8588492870331,,1.0,0.4189424,108.9419150910813,
100,0.0063390965,900,0.0063390965,12.06,0.009234719,9577,4.298608341217041,383.56473445892334,,1.0,0.4189424,110.54249701937195,
100,0.004615815,1000,0.004615815,12.9,0.009860382,10867,5.297754220962524,438.1117796897888,,1.0,0.4189424,118.93707769027202,
100,0.0053956946,1100,0.0053956946,12.61,0.0098073585,12128,2.698461685180664,484.276837348938,,1.0,0.4189424,116.03740818687032,
100,0.0056940136,1200,0.0056940136,13.37,0.009313498,13465,3.298860540390015,505.4044232368469,,1.0,0.4189424,123.63450416365076,
100,0.004967555,1300,0.004967555,14.14,0.009450989,14879,3.0983359718322756,524.8246850967407,,1.0,0.4189424,131.33617824365334,
100,0.006619539,1400,0.006619539,13.72,0.009748282,16251,3.1982171058654787,555.3007607460022,,1.0,0.4189424,127.13678613545743,
100,0.007420696,1500,0.007420696,15.57,0.009791219,17808,6.796560201644898,585.5118155479431,,1.0,0.4189424,145.6287987677081,
100,0.003694007,1600,0.003694007,13.81,0.009515561,19189,4.497527465820313,635.2598719596863,,1.0,0.4189424,128.03662505578257,
100,0.007821891,1700,0.007821891,16.92,0.0093814945,20881,8.896388063430786,678.9304118156433,,1.0,0.4189424,159.1269598319699,
100,0.009950709,1800,0.009950709,18.13,0.009971897,22694,5.097450361251831,711.483259677887,,1.0,0.4189424,171.21645499206258,
100,0.0064775893,1900,0.0064775893,19.43,0.009231361,24637,8.296680526733399,757.1810991764069,,1.0,0.4189424,184.21171551545592,
100,0.0085372655,2000,0.0085372655,19.8,0.009865614,26617,5.1961580181121825,782.8075368404388,,1.0,0.4189424,187.91428510289302,
100,0.010059119,2100,0.010059119,20.12,0.009821777,28629,10.6954185962677,822.4746329784393,,1.0,0.4189424,191.10715949394776,
100,0.009350742,2200,0.009350742,23.79,0.0097777285,31008,11.094654273986816,840.6914587020874,,1.0,0.4189424,227.7926551639849,
100,0.010321509,2300,0.010321509,24.35,0.009339518,33443,12.393618612289428,880.7249708175659,,1.0,0.4189424,233.38792021830574,
100,0.008133278,2400,0.008133278,23.66,0.009748511,35809,10.693631906509399,918.6056697368622,,1.0,0.4189424,226.48892737503311,
100,0.00786979,2500,0.00786979,24.46,0.009677828,38255,9.49552604675293,960.1087865829468,,1.0,0.4189424,234.4924118042971,
100,0.00885499,2600,0.00885499,28.4,0.009870571,41095,20.293212041854858,987.7132890224457,,1.0,0.4189424,273.8733004805573,
100,0.011390198,2700,0.011390198,30.56,0.009559889,44151,20.69192862510681,1024.143848657608,,1.0,0.4189424,295.4732207977846,
100,0.009079136,2800,0.009079136,32.73,0.009154681,47424,27.485562534332274,1053.6294827461243,,1.0,0.4189424,317.1649097189362,
100,0.0102463765,2900,0.0102463765,36.45,0.009816551,51069,28.39057596206665,1089.3819258213043,,1.0,0.4189424,354.3474344931802,
100,0.016557883,3000,0.016557883,37.31,0.0099113975,54800,30.98816716194153,1120.7464787960052,,1.0,0.4189424,362.9641052047667,
100,0.0082994895,3100,0.0082994895,39.81,0.009722596,58781,29.885708322525023,1155.7598295211792,,1.0,0.4189424,387.94669408307715,
100,0.013479092,3200,0.013479092,47.31,0.009812765,63512,39.48466973304748,1196.7639288902283,,1.0,0.4189424,462.92857083930807,
100,0.015326278,3300,0.015326278,44.66,0.009668824,67978,39.48432105064392,1224.6990513801575,,1.0,0.4189424,436.43644913383383,
100,0.011983084,3400,0.011983084,49.08,0.009610114,72886,40.68426695823669,1264.3098912239075,,1.0,0.4189424,480.624092590281,
100,0.014499043,3500,0.014499043,50.75,0.009480214,77961,53.87956009864807,1293.059932231903,,1.0,0.4189424,497.31595374826423,
100,0.010561848,3600,0.010561848,49.49,0.009515984,82910,51.58363017082215,1333.3907878398895,,1.0,0.4189424,484.72195560595304,
100,0.008833226,3700,0.008833226,43.65,0.009765903,87275,42.084187259674074,1367.5240569114685,,1.0,0.4189424,426.33703084526553,
100,0.011787119,3800,0.011787119,49.34,0.008815226,92209,39.583461713790896,1408.604410648346,,1.0,0.4189424,483.21642250835544,
100,0.0073770825,3900,0.0073770825,45.46,0.00948066,96755,45.28349962234497,1461.9634594917297,,1.0,0.4189424,444.4357653101441,
100,0.011596299,4000,0.011596299,47.36,0.009690359,101491,44.17759582519531,1490.8843421936035,,1.0,0.4189424,463.41931022263185,
100,0.014940198,4100,0.014940198,50.73,0.009603806,106564,57.3803920841217,1533.0616631507874,,1.0,0.4189424,497.1158911042059,
