EpLenMean,Step_size,meankl,optimgain,EpThisIter,TimeElapsed,ev_tdlam_before,entropy,DiscEpRewMean,entloss,EpisodesSoFar,EpRewMean,TimestepsSoFar,surrgain
8.39,1.0,0.009533485,0.005455062,100,8.299467086791992,,0.4189424,1.9982126331329346,,100,73.85278396842422,839,0.005455062
9.92,1.0,0.009240565,0.0065002404,100,14.72466254234314,,0.4189424,1.8987764453887939,,200,89.14996943363423,1831,0.0065002404
11.03,1.0,0.009894541,0.0065446887,100,21.797493934631348,,0.4189424,1.4988334274291992,,300,100.24578242846763,2934,0.0065446887
10.13,1.0,0.009552739,0.008598964,100,27.762705087661743,,0.4189424,3.0981758880615233,,400,91.24272658583327,3947,0.008598964
12.82,1.0,0.009121436,0.00852777,100,34.72061038017273,,0.4189424,3.598411350250244,,500,118.13588514360396,5229,0.00852777
12.11,1.0,0.009677886,0.0062722047,100,41.78518891334534,,0.4189424,5.396725234985351,,600,111.0381269809516,6440,0.0062722047
13.55,1.0,0.009872425,0.005901789,100,49.10826635360718,,0.4189424,4.0984992504119875,,700,125.4302747407696,7795,0.005901789
12.61,1.0,0.009460278,0.008192595,100,60.278116941452026,,0.4189424,5.797994585037231,,800,116.03661400296974,9056,0.008192595
13.72,1.0,0.009885378,0.00826513,100,66.91742134094238,,0.4189424,2.798085536956787,,900,127.12833760411002,10428,0.00826513
15.2,1.0,0.008726134,0.004647472,100,74.71356678009033,,0.4189424,3.3978347110748293,,1000,141.9213529247747,11948,0.004647472
15.71,1.0,0.009907095,0.0073358594,100,85.81691789627075,,0.4189424,6.4949499607086185,,1100,147.0248750382403,13519,0.0073358594
15.84,1.0,0.009677527,0.010602792,100,99.60069704055786,,0.4189424,5.8970812225341795,,1200,148.32166739567586,15103,0.010602792
17.57,1.0,0.009920443,0.010311776,100,110.30345940589905,,0.4189424,4.196653661727905,,1300,165.61706618867117,16860,0.010311776
19.79,1.0,0.009936944,0.004816399,100,127.961678981781,,0.4189424,6.496684246063232,,1400,187.81135085345136,18839,0.004816399
21.53,1.0,0.0093789,0.010583657,100,136.88618564605713,,0.4189424,13.69179030418396,,1500,205.19398375433752,20992,0.010583657
23.01,1.0,0.009891277,0.010972781,100,152.25047945976257,,0.4189424,14.191967859268189,,1600,219.99218364124445,23293,0.010972781
22.06,1.0,0.009594817,0.0066290954,100,179.8058638572693,,0.4189424,7.296458320617676,,1700,210.5016205438824,25499,0.0066290954
