entropy,optimgain,meankl,EpisodesSoFar,ev_tdlam_before,surrgain,DiscEpRewMean,EpLenMean,TimestepsSoFar,entloss,EpRewMean,EpThisIter,TimeElapsed,Step_size
0.4189424,0.0058961306,0.0089753475,20700,,0.0058961306,283.9392617416382,116.32,2029603,,1152.9410373628966,100,2060.2913172245026,1.0
0.4189424,0.0030019544,0.0045786607,20800,,0.0030019544,257.5420318889618,108.98,2040501,,1079.5452199748577,100,2071.806427717209,1.0
0.4189424,0.0057934057,0.009888934,20900,,0.0057934057,257.4420733165741,107.02,2051203,,1059.942097647226,100,2083.582940340042,1.0
0.4189424,0.0027634846,0.0045975517,21000,,0.0027634846,263.0430429458618,115.76,2062779,,1147.3446627161889,100,2094.8388209342957,1.0
0.4189424,0.005874247,0.00968965,21100,,0.005874247,227.74620891571044,103.99,2073178,,1029.6434572382416,100,2106.209159851074,1.0
0.4189424,0.008398694,0.008872687,21200,,0.008398694,257.14203360557553,108.34,2084012,,1073.1425113457187,100,2117.34384226799,1.0
0.4189424,0.007851633,0.010203389,21300,,0.007851633,294.53981857299806,111.85,2095197,,1108.243921482111,100,2129.012575149536,1.0
0.4189424,0.00748189,0.009140159,21400,,0.00748189,277.73843240737915,112.01,2106398,,1109.8428220816056,100,2139.906748533249,1.0
0.4189424,0.0066862926,0.008716887,21500,,0.0066862926,225.94374662399292,109.86,2117384,,1088.3422567752023,100,2151.6987450122833,1.0
0.4189424,0.00467896,0.009715437,21600,,0.00467896,235.84143228530883,112.45,2128629,,1114.2440606410578,100,2163.365503311157,1.0
0.4189424,0.005272368,0.0049136872,21700,,0.005272368,270.0396577835083,115.01,2140130,,1139.8460228255767,100,2175.1149599552155,1.0
0.4189424,0.008694817,0.009123271,21800,,0.008694817,228.84584924697876,108.35,2150965,,1073.2476291454725,100,2187.0334005355835,1.0
0.4189424,0.007004363,0.009563789,21900,,0.007004363,258.94185037612914,114.73,2162438,,1137.0450732104184,100,2198.6053273677826,1.0
0.4189424,0.0024144542,0.0067750635,22000,,0.0024144542,246.94191711425782,112.22,2173660,,1111.9445353178985,100,2209.655604124069,1.0
0.4189424,0.012816158,0.010098391,22100,,0.012816158,262.6409532928467,112.63,2184923,,1116.045503336626,100,2220.507607936859,1.0
0.4189424,0.0076697157,0.009670603,22200,,0.0076697157,258.94146290779116,114.12,2196335,,1130.9437412590469,100,2232.0786192417145,1.0
