TimestepsSoFar,TimeElapsed,optimgain,EpThisIter,EpRewMean,entloss,Step_size,EpLenMean,EpisodesSoFar,meankl,ev_tdlam_before,entropy,DiscEpRewMean,surrgain
905,25.4788658618927,0.0054807146,100,80.4514074678434,,1.0,9.05,100,0.009388292,,0.4189424,1.0993280792236328,0.0054807146
1879,59.784783601760864,0.007998477,100,87.35155808737025,,1.0,9.74,200,0.009658136,,0.4189424,1.0991294002532959,0.007998477
2967,93.1787919998169,0.0074912854,100,98.74418766062703,,1.0,10.88,300,0.0093992045,,0.4189424,2.3987875843048094,0.0074912854
3978,134.3533775806427,0.0065715965,100,91.0460452504254,,1.0,10.11,400,0.009848747,,0.4189424,3.4971104145050047,0.0065715965
5294,173.79940795898438,0.008292269,100,121.53330910447981,,1.0,13.16,500,0.00916542,,0.4189424,1.5987349224090577,0.008292269
6558,216.13790345191956,0.0075157667,100,116.33160678485282,,1.0,12.64,600,0.009735397,,0.4189424,7.5964604759216305,0.0075157667
7744,255.78698253631592,0.0066871275,100,108.54065451190743,,1.0,11.86,700,0.00979136,,0.4189424,7.297436227798462,0.0066871275
9101,301.8149924278259,0.0058713392,100,125.63501825406847,,1.0,13.57,800,0.009624661,,0.4189424,5.5980213928222655,0.0058713392
10478,345.233948469162,0.0064715184,100,127.63127780342049,,1.0,13.77,900,0.0098440135,,0.4189424,3.398257989883423,0.0064715184
11828,386.38181161880493,0.009464327,100,124.93653243680889,,1.0,13.5,1000,0.009958258,,0.4189424,3.3980649089813233,0.009464327
13226,432.2622926235199,0.003903373,100,129.73209237197608,,1.0,13.98,1100,0.009599636,,0.4189424,6.397846546173096,0.003903373
14870,475.21307849884033,0.0064002452,100,154.31512731925187,,1.0,16.44,1200,0.009980068,,0.4189424,4.997533540725708,0.0064002452
16641,522.0643837451935,0.0052541774,100,167.02032043117725,,1.0,17.71,1300,0.009641055,,0.4189424,9.395145015716553,0.0052541774
18511,568.6047775745392,0.01135409,100,176.91123257626518,,1.0,18.7,1400,0.00972484,,0.4189424,5.597339344024658,0.01135409
20593,613.8797895908356,0.008264814,100,198.09836570728723,,1.0,20.82,1500,0.009631077,,0.4189424,9.895434885025024,0.008264814
22567,662.2230334281921,0.005016189,100,187.31053835319716,,1.0,19.74,1600,0.009120433,,0.4189424,7.595687751770019,0.005016189
24796,710.8446445465088,0.008517896,100,212.7999248307039,,1.0,22.29,1700,0.009022879,,0.4189424,12.394477310180664,0.008517896
26943,753.1885089874268,0.009890794,100,204.6022475887984,,1.0,21.47,1800,0.009980801,,0.4189424,10.395428876876831,0.009890794
29235,789.4914202690125,0.005492698,100,219.0948415673443,,1.0,22.92,1900,0.009276327,,0.4189424,16.692887134552002,0.005492698
31643,833.8320043087006,0.007315581,100,230.69679406002604,,1.0,24.08,2000,0.009926172,,0.4189424,12.094741106033325,0.007315581
34097,880.8217916488647,0.0052836975,100,235.2889873793241,,1.0,24.54,2100,0.009935223,,0.4189424,9.193756761550903,0.0052836975
36925,933.9238390922546,0.0102259135,100,272.6790641277193,,1.0,28.28,2200,0.009625039,,0.4189424,13.593163328170776,0.0102259135
40133,978.7339155673981,0.008871368,100,310.6675731853646,,1.0,32.08,2300,0.009125994,,0.4189424,26.489397096633912,0.008871368
43462,1039.1225163936615,0.010228004,100,322.7616837185501,,1.0,33.29,2400,0.009305545,,0.4189424,20.687451305389406,0.010228004
46969,1098.7463796138763,0.013523896,100,340.55823165403694,,1.0,35.07,2500,0.008983782,,0.4189424,24.089778995513917,0.013523896
50692,1155.4809169769287,0.005419243,100,362.1474015069998,,1.0,37.23,2600,0.009922284,,0.4189424,27.589201393127443,0.005419243
