LearnableVariance,MinIWNorm,OptimizationReturnMin,EpThisIter,EpLenMean,MaxIW,InitialReturnMin,EmpiricalD2,MeanIWNorm,StdIW,InitialReturnMean,J_sample_variance,MinIW,ESSRenyi,MeanIW,MeanEntropy,TimestepsSoFar,InitialReturnStd,Weights,InitialReturnMax,Iteration,OptimizationReturnMean,ReturnMeanIW,ReturnStepMax,VarianceInit,EpRewMean,InitialBound,MaxIWNorm,StdIWNorm,ReturnStepMaxmin,TimeElapsed,EpisodesSoFar,OptimizationReturnMax,ESSClassic,Bound
,0.0010909124,,100,8.55,8.35173,,1.847007,0.009623346,1.1138419,75.4526,54630.062,0.10909124,54.141644,0.9623345,0.4189424,855,45.598557,[ 0. -0.  0.  0.],249.83662,1,75.4526,98.62799,10.0,-1.0,75.4525967684504,44.853985,0.0835173,0.011138419,10.0,0.6345171928405762,100,249.83662,42.74123,57.043056
,0.0013866432,,100,10.81,18.585026,,2.1427948,0.010935504,1.9290317,98.04259,324842.62,0.13866432,46.668022,1.0935504,0.4189424,1936,75.90825,[-0.182  0.1   -0.265 -0.184],429.9514,2,98.04259,160.3266,9.999999,-1.0,98.0425884689901,45.38451,0.18585025,0.019290315,9.999999,2.468191385269165,200,429.9514,24.3207,83.244194
,0.0002614763,,100,14.73,11.1031275,9.980499,2.706369,0.0094526885,1.6043808,137.21172,534065.0,0.02614763,36.94988,0.9452688,0.4189424,3409,115.716286,[-0.154  0.219 -0.36  -0.412],529.60815,3,127.23121,224.267,9.999998,-1.0,137.21170629579933,72.34821,0.11103127,0.016043806,9.999998,3.6325597763061523,300,519.6277,25.768272,117.559784
,0.001919074,,100,25.74,8.692929,,1.7255445,0.0105984425,1.1210781,247.27303,492835.3,0.1919074,57.952724,1.0598443,0.4189424,5983,184.90369,[-0.171  0.207 -0.576 -0.56 ],669.78815,4,247.27303,389.9753,9.999999,-1.0,247.27303871534238,165.24106,0.08692929,0.01121078,9.999999,5.015292406082153,400,669.78815,47.194508,282.21814
,0.0001049741,,100,36.72,60.778255,,8.350195,0.015771521,6.027121,357.0315,62327896.0,0.01049741,11.975768,1.5771519,0.4189424,9655,265.02353,[-0.205  0.243 -0.642 -0.714],1299.4348,5,357.0315,1171.6705,9.999999,-1.0,357.0314979798298,197.88388,0.60778254,0.060271207,9.999999,7.234676361083984,500,1299.4348,6.4086,711.7864
,0.0007044704,,100,38.57,12.88423,9.984242,2.0375574,0.011202851,1.7563385,375.52484,2090794.5,0.07044704,49.078373,1.1202853,0.4189424,13512,282.20105,[-0.151  0.262 -0.858 -0.718],1489.597,6,365.5406,562.42224,10.0,-1.0,375.52486187816504,193.08723,0.1288423,0.017563384,10.0,9.785019636154175,600,1479.6128,28.919529,302.00525
,0.005539771,,100,52.7,1.7935635,9.981019,1.0641512,0.010224296,0.25999504,516.78326,270024.66,0.55397713,93.97161,1.0224297,0.4189424,18782,364.87445,[-0.11   0.226 -0.895 -0.776],1569.3735,7,506.80228,582.80945,9.999999,-1.0,516.7833041057452,324.57504,0.017935634,0.0025999506,9.999999,11.789786100387573,700,1559.3925,93.92634,384.53186
,0.0008566412,,100,56.97,23.311977,,2.7206485,0.014675517,2.8452475,559.4665,12026347.0,0.08566412,36.755943,1.4675517,0.4189424,24479,369.9897,[-0.119  0.244 -0.946 -0.814],1639.6589,8,559.4665,1233.7173,10.0,-1.0,559.4665154251685,358.6501,0.23311977,0.028452475,10.0,14.273836374282837,800,1639.6589,21.013542,902.4829
,0.00049114716,,100,71.78,3.2756834,9.982735,1.2177066,0.010485368,0.50644135,707.51416,953657.9,0.04911472,82.12159,1.0485368,0.4189424,31657,458.52115,[-0.148  0.304 -1.022 -0.991],2148.841,9,697.53143,868.2773,10.0,-1.0,707.5142200893047,444.33594,0.03275683,0.005064413,10.0,17.159494638442993,900,2138.8584,81.08412,577.86084
,0.0026312934,,100,77.58,3.1944094,9.985486,1.2704033,0.010141576,0.49883577,765.4957,917183.1,0.26312935,78.715164,1.0141575,0.4189424,39415,405.77863,[-0.168  0.34  -1.091 -1.054],2099.652,10,755.5103,870.0553,10.0,-1.0,765.4957669731402,508.34192,0.031944092,0.0049883574,10.0,20.638397216796875,1000,2089.6665,80.51931,580.2117
,0.0003933788,,100,82.52,114.74486,19.965633,11.1993685,0.019521387,11.382083,814.8857,208206940.0,0.03933788,8.929075,1.9521388,0.4189424,47667,563.8642,[-0.167  0.369 -1.183 -1.097],2818.9136,11,794.9201,2038.6482,9.999999,-1.0,814.8857118785086,469.64062,1.1474485,0.11382082,9.999999,23.389870405197144,1100,2798.948,2.857506,883.27014
,0.0023218505,,100,83.41,3.5615861,,1.2127978,0.009998094,0.5058582,823.81244,727691.5,0.23218505,82.45398,0.99980944,0.4189424,56008,404.68057,[-0.185  0.291 -1.239 -1.014],1809.8411,12,823.81244,876.1647,10.0,-1.0,823.8124089614415,602.153,0.03561586,0.005058582,10.0,27.259581327438354,1200,1809.8411,79.618454,632.0577
