EpisodesSoFar,Inner Iteration,ReturnStepMaxmin,Penalization,MeanD2-0,LearnableVariance,ESSRenyiHarmonic,StdIW,ReturnStepMax,MinBehavPdf,MeanIW,InitialReturnMax,MaxIW,TimestepsSoFar,MinTargetPdf,InitialBound,EpThisIter,MeanEntropy,StdWReturnMean,EmpiricalD2Harmonic,WReturnMean,Bound,EpLenMean,EmpiricalD2Arithmetic,InitialReturnStd,MinIW,Iteration,TimeElapsed,InitialReturnMean,DivergenceHarmonic,Weights,ESSRenyiArithmetic,EpRewMean,ReturnMeanIW,InitialReturnMin,VarianceInitializer
100,1,9.999998,True,1.0,,100.0,921.4565,9.999998,-12.285794,200.30025,369.92975,7494.935,864,-12.285794,-17280.707,100,0.4189424,,1.0,9379.78,-19664828000.0,8.64,1.0,59.578915,0.08888278,1,0.7502007484436035,76.35531,6192839500000.0,[ 0.  0.  0. -0.],100.0,76.35530818117397,3052147.0,9.980929,-1
200,1,9.999998,True,1.0,,100.0,14217.879,9.999998,-33.793217,1613.7186,709.8684,142215.25,2362,-33.793217,-61408.74,100,0.4189424,,1.0,32315.275,-4845921400000000.0,14.98,1.0,113.122284,0.024892572,2,2.153592824935913,139.70908,2.7743588e+22,[-0.035  0.017 -0.186 -0.462],100.0,139.70908193190687,147356340.0,9.981694,-1
300,1,9.999994,True,1.0,,100.0,197.42279,9.999994,-24.907272,76.76537,569.89014,1526.7701,4303,-24.907272,-65958.555,100,0.4189424,,1.0,47207.652,-2.6043465e+20,19.41,1.0,115.58699,0.4950976,3,2.910080671310425,183.97635,1.9290972e+32,[-0.061 -0.107 -0.33  -0.924],100.0,183.97635466810908,7619307.0,9.983845,-1
400,1,10.0,True,1.0,,100.0,742.61,10.0,-73.33206,134.19617,1639.5776,6647.387,10540,-73.33206,-687090.1,100,0.4189424,,1.0,531885.5,-26059420000000.0,62.37,1.0,394.47928,0.082150154,4,4.235487937927246,613.40985,2.8191457e+16,[-0.073  0.209 -0.536 -1.252],100.0,613.4098439757877,159479820.0,9.9857645,-1
500,1,9.999999,True,1.0,,100.0,21030.084,9.999999,-76.443245,2119.0452,1769.5864,211365.67,16322,-76.443245,-660155.3,100,0.4189424,,1.0,479361.22,-5604956400000.0,57.82,1.0,395.98032,0.022205422,5,5.493876934051514,567.9444,959513200000000.0,[ 0.018  0.166 -0.567 -1.32 ],100.0,567.9443973206585,4693265400.0,,-1
600,1,9.999997,True,1.0,,100.0,1057.336,9.999997,-88.72299,283.98502,1809.1025,9488.872,22582,-88.72299,-714985.75,100,0.4189424,,1.0,526026.94,-2887949400000000.0,62.6,1.0,383.32632,0.13311772,6,6.929339170455933,615.7012,2.3358643e+20,[-0.046  0.268 -0.594 -1.335],100.0,615.7011407748506,190550610.0,,-1
700,1,10.0,True,1.0,,100.0,431.75696,10.0,-65.31886,135.12762,1509.2671,3473.7976,28351,-65.31886,-550707.06,100,0.4189424,,1.0,419192.8,-1347771200000.0,57.69,1.0,313.1434,0.08624547,7,8.256815433502197,566.6869,105017430000000.0,[-0.126  0.202 -0.619 -1.4  ],100.0,566.6868966846527,43177932.0,9.983569,-1
800,1,9.999999,True,1.0,,100.0,338.78757,9.999999,-106.607475,67.545845,2329.0444,2724.4211,36398,-106.607475,-1140726.8,100,0.4189424,,1.0,827544.8,-6892943000000.0,80.47,1.0,443.28772,0.057088997,8,9.587229490280151,794.3808,484405000000000.0,[-0.137  0.323 -0.635 -1.376],100.0,794.3807675316383,86484740.0,,-1
900,1,9.999999,True,1.0,,100.0,15.668424,9.999999,-110.14388,6.7806373,2618.8647,144.529,44632,-110.14388,-1341481.0,100,0.4189424,,1.0,945506.5,-92318065000.0,82.34,1.0,533.3479,0.033101887,9,11.041590690612793,813.0477,54343143000.0,[-0.062  0.287 -0.707 -1.435],100.0,813.0477464959366,10370093.0,9.980408,-1
1000,1,10.0,True,1.0,,100.0,447620.97,10.0,-125.22507,83319.37,2719.1729,3860744.0,52824,-125.22507,-1290863.8,100,0.4189424,,1.0,863974.9,-6.05316e+17,81.92,1.0,457.8635,0.021751687,10,12.75731873512268,808.91034,2.0106582e+24,[-0.12   0.272 -0.716 -1.446],100.0,808.9103257461101,73243580000.0,19.9713,-1
1100,1,10.0,True,1.0,,100.0,18167.258,10.0,-189.53699,1873.4739,4088.9456,182621.92,60321,-189.53699,-1801238.4,100,0.4189424,,1.0,835935.25,-3.752628e+21,74.97,1.0,537.84174,0.11111927,11,14.368955373764038,739.3656,1.5112872e+31,[-0.062  0.381 -0.733 -1.437],100.0,739.3656344097499,5455471600.0,29.950998,-1
1200,1,10.0,True,1.0,,100.0,487951.22,10.0,-89.66577,66574.01,2299.6343,4772131.0,69933,-89.66577,-1409017.0,100,0.4189424,,1.0,1103694.4,-7.049778e+20,96.12,1.0,446.7031,0.0451811,12,15.950825214385986,950.86835,5.331347e+30,[-0.183  0.375 -0.763 -1.442],100.0,950.8683912823628,81802210000.0,19.96521,-1
1300,1,9.999999,True,1.0,,100.0,12474.028,9.999999,-150.21829,1549.2461,3359.4355,123487.13,78187,-150.21829,-1651134.0,100,0.4189424,,1.0,999544.8,-1.4666091e+19,82.54,1.0,579.03406,0.021753015,13,17.79384422302246,815.02423,5.066229e+26,[-0.063  0.376 -0.776 -1.473],100.0,815.0241747361533,2284575000.0,9.980784,-1
1400,1,10.0,True,1.0,,100.0,42.813896,10.0,-126.20737,16.87528,2759.57,321.80103,87043,-126.20737,-1428721.8,100,0.4189424,,1.0,989054.44,-6462356000.0,88.56,1.0,472.17102,0.042422995,14,19.491530179977417,875.2765,215284770.0,[-0.156  0.329 -0.812 -1.532],100.0,875.2765108593431,11328467.0,39.93718,-1
1500,1,10.0,True,1.0,,100.0,64.931366,10.0,-162.95378,24.39814,3468.7412,563.2508,98264,-162.95378,-2413782.5,100,0.4189424,,1.0,1719101.1,-4204602600000.0,112.21,1.0,695.272,0.20725156,15,21.30506181716919,1111.6196,36633286000000.0,[-0.096  0.343 -0.814 -1.544],100.0,1111.6195734218836,37007424.0,9.981993,-1
1600,1,10.0,True,1.0,,100.0,30.152409,10.0,-131.08167,5.909895,3129.2925,304.9146,107555,-131.08167,-1771090.5,100,0.4189424,,1.0,1205719.1,-29771155000000.0,92.91,1.0,601.44745,0.04842715,16,23.500270128250122,918.68384,2772854500000000.0,[-0.036  0.347 -0.831 -1.537],100.0,918.6838962476111,33539266.0,9.980537,-1
1700,1,9.999999,True,1.0,,100.0,111527.664,9.999999,-118.70498,21356.557,2879.0176,972332.06,117759,-118.70498,-1773403.8,100,0.4189424,,1.0,1294850.5,-5.81572e+20,102.04,1.0,524.1587,0.018178375,17,25.26115584373474,1010.0041,1.4768995e+30,[-0.097  0.335 -0.838 -1.54 ],100.0,1010.0040776289356,35059593000.0,9.982768,-1
