OptimizationReturnMean,EmpiricalD2,VarianceInit,J_sample_variance,StdIWNorm,ESSClassic,MeanEntropy,Iteration,TimeElapsed,OptimizationReturnMax,Weights,InitialReturnMean,InitialReturnMin,ReturnStepMax,ReturnStepMaxmin,EpRewMean,MaxIWNorm,EpThisIter,InitialReturnStd,MeanIW,OptimizationReturnMin,InitialBound,InitialReturnMax,EpLenMean,EpisodesSoFar,MaxIW,StdIW,MinIWNorm,MinIW,LearnableVariance,TimestepsSoFar,ESSRenyi,MeanIWNorm,Bound,ReturnMeanIW
66.75677,1.1370299,-1.0,5477.431,0.004112067,86.81636,0.4189424,1,1.207937240600586,189.93498,[ 0. -0. -0.  0.],66.75677,,9.999996,9.999996,66.75676014219324,0.03714703,100,37.85388,1.0552208,,43.494568,189.93498,7.68,100,3.714703,0.41120672,0.0055166064,0.55166066,,768,87.94843,0.010552209,49.008915,73.81376
68.37433,2.005785,-1.0,138307.98,0.0146686295,30.87542,0.4189424,2,2.9226629734039307,309.9615,[-0.053  0.11  -0.11   0.018],78.35587,9.981555,9.999998,9.999998,78.35587532081449,0.14177229,100,54.78774,0.98034686,,39.17101,319.94305,8.84,200,14.177229,1.4668632,0.0007755703,0.07755703,,1652,49.855793,0.009803468,59.052254,114.5481
80.05677,1.6111217,-1.0,118301.414,0.0087836,55.887417,0.4189424,3,4.3080151081085205,399.8773,[-0.026  0.233 -0.236 -0.222],90.042,9.985235,9.999999,9.999999,90.04200907109362,0.081626594,100,64.70515,0.9886632,,39.844303,409.86252,10.01,300,8.16266,0.87836003,0.001971573,0.19715732,,2653,62.068558,0.009886632,61.653275,125.3692
118.338646,3.502186,-1.0,1664409.5,0.027333792,16.893661,0.4189424,4,5.899492263793945,549.79755,[-0.158  0.21  -0.391 -0.314],128.32036,9.981722,10.0,10.0,128.32035918282202,0.27222103,100,112.0953,1.2323803,,59.761673,559.7793,13.84,400,27.222103,2.7333794,0.0007029832,0.07029832,,4037,28.553595,0.012323801,174.04486,302.34647
196.58644,1.7108899,-1.0,335547.9,0.0096103065,51.59452,0.4189424,5,8.036320686340332,639.77246,[-0.265  0.231 -0.475 -0.479],196.58644,,9.999997,9.999997,196.58645244897028,0.05488469,100,162.39021,0.99218285,,118.23064,639.77246,20.67,500,5.488469,0.9610306,0.0017559704,0.17559704,,6104,58.449112,0.009921828,186.26071,288.7509
295.2683,1.2877061,-1.0,173602.78,0.005523137,77.93824,0.4189424,6,10.51938009262085,729.75183,[-0.333  0.274 -0.556 -0.627],305.25308,9.984763,9.999999,9.999999,305.25308887145707,0.029272113,100,198.24937,1.0381043,,214.65419,739.7366,31.54,600,2.9272113,0.5523136,0.003100157,0.3100157,,9258,77.65747,0.010381043,280.28735,383.09634
350.14316,1.1762639,-1.0,92852.03,0.003962416,86.04068,0.4189424,7,13.19883918762207,779.897,[-0.363  0.313 -0.634 -0.723],360.12457,9.981441,10.0,10.0,360.1245737884668,0.021013621,100,202.46503,0.98373824,,263.3846,789.8784,37.03,700,2.1013622,0.39624164,0.0027949975,0.27949977,,12961,85.01493,0.009837382,281.98383,386.90384
385.82672,1.1613244,-1.0,131251.83,0.0037725468,87.77307,0.4189424,8,16.1150119304657,1069.8158,[-0.377  0.313 -0.686 -0.78 ],385.82672,,9.999999,9.999999,385.82673644892833,0.023741273,100,205.67587,1.0107802,,254.8016,1069.8158,39.6,800,2.3741274,0.3772547,0.0033088815,0.33088815,,16921,86.10859,0.010107803,285.1396,426.3385
414.1228,1.1482525,-1.0,103232.51,0.003736965,88.05457,0.4189424,9,18.959614992141724,1169.7363,[-0.389  0.327 -0.721 -0.849],414.1228,,9.999999,9.999999,414.12279191034054,0.023180008,100,232.09265,1.014599,,270.85992,1169.7363,42.43,900,2.3180008,0.3736965,0.0036572842,0.36572844,,21164,87.08886,0.010145989,286.39767,439.9132
456.0238,1.1102766,-1.0,119336.06,0.0036383055,88.90343,0.4189424,10,21.76404881477356,1279.7257,[-0.404  0.336 -0.741 -0.916],466.00555,9.981787,10.0,10.0,466.00553250121243,0.021225888,100,225.09789,1.0298259,,308.04926,1289.7075,47.62,1000,2.1225889,0.36383054,0.003616549,0.3616549,,25926,90.06765,0.01029826,348.30878,514.74677
461.0166,2.4038541,-1.0,614475.2,0.010515812,60.749924,0.4189424,11,24.724076747894287,1129.7355,[-0.425  0.362 -0.778 -0.977],470.99866,9.982109,10.0,10.0,470.9986948044557,0.054522827,100,216.01013,1.3082643,,331.41235,1139.7175,48.12,1100,5.452283,1.0515813,0.00033693865,0.033693865,,30738,41.59986,0.013082644,481.0875,697.50726
548.18536,1.2777238,-1.0,138215.02,0.0047601666,84.258995,0.4189424,12,28.185920238494873,1419.5371,[-0.555  0.458 -0.899 -1.055],548.18536,,10.0,10.0,548.1853864630358,0.024931466,100,209.99794,1.1013217,,374.32828,1419.5371,55.84,1200,2.4931467,0.4760167,0.0013329441,0.13329442,,36322,78.264175,0.011013217,415.65067,612.17255
510.9154,1.0753354,-1.0,125659.87,0.0024874075,94.55708,0.4189424,13,31.20554518699646,1659.5697,[-0.618  0.487 -0.937 -1.122],520.8984,9.982963,10.0,10.0,520.8983821607831,0.01707257,100,225.88138,1.0367596,,316.42078,1669.5526,53.11,1300,1.707257,0.24874078,0.0027659093,0.27659094,,41633,92.99424,0.010367595,347.6966,559.7366
515.03125,1.453763,-1.0,180344.3,0.009911824,60.369038,0.4189424,14,34.58329510688782,1579.5983,[-0.664  0.514 -0.992 -1.163],554.98157,39.950302,10.0,10.0,554.981574737281,0.073854804,100,206.95691,1.2233292,,356.62817,1619.5486,56.52,1400,7.385481,0.9911824,0.002829799,0.2829799,,47285,68.787,0.012233292,397.36612,636.52496
503.59747,1.284916,-1.0,177634.28,0.0059403144,75.640274,0.4189424,15,37.26207733154297,1079.4539,[-0.674  0.479 -0.998 -1.147],503.59747,,9.999999,9.999999,503.5974766273874,0.036432378,100,194.89966,1.0467669,,371.39188,1079.4539,51.38,1500,3.6432378,0.59403145,0.0033192066,0.33192068,,52423,77.826096,0.010467669,400.13672,549.9972
523.42053,1.2143627,-1.0,83534.625,0.004022373,88.12151,0.4189424,16,40.3024685382843,1049.5604,[-0.65   0.485 -1.012 -1.187],543.383,19.962498,10.0,10.0,543.3829951559782,0.021381008,100,191.47166,1.0955772,,412.39368,1069.523,55.36,1600,2.1381009,0.4022373,0.0024073864,0.24073865,,57959,82.34772,0.010955772,440.12317,584.4709
522.0866,1.3938038,-1.0,289720.1,0.009115626,61.134865,0.4189424,17,43.33455538749695,1129.7773,[-0.696  0.503 -1.029 -1.175],522.0866,,9.999999,9.999999,522.0866036748861,0.06393843,100,184.15747,1.1432754,,383.7177,1129.7773,53.23,1700,6.3938437,0.9115627,0.003400576,0.3400576,,63282,71.74611,0.011432753,423.98016,587.33777
530.0174,1.7026557,-1.0,434159.3,0.008418747,63.985092,0.4189424,18,46.024126052856445,1039.824,[-0.653  0.506 -0.996 -1.131],539.9989,9.981488,10.0,10.0,539.9989354191101,0.05246282,100,204.6889,1.1221367,,411.4245,1049.8054,55.02,1800,5.246282,0.8418747,0.00080484373,0.080484375,,68784,58.73178,0.011221367,452.79218,620.56354
504.1376,16.725819,-1.0,123715064.0,0.12707184,2.4248657,0.4189424,19,49.419172048568726,1259.4978,[-0.687  0.49  -1.089 -1.065],534.0911,29.953568,10.0,10.0,534.0911466952148,1.28163,100,220.41873,2.0031965,,376.1662,1289.4514,54.43,1900,128.16301,12.707186,0.00010608177,0.010608177,,74227,5.9787807,0.020031964,896.7579,1542.6267
587.59216,1.2922848,-1.0,288861.97,0.005432628,80.258896,0.4189424,20,53.10892724990845,1159.5455,[-0.639  0.55  -1.114 -1.062],607.5592,19.967045,10.0,10.0,607.5591927693052,0.029808296,100,221.0113,1.0953951,,463.099,1179.5126,61.78,2000,2.9808297,0.54326284,0.002356532,0.2356532,,80405,77.38232,0.01095395,556.8076,721.0281
606.12134,1.0830884,-1.0,137090.88,0.0027904422,92.92307,0.4189424,21,56.607136964797974,1359.6893,[-0.72   0.626 -1.22  -1.148],646.0568,39.935455,10.0,10.0,646.0568037928759,0.018634118,100,238.31175,1.0111426,,474.63843,1399.6248,65.63,2100,1.8634118,0.27904424,0.0040142513,0.40142512,,86968,92.32857,0.010111426,497.19308,675.59076
621.37177,6.612431,-1.0,40509480.0,0.05319809,5.7514067,0.4189424,22,59.7628276348114,1239.6454,[-0.729  0.65  -1.254 -1.163],631.35315,9.981351,10.0,10.0,631.3530984462893,0.5364554,100,233.39934,1.3141521,,478.3057,1249.6267,64.16,2200,53.64554,5.3198085,0.00012333704,0.012333704,,93384,15.123031,0.01314152,730.666,1124.222
635.4677,1.2137437,-1.0,234237.22,0.0047533214,83.06025,0.4189424,23,63.253087759017944,1509.742,[-0.742  0.659 -1.541 -1.015],645.449,9.981261,10.0,10.0,645.4489745067394,0.030155411,100,265.1335,1.0525441,,459.32166,1519.7231,65.57,2300,3.015541,0.47533217,0.0039190445,0.39190444,,99941,82.38972,0.01052544,516.23883,721.29535
689.6541,1.528238,-1.0,921194.0,0.008190655,64.55949,0.4189424,24,66.43995714187622,1579.6772,[-0.747  0.671 -1.591 -1.069],699.6367,9.982647,10.0,10.0,699.6367524641918,0.044073556,100,273.68573,1.1054746,,504.94397,1589.6599,70.99,2400,4.407356,0.8190656,0.0009360112,0.09360112,,107040,65.43483,0.011054746,605.99176,846.67474
657.26953,1.5940247,-1.0,607929.06,0.009098961,61.07148,0.4189424,25,70.14692306518555,1889.4077,[-0.824  0.76  -1.699 -1.106],667.25073,9.981205,10.0,10.0,667.2507284816423,0.05300933,100,316.813,1.1396645,,434.62396,1899.3889,67.75,2500,5.3009334,0.9098961,0.0018706701,0.18706702,,113815,62.734287,0.011396644,521.3531,815.0552
731.7569,1.7193364,-1.0,1198519.9,0.009446783,57.760307,0.4189424,26,74.55893421173096,1409.7268,[-0.795  0.744 -1.706 -1.157],741.7396,9.982723,10.0,10.0,741.7395940134747,0.048427727,100,269.7107,1.1046847,,567.86145,1419.7095,75.2,2600,4.842773,0.94467837,0.0011061503,0.11061504,,121335,58.161976,0.011046847,685.272,913.2671
743.5575,2.1454656,-1.0,2152650.2,0.011672205,51.940353,0.4189424,27,78.44886541366577,1669.7148,[-0.767  0.754 -1.738 -1.192],753.5398,9.98215,10.0,10.0,753.5397115226508,0.062705204,100,275.45062,1.2134311,,547.81964,1679.697,76.38,2700,6.27052,1.1672205,0.0003416531,0.03416531,,128973,46.60993,0.012134311,756.39,1057.7166
807.2282,9.11568,-1.0,27022698.0,0.057625134,6.9112706,0.4189424,28,82.98430490493774,1349.5068,[-0.761  0.753 -1.757 -1.285],807.2282,,10.0,10.0,807.2281478350919,0.48162654,100,232.35126,1.5701544,,641.94806,1349.5068,81.75,2800,48.162655,5.762513,8.142221e-05,0.008142221,,137148,10.970109,0.015701544,924.26587,1423.2827
904.985,1.0047511,-1.0,82222.3,0.0007117261,99.50084,0.4189424,29,87.98540711402893,1689.7518,[-0.775  0.829 -2.    -1.362],944.9197,39.934654,10.0,10.0,944.9196771424554,0.011688378,100,275.6051,1.004869,,733.0773,1729.6865,95.52,2900,1.1688378,0.07117262,0.0076521616,0.7652162,,146700,99.52714,0.010048691,737.6229,949.968
868.9484,2.2939982,-1.0,2899408.2,0.015297208,41.321625,0.4189424,30,91.8176498413086,1989.5898,[-0.782  0.836 -2.009 -1.373],878.9302,9.981675,10.0,10.0,878.9301614171952,0.08430073,100,291.29007,1.2836946,,634.0337,1999.5715,88.92,3000,8.430073,1.5297208,0.0011963525,0.119635254,,155592,43.592014,0.012836945,801.20905,1172.128
