StdIWNorm,MeanEntropy,EmpiricalD2,TimestepsSoFar,MaxIWNorm,LearnableVariance,MeanIW,OptimizationReturnMax,ReturnStepMax,Iteration,J_sample_variance,MinIWNorm,EpThisIter,ReturnMeanIW,Bound,StdIW,InitialReturnMax,OptimizationReturnMean,InitialReturnMean,EpRewMean,EpisodesSoFar,MaxIW,InitialReturnStd,ESSRenyi,ReturnStepMaxmin,ESSClassic,OptimizationReturnMin,TimeElapsed,InitialBound,InitialReturnMin,MinIW,EpLenMean,VarianceInit,MeanIWNorm,Weights
0.069269456,0.4189424,10.966016,78568,0.6477659,,1.9215066,2529.172,10.0,16,149572350.0,7.8538294e-05,100,2961.6826,1927.8164,6.9269457,2549.1436,1026.342,1046.3134,1046.3134038514386,1600,64.77659,585.1,9.119082,10.0,7.1450515,,48.98679280281067,734.1084,19.971336,0.007853829,105.67,-1.0,0.019215068,[-0.086  0.311 -0.975 -1.362]
0.022062287,0.4189424,2.2356248,90567,0.18004254,,1.2772545,3968.7551,10.0,17,64926028.0,0.0014207246,100,2383.474,1653.0435,2.2062287,3988.7227,1169.4773,1189.445,1189.44495784648,1700,18.004253,769.2188,44.730225,10.0,25.102678,,53.464255809783936,700.92816,19.967558,0.14207245,119.99,-1.0,0.012772544,[-0.078  0.389 -1.078 -1.463]
0.0012106859,0.4189424,1.014343,105549,0.013587598,,0.9960814,4338.4604,10.0,18,999998.25,0.0070935125,100,1528.2611,993.11334,0.1210686,4338.4604,1487.6718,1487.6718,1487.6716174557178,1800,1.3587598,840.5096,98.585976,10.0,98.54419,,60.02445983886719,956.3208,,0.70935124,149.82,-1.0,0.0099608125,[-0.083  0.411 -1.131 -1.579]
0.0065021655,0.4189424,1.3296071,120462,0.04486531,,1.0456549,4878.006,10.0,19,3930274.2,0.003091741,100,1755.1823,1062.0621,0.6502165,4907.962,1450.805,1480.7612,1480.761249486125,1900,4.4865313,856.0905,75.21019,10.0,72.11525,,66.61036157608032,879.6611,29.95628,0.3091741,149.13,-1.0,0.010456549,[-0.081  0.414 -1.154 -1.585]
0.014239631,0.4189424,1.9835985,137346,0.1332616,,1.1140819,3808.8665,10.0,20,19366108.0,0.000744319,100,2130.4968,1471.7709,1.423963,3818.8472,1667.8303,1677.811,1677.8109536389193,2000,13.32616,828.4874,50.41343,10.0,37.96988,,73.91857099533081,1210.0996,9.980755,0.0744319,168.84,-1.0,0.011140819,[-0.083  0.448 -1.214 -1.635]
0.0022200984,0.4189424,1.0464463,154108,0.018618528,,0.9973111,4988.7964,10.0,21,2047707.8,0.0059041665,100,1766.5482,1140.2692,0.22200985,4998.777,1655.7538,1665.734,1665.7341023858555,2100,1.8618529,1069.617,95.561516,10.0,95.27851,,82.39057278633118,1053.5115,9.980284,0.59041667,167.62,-1.0,0.009973112,[-0.065  0.442 -1.239 -1.676]
0.0050885906,0.4189424,1.2117636,172264,0.0412697,,1.0582284,4988.641,10.0,22,4773417.0,0.0027535763,100,1981.758,1307.8433,0.5088591,4998.6235,1795.0334,1805.0161,1805.0160244367112,2200,4.1269703,1122.6855,82.524345,10.0,81.21987,,91.04150867462158,1192.8121,9.982532,0.27535763,181.56,-1.0,0.010582282,[-0.065  0.445 -1.265 -1.697]
0.015436586,0.4189424,2.5621579,192131,0.12352195,,1.2374625,4998.955,10.0,23,46944948.0,0.0004391118,100,2918.561,1938.5571,1.5436585,4998.955,1976.2345,1976.2345,1976.2347042361557,2300,12.352195,1220.2998,39.029602,10.0,39.12205,,100.6484625339508,1363.99,,0.04391118,198.67,-1.0,0.012374626,[-0.052  0.434 -1.281 -1.697]
0.00852063,0.4189424,1.4636267,215115,0.062012527,,1.1003542,4989.2573,10.0,24,19741362.0,0.0019576976,100,2974.9927,2234.2544,0.8520631,4999.2397,2278.4404,2288.4229,2288.4227744479626,2400,6.201253,1498.5096,68.32343,10.0,62.514717,,113.87317395210266,1676.1433,9.982549,0.19576976,229.84,-1.0,0.011003541,[-0.034  0.414 -1.305 -1.728]
0.011861165,0.4189424,1.9416347,239890,0.080718264,,1.0733715,4979.4365,10.0,25,38857524.0,0.0016873516,100,3608.74,2755.5469,1.1861166,4999.401,2448.275,2468.2393,2468.2392537561036,2500,8.071827,1578.5933,51.502995,10.0,45.022537,,128.38577961921692,1855.94,19.96423,0.16873516,247.75,-1.0,0.010733715,[-0.019  0.392 -1.379 -1.711]
0.07261944,0.4189424,11.200565,269466,0.7217407,,1.6986841,4999.3994,10.0,26,1341176000.0,0.00018611414,100,6933.7827,4884.587,7.261943,4999.3994,2949.0479,2949.0479,2949.0478222781294,2600,72.17407,1686.8984,8.928121,10.0,5.1878057,,146.1192660331726,2336.7488,,0.018611414,295.76,-1.0,0.01698684,[-0.017  0.371 -1.545 -1.71 ]
0.0032120186,0.4189424,1.0987316,300026,0.02487035,,1.0456176,4999.387,10.0,27,5486911.5,0.005289198,100,3296.8079,2654.9954,0.3212019,4999.387,3047.789,3047.789,3047.7889421999594,2700,2.487035,1660.1377,91.01404,10.0,91.37719,,164.00577592849731,2435.4915,,0.5289198,305.6,-1.0,0.010456177,[-0.002  0.329 -1.67  -1.573]
