MeanIW,Bound,TimeElapsed,EpLenMean,InitialReturnMean,InitialReturnMin,OptimizationReturnMean,StdIWNorm,MaxIWNorm,LearnableVariance,ReturnMeanIW,Iteration,OptimizationReturnMax,ESSRenyi,EmpiricalD2,TimestepsSoFar,J_sample_variance,OptimizationReturnMin,ReturnStepMaxmin,MinIW,StdIW,InitialReturnStd,MeanEntropy,Weights,InitialReturnMax,MeanIWNorm,MinIWNorm,ESSClassic,MaxIW,EpThisIter,VarianceInit,ReturnStepMax,EpisodesSoFar,EpRewMean,InitialBound
2.2852416,345.09262,0.9318277835845947,7.81,68.05913,,68.05913,0.09421031,0.73017454,True,517.93695,1,329.84442,5.462599,18.306305,781,7192311.0,,9.999995,8.216824e-06,9.421032,65.49906,1.176456,[-0.  0. -0.  0.  0.],329.84442,0.022852415,8.216824e-08,5.5569615,73.017456,100,-1,9.999995,100,68.05913084644074,27.661598
1.4746808,274.39508,2.849930763244629,14.01,130.02284,,130.02284,0.0343097,0.27857444,True,379.92133,2,489.7283,32.305817,3.095418,2182,1794194.1,,9.999999,0.10781568,3.4309702,108.14522,1.1073608,[-0.58   0.112 -0.467 -0.665 -0.242],489.7283,0.014746807,0.0010781568,15.593331,27.857445,100,-1,9.999999,200,130.0228474316854,70.04362
1.355442,305.79852,4.682987451553345,21.31,202.98395,,202.98395,0.027550522,0.19928403,True,464.02393,3,619.70105,23.009289,4.346071,4313,1618340.4,,9.999999,0.025820471,2.7550523,150.81688,1.0359035,[-0.882  0.468 -0.841 -0.967 -0.312],619.70105,0.01355442,0.0002582047,19.487839,19.928404,100,-1,9.999999,300,202.98395057386003,127.08638
1.2640944,374.56458,6.909021377563477,35.59,345.73312,,345.73312,0.012765726,0.07538269,True,621.57825,4,1329.41,43.44774,2.3016157,7872,1568231.4,,9.999997,0.024684433,1.2765727,239.74017,0.983138,[-0.83   0.526 -0.905 -1.293 -0.383],1329.41,0.012640942,0.0002468443,49.508873,7.538269,100,-1,9.999997,400,345.73310423313444,182.91428
1.8197114,541.2092,9.66668701171875,42.4,413.8174,9.983956,403.83344,0.047213573,0.3216624,True,885.93634,5,829.5588,8.896638,11.240201,12112,6858234.0,,10.0,0.00075227465,4.721358,201.91151,0.86962354,[-1.033  0.746 -1.101 -1.438 -0.436],839.5427,0.018197114,7.5227463e-06,12.9336605,32.16624,100,-1,10.0,500,413.81737526261014,310.99475
1.1176726,427.87924,12.486860275268555,49.12,480.9959,9.98193,471.01398,0.01070638,0.07142449,True,607.3311,6,1069.528,54.281086,1.8422623,17024,826917.8,,10.0,0.041883424,1.0706381,217.6244,0.83347213,[-1.156  0.769 -1.189 -1.689 -0.549],1079.5099,0.011176727,0.00041883424,52.148357,7.1424494,100,-1,10.0,600,480.99589790311876,348.7835
5.139227,1486.0454,15.736280679702759,47.66,466.41214,,466.41214,0.43811858,4.405358,True,3290.0178,7,1289.6577,0.7666204,130.44266,21790,869828200.0,,10.0,1.209997e-05,43.81186,212.5864,0.6342226,[-1.264  0.911 -1.232 -1.719 -0.585],1289.6577,0.051392265,1.209997e-07,1.357304,440.5358,100,-1,10.0,700,466.41212644914,308.4619
2.3508008,1406.8773,19.088744401931763,60.74,597.176,9.981039,587.19507,0.11997429,1.0361184,True,2388.4087,8,1309.7506,2.7117784,36.87617,27864,210288370.0,,10.0,0.0014741955,11.997429,239.287,0.54225814,[-1.237  0.945 -1.297 -1.876 -0.785],1319.7317,0.023508007,1.4741955e-05,3.6973748,103.61185,100,-1,10.0,800,597.1760704973373,435.54248
1.9144468,933.56824,22.771539211273193,72.96,719.35034,9.980227,709.3702,0.05024939,0.443433,True,1519.5778,9,1529.7113,10.354983,9.657186,35160,29646492.0,,9.999999,0.0004993276,5.0249386,268.54758,0.43655384,[-1.239  1.059 -1.343 -1.801 -0.877],1539.6915,0.01914447,4.993276e-06,12.6754,44.3433,100,-1,9.999999,900,719.3503383894057,530.7774
2.233943,1144.0896,26.2125985622406,69.49,684.64905,339.84183,344.80725,0.0800666,0.72279286,True,1795.4761,10,899.81335,5.4326973,18.407063,42109,16959176.0,,10.0,0.0048394646,8.00666,196.77786,0.3492566,[-1.325  1.071 -1.416 -1.799 -0.982],1239.6552,0.02233943,4.8394646e-05,7.2224445,72.27929,100,-1,10.0,1000,684.6490620173412,532.8229
1.2547083,616.674,30.262821197509766,78.74,777.1417,,777.1417,0.015338875,0.102289796,True,987.01416,11,2039.581,45.49583,2.1980035,49983,2130351.2,,10.0,0.067096084,1.5338874,267.64664,0.39407665,[-1.24   1.073 -1.423 -1.864 -1.07 ],2039.581,0.012547083,0.0006709608,40.08789,10.22898,100,-1,10.0,1100,777.1416889968151,527.34503
1.0439343,575.1698,34.52988314628601,77.56,765.351,339.83698,425.5141,0.0028904232,0.017558757,True,794.37213,12,1369.825,91.2476,1.0959193,57739,204670.1,,10.0,0.38766372,0.28904235,247.9713,0.38704395,[-1.274  1.08  -1.439 -1.825 -1.025],1709.6619,0.010439344,0.0038766372,92.879715,1.7558757,100,-1,10.0,1200,765.3510344977225,555.9611
1.1772376,676.5042,38.60213279724121,77.59,765.6546,349.78436,415.87015,0.011014676,0.06761454,True,922.906,13,1080.0168,50.50739,1.9799083,65498,679716.9,,9.999999,0.04503179,1.1014676,240.2841,0.33286655,[-1.276  1.08  -1.451 -1.787 -1.032],1429.8013,0.0117723765,0.0004503179,53.32146,6.761454,100,-1,9.999999,1300,765.6545372519718,590.5403
1.1756419,601.9254,43.18709969520569,76.05,750.25134,9.98397,740.26733,0.0136122955,0.074206166,True,877.08655,14,1509.6638,45.751255,2.1857324,73103,1093054.9,,10.0,0.036488526,1.3612294,236.26302,0.2707673,[-1.252  1.078 -1.458 -1.828 -1.086],1519.6478,0.011756417,0.00036488526,42.723335,7.420617,100,-1,10.0,1400,750.2513194820243,564.13324
2.0644436,1127.3551,47.71042060852051,72.75,717.24615,9.980687,707.26556,0.07163223,0.66168934,True,1740.044,15,1479.6893,8.867301,11.277389,80378,47892396.0,,10.0,0.011868754,7.1632223,206.19362,0.21847676,[-1.286  1.082 -1.469 -1.84  -1.148],1489.67,0.020644434,0.00011868754,7.668966,66.16894,100,-1,10.0,1500,717.2462413705399,534.7996
1.3387499,696.3843,52.23865246772766,77.26,762.3409,9.980253,752.3606,0.0129058,0.058674734,True,1025.9199,16,1719.8076,41.33065,2.4195118,88104,1340868.0,,10.0,0.034445573,1.29058,239.98494,0.18870531,[-1.206  1.084 -1.411 -1.802 -1.2  ],1729.7878,0.0133874975,0.0003444557,51.831406,5.8674736,100,-1,10.0,1600,762.3408302948473,550.48596
1.0337039,595.2946,56.764556884765625,76.09,750.64984,9.981287,740.6687,0.003877991,0.02236364,True,777.0944,17,1379.8385,87.66404,1.1407186,95713,142862.95,,10.0,0.2643297,0.3877991,208.19766,0.16137514,[-1.221  1.057 -1.418 -1.826 -1.23 ],1389.8198,0.010337039,0.002643297,87.66231,2.2363641,100,-1,10.0,1700,750.6498549795912,580.4324
1.1231198,600.76227,62.200974225997925,75.27,742.4504,9.980589,732.4698,0.008648419,0.052138314,True,835.77045,18,1489.7782,61.08972,1.6369365,103240,560669.56,,10.0,0.12939638,0.86484194,223.96811,0.16552591,[-1.212  1.055 -1.423 -1.813 -1.258],1499.7588,0.011231198,0.0012939638,62.776447,5.2138314,100,-1,10.0,1800,742.4503810704717,558.7682
1.0789926,585.15424,67.21117663383484,75.21,741.84906,9.980597,731.8684,0.0051974216,0.028309233,True,816.3684,19,1679.5902,80.09679,1.2484895,110761,267934.5,,10.0,0.38497898,0.5197422,224.7978,0.17588137,[-1.225  1.039 -1.409 -1.793 -1.253],1689.5708,0.010789927,0.0038497897,81.16704,2.8309233,100,-1,10.0,1900,741.8490412862318,534.9197
1.0921522,626.3577,72.08241200447083,77.81,767.84033,29.946354,737.8939,0.008331294,0.055864286,True,870.4002,20,1609.6815,67.70974,1.4768924,118542,708032.0,,10.0,0.28667402,0.83312947,232.37984,0.20640707,[-1.214  1.045 -1.416 -1.819 -1.243],1639.6279,0.010921522,0.00286674,63.21458,5.5864286,100,-1,10.0,2000,767.8403088942946,567.0277
2.0230982,1141.9657,77.50209403038025,80.43,794.0373,339.814,454.2232,0.058241036,0.564504,True,1721.6614,21,1559.9376,16.1096,6.2074785,126585,16430000.0,,10.0,0.0347443,5.8241034,249.08403,0.24571735,[-1.199  1.045 -1.431 -1.84  -1.213],1899.7516,0.02023098,0.00034744298,10.767145,56.4504,100,-1,10.0,2100,794.0372690713369,561.3662
2.0957131,1147.7603,83.51681113243103,82.19,811.64124,409.82697,401.81427,0.04690575,0.38362134,True,1804.2975,22,1449.9109,12.03583,8.308526,134804,9265169.0,,10.0,0.0034026627,4.6905746,239.13414,0.18395317,[-1.133  1.027 -1.427 -1.719 -1.173],1859.7378,0.020957131,3.4026627e-05,16.640509,38.362133,100,-1,10.0,2200,811.6412488294471,583.8708
4.3360615,1348.9178,89.43776321411133,80.63,796.03906,539.6515,256.38748,0.3694226,3.7139983,True,3257.3596,23,1120.0829,1.134516,88.14332,142867,60906148.0,,10.0,0.0043957154,36.94226,189.32086,0.21147156,[-1.11   0.986 -1.434 -1.838 -1.235],1659.7344,0.043360613,4.3957152e-05,1.3589443,371.39984,100,-1,10.0,2300,796.0389725410605,592.76373
1.0189033,610.87427,95.72757530212402,85.19,841.6437,419.78207,421.8616,0.0035958139,0.022746097,True,883.04095,24,1679.851,89.27052,1.1201906,151386,339860.1,,10.0,0.42236757,0.35958138,292.93185,0.19004656,[-1.005  0.954 -1.402 -1.91  -1.207],2099.633,0.010189032,0.0042236755,88.924805,2.2746098,100,-1,10.0,2400,841.6436879479484,584.4922
1.1900007,640.20654,101.86924266815186,85.98,849.53796,389.78497,459.75308,0.011357689,0.06755274,True,1057.0303,25,2079.8286,52.655582,1.8991339,159984,2255543.0,,10.0,0.05751457,1.135769,289.5626,0.14130957,[-1.014  0.971 -1.413 -1.913 -1.229],2469.6135,0.011900004,0.0005751457,52.330498,6.755274,100,-1,10.0,2500,849.5380069097379,547.0733
1.270289,780.98517,107.84753012657166,81.86,808.3406,9.982073,798.3586,0.04585531,0.44606334,True,1306.5254,26,1349.7643,10.041422,9.958749,168170,35535024.0,,10.0,0.00843824,4.5855308,222.75381,0.13222729,[-1.031  0.972 -1.398 -1.887 -1.278],1359.7463,0.012702888,8.4382395e-05,7.1271296,44.606335,100,-1,10.0,2600,808.3405754356841,641.80634
1.430287,820.8116,113.73379230499268,79.82,787.9431,19.966686,767.9765,0.022655547,0.13802712,True,1155.7517,27,1439.7115,28.488602,3.5101757,176152,4303415.5,,10.0,0.042824168,2.2655547,183.3656,0.1755743,[-1.008  1.006 -1.409 -1.919 -1.287],1459.6782,0.014302867,0.00042824168,28.498055,13.8027115,100,-1,10.0,2700,787.9431537677397,609.1698
2.0030804,1003.34094,120.06748914718628,84.13,831.0424,409.81952,421.22284,0.13213745,1.3098701,True,2222.2078,28,1319.8555,3.0207014,33.104893,184565,114672790.0,,10.0,0.00094779226,13.213746,229.04604,0.10010592,[-0.967  0.95  -1.417 -1.98  -1.243],1729.675,0.020030804,9.4779225e-06,2.2463527,130.98701,100,-1,10.0,2800,831.042390730138,619.2013
1.066931,685.66125,128.0657343864441,85.26,842.35156,529.7545,312.59708,0.004762341,0.034593377,True,910.44366,29,1130.0016,81.7815,1.2227705,193091,419613.5,,10.0,0.30486083,0.4762341,210.33571,0.096984856,[-0.918  0.965 -1.436 -1.986 -1.319],1659.7561,0.01066931,0.0030486083,83.386406,3.4593377,100,-1,10.0,2900,842.3515707119572,639.0737
1.0531509,630.7329,135.28975439071655,87.26,862.36163,,862.36163,0.004294854,0.021725126,True,913.2736,30,2159.724,87.64473,1.1409699,201817,215466.47,,10.0,0.3290225,0.42948544,241.60683,0.07786198,[-0.913  0.974 -1.435 -2.003 -1.322],2159.724,0.010531507,0.0032902248,85.74058,2.1725125,100,-1,10.0,3000,862.3615983545599,597.85046
