Weights,InitialReturnMax,EpisodesSoFar,MinTargetPdf,ESSRenyiArithmetic,ReturnStepMaxmin,DivergenceHarmonic,EpRewMean,EpLenMean,EmpiricalD2Arithmetic,Inner Iteration,WReturnMean,ReturnMeanIW,MinIW,TimeElapsed,InitialBound,ReturnStepMax,MeanEntropy,ESSRenyiHarmonic,MeanIW,InitialReturnStd,InitialReturnMin,MinBehavPdf,TimestepsSoFar,StdIW,Penalization,EmpiricalD2Harmonic,VarianceInitializer,Bound,MaxIW,StdWReturnMean,InitialReturnMean,Iteration,EpThisIter,LearnableVariance,MeanD2-0
[-0.  0. -0.  0.],359.83075,100,-22.809958,100.0,9.999998,5.941688e+22,90.65186605700181,10.07,1.0,1,12584.225,41960708.0,0.057955064,1.243422269821167,-20059.656,9.999998,0.4189424,100.0,7824.543,66.07922,9.980416,-22.809958,1007,54104.19,True,1.0,-1,-1822178300000000.0,534325.1,,90.65188,1,100,,1.0
[ 0.001 -0.167 -0.098 -0.461],489.9137,200,-21.320255,100.0,9.999998,2.028161e+19,117.02418772197936,12.71,1.0,1,21883.797,131561.0,0.18961677,3.553445816040039,-35741.105,9.999998,0.4189424,100.0,3.9484158,90.49385,9.981148,-21.320255,2278,7.363908,True,1.0,-1,-62406490000000.0,64.39907,,117.02419,2,100,,1.0
[ 0.035  0.253 -0.314 -0.622],669.8302,300,-30.030384,100.0,9.999999,3.6037013e+25,185.59484911544143,19.57,1.0,1,58178.38,61061308.0,0.03051601,4.675974130630493,-84082.52,9.999999,0.4189424,100.0,806.03217,154.05495,,-30.030384,4235,4049.1455,True,1.0,-1,-1.5550458e+17,34234.543,,185.59485,3,100,,1.0
[-0.102  0.144 -0.38  -0.789],1309.6067,400,-61.345726,100.0,9.999999,2.530831e+20,294.75105604602066,30.49,1.0,1,153726.58,271610530.0,0.040697616,5.936624765396118,-252746.34,9.999999,0.4189424,100.0,655.3395,258.5506,9.9842205,-61.345726,7284,4295.8633,True,1.0,-1,-1575262100000000.0,42165.305,,294.75107,4,100,,1.0
[-0.006  0.215 -0.4   -0.819],1009.6461,500,-57.2026,100.0,10.0,3.3172994e+18,313.33405202042815,32.35,1.0,1,141533.39,3049704.0,0.12214125,7.3462793827056885,-200387.73,10.0,0.4189424,100.0,18.975763,208.21902,9.980074,-57.2026,10519,37.712128,True,1.0,-1,-107193900000000.0,222.9816,,313.33405,5,100,,1.0
[-0.103  0.158 -0.423 -0.866],1269.2274,600,-56.049397,100.0,10.0,6.0272546e+21,339.6013319939105,34.98,1.0,1,177416.4,47281180.0,0.09349223,8.831493854522705,-270424.16,10.0,0.4189424,100.0,109.345215,249.17336,,-56.049397,14017,484.7278,True,1.0,-1,-7220679700000000.0,4076.1035,,339.60132,6,100,,1.0
[ 0.02   0.149 -0.428 -0.879],1449.6652,700,-41.32956,100.0,10.0,1460662100.0,325.9400445229866,33.61,1.0,1,162252.38,3685096.0,0.17491853,9.765040159225464,-283584.44,10.0,0.4189424,100.0,16.45509,236.67587,19.964659,-41.32956,17378,50.54617,True,1.0,-1,-4640818700.0,378.6951,,325.94003,7,100,,1.0
[-0.056  0.108 -0.47  -0.959],1379.3228,800,-62.516808,100.0,10.0,1.3999699e+32,432.2809340525478,44.25,1.0,1,270863.25,289159580.0,0.040775705,11.356250286102295,-380706.2,10.0,0.4189424,100.0,511.67078,289.8214,9.98079,-62.516808,21803,1669.2089,True,1.0,-1,-1.2996623e+21,9791.127,,432.28094,8,100,,1.0
[-0.032  0.224 -0.502 -0.984],1109.5697,900,-66.34819,100.0,10.0,4.618534e+24,442.1827006202844,45.24,1.0,1,258385.89,1520945200.0,0.25817975,13.046489000320435,-329466.25,10.0,0.4189424,100.0,3213.413,250.71967,9.981977,-66.34819,26327,29597.941,True,1.0,-1,-1.5275682e+17,297560.97,,442.1827,9,100,,1.0
[-0.249  0.395 -0.784 -1.291],1889.3458,1000,-80.15245,100.0,10.0,1.389198e+18,776.5303619360242,78.68,1.0,1,716697.94,3653517000.0,0.016322613,14.997646570205688,-922791.4,10.0,0.4189424,100.0,3986.74,337.19214,19.964334,-80.15245,34195,29889.004,True,1.0,-1,-242913080000000.0,299246.84,,776.5304,10,100,,1.0
