InitialReturnMax,InitialReturnStd,MeanEntropy,StdIW,Bound,MinIW,ReturnMeanIW,ESSClassic,TimestepsSoFar,MaxIWNorm,EmpiricalD2,EpThisIter,OptimizationReturnMax,ESSRenyi,Iteration,InitialReturnMin,InitialReturnMean,MinIWNorm,EpisodesSoFar,OptimizationReturnMin,VarianceInit,ReturnStepMax,MaxIW,MeanIW,MeanIWNorm,StdIWNorm,J_sample_variance,EpLenMean,Weights,LearnableVariance,OptimizationReturnMean,EpRewMean,ReturnStepMaxmin,InitialBound,TimeElapsed
1099.7856,172.18336,0.35127383,1.1215645,602.3744,0.04387036,796.4328,53.55858,64802,0.069786735,2.0756662,100,700.01184,48.177303,16,399.7738,652.4589,0.00043870357,1600,,-1,10.0,6.978674,1.2044423,0.012044424,0.011215645,452208.53,66.27,[-0.955  0.751 -1.531 -2.129 -1.055],True,252.68512,652.4589163007372,10.0,517.76324,67.16303300857544
1409.7814,208.8203,0.2645416,3.63292,728.30005,0.01753538,1108.6061,11.457808,71515,0.32387868,4.8514495,100,1009.99054,20.612396,17,399.79083,661.06305,0.0001753538,1700,,-1,10.0,32.387867,1.3068672,0.013068675,0.0363292,9105598.0,67.13,[-1.012  0.794 -1.505 -2.052 -1.068],True,261.27222,661.0630754752608,10.0,488.4008,73.61002230644226
1289.8201,182.1732,0.3610221,38.02741,3332.8923,0.012751793,4714.637,2.0028033,78489,3.7540581,76.50788,100,860.05524,1.3070549,18,429.76483,687.1448,0.00012751792,1800,,-1,10.0,375.40582,5.4363704,0.054363698,0.3802741,403523070.0,69.74,[-1.     0.83  -1.503 -2.08  -1.154],True,257.3799,687.1447713484664,10.0,529.1747,80.36025476455688
1789.7009,220.14702,0.3926976,0.920656,572.4486,0.22192031,854.9143,61.63462,85600,0.046919685,1.660654,100,1789.7009,60.217243,19,,700.846,0.0022192032,1900,,-1,10.0,4.6919684,1.1669171,0.01166917,0.0092065595,807876.06,71.11,[-0.929  0.816 -1.48  -2.147 -1.058],True,700.846,700.8459579846625,10.0,481.65323,87.39862656593323
1459.7141,177.59274,0.33386585,1.6056584,631.1297,0.041986622,914.0457,37.315186,92685,0.110763565,2.5043101,100,1009.9897,39.931156,20,449.72443,698.2396,0.0004198662,2000,,-1,9.999999,11.076357,1.2388387,0.012388387,0.016056584,739638.8,70.85,[-0.922  0.8   -1.492 -2.221 -1.026],True,248.51508,698.2395033614971,9.999999,519.4618,94.0417263507843
1459.696,240.20827,0.396619,4.21221,819.54175,0.043113165,1287.971,11.278464,100492,0.37768131,6.8654933,100,1019.911,14.565596,21,439.78506,770.4515,0.00043113163,2100,,-1,10.0,37.76813,1.5018289,0.015018289,0.0421221,6525767.0,78.07,[-0.958  0.858 -1.5   -2.169 -1.085],True,330.66644,770.4514843353252,10.0,591.6759,101.620041847229
1629.6819,228.95848,0.28468433,25.26639,1443.7047,5.7833455e-05,3139.3105,1.9825956,108149,2.5309873,72.16936,100,1599.7234,1.3856297,22,29.958496,755.44354,5.7833455e-07,2200,,-1,10.0,253.09872,3.593426,0.035934262,0.2526639,488698720.0,76.57,[-0.932  0.88  -1.514 -2.19  -1.022],True,725.485,755.4435439108405,10.0,555.849,109.03038573265076
1619.6617,245.35666,0.22933449,1.5552062,731.7895,0.044217013,1045.0906,39.32794,115971,0.081693,2.494502,100,1609.6799,40.08816,23,9.981838,771.9316,0.00044217013,2300,,-1,10.0,8.1693,1.2521149,0.012521149,0.015552061,2279601.5,78.22,[-1.013  0.938 -1.498 -2.042 -1.134],True,761.9498,771.931577950707,10.0,573.56433,115.73138332366943
1369.7721,183.33693,0.12270304,6.210233,845.6372,0.0015367734,1475.5138,8.63366,123777,0.4408266,14.096882,100,939.92596,7.093767,24,429.84613,770.3449,1.5367734e-05,2400,,-1,10.0,44.08266,1.9090277,0.019090276,0.06210233,4998506.5,78.06,[-0.994  0.931 -1.509 -2.117 -1.19 ],True,340.49884,770.3449381181069,10.0,602.58276,122.36199426651001
1699.6628,230.6021,0.14019012,0.90339845,625.2226,0.15683979,884.3285,58.675064,131779,0.06950848,1.5493078,100,1259.9214,64.54495,25,439.74152,789.93646,0.0015683979,2500,,-1,10.0,6.9508476,1.0764654,0.010764654,0.009033984,573826.8,80.02,[-1.037  0.933 -1.51  -2.073 -1.296],True,350.195,789.9365155348568,10.0,581.7711,130.22227454185486
