InitialReturnMin,Penalization,InitialReturnStd,InitialReturnMax,InitialBound,DivergenceHarmonic,MeanIW,MeanD2-0,Weights,MinTargetPdf,MaxIW,MeanEntropy,MinIW,ESSRenyiArithmetic,StdIW,VarianceInitializer,EpThisIter,EmpiricalD2Harmonic,ReturnStepMaxmin,MinBehavPdf,EpisodesSoFar,StdWReturnMean,ESSRenyiHarmonic,Iteration,Bound,ReturnStepMax,TimeElapsed,EpLenMean,EmpiricalD2Arithmetic,EpRewMean,LearnableVariance,ReturnMeanIW,TimestepsSoFar,InitialReturnMean,Inner Iteration,WReturnMean
9.98238,True,49.862003,259.90958,-12746.677,537177420000.0,1135.4526,1.0,[ 0. -0.  0.  0.],-13.233833,53919.344,0.4189424,0.028378855,100.0,6526.37,-1,100,1.0,10.0,-13.233833,100,,100.0,1,-2862582300.0,10.0,1.404853105545044,8.98,1.0,79.75137881521245,,4052223.0,898,79.75138,1,8846.501
9.980511,True,98.446175,399.8399,-37311.93,580499100000000.0,1.5923575,1.0,[ 0.03   0.049 -0.141 -0.476],-24.215132,13.200083,0.4189424,0.26961648,100.0,1.7443886,-1,100,1.0,9.999999,-24.215132,200,,100.0,2,-222388620000.0,9.999999,3.536653757095337,14.57,1.0,135.60996431335826,,74473.58,2355,135.60997,1,28081.709
,True,130.83788,509.88702,-54423.953,7.576554e+20,116.12731,1.0,[ 0.067  0.161 -0.173 -0.503],-20.40011,10272.41,0.4189424,0.044409253,100.0,1022.5544,-1,100,1.0,10.0,-20.40011,300,,100.0,3,-413164650000000.0,10.0,4.960857391357422,15.94,1.0,149.3156463322953,,14402870.0,3949,149.31566,1,39413.715
,True,164.13763,749.81354,-118973.77,1177149400.0,14.742658,1.0,[ 0.048  0.359 -0.374 -0.915],-34.74037,325.24548,0.4189424,0.07438002,100.0,43.91518,-1,100,1.0,10.0,-34.74037,400,,100.0,4,-1115489500.0,10.0,6.717344522476196,25.42,1.0,244.07532034939612,,1806221.8,6491,244.07532,1,86513.92
9.979941,True,181.89355,889.7809,-176780.81,2.6830577e+18,11.256479,1.0,[-0.019  0.258 -0.39  -0.941],-39.322693,121.20248,0.4189424,0.008342628,100.0,18.90163,-1,100,1.0,9.999999,-39.322693,500,,100.0,5,-74872185000000.0,9.999999,9.128643274307251,32.32,1.0,313.027292262193,,1467965.8,9723,313.02728,1,131071.34
9.981829,True,307.3585,1459.2958,-404032.16,4.5285967e+20,66.79976,1.0,[-0.131  0.205 -0.403 -0.95 ],-62.664307,1655.4546,0.4189424,0.0828956,100.0,224.41695,-1,100,1.0,9.999999,-62.664307,600,,100.0,6,-2616422100000000.0,9.999999,12.230215072631836,44.22,1.0,431.98767136166566,,27533022.0,14145,431.98767,1,281082.56
9.984074,True,246.5735,1179.6506,-265397.5,14997077000.0,3.66105,1.0,[-0.011  0.204 -0.414 -0.984],-46.16185,44.24665,0.4189424,0.1292581,100.0,5.414157,-1,100,1.0,9.999998,-46.16185,700,,100.0,7,-9839768000.0,9.999998,15.229470491409302,36.27,1.0,352.49993170415763,,800456.6,17772,352.4999,1,185054.69
,True,365.1271,1509.602,-507534.56,1.6672285e+24,2749.4844,1.0,[-0.113  0.23  -0.462 -1.032],-55.239567,70607.945,0.4189424,0.09280998,100.0,8815.698,-1,100,1.0,10.0,-55.239567,800,,100.0,8,-1.6988769e+17,10.0,18.574947357177734,50.28,1.0,492.58926775776507,,1748231600.0,22800,492.58926,1,375961.97
19.974266,True,247.30525,1179.6963,-314726.47,4.585739e+20,128.54776,1.0,[-0.029  0.313 -0.488 -1.064],-47.89244,5467.6157,0.4189424,0.79448247,100.0,554.5502,-1,100,1.0,9.999999,-47.89244,900,,100.0,9,-1720618000000000.0,9.999999,21.55013608932495,42.64,1.0,416.19410767711867,,22857952.0,27064,416.19415,1,234377.42
9.982036,True,326.68704,1859.5461,-738346.6,1.1276736e+29,76784.22,1.0,[-0.181  0.295 -0.594 -1.231],-79.33707,2635159.8,0.4189424,0.09298292,100.0,329219.47,-1,100,1.0,10.0,-79.33707,1000,,100.0,10,-6.7041697e+19,10.0,25.484304904937744,66.75,1.0,657.2509448899588,,114490720000.0,33739,657.2509,1,538703.25
,True,272.23715,1549.527,-438498.88,5.061885e+16,1524.7125,1.0,[-0.187  0.148 -0.642 -1.428],-76.06119,49791.4,0.4189424,0.25306347,100.0,5430.6064,-1,100,1.0,9.999999,-76.06119,1100,,100.0,11,-31188756000000.0,9.999999,29.33022689819336,48.54,1.0,475.1439190728099,,310764740.0,38593,475.14392,1,299874.78
19.965656,True,416.31516,2629.2043,-1113440.0,1.0474019e+24,62619.65,1.0,[-0.129  0.252 -0.668 -1.456],-102.17134,2531522.2,0.4189424,0.0329751,100.0,284604.28,-1,100,1.0,10.0,-102.17134,1200,,100.0,12,-4.084555e+17,10.0,33.82066750526428,74.58,1.0,735.536781219474,,34527570000.0,46051,735.53674,1,714332.6
9.986328,True,515.7532,2399.0085,-1112175.9,3.9047894e+32,7530.4736,1.0,[-0.061  0.348 -0.678 -1.417],-106.3146,533139.6,0.4189424,0.0044194604,100.0,54603.484,-1,100,1.0,10.0,-106.3146,1300,,100.0,13,-6.566013e+21,10.0,38.266175985336304,72.72,1.0,716.8642193942699,,31367823000.0,53323,716.8642,1,779895.56
,True,384.92468,1959.3254,-996498.4,1.5062056e+24,27194.453,1.0,[-0.148  0.285 -0.712 -1.469],-86.4525,1612217.9,0.4189424,0.034343265,100.0,162302.42,-1,100,1.0,10.0,-86.4525,1400,,100.0,14,-2.7201615e+17,10.0,43.62501549720764,80.19,1.0,791.6364439490972,,18724456000.0,61342,791.6365,1,774855.25
,True,579.6285,2609.479,-1453728.1,4.5777707e+33,6617902.0,1.0,[-0.067  0.368 -0.729 -1.513],-111.313354,657560000.0,0.4189424,0.019072734,100.0,65423040.0,-1,100,1.0,10.0,-111.313354,1500,,100.0,15,-2.6599532e+22,10.0,48.876957178115845,86.16,1.0,851.2446692415573,,34576693000000.0,69958,851.2447,1,1060586.6
,True,468.28677,2548.8096,-1338962.5,1.2470217e+28,211602.7,1.0,[-0.163  0.323 -0.763 -1.57 ],-97.73774,10129769.0,0.4189424,0.05505421,100.0,1177725.6,-1,100,1.0,10.0,-97.73774,1600,,100.0,16,-4.188429e+19,10.0,54.59830570220947,87.32,1.0,862.9001858406025,,137680780000.0,78690,862.9002,1,963889.2
9.979822,True,602.93115,2639.3875,-1589097.5,238620040000000.0,1197.136,1.0,[-0.058  0.377 -0.769 -1.612],-112.21516,87192.83,0.4189424,0.026365366,100.0,8934.102,-1,100,1.0,10.0,-112.21516,1700,,100.0,17,-6216020400000.0,10.0,60.66032433509827,91.78,1.0,907.3953533348822,,3052522000.0,87868,907.3954,1,1186892.2
9.980651,True,702.62744,3839.3938,-2082701.2,3.1519383e+35,96650.21,1.0,[-0.067  0.497 -0.802 -1.621],-147.71017,9661395.0,0.4189424,0.020479703,100.0,961293.1,-1,100,1.0,10.0,-147.71017,1800,,100.0,18,-4.7780814e+23,10.0,66.24353075027466,86.94,1.0,859.036281325923,,363495500000.0,96562,859.0363,1,1231628.6
29.957005,True,526.3632,2748.7114,-1759572.9,358975300000000.0,72.94851,1.0,[-0.188  0.519 -0.825 -1.625],-129.20515,3201.519,0.4189424,0.038060818,100.0,339.94043,-1,100,1.0,10.0,-129.20515,1900,,100.0,19,-8264850000000.0,10.0,72.45472455024719,103.33,1.0,1022.8882102660001,,95221650.0,106895,1022.8882,1,1323358.5
9.982029,True,613.7795,3429.1182,-2300789.2,9.485439e+20,285.27298,1.0,[-0.144  0.432 -0.838 -1.702],-145.957,5690.1943,0.4189424,0.060554318,100.0,879.5882,-1,100,1.0,10.0,-145.957,2000,,100.0,20,-2.0908985e+16,10.0,80.33764314651489,112.63,1.0,1115.8686044991657,,857441660.0,118158,1115.8687,1,1621887.9
