ReturnStepMax,MinIWNorm,ESSClassic,Bound,J_sample_variance,StdIWNorm,LearnableVariance,OptimizationReturnMean,OptimizationReturnMin,InitialReturnMin,VarianceInit,InitialReturnMax,ReturnMeanIW,EpRewMean,MinIW,MaxIW,Weights,EmpiricalD2,MeanIWNorm,OptimizationReturnMax,InitialReturnMean,TimeElapsed,EpThisIter,MeanIW,StdIW,MeanEntropy,ESSRenyi,Iteration,TimestepsSoFar,EpisodesSoFar,ReturnStepMaxmin,InitialBound,EpLenMean,InitialReturnStd,MaxIWNorm
9.99999,0.0016996192,34.132275,68.13098,117263.24,0.018968176,True,55.35904,,,-1,229.9028,115.41016,55.359035903205324,0.16996193,15.204167,[ 0. -0. -0. -0.  0.],2.819421,0.013654377,229.9028,55.35904,0.8928694725036621,100,1.3654376,1.8968176,1.5360625,35.468273,1,654,100,9.99999,27.201803,6.54,42.55697,0.15204167
9.999999,4.5728956e-07,12.002664,134.7172,618947.7,0.037321765,True,65.669464,,9.980458,-1,269.89255,213.2347,75.64992833284548,4.5728957e-05,23.881498,[-0.102 -0.175 -0.081 -0.22   0.117],5.6423492,0.013783714,259.91208,75.649925,2.401615858078003,100,1.3783712,3.7321765,1.3083037,17.723114,2,1511,200,9.999999,42.594982,8.57,57.853367,0.23881498
9.999999,0.00011076962,4.7227445,312.9716,13436934.0,0.065070175,True,150.51555,,,-1,559.76373,525.97095,150.5155407714997,0.011076963,65.18018,[-0.542  0.189 -0.59  -0.934 -0.111],9.652855,0.014487204,559.76373,150.51555,3.715900421142578,100,1.4487205,6.507017,1.3498563,10.35963,3,3117,300,9.999999,81.958755,16.06,128.82962,0.6518018
9.999994,0.0009769032,34.642593,280.911,1511495.9,0.01676819,True,239.06349,,,-1,849.7407,438.95203,239.06350139734175,0.09769032,12.248997,[-0.609  0.323 -0.815 -1.45  -0.069],2.3060858,0.012207985,849.7407,239.06349,5.336868524551392,100,1.2207985,1.676819,1.2971067,43.36352,4,5609,400,9.999994,134.99191,24.92,177.82716,0.12248997
9.999996,0.00020558869,14.678175,295.41678,2074325.9,0.031368434,True,276.4396,,,-1,739.70135,471.57303,276.4396026806978,0.02055887,29.44157,[-0.563  0.385 -0.931 -1.743 -0.122],3.7808726,0.013010645,739.70135,276.4396,6.91648006439209,100,1.3010645,3.136844,1.2314935,26.448921,5,8475,500,9.999996,185.84506,28.66,195.91472,0.29441568
9.999999,0.00018000505,28.385164,294.43982,1280925.4,0.019214818,True,368.31583,,,-1,1189.5479,522.30896,368.3158084358349,0.018000506,16.50473,[-0.661  0.608 -0.972 -1.724 -0.187],2.4463353,0.0120970765,1189.5479,368.31583,9.001170635223389,100,1.2097077,1.9214818,1.1256061,40.877472,6,12260,600,9.999999,222.62656,37.85,249.04251,0.1650473
10.0,0.0006491082,37.746647,500.48032,1954642.4,0.016318636,True,511.7898,,9.97957,-1,1669.4412,804.42645,521.7693831314485,0.06491082,11.382048,[-0.644  0.632 -1.011 -1.781 -0.293],2.209834,0.012706958,1659.4615,521.76935,11.154356241226196,100,1.2706959,1.6318636,1.0469323,45.252266,7,17580,700,10.0,317.30545,53.2,311.89136,0.11382047
10.0,0.0002932895,43.118248,476.4158,4002034.5,0.013870521,True,497.69937,,9.980874,-1,1759.5416,806.9146,507.68026906991827,0.029328948,10.771672,[-0.698  0.698 -1.124 -1.897 -0.372],2.3520656,0.012076382,1749.5608,507.68024,13.428660869598389,100,1.2076383,1.3870522,1.0097046,42.515823,8,22759,800,10.0,292.1813,51.79,293.2377,0.10771672
10.0,0.002138818,52.173,438.6898,797661.3,0.010437439,True,558.80585,,39.94342,-1,1579.7625,685.00995,598.7492297100251,0.21388179,7.402436,[-0.735  0.688 -1.2   -2.062 -0.409],1.6207836,0.010901349,1539.8191,598.7492,16.051264762878418,100,1.090135,1.043744,1.054805,61.69855,9,28849,900,10.0,405.26855,60.9,229.51624,0.07402436
10.0,7.188507e-06,1.5937202,3812.527,3000177200.0,0.35391572,True,568.6563,,,-1,2288.9307,5920.5195,568.6562942820558,0.0007188507,356.03366,[-0.772  0.757 -1.262 -2.074 -0.364],56.54335,0.0450396,2288.9307,568.6563,18.102082014083862,100,4.50396,35.391575,1.0914353,1.7685546,10,34638,1000,10.0,288.32068,57.89,344.4234,3.5603366
9.999998,0.00024299088,24.245419,533.2798,5872530.0,0.020061638,True,592.26135,,,-1,1599.5886,884.7191,592.2613297575282,0.024299089,13.243477,[-0.594  0.644 -1.238 -2.201 -0.327],3.2180495,0.011349502,1599.5886,592.26135,21.0501925945282,100,1.1349502,2.0061638,1.0348054,31.074724,11,40663,1100,9.999998,396.35254,60.25,315.56995,0.13243477
9.999999,0.0050020055,91.1372,541.44116,223651.03,0.0032103527,True,712.83295,,,-1,1579.4006,744.0301,712.8329826190305,0.50020057,2.2306263,[-0.573  0.722 -1.309 -2.241 -0.384],1.0968708,0.010294731,1579.4006,712.83295,23.41149926185608,100,1.0294731,0.32103527,1.0553734,91.16844,12,47894,1200,9.999999,519.39667,72.31,322.71967,0.022306263
9.999999,0.0019801967,82.08606,556.6594,374799.8,0.0050797756,True,720.82733,,,-1,1879.5027,812.38696,720.82734633287,0.19801967,3.069493,[-0.574  0.73  -1.348 -2.273 -0.364],1.2341784,0.010873863,1879.5027,720.82733,26.472193717956543,100,1.0873863,0.50797755,1.0530852,81.02556,13,55205,1300,9.999999,490.63626,73.11,351.55542,0.03069493
10.0,0.000109400746,4.1129513,757.8569,59753170.0,0.08435162,True,706.53467,,,-1,1749.623,1433.4277,706.5346858055315,0.010940075,84.668655,[-0.619  0.79  -1.374 -2.254 -0.366],9.939432,0.017469892,1749.623,706.53467,29.241870403289795,100,1.7469893,8.435163,1.0591289,10.060937,14,62373,1400,10.0,492.2505,71.68,305.628,0.84668654
10.0,4.1825333e-05,3.0270412,1112.8396,177228430.0,0.10739951,True,705.3164,,,-1,2029.5359,2081.5657,705.3164315687709,0.0041825334,106.98835,[-0.498  0.799 -1.402 -2.276 -0.36 ],15.188582,0.018975189,2029.5359,705.3164,32.38326454162598,100,1.8975189,10.73995,1.0206861,6.583893,15,69529,1500,10.0,456.75003,71.56,397.22247,1.0698835
10.0,0.0045388634,87.96336,533.5193,717600.75,0.0041537057,True,880.70447,,19.960766,-1,3878.6328,1053.0248,900.6651514354966,0.45388636,2.4840653,[-0.405  0.718 -1.435 -2.447 -0.398],1.1960015,0.011228809,3858.672,900.66516,36.74636268615723,100,1.1228809,0.41537052,1.0275842,83.61193,16,78639,1600,10.0,425.6316,91.1,527.45233,0.024840653
9.999999,1.5188766e-05,7.2778735,1040.614,53014700.0,0.08260849,True,927.07623,,,-1,2549.1714,2024.94,927.0762047262812,0.0015188766,79.05934,[-0.445  0.795 -1.445 -2.534 -0.391],9.94005,0.02314383,2549.1714,927.07623,41.27582859992981,100,2.314383,8.260849,1.0067563,10.060311,17,88013,1700,9.999999,614.8677,93.74,445.75192,0.7905934
10.0,0.0005872922,66.88466,584.9479,1198278.8,0.0070796837,True,818.8769,,,-1,2219.2024,905.73035,818.8768938547306,0.05872922,5.1915236,[-0.507  0.912 -1.456 -2.44  -0.412],1.392952,0.010061497,2219.2024,818.8769,45.51572585105896,100,1.0061496,0.70796835,0.9730019,71.789986,18,96305,1800,10.0,547.0812,82.92,401.52344,0.051915236
10.0,7.287862e-05,2.0021265,7792.8916,9016343000.0,0.2064094,True,971.28204,,9.979844,-1,4588.519,10312.973,981.2618443078345,0.0072878622,207.5336,[-0.533  0.921 -1.502 -2.501 -0.446],20.109102,0.029503047,4578.539,981.2619,50.72990036010742,100,2.950305,20.64094,0.96140593,4.9728723,19,106221,1900,10.0,419.28522,99.16,574.33185,2.075336
10.0,0.00055926637,21.942245,715.16235,38315308.0,0.01883223,True,879.9389,,39.928345,-1,3479.065,1370.4012,919.867282887121,0.05592664,18.037136,[-0.455  0.796 -1.528 -2.557 -0.458],2.3647377,0.009984683,3439.1367,919.86725,56.19895601272583,100,0.9984682,1.8832229,0.9299155,42.287987,20,115523,2000,10.0,493.7706,93.02,440.26892,0.18037136
9.999999,0.00014013688,20.3236,944.16766,11178460.0,0.024766948,True,1021.2417,,,-1,2579.0789,1475.2566,1021.2417287455189,0.014013688,23.537949,[-0.425  0.812 -1.534 -2.469 -0.489],2.8269231,0.012508577,2579.0789,1021.2417,60.66760849952698,100,1.2508577,2.4766946,0.93174124,35.37415,21,125839,2100,9.999999,705.37036,103.16,475.89935,0.23537949
10.0,0.00071779435,49.825455,878.167,3295540.0,0.010718775,True,1025.4349,,,-1,2249.4065,1259.752,1025.4349076416204,0.07177944,6.7861233,[-0.406  0.88  -1.579 -2.472 -0.487],1.9184722,0.0106814215,2249.4065,1025.4349,66.92646479606628,100,1.0681423,1.0718776,0.8950416,52.124813,22,136197,2200,10.0,749.94006,103.58,481.01697,0.06786123
