Weights,ReturnMeanIW,InitialReturnMean,Iteration,EmpiricalD2Harmonic,MinTargetPdf,Bound,MinIW,MeanEntropy,MinBehavPdf,MaxIW,EpRewMean,EpLenMean,ReturnStepMaxmin,InitialReturnStd,EpThisIter,InitialReturnMin,LearnableVariance,VarianceInitializer,InitialBound,DivergenceHarmonic,ESSRenyiHarmonic,Penalization,StdWReturnMean,StdIW,MeanIW,EpisodesSoFar,Inner Iteration,EmpiricalD2Arithmetic,ESSRenyiArithmetic,TimeElapsed,InitialReturnMax,ReturnStepMax,MeanD2-0,TimestepsSoFar,WReturnMean
[-0.  0.  0. -0.],1397830500.0,84.05058,1,1.0,-14.777452,-2.6923596e+19,0.33005854,0.4189424,-14.777452,47330736.0,84.05058605201825,9.41,9.999993,55.066658,100,19.965588,,-1,-13701.077,5.5800636e+31,100.0,True,,4724475.0,568888.25,100,1,1.0,100.0,2.2484469413757324,249.85443,9.999993,1.0,941,10096.837
[-0.271  0.193 -0.466 -0.82 ],5073882.0,337.81168,2,1.0,-52.2883,-5139884000000.0,0.034970433,0.4189424,-52.2883,363.21008,337.81167788250224,34.8,9.999999,218.4921,100,9.981145,,-1,-249156.9,3466291200000000.0,100.0,True,,57.96835,27.76116,200,1,1.0,100.0,9.343923568725586,1229.6754,9.999999,1.0,4421,161855.52
[-0.242  0.312 -0.489 -0.829],22357672.0,360.81387,3,1.0,-41.988113,-474351860000.0,0.018767871,0.4189424,-41.988113,5225.4414,360.81386704919333,37.1,10.0,225.90686,100,9.985613,,-1,-240066.25,64972950000000.0,100.0,True,,557.2786,128.19714,300,1,1.0,100.0,13.162435531616211,1009.57184,10.0,1.0,8131,181220.55
[-0.297  0.271 -0.57  -1.055],1448275500.0,484.7852,4,1.0,-63.320873,-294065070000000.0,0.012784134,0.4189424,-63.320873,206448.12,484.78519851321136,49.5,10.0,259.36853,100,19.965073,,-1,-389606.25,1.1341786e+19,100.0,True,,28457.852,8430.296,400,1,1.0,100.0,17.24455714225769,1229.789,10.0,1.0,13081,302288.7
[-0.226  0.372 -0.581 -1.039],137494220.0,543.26855,5,1.0,-58.474483,-4579763700000.0,0.024143143,0.4189424,-58.474483,7006.485,543.2685888965277,55.35,10.0,298.29816,100,19.964767,,-1,-550878.56,754222800000000.0,100.0,True,,1007.19946,237.8533,500,1,1.0,100.0,22.988768815994263,1699.4971,10.0,1.0,18616,384122.53
[-0.286  0.282 -0.599 -1.099],1303208400.0,469.6858,6,1.0,-50.383484,-7605742000000.0,0.08164872,0.4189424,-50.383484,249557.47,469.68577610681257,47.99,10.0,230.40291,100,9.98069,,-1,-354016.06,8962429000000000.0,100.0,True,,25762.426,5225.054,600,1,1.0,100.0,27.54017972946167,1179.5259,10.0,1.0,23415,273690.22
[-0.218  0.371 -0.638 -1.06 ],1117249500.0,538.55255,7,1.0,-69.46178,-51498877000.0,0.14269629,0.4189424,-69.46178,72891.25,538.5526414478247,54.88,9.999999,308.73914,100,9.985659,,-1,-500025.75,193050120000.0,100.0,True,,9499.387,1865.2275,700,1,1.0,100.0,31.965359449386597,1409.2852,9.999999,1.0,28903,385358.78
[-0.163  0.456 -0.697 -1.103],11800907.0,454.9909,8,1.0,-62.581665,-1641250600000.0,0.22488192,0.4189424,-62.581665,850.6642,454.9908932980022,46.52,9.999999,291.5298,100,9.982853,,-1,-401856.47,223225930000000.0,100.0,True,,100.55044,29.836502,800,1,1.0,100.0,36.375683069229126,1379.3677,9.999999,1.0,33555,292006.34
[-0.203  0.357 -0.717 -1.164],1715326100.0,792.2025,9,1.0,-98.27576,-228455050000000.0,0.024586286,0.4189424,-98.27576,72412.35,792.2024477625346,80.25,10.0,396.98297,100,9.980064,,-1,-984790.7,1.3098816e+18,100.0,True,,7242.465,1083.2482,900,1,1.0,100.0,43.5263671875,1859.3925,10.0,1.0,41580,785180.2
[-0.286  0.292 -0.737 -1.228],34913034000.0,579.5765,10,1.0,-77.70697,-666305460000000.0,0.06912092,0.4189424,-77.70697,9076734.0,579.5764909413884,58.98,10.0,289.49673,100,,,-1,-615066.4,1.1632707e+19,100.0,True,,902886.4,104712.73,1000,1,1.0,100.0,49.228339195251465,1839.4391,10.0,1.0,47478,419717.25
