StdIWNorm,Weights,ESSClassic,MeanEntropy,InitialReturnMean,Iteration,OptimizationReturnMax,ReturnStepMax,EpisodesSoFar,Bound,InitialReturnMax,VarianceInit,MinIW,TimeElapsed,TimestepsSoFar,EmpiricalD2,MeanIWNorm,LearnableVariance,MeanIW,ReturnStepMaxmin,J_sample_variance,ReturnMeanIW,MinIWNorm,EpLenMean,ESSRenyi,MaxIW,StdIW,OptimizationReturnMean,EpRewMean,EpThisIter,OptimizationReturnMin,InitialReturnMin,MaxIWNorm,InitialReturnStd,InitialBound
0.259701,[-0.261  0.481 -1.503 -1.529 -0.713],1.857586,0.6775456,943.78204,16,2028.9906,10.0,1600,3136.6216,2028.9906,-1,0.0013022479,51.219279527664185,87522,56.076935,0.03572891,True,3.5728905,10.0,1671360500.0,4997.499,1.3022478e-05,95.41,1.7832644,259.73822,25.970102,943.78204,943.7820583957331,100,,,2.597382,451.50287,695.2825
0.10511821,[-0.16   0.431 -1.522 -1.575 -0.741],4.549967,0.60376763,1151.4546,17,3218.6768,10.0,1700,2737.538,3238.6387,-1,0.0031259432,58.19442892074585,99140,18.461597,0.022950599,True,2.29506,10.0,819096700.0,4441.825,3.125943e-05,116.18,5.4166493,100.47487,10.51182,1131.4929,1151.4546773064822,100,,19.961823,1.0047487,617.5273,754.8041
0.0061202394,[-0.111  0.373 -1.555 -1.598 -0.815],76.13362,0.6258544,1358.9747,18,3059.279,10.0,1800,1017.1428,3418.9045,-1,0.34741765,66.91196823120117,112834,1.2644479,0.010931086,True,1.0931087,10.0,1191916.9,1487.9934,0.0034741764,136.94,79.0859,4.0931187,0.61202395,999.3491,1358.9746589167955,100,,359.6255,0.040931188,634.62164,940.2461
0.025312508,[-0.109  0.392 -1.558 -1.621 -0.793],20.695543,0.6036745,1421.2727,19,4039.2126,10.0,1900,1448.5835,4049.1929,-1,0.01786562,75.5296905040741,127151,3.526603,0.012930782,True,1.293078,10.0,49519504.0,2379.8894,0.0001786562,143.17,28.3559,23.7906,2.5312507,1411.2924,1421.2726436639114,100,,9.980278,0.237906,820.8724,925.34985
0.0055976333,[-0.079  0.414 -1.614 -1.666 -0.815],78.19097,0.5936275,1611.4915,20,4908.709,10.0,2000,1260.2957,4928.678,-1,0.31457072,86.65565586090088,143371,1.2265532,0.010598992,True,1.0598992,10.0,4547826.0,1928.8232,0.003145707,162.2,81.52928,2.9223013,0.5597633,1591.5223,1611.491378382138,100,,19.969246,0.029223012,1015.69696,1007.8539
0.0051100585,[-0.081  0.447 -1.643 -1.712 -0.825],81.62513,0.5741053,1816.6522,21,4678.548,10.0,2100,1486.9613,4678.548,-1,0.17435831,100.69625544548035,161643,1.3269924,0.0107702445,True,1.0770246,10.0,4921803.5,2147.0327,0.001743583,182.72,75.35838,3.4733229,0.5110059,1816.6522,1816.6521225734753,100,,,0.03473323,1054.4431,1243.6492
0.45086312,[-0.086  0.471 -1.671 -1.715 -0.845],1.3677319,0.6410597,1889.0195,22,4989.008,10.0,2200,11583.049,4998.989,-1,0.0006760504,115.56401348114014,180636,104.29186,0.053092804,True,5.3092804,10.0,27988642000.0,17835.54,6.7605038e-06,189.93,0.9588476,453.73904,45.086308,1879.0386,1889.0195090736097,100,,9.980964,4.53739,1022.3385,1276.7708
0.03205017,[-0.064  0.47  -1.701 -1.641 -0.778],16.777044,0.66744936,1664.4314,23,4999.0435,10.0,2300,1705.8885,4999.0435,-1,0.04734019,130.8108491897583,197384,3.4975815,0.014390188,True,1.4390188,10.0,87935930.0,2850.9175,0.00047340186,167.48,28.591185,29.873299,3.205017,1664.4314,1664.4313478429738,100,,,0.29873297,1112.5487,1052.176
0.0053845444,[-0.081  0.476 -1.748 -1.721 -0.751],80.1336,0.6530136,1734.0184,24,4998.527,10.0,2400,1267.1602,4998.527,-1,0.06705554,145.085467338562,214829,1.3217666,0.010814254,True,1.0814254,10.0,2838501.5,1970.9858,0.0006705554,174.45,75.65632,2.5548434,0.5384544,1734.0184,1734.0184030893306,100,,,0.025548434,1002.4167,1121.8264
0.011872192,[-0.098  0.483 -1.76  -1.736 -0.766],45.178955,0.66461235,1823.9531,25,4528.815,9.999999,2500,1403.0891,4528.815,-1,0.0878268,160.43460988998413,233174,1.8902695,0.010777679,True,1.077768,9.999999,17302922.0,2165.681,0.00087826804,183.45,52.902508,8.459938,1.1872193,1823.9531,1823.953083590942,100,,,0.084599376,1018.5252,1269.2888
0.004299423,[-0.089  0.525 -1.781 -1.758 -0.754],86.14996,0.67227435,1877.9089,26,4979.113,10.0,2600,1473.1971,4999.077,-1,0.4415426,176.60468864440918,252058,1.156901,0.010722893,True,1.0722893,10.0,3089026.5,2131.7393,0.004415426,188.84,86.43782,2.786355,0.42994234,1857.9443,1877.9088425424627,100,,19.96452,0.027863549,1104.9897,1265.6494
0.047359623,[-0.086  0.534 -1.831 -1.794 -0.747],10.433665,0.6247574,1966.2579,27,4998.8003,10.0,2700,1968.6365,4998.8003,-1,0.004547529,194.3041341304779,271825,7.0523033,0.016164206,True,1.6164204,10.0,195398480.0,3594.4731,4.5475288e-05,197.67,14.179765,38.811745,4.7359624,1966.2579,1966.2580599321927,100,,,0.38811743,1060.4137,1354.0325
0.0095201265,[-0.109  0.5   -1.844 -1.772 -0.794],59.545753,0.60100657,1949.38,28,4999.054,10.0,2800,1696.147,4999.054,-1,0.11992992,211.38580107688904,291422,1.5774082,0.01155011,True,1.1550109,10.0,10963792.0,2465.11,0.0011992991,195.97,63.39513,5.994272,0.95201266,1949.38,1949.3799548664224,100,,,0.059942722,950.53705,1337.1233
0.56377494,[-0.112  0.503 -1.859 -1.822 -0.818],1.2885532,0.65340436,1994.3225,29,4998.6353,10.0,2900,14487.213,4998.6353,-1,0.003613907,228.74978184700012,311470,143.78587,0.06441295,True,6.441295,10.0,42571756000.0,21828.213,3.6139067e-05,200.48,0.6954786,567.2747,56.377495,1994.3225,1994.3225104379685,100,,,5.672747,1016.9379,1382.1171
0.04726856,[-0.071  0.523 -1.866 -1.847 -0.766],9.541075,0.6343,2115.9412,30,4998.8765,10.0,3000,2832.7656,4998.8765,-1,0.0049562636,246.21158289909363,332732,8.28265,0.015351305,True,1.5351305,10.0,363891330.0,4594.7524,4.9562634e-05,212.62,12.073431,44.03412,4.7268558,2115.9412,2115.941053854343,100,,,0.44034117,1247.2421,1503.706
0.038751684,[-0.038  0.542 -1.876 -1.838 -0.785],15.183492,0.620453,2684.2444,31,4968.9995,10.0,3100,2660.1118,4998.9443,-1,0.037859194,270.7466022968292,359665,5.3340783,0.016395932,True,1.6395935,10.0,88867016.0,4074.1255,0.00037859194,269.33,18.747381,29.67237,3.8751686,2654.2993,2684.244592817685,100,,29.944998,0.2967237,1489.9231,2072.0015
0.010273082,[-0.062  0.52  -1.9   -1.858 -0.798],59.717796,0.61660963,2543.1824,32,4948.917,10.0,3200,2494.462,4998.8325,-1,0.10637371,291.5817003250122,385196,1.9091763,0.012508234,True,1.2508235,10.0,13422129.0,3340.3972,0.0010637371,255.31,52.37861,5.642811,1.0273081,2493.2668,2543.182347551493,100,,49.91535,0.05642811,1335.0609,1930.9526
0.009151552,[-0.063  0.488 -1.923 -1.876 -0.802],55.44704,0.60631514,2478.9912,33,4999.119,10.0,3300,2187.829,4999.119,-1,0.069594376,309.7085826396942,410087,1.8561435,0.010209292,True,1.0209293,10.0,21694226.0,3021.9805,0.0006959437,248.91,53.875145,5.3863997,0.91515523,2478.9912,2478.9914170739708,100,,,0.053863995,1296.2744,1866.7266
0.16544078,[-0.043  0.474 -1.941 -1.882 -0.813],2.3895633,0.6508407,3163.9275,34,4999.365,10.0,3400,5490.6396,4999.365,-1,0.007242501,331.7699158191681,441813,39.660633,0.025885332,True,2.5885334,10.0,4185191000.0,9346.669,7.2425006e-05,317.26,2.5213919,166.23975,16.544077,3163.9275,3163.927552609337,100,,,1.6623974,1437.6101,2551.6328
0.012988055,[-0.024  0.477 -1.961 -1.963 -0.768],43.98444,0.6395632,2819.0232,35,4949.3057,10.0,3500,2544.422,4999.2197,-1,0.053687204,352.3552436828613,470092,2.7148645,0.011509045,True,1.1509047,10.0,37582070.0,3553.2612,0.000536872,282.79,36.83425,7.2174397,1.2988056,2769.1094,2819.0235514772817,100,,49.91427,0.07217439,1635.1404,2206.7468
0.10020636,[-0.005  0.496 -1.966 -1.947 -0.779],3.433132,0.579537,2844.4424,36,4999.101,10.0,3600,4307.3677,4999.101,-1,0.0012527006,372.49316930770874,498621,25.118156,0.018894112,True,1.8894112,10.0,2538099500.0,7375.9053,1.2527005e-05,285.29,3.981184,100.80388,10.020637,2844.4424,2844.4424053572043,100,,,1.0080388,1791.8488,2232.18
0.07198578,[ 0.017  0.497 -1.943 -1.982 -0.839],5.0818334,0.53874993,3437.8564,37,4989.503,10.0,3700,4832.8154,4999.4834,-1,5.1336745e-05,396.0951931476593,533068,19.99671,0.016656443,True,1.6656444,10.0,1310702100.0,7570.9204,5.133674e-07,344.47,5.0008225,64.694046,7.198578,3427.8762,3437.8564305189175,100,,9.980534,0.64694047,1649.089,2825.5469
6.823579,[-0.007  0.531 -2.019 -1.962 -0.88 ],1.0319804,0.6211471,4109.741,38,4699.6875,10.0,3800,300487.2,4999.4326,-1,0.00014247102,431.43304443359375,574211,5900.0293,0.6967877,True,69.67877,10.0,10383926000000.0,347519.2,1.4247101e-06,411.43,0.016949069,6858.8423,682.3579,3809.9958,4109.7410872121,100,,299.7453,68.588425,1460.8756,3497.4382
0.0496027,[ 0.008  0.513 -2.03  -1.975 -0.798],7.6806717,0.6296382,3386.3105,39,4999.3384,10.0,3900,4077.8843,4999.3384,-1,0.038398404,455.84701585769653,608143,6.530507,0.014307329,True,1.4307328,10.0,559367500.0,5642.5864,0.00038398404,339.32,15.312747,35.875538,4.9602695,3386.3105,3386.3105961681035,100,,,0.35875538,1704.3696,2774.0188
0.0292839,[-0.017  0.533 -2.072 -1.931 -0.789],16.44456,0.6026068,3446.693,40,4969.431,10.0,4000,3626.9897,4999.375,-1,0.016722772,484.35412645339966,642679,5.636742,0.012991302,True,1.2991301,10.0,202638640.0,5080.692,0.00016722771,345.36,17.740744,24.413834,2.9283903,3416.7498,3446.692882740311,100,,29.943672,0.24413833,1727.5641,2834.397
0.016711734,[-0.016  0.564 -2.089 -1.896 -0.816],37.204014,0.5642023,3766.2834,41,4999.4053,10.0,4100,4468.402,4999.4053,-1,0.02381859,511.1515667438507,680399,3.6235328,0.01286324,True,1.2863241,10.0,74331140.0,5633.9497,0.0002381859,377.2,27.597378,7.730794,1.6711735,3766.2834,3766.2837460723467,100,,,0.07730794,1710.8447,3153.984
0.36192492,[-0.02   0.552 -2.13  -1.862 -0.855],1.5547374,0.50640124,4166.2964,42,4739.6675,10.0,4200,12475.603,4999.4653,-1,1.8619554e-05,545.7543404102325,722115,242.79128,0.045483056,True,4.5483055,10.0,29736794000.0,22016.424,1.8619554e-07,417.16,0.4118764,363.96008,36.19249,3906.499,4166.2968104291685,100,,259.79773,3.6396008,1277.7505,3553.99
0.16753824,[-0.011  0.615 -2.154 -1.856 -0.913],2.256574,0.55621123,4173.1064,43,4999.4146,10.0,4300,7399.1035,4999.4146,-1,0.004222592,577.1645302772522,763885,55.764053,0.025456276,True,2.5456278,10.0,7094754000.0,11971.4795,4.2225918e-05,417.7,1.7932699,167.56146,16.753824,4173.1064,4173.106249768209,100,,,1.6756146,1515.3237,3560.8057
0.008611846,[-0.014  0.657 -2.195 -1.845 -0.863],59.752995,0.53881127,3949.1436,44,4969.5513,10.0,4400,3735.3462,4999.5005,-1,0.11938312,607.5246481895447,803429,1.6339873,0.010493232,True,1.0493233,10.0,21160450.0,4518.0483,0.0011938312,395.44,61.199986,4.4331436,0.8611846,3919.1938,3949.1430853767383,100,,29.949406,0.044331435,1581.566,3336.8315
0.05067646,[-0.027  0.667 -2.228 -1.862 -0.88 ],11.612066,0.5768515,4076.4143,45,4999.46,10.0,4500,5642.913,4999.46,-1,0.0101307705,641.8954689502716,844240,11.979552,0.01836811,True,1.8368112,10.0,627886660.0,7762.1963,0.000101307705,408.11,8.347557,34.780777,5.067646,4076.4143,4076.4145205768705,100,,,0.34780777,1517.9551,3464.1082
0.01291729,[-0.036  0.628 -2.232 -1.862 -0.842],46.721775,0.5519736,4211.6777,46,4989.3687,10.0,4600,4523.1733,4999.349,-1,0.08945773,677.1314845085144,886408,2.4191608,0.012096401,True,1.2096401,10.0,45145810.0,5475.512,0.00089457724,421.68,41.336647,9.693382,1.291729,4201.6973,4211.677627559304,100,,9.980379,0.09693382,1303.5073,3599.3845
0.022011219,[-0.025  0.644 -2.245 -1.898 -0.867],22.014963,0.51800734,4198.8984,47,4969.3823,10.0,4700,3999.9438,4999.3345,-1,0.015140875,711.4593110084534,928440,3.3552375,0.011694925,True,1.1694925,10.0,108888910.0,5121.496,0.00015140875,420.32,29.80415,19.772038,2.201122,4168.947,4198.898468982243,100,,29.952341,0.19772036,1531.1067,3586.6074
0.0044647525,[-0.037  0.656 -2.253 -1.903 -0.901],84.42875,0.50881946,4340.825,48,4989.4644,10.0,4800,3958.9487,4999.4443,-1,0.3318266,745.3133647441864,971891,1.1881081,0.010396353,True,1.0396352,10.0,6779880.0,4626.363,0.003318266,434.51,84.16743,2.7456198,0.44647524,4330.845,4340.825209596203,100,,9.980095,0.027456198,1311.6204,3728.5208
0.022346288,[-0.035  0.642 -2.285 -1.904 -0.91 ],26.043705,0.4952696,4656.7446,49,4969.456,10.0,4900,5120.099,4999.401,-1,0.008949472,780.4185216426849,1018495,4.5399127,0.013260785,True,1.3260785,10.0,125593110.0,6424.729,8.9494715e-05,466.04,22.026855,15.038108,2.234629,4626.7993,4656.744458533002,100,,29.944603,0.15038107,894.22064,4044.445
