TimestepsSoFar,MaxIW,ESSClassic,Bound,OptimizationReturnMean,MeanIWNorm,MinIWNorm,InitialBound,InitialReturnMean,EpLenMean,EpisodesSoFar,ReturnStepMax,MeanIW,InitialReturnMax,ESSRenyi,TimeElapsed,EpThisIter,MaxIWNorm,InitialReturnStd,MinIW,ReturnStepMaxmin,Iteration,StdIW,VarianceInit,J_sample_variance,Weights,ReturnMeanIW,MeanEntropy,LearnableVariance,EpRewMean,StdIWNorm,OptimizationReturnMin,OptimizationReturnMax,InitialReturnMin,EmpiricalD2
671,44.419487,9.355789,159.87936,57.0631,0.016493803,4.650112e-05,20.337715,57.0631,6.71,100,9.999981,1.6493803,299.86148,15.30151,1.0305869579315186,100,0.44419485,47.87974,0.0046501122,9.999981,1,5.1339383,-1,1475911.0,[-0.  0. -0. -0.  0.],253.76501,1.3695077,True,57.063096806608556,0.05133938,,299.86148,,6.5353026
1890,19.473944,24.818747,156.08879,101.851585,0.013112583,0.0002669739,49.387875,111.83298,12.19,200,9.999991,1.3112584,509.86212,29.23981,2.884244680404663,100,0.19473943,94.554474,0.02669739,9.999991,2,2.2821972,-1,1040615.6,[ 0.374  0.638 -0.34  -1.053 -0.049],271.56995,1.2860262,True,111.83297557065822,0.022821972,,499.88074,9.981397,3.4199948
3473,35.53093,9.793212,312.36627,148.20717,0.013935005,0.00016931331,72.29334,148.20717,15.83,300,10.0,1.3935007,619.8338,21.205963,4.511314153671265,100,0.35530928,121.04905,0.01693133,10.0,3,4.229258,-1,5567159.5,[ 0.254  0.527 -0.448 -1.332 -0.133],477.21738,1.0903928,True,148.2071670898727,0.04229258,,619.8338,,4.715655
5688,54.49411,6.880971,356.53723,201.40752,0.014620705,0.001187774,128.13052,211.38782,22.15,400,9.999997,1.4620706,679.79285,30.193659,6.443413257598877,100,0.54494107,145.28297,0.1187774,9.999997,4,5.378519,-1,7407713.0,[-4.958e-04  7.877e-01 -7.405e-01 -1.461e+00 -3.285e-01],508.05527,1.0560149,True,211.38779990190244,0.05378519,,669.81256,9.980273,3.3119538
9326,12.135765,42.818127,347.80658,343.63968,0.011997534,0.00035130922,210.38501,353.6204,36.38,500,9.999999,1.1997535,1169.5122,48.033775,9.2828369140625,100,0.12135765,257.305,0.03513092,9.999999,5,1.3864601,-1,2168778.2,[-0.5    0.887 -1.088 -1.496 -0.363],554.4764,1.0722185,True,353.6204099766019,0.0138646,,1159.5315,9.980693,2.0818684
13308,86.17769,4.7499857,928.78314,388.0112,0.021183345,1.2620061e-05,241.0962,388.0112,39.82,600,9.999996,2.1183348,1199.5562,4.948695,11.668692588806152,100,0.8617769,282.32736,0.0012620061,9.999996,6,9.485952,-1,82249784.0,[-0.447  0.915 -1.22  -1.662 -0.347],1589.2041,0.98119634,True,388.0112255526123,0.09485952,,1199.5562,,20.207346
19988,9.264679,49.524986,571.083,657.7317,0.011624145,0.0009114894,436.16064,657.7317,66.8,700,10.0,1.1624146,1809.1201,53.2876,15.46808671951294,100,0.092646785,379.0056,0.09114894,10.0,7,1.1735109,-1,1513405.8,[-0.44   0.796 -1.273 -1.812 -0.438],874.6118,0.9263303,True,657.7317192383125,0.011735108,,1809.1201,,1.8766091
28197,4.792365,62.834187,717.7593,790.6293,0.011406179,0.0018686632,521.6283,810.59546,82.09,800,10.0,1.1406178,2359.4067,62.556774,19.712486028671265,100,0.04792365,445.63992,0.18686633,10.0,8,0.87723094,-1,1604858.9,[-0.501  0.833 -1.339 -1.88  -0.493],1083.1111,0.88828766,True,810.5954506806877,0.008772309,,2339.4407,19.966139,1.5985479
36227,175.4116,2.1103,2011.8883,792.70135,0.025893047,1.0113187e-05,530.69855,792.70135,80.3,900,9.999999,2.589305,2139.2434,3.0190344,24.518862009048462,100,1.754116,467.5221,0.0010113188,9.999999,9,17.635166,-1,703709800.0,[-0.495  0.841 -1.414 -1.958 -0.531],3519.7856,0.75278264,True,792.7013006335499,0.17635167,,2139.2434,,33.123173
46181,23.510998,15.926274,1095.147,975.0934,0.01411211,0.00025535497,687.5543,985.0767,99.54,1000,10.0,1.4112111,2429.2598,18.815643,30.06135606765747,100,0.23510997,449.7949,0.025535498,10.0,10,3.2423885,-1,25460998.0,[-0.513  0.898 -1.462 -1.975 -0.666],1781.0458,0.7183577,True,985.0766912161001,0.032423884,,2419.2764,9.983363,5.3147264
