MaxIW,MeanIWNorm,Weights,ReturnMeanIW,Iteration,OptimizationReturnMax,MeanEntropy,InitialBound,EpisodesSoFar,ReturnStepMaxmin,OptimizationReturnMean,MeanIW,TimestepsSoFar,VarianceInit,StdIWNorm,MinIW,ESSRenyi,EpThisIter,J_sample_variance,InitialReturnStd,StdIW,MinIWNorm,EpRewMean,MaxIWNorm,Bound,ReturnStepMax,EmpiricalD2,LearnableVariance,InitialReturnMax,TimeElapsed,InitialReturnMean,ESSClassic,OptimizationReturnMin,InitialReturnMin,EpLenMean
3.2127285,0.010517017,[ 0.  0.  0. -0.],96.981766,1,239.94789,0.4189424,49.544655,100,9.999999,70.17196,1.0517018,902,-1.0,0.0047372794,0.16105287,76.13513,100,14628.626,58.893036,0.47372797,0.0016105287,80.15480061925463,0.032127284,61.900703,9.999999,1.313454,,249.93074,0.6645820140838623,80.15479,83.13272,,9.982842,9.02
5.204268,0.010763749,[ 0.025  0.021 -0.155 -0.124],131.89957,2,469.91953,0.4189424,31.973278,200,10.0,80.76771,1.0763748,1910,-1.0,0.0073209316,0.091454394,66.68201,100,54987.273,78.22365,0.7320932,0.0009145439,90.74886713335152,0.052042678,59.922737,10.0,1.499655,,479.9007,1.9489750862121582,90.74887,68.37137,,9.981163,10.08
452.61365,0.05124774,[-0.328 -0.092 -0.311 -0.136],1721.5443,3,349.80164,0.4189424,56.177067,300,9.999999,90.25998,5.1247735,3013,-1.0,0.45004034,0.015200411,1.021199,100,250492180.0,69.67073,45.004032,0.00015200411,100.24130409118408,4.5261364,1285.4995,9.999999,97.9241,,359.78296,2.90486478805542,100.2413,1.2801211,,9.981317,11.03
5.868435,0.010416479,[-1.107  0.33  -0.84  -0.445],266.9817,4,469.78024,0.4189424,154.04813,400,9.999998,211.58421,1.0416479,5230,-1.0,0.008185327,0.08821671,61.20904,100,105978.13,106.77775,0.81853265,0.0008821671,211.58421903412014,0.05868435,193.44017,9.999998,1.6337456,,469.78024,4.096356153488159,211.58421,61.824158,,,22.17
3.6036136,0.010509673,[-1.27   0.452 -0.969 -0.587],326.09546,5,539.79205,0.4189424,205.56128,500,9.999999,271.672,1.0509672,8048,-1.0,0.0069360104,0.25890487,66.669785,100,102387.37,114.13018,0.6936011,0.0025890486,271.67200489992194,0.036036134,245.12854,9.999999,1.4999299,,539.79205,5.166043281555176,271.672,69.65956,,,28.18
2.8463988,0.010249377,[-1.336  0.466 -1.088 -0.677],312.17166,6,689.8383,0.4189424,206.55734,600,9.999999,282.28583,1.0249379,11072,-1.0,0.0051581073,0.1607256,77.4375,100,67591.89,119.457054,0.5158108,0.0016072559,292.2674284202943,0.028463988,214.77226,9.999999,1.291364,,699.81995,6.287973403930664,292.26743,79.7912,,9.981625,30.24
3.025023,0.010355786,[-1.418  0.445 -1.133 -0.714],321.6028,7,639.80115,0.4189424,209.88507,700,9.999999,279.48508,1.0355785,14068,-1.0,0.0054757325,0.2473927,76.408905,100,71491.58,121.72524,0.54757327,0.0024739269,289.4669028185588,0.030250229,230.56078,9.999999,1.308748,,649.78296,10.753490447998047,289.46692,78.15014,,9.981821,29.96
38.176376,0.017161004,[-1.593  0.482 -1.19  -0.813],834.43414,8,999.7086,0.4189424,213.27928,800,9.999999,318.19888,1.7161003,17551,-1.0,0.052354455,0.03227747,14.59243,100,11773580.0,148.04561,5.235446,0.0003227747,338.16321036698145,0.38176376,507.5132,9.999999,6.852868,,1019.673,12.024995565414429,338.1632,9.701896,,19.964329,34.83
3.6432433,0.009802536,[-1.231  0.445 -1.524 -0.675],389.53714,9,1119.7815,0.4189424,204.71971,900,10.0,306.8141,0.9802536,21120,-1.0,0.0050987694,0.139046,78.27145,100,176739.9,157.9671,0.50987697,0.00139046,346.75628176800734,0.036432434,228.9915,10.0,1.2776052,,1159.7238,13.412847518920898,346.7563,78.70583,,39.942207,35.69
91.0473,0.022187078,[-1.224  0.482 -1.543 -0.75 ],861.3464,10,699.62463,0.4189424,291.8113,1000,10.0,359.97867,2.2187078,25021,-1.0,0.09881355,0.036923368,10.52376,100,11011544.0,124.96073,9.881355,0.00036923366,379.9425194750182,0.910473,589.6747,10.0,9.502307,,719.5885,14.49578857421875,379.9425,4.7996106,,19.963856,39.01
