EmpiricalD2Arithmetic,EpLenMean,TimestepsSoFar,MeanD2-0,ReturnStepMax,TimeElapsed,Weights,InitialReturnMin,ESSRenyiArithmetic,Inner Iteration,InitialBound,ReturnMeanIW,EpisodesSoFar,StdWReturnMean,LearnableVariance,Iteration,Penalization,DivergenceHarmonic,MaxIW,ESSRenyiHarmonic,WReturnMean,EpRewMean,StdIW,InitialReturnMax,MeanIW,ReturnStepMaxmin,InitialReturnStd,EpThisIter,MinIW,MeanEntropy,InitialReturnMean,VarianceInitializer,EmpiricalD2Harmonic,MinTargetPdf,MinBehavPdf,Bound
1.0,8.82,882,1.0,9.999999,0.9388852119445801,[ 0.  0. -0.  0.],,100.0,1,-13061.227,312324860.0,100,,,1,True,7.2732436e+22,5334227.0,100.0,8536.11,78.15662370127826,542391.44,279.9594,75065.08,9.999999,49.27123,100,0.116570435,0.4189424,78.156624,-1,1.0,-14.87018,-14.87018,-1220376000000000.0
1.0,13.85,2267,1.0,10.0,2.5089712142944336,[-0.057 -0.233 -0.101 -0.427],9.9820175,100.0,1,-47114.535,3522220.0,200,,,2,True,4.0113133e+29,959.28485,100.0,26337.37,128.42713138767883,113.46934,599.89233,27.575611,10.0,99.21615,100,0.04552912,0.4189424,128.42714,-1,1.0,-33.16622,-33.16622,-1.3159194e+19
1.0,14.52,3719,1.0,9.999997,3.3527121543884277,[-0.767  0.353 -0.475 -0.312],9.980544,100.0,1,-31836.205,2968780.0,300,,,3,True,4914206600000000.0,3236.9229,100.0,25166.422,135.12596776123104,339.73108,339.88812,64.11021,9.999997,83.11073,100,0.04101736,0.4189424,135.12598,-1,1.0,-18.749254,-18.749254,-467563740000.0
1.0,23.04,6023,1.0,10.0,4.269779205322266,[-0.743  0.296 -0.526 -0.548],9.981191,100.0,1,-94462.016,154065570.0,400,,,4,True,9.935729e+23,46210.44,100.0,69338.7,220.27749017144808,5734.388,659.6575,1259.2175,10.0,144.27936,100,0.090498336,0.4189424,220.2775,-1,1.0,-27.735176,-27.735176,-2.5042415e+16
1.0,38.77,9900,1.0,10.0,5.763237714767456,[-0.668  0.386 -0.686 -1.008],9.983562,100.0,1,-239763.42,2458583.2,500,,,5,True,11979858000000.0,774.08813,100.0,180882.9,377.52811290200196,84.723854,1009.8705,22.604578,10.0,195.84549,100,0.082282506,0.4189424,377.52808,-1,1.0,-39.58339,-39.58339,-203798870000.0
1.0,46.18,14518,1.0,10.0,7.44555401802063,[-0.591  0.481 -0.704 -1.025],9.981281,100.0,1,-275649.12,23064370.0,600,,,6,True,1510443200000.0,1990.9797,100.0,233972.12,451.6101551487565,265.93716,849.6263,54.88938,10.0,173.26393,100,0.08399441,0.4189424,451.61017,-1,1.0,-49.6623,-49.6623,-51243990000.0
1.0,45.57,19075,1.0,10.0,9.167794227600098,[-0.659  0.398 -0.723 -1.086],19.963203,100.0,1,-300117.66,6138588.5,700,,,7,True,13919794000000.0,881.2939,100.0,232831.23,445.51028468112594,118.45719,1079.5518,37.697216,10.0,185.34245,100,0.014446147,0.4189424,445.51028,-1,1.0,-47.79956,-47.79956,-251046020000.0
1.0,53.93,24468,1.0,9.999999,11.235343933105469,[-0.589  0.501 -0.728 -1.08 ],,100.0,1,-413038.94,55083670.0,800,,,8,True,308484000000000.0,6193.706,100.0,324340.72,529.0866806174342,715.86523,1239.473,176.09175,9.999999,210.7321,100,0.15324736,0.4189424,529.0867,-1,1.0,-45.620193,-45.620193,-1557920200000.0
1.0,55.33,30001,1.0,10.0,13.080976963043213,[-0.511  0.588 -0.756 -1.115],,100.0,1,-443664.62,408914400000.0,900,,,9,True,4.5304984e+33,33113028.0,100.0,353486.2,543.0653287549554,3500743.5,1249.7727,500488.75,10.0,242.00465,100,0.04179892,0.4189424,543.06537,-1,1.0,-48.535347,-48.535347,-6.0698007e+21
1.0,53.82,35383,1.0,10.0,15.05016040802002,[-0.589  0.452 -0.823 -1.298],19.968805,100.0,1,-422002.44,412448900.0,1000,,,10,True,3.5823012e+16,134909.16,100.0,324470.47,527.9729649256773,13624.464,1299.7301,2164.3787,10.0,213.81071,100,0.06697257,0.4189424,527.973,-1,1.0,-63.054764,-63.054764,-18460204000000.0
1.0,67.16,42099,1.0,10.0,17.078076601028442,[-0.539  0.565 -0.838 -1.285],9.979894,100.0,1,-647939.75,22336430.0,1100,,,11,True,2166252300.0,518.4398,100.0,514658.75,661.3428856084412,84.15774,1519.3706,34.437336,10.0,278.00064,100,0.0058887457,0.4189424,661.3429,-1,1.0,-67.722565,-67.722565,-6225616000.0
1.0,63.91,48490,1.0,10.0,19.627646684646606,[-0.582  0.498 -0.869 -1.376],,100.0,1,-598671.1,613605700.0,1200,,,12,True,779034250000000.0,93046.71,100.0,465359.12,628.8731788772286,12525.701,1519.5474,2151.9714,10.0,264.34378,100,0.13762863,0.4189424,628.87317,-1,1.0,-55.73356,-55.73356,-3721497700000.0
1.0,75.89,56079,1.0,10.0,22.050532341003418,[-0.503  0.582 -0.895 -1.418],19.967644,100.0,1,-794917.75,2368015000.0,1300,,,13,True,1.0069233e+16,84564.37,100.0,659824.5,748.6310719756494,12914.635,1529.6647,2954.7341,10.0,315.23972,100,0.04972386,0.4189424,748.63104,-1,1.0,-66.80064,-66.80064,-13558322000000.0
1.0,65.6,62639,1.0,10.0,24.176863193511963,[-0.595  0.516 -0.905 -1.471],19.969097,100.0,1,-581977.0,573822660.0,1400,,,14,True,1.000231e+16,40541.934,100.0,467268.47,645.7653766335377,4959.2075,1409.5403,1201.7601,10.0,224.1775,100,0.04871471,0.4189424,645.7654,-1,1.0,-67.23398,-67.23398,-11472715000000.0
1.0,79.21,70560,1.0,10.0,26.84965944290161,[-0.495  0.585 -0.91  -1.501],9.980869,100.0,1,-880723.9,17534355000.0,1500,,,15,True,1.0597817e+19,6367864.5,100.0,704002.25,781.8400749328603,633460.75,1749.5415,71556.83,10.0,304.51343,100,0.14517252,0.4189424,781.8401,-1,1.0,-74.39079,-74.39079,-575319800000000.0
