MinIWNorm,TimeElapsed,InitialReturnMax,MeanIW,EpThisIter,Bound,EpisodesSoFar,ESSClassic,InitialReturnMean,ReturnStepMax,J_sample_variance,ReturnMeanIW,TimestepsSoFar,MeanIWNorm,OptimizationReturnMax,StdIW,InitialBound,MaxIW,MinIW,EmpiricalD2,MeanEntropy,InitialReturnStd,StdIWNorm,EpLenMean,ESSRenyi,InitialReturnMin,ReturnStepMaxmin,Iteration,OptimizationReturnMin,OptimizationReturnMean,Weights,MaxIWNorm,VarianceInit,EpRewMean,LearnableVariance
0.0003569769,81.29388737678528,3089.2607,1.2960117,100,1299.9948,1600,23.902489,1257.3086,10.0,19422430.0,1955.3524,102736,0.0129601145,3089.2607,2.3124511,878.9528,16.303093,0.03569769,3.0002422,0.40923077,574.9164,0.02312451,126.77,33.330643,,10.0,16,,1257.3086,[-0.214  0.554 -1.159 -1.651 -0.988],0.16303092,-1,1257.3085061980723,True
1.5559586e-08,92.82622480392456,2949.2366,2.960443,100,2555.435,1700,2.6385622,1294.8243,10.0,736934600.0,4159.8003,115788,0.02960443,2949.2366,17.983185,933.6181,179.40036,1.5559585e-06,19.728582,0.32290727,567.1774,0.17983185,130.52,5.068788,,10.0,17,,1294.8243,[-0.177  0.529 -1.179 -1.671 -1.01 ],1.7940036,-1,1294.8242404377863,True
0.003883942,105.54125452041626,3289.724,1.104092,100,1096.8809,1800,83.78819,1386.4558,10.0,1020893.8,1548.6371,129756,0.01104092,3259.7788,0.48565713,983.5484,2.7130253,0.3883942,1.2571816,0.3313867,556.4817,0.004856571,139.68,79.543,29.945305,10.0,18,,1356.5105,[-0.202  0.511 -1.205 -1.648 -1.096],0.027130254,-1,1386.4557084675853,True
0.0013432828,118.33528161048889,3199.1616,1.0916007,100,1086.0195,1900,71.77912,1363.4358,10.0,2055675.5,1561.3989,143494,0.010916007,3199.1616,0.6844629,971.6201,3.0136814,0.13432828,1.4720316,0.3173676,620.2333,0.006844629,137.38,67.93333,,10.0,19,,1363.4358,[-0.192  0.495 -1.214 -1.668 -1.088],0.030136814,-1,1363.4358413206667,True
0.00012491604,131.0675597190857,3388.7227,2.1724825,100,2386.3247,2000,4.7712517,1508.6157,10.0,482375140.0,4328.0684,158684,0.021724826,3378.7393,9.705641,1093.5836,73.35565,0.012491604,21.888727,0.31512454,633.8393,0.097056404,151.9,4.5685616,9.983473,10.0,20,,1498.6323,[-0.189  0.515 -1.23  -1.65  -1.102],0.7335565,-1,1508.6157823075039,True
0.0011761212,143.15666007995605,3608.8997,1.0387622,100,1187.0548,2100,64.45295,1570.8239,10.0,2930510.5,1693.2018,174497,0.010387622,3598.9192,0.7714301,1128.8256,4.923023,0.117612116,1.3113309,0.29911706,769.4057,0.0077143013,158.13,76.2584,9.980499,10.0,21,,1560.8434,[-0.169  0.56  -1.231 -1.617 -1.104],0.049230233,-1,1570.8238401333988,True
0.00081045955,156.1256902217865,4998.953,1.1074796,100,1286.0635,2200,21.74002,1678.8934,10.0,33347044.0,2277.4026,191390,0.011074795,4988.9736,2.1012397,1066.649,19.117579,0.081045955,2.621773,0.29520074,817.9203,0.021012396,168.93,38.142128,9.979534,10.0,22,,1668.914,[-0.16   0.558 -1.227 -1.642 -1.12 ],0.19117577,-1,1678.8933101728355,True
2.376921e-05,169.2539074420929,4999.4023,3.6881976,100,4331.275,2300,4.2794933,1844.4269,10.0,1987151100.0,8050.6226,209938,0.03688198,4999.4023,17.44297,1232.1274,165.6214,0.002376921,36.898285,0.33311087,993.5856,0.17442971,185.48,2.710153,,10.0,23,,1844.4269,[-0.132  0.543 -1.246 -1.639 -1.124],1.656214,-1,1844.4267161942867,True
2.9317305e-05,184.39964771270752,3978.634,3.1523972,100,4840.6304,2400,3.2607372,1756.6918,10.0,2670545700.0,7632.0986,227611,0.031523976,3978.634,17.170559,1269.4106,167.92253,0.0029317306,32.81755,0.33091363,875.89795,0.17170557,176.73,3.04715,,10.0,24,,1756.6918,[-0.13   0.598 -1.261 -1.627 -1.086],1.6792253,-1,1756.691777613943,True
1.0989198e-06,197.94626116752625,3939.068,2.428787,100,3257.0403,2500,2.5396485,1566.2812,10.0,1796014100.0,5765.419,243379,0.024287868,3919.1057,15.045846,1083.846,150.71051,0.00010989199,27.033848,0.25021362,862.10645,0.15045847,157.68,3.6990664,19.962502,10.0,25,,1546.3188,[-0.15   0.593 -1.406 -1.502 -1.088],1.5071051,-1,1566.2813232538954,True
0.000670903,212.16329193115234,4998.7725,1.2197937,100,1518.5166,2600,35.045708,1941.7814,10.0,20001852.0,2433.9275,262901,0.012197936,4988.793,1.66063,1329.5593,12.718971,0.0670903,2.2357032,0.2246594,961.4515,0.0166063,195.22,44.728657,9.979409,10.0,26,,1931.8022,[-0.163  0.59  -1.438 -1.561 -1.169],0.12718971,-1,1941.7814362448478,True
0.0041877753,226.60629558563232,4798.956,1.0494683,100,1281.4949,2700,90.69882,1833.6885,10.0,1406248.8,1899.961,281343,0.010494683,4788.976,0.33607563,1245.9385,2.1530194,0.41877756,1.107254,0.23816413,948.9832,0.0033607562,184.42,90.313515,9.979821,10.0,27,,1823.7086,[-0.166  0.611 -1.435 -1.535 -1.194],0.021530194,-1,1833.6883090428953,True
0.00030012196,239.98930597305298,4959.174,1.261933,100,2034.3114,2800,19.445925,1853.5012,10.0,73596300.0,3183.8894,299983,0.01261933,4949.193,2.568418,1246.1289,22.130024,0.030012196,3.5823412,0.2251077,907.0183,0.025684182,186.4,27.914705,9.981014,10.0,28,,1843.5203,[-0.168  0.605 -1.441 -1.524 -1.181],0.22130023,-1,1853.5011786007533,True
0.0012970979,257.3367371559143,4998.986,1.2240822,100,2304.952,2900,50.60828,2183.536,10.0,25117990.0,3100.8186,321923,0.012240822,4989.0034,1.2092799,1571.2876,9.251554,0.1297098,1.6897626,0.20347476,918.1905,0.012092799,219.4,59.179913,9.982302,10.0,29,,2173.5537,[-0.152  0.63  -1.491 -1.525 -1.194],0.092515536,-1,2183.536055672679,True
0.0004931684,275.08809900283813,4999.319,1.0696908,100,1721.3763,3000,38.267345,2170.5935,10.0,24207114.0,2689.749,343733,0.010696909,4979.3584,1.3586308,1558.3044,9.192534,0.049316846,2.5013363,0.19287755,946.169,0.013586308,218.1,39.97863,19.960365,10.0,30,,2150.633,[-0.158  0.653 -1.505 -1.591 -1.215],0.091925345,-1,2170.5935852688285,True
9.7578464e-05,293.4621250629425,4999.5527,2.3302412,100,4335.1055,3100,3.395693,2458.7866,10.0,1610785200.0,7053.694,368424,0.023302414,4979.593,12.428964,1846.469,120.921,0.009757847,19.712126,0.25618368,1041.9155,0.124289624,246.91,5.0730195,19.959923,10.0,31,,2438.8267,[-0.144  0.673 -1.507 -1.615 -1.226],1.2092099,-1,2458.78671730463,True
3.111122e-05,315.41747975349426,4999.3135,1.1946039,100,2872.9722,3200,37.750896,2703.1726,10.0,49387716.0,3937.19,395554,0.01194604,4979.346,1.5340053,2090.884,10.212269,0.0031111222,3.0209882,0.24052843,1113.6052,0.0153400535,271.3,33.10175,19.967388,10.0,32,,2683.205,[-0.152  0.678 -1.545 -1.63  -1.163],0.10212269,-1,2703.17228472063,True
0.00028088613,341.26483130455017,4998.8877,1.3692213,100,2684.4668,3300,24.99242,2697.9385,10.0,90452680.0,3860.5916,422639,0.013692213,4998.8877,2.3720403,2085.7021,18.606092,0.028088612,3.6903613,0.2681438,1026.5315,0.023720402,270.85,27.097618,,10.0,33,,2697.9385,[-0.144  0.714 -1.608 -1.702 -1.178],0.18606092,-1,2697.9385245529306,True
