EpThisIter,MinBehavPdf,EmpiricalD2Harmonic,DivergenceHarmonic,TimeElapsed,StdIW,Penalization,EpRewMean,InitialReturnMean,MinTargetPdf,InitialBound,ESSRenyiHarmonic,Inner Iteration,WReturnMean,InitialReturnMin,InitialReturnMax,Iteration,EpLenMean,TimestepsSoFar,MaxIW,EpisodesSoFar,LearnableVariance,ESSRenyiArithmetic,Bound,ReturnStepMaxmin,StdWReturnMean,MinIW,InitialReturnStd,MeanD2-0,VarianceInitializer,MeanEntropy,Weights,MeanIW,ReturnStepMax,EmpiricalD2Arithmetic,ReturnMeanIW
100,-22.841747,1.0,2.0208504e+29,0.6930689811706543,2034349.8,True,79.35120763412581,79.351204,-22.841747,-12164.181,100.0,1,8557.158,9.984839,249.95085,1,8.94,894,20449156.0,100,,100.0,-1.6214953e+18,9.999998,,0.0034532682,47.545177,1.0,-1,0.4189424,[ 0. -0. -0. -0.],211691.28,9.999998,1.0,2503610400.0
100,-17.179317,1.0,2.3072026e+18,1.9533917903900146,172.26045,True,105.93564129514547,105.935646,-17.179317,-26207.299,100.0,1,16974.25,9.980143,399.9012,2,11.6,2054,1491.5647,200,,100.0,-14024511000000.0,9.999998,,0.051704243,75.84121,1.0,-1,0.4189424,[-0.088 -0.325 -0.057 -0.365],41.89205,9.999998,1.0,1361285.8
100,-13.438495,1.0,420044380.0,2.5418355464935303,70.0924,True,110.03763402985392,110.037636,-13.438495,-22309.781,100.0,1,17118.717,9.988655,299.85297,3,12.01,3255,455.2029,300,,100.0,-106770720.0,10.0,,0.025477536,70.78444,1.0,-1,0.4189424,[-0.485  0.452 -0.542 -0.304],23.967434,10.0,1.0,380012.47
100,-25.549633,1.0,1.3841578e+27,3.3651626110076904,37601.47,True,238.48287491026014,238.48286,-25.549633,-104516.24,100.0,1,76242.68,19.964687,699.79407,4,24.86,5741,372085.0,400,,100.0,-1.05189576e+18,9.999997,,0.16590166,139.17111,1.0,-1,0.4189424,[-0.688  0.584 -0.786 -0.667],4936.8916,9.999997,1.0,1106804400.0
100,-42.320744,1.0,1.2550251e+27,4.216066837310791,835324.4,True,386.11953447919456,386.11957,-42.320744,-238130.94,100.0,1,176928.86,29.958353,1029.5867,5,39.63,9704,6711069.0,500,,100.0,-2.1681605e+18,9.999999,,0.043842588,166.85498,1.0,-1,0.4189424,[-0.704  0.434 -0.817 -0.864],123987.48,9.999999,1.0,25474494000.0
100,-45.683636,1.0,1795273100.0,5.358886003494263,130.35822,True,393.9144835300626,393.91446,-45.683636,-264139.84,100.0,1,208729.9,9.981321,979.65625,6,40.41,13745,1002.2433,600,,100.0,-2359918000.0,10.0,,0.04388283,231.4331,1.0,-1,0.4189424,[-0.687  0.651 -0.924 -0.923],31.710796,10.0,1.0,12167055.0
100,-52.76148,1.0,118200340000.0,6.949167251586914,343.59174,True,510.6902012513425,510.6902,-52.76148,-399768.62,100.0,1,305205.3,39.941975,1279.7971,7,52.09,18954,3291.712,700,,100.0,-32531409000.0,10.0,,0.012257573,210.71501,1.0,-1,0.4189424,[-0.715  0.554 -0.94  -0.995],66.04521,10.0,1.0,20362062.0
100,-67.28337,1.0,2175038900000.0,8.347229719161987,45.359253,True,565.3586167998823,565.3586,-67.28337,-505415.88,100.0,1,395563.2,9.980659,1379.3834,8,57.56,24710,271.04153,800,,100.0,-162025640000.0,9.999999,,0.06324819,275.55908,1.0,-1,0.4189424,[-0.623  0.608 -0.97  -1.053],22.257902,9.999999,1.0,15229863.0
100,-58.171677,1.0,492122000000000.0,9.753909826278687,218.53195,True,551.2824283877951,551.2824,-58.171677,-463627.25,100.0,1,350521.84,,1399.6561,9,56.15,30325,1136.4402,900,,100.0,-2509132500000.0,10.0,,0.09854202,215.8924,1.0,-1,0.4189424,[-0.685  0.525 -0.993 -1.12 ],81.31876,10.0,1.0,29510854.0
100,-77.94934,1.0,2.8040553e+27,11.463933229446411,286079.03,True,664.4546993634401,664.4547,-77.94934,-697167.4,100.0,1,541995.75,9.979525,1639.4027,10,67.47,37072,2874747.0,1000,,100.0,-8.2168236e+18,9.999999,,0.3633162,317.0106,1.0,-1,0.4189424,[-0.609  0.615 -1.014 -1.158],33346.004,9.999999,1.0,23820540000.0
