OptimizationReturnMin,EpThisIter,StdIW,Iteration,EpisodesSoFar,EpLenMean,LearnableVariance,TimestepsSoFar,MinIWNorm,EmpiricalD2,InitialReturnStd,EpRewMean,MaxIW,ReturnStepMaxmin,MinIW,ESSClassic,InitialReturnMax,ReturnMeanIW,OptimizationReturnMax,InitialBound,StdIWNorm,OptimizationReturnMean,MaxIWNorm,Weights,ReturnStepMax,Bound,MeanEntropy,MeanIW,ESSRenyi,MeanIWNorm,InitialReturnMin,VarianceInit,InitialReturnMean,J_sample_variance,TimeElapsed
,100,13.047155,1,100,8.61,,861,0.00031070557,18.385202,53.626865,76.04999658810203,130.62912,10.0,0.031070556,3.27659,289.9328,415.7672,279.9516,40.54063,0.13047157,66.06879,1.3062912,[-0.  0. -0.  0.],10.0,263.51022,0.4189424,2.4013813,5.439157,0.024013812,9.981215,-1.0,76.05,8312633.0,2.7203352451324463
,100,0.68917567,2,200,13.35,,2196,0.0023934962,1.4925526,94.504555,123.42963289631417,3.905145,10.0,0.23934962,69.82629,369.9109,166.04254,359.93106,78.124985,0.006891756,113.449814,0.039051447,[ 0.09   0.235 -0.144 -0.42 ],10.0,110.693825,0.4189424,1.0483952,66.99931,0.010483951,9.979829,-1.0,123.42963,49750.74,6.52848482131958
,100,6.9565187,3,300,15.56,,3752,3.6004665e-05,12.762661,91.76925,145.50913782248477,69.28823,10.0,0.0036004665,4.0414395,359.90842,361.05887,349.92612,101.429535,0.06956517,135.52684,0.6928823,[ 0.111  0.306 -0.243 -0.598],10.0,203.58508,0.4189424,1.427638,7.8353567,0.014276382,9.982298,-1.0,145.50914,5581865.5,10.587668657302856
,100,3.7384307,4,400,27.06,,6458,0.00038309503,4.314476,156.78128,260.45338441685027,37.04116,9.999996,0.038309503,13.298079,749.6956,526.3669,729.72845,168.63478,0.03738431,240.48624,0.3704116,[-0.061  0.408 -0.302 -0.908],9.999996,335.64758,0.4189424,1.4640955,23.177786,0.014640954,19.967173,-1.0,260.45337,4513944.0,16.532577991485596
,100,0.546619,5,500,31.18,,9576,0.0027755983,1.2806991,202.12971,301.6450900164348,3.8100123,9.999999,0.27755985,79.32235,1319.7667,400.29156,1309.78,140.00732,0.0054661897,291.65842,0.038100123,[-0.188  0.509 -0.536 -0.913],9.999999,217.36938,0.4189424,1.0706116,78.08235,0.0107061155,9.986669,-1.0,301.64508,338131.8,22.195563793182373
,100,33.779797,6,600,34.63,,13039,0.0013505862,28.839123,206.38129,336.1552112612406,340.2816,9.999998,0.13505863,1.6006877,1019.3932,3533.855,1009.40875,211.30554,0.33779797,326.17078,3.4028158,[-0.171  0.515 -0.647 -0.988],9.999998,2863.3865,0.4189424,4.308383,3.467512,0.043083824,9.984431,-1.0,336.15518,956586700.0,28.232645750045776
,100,57.47587,7,700,52.16,,18255,0.00012896792,153.41974,284.703,511.36715008624543,577.8085,10.0,0.012896792,1.3463767,1399.6707,5280.204,1389.6876,339.9432,0.5747586,501.38416,5.7780848,[-0.258  0.506 -0.736 -1.044],10.0,3156.9004,0.4189424,6.714478,0.6518066,0.06714478,9.9830475,-1.0,511.36716,2188578000.0,37.2571656703949
,100,19.543852,8,800,60.47,,24302,6.898249e-06,46.849384,341.63928,594.4415102548876,195.89099,10.0,0.0006898249,1.9688433,2229.2976,4820.5083,2229.2976,321.40936,0.1954385,594.4415,1.9589099,[-0.307  0.432 -0.763 -1.079],10.0,2951.6963,0.4189424,2.769706,2.1344998,0.02769706,,-1.0,594.4415,1905232300.0,47.05476784706116
,100,0.42765018,9,900,71.35,,31437,0.0028644982,1.1820042,395.0563,703.2135291508135,2.6625698,10.0,0.28644982,86.04685,2249.211,786.3679,2239.2307,427.74258,0.0042765015,693.2333,0.026625697,[-0.239  0.41  -0.839 -1.208],10.0,486.87582,0.4189424,1.06199,84.602066,0.0106199,9.980216,-1.0,703.2135,398551.5,58.62749624252319
,100,0.77880746,10,1000,82.37,,39674,0.0025522031,1.5206566,406.97186,813.3950949911114,3.9355445,10.0,0.25522032,68.14633,2149.2168,931.8219,2119.2703,550.1709,0.007788074,783.44867,0.039355446,[-0.261  0.442 -0.879 -1.216],10.0,607.2272,0.4189424,1.1391257,65.76107,0.011391258,29.946459,-1.0,813.39514,779192.75,70.4502546787262
