MinTargetPdf,EmpiricalD2Harmonic,InitialReturnMax,InitialReturnStd,Inner Iteration,LearnableVariance,MeanEntropy,EmpiricalD2Arithmetic,Weights,ReturnMeanIW,Penalization,StdWReturnMean,WReturnMean,StdIW,InitialReturnMean,InitialReturnMin,MinBehavPdf,TimeElapsed,TimestepsSoFar,EpRewMean,EpLenMean,ReturnStepMaxmin,MaxIW,VarianceInitializer,Iteration,ReturnStepMax,MeanIW,MeanD2-0,ESSRenyiArithmetic,MinIW,ESSRenyiHarmonic,DivergenceHarmonic,InitialBound,Bound,EpThisIter,EpisodesSoFar
-10.256081,1.0,189.93498,37.85388,1,,0.4189424,1.0,[ 0. -0. -0.  0.],11313263.0,True,,5889.3813,2433.4607,66.75677,,-10.256081,0.8977248668670654,768,66.75676014219324,7.68,9.999996,22166.348,-1,1,9.999996,418.802,1.0,100.0,0.021281272,100.0,1.8207806e+29,-7972.1904,-8.887469e+17,100,100
-8.187881,1.0,179.9786,32.265438,1,,0.4189424,1.0,[-0.019  0.43  -0.108  0.231],199059.14,True,,3932.1555,85.31883,53.768925,,-8.187881,1.970283031463623,1406,53.76892520234736,6.38,10.0,789.6252,-1,2,10.0,20.043533,1.0,100.0,0.05861155,100.0,910075700.0,-5802.326,-56617350.0,100,200
-12.295233,1.0,209.88972,36.000675,1,,0.4189424,1.0,[-0.028  0.315 -0.127  0.01 ],93800.82,True,,4951.7676,116.588806,60.462543,9.979624,-12.295233,2.422693967819214,2111,60.462545672940216,7.05,9.999999,1042.3341,-1,3,9.999999,24.0773,1.0,100.0,0.21594903,100.0,90441910.0,-7495.21,-24282170.0,100,300
-19.547346,1.0,319.8524,70.57507,1,,0.4189424,1.0,[-0.058  0.206 -0.175 -0.208],546215.1,True,,13863.503,78.26259,94.24788,9.979232,-19.547346,3.119216203689575,3154,94.24787486756617,10.43,10.0,534.29016,-1,4,10.0,21.650236,1.0,100.0,0.1011903,100.0,3489805600.0,-19770.121,-349476900.0,100,400
-20.580862,1.0,489.73267,117.6803,1,,0.4189424,1.0,[-0.088  0.115 -0.228 -0.433],37878176.0,True,,33367.848,1535.5326,139.71112,,-20.580862,3.9603490829467773,4652,139.71110498262075,14.98,9.999996,15433.132,-1,5,9.999996,161.727,1.0,100.0,0.1338857,100.0,1.1635575e+28,-47214.918,-1.4936588e+18,100,500
-27.859581,1.0,679.7112,138.02403,1,,0.4189424,1.0,[-5.433e-04  2.596e-01 -2.957e-01 -6.039e-01],1066217.1,True,,50058.438,64.00012,176.09032,,-27.859581,5.010186195373535,6514,176.09031808534604,18.62,9.999998,482.0037,-1,6,9.999998,15.898415,1.0,100.0,0.20086667,100.0,96583800000.0,-76732.47,-8290795000.0,100,600
-44.332767,1.0,1159.7953,194.25409,1,,0.4189424,1.0,[-0.063  0.175 -0.317 -0.668],14335602.0,True,,103098.55,892.2599,255.66364,9.983373,-44.332767,6.237911701202393,9172,255.66363945008598,26.58,10.0,8974.909,-1,7,10.0,101.517,1.0,100.0,0.045478,100.0,4384860400000.0,-180759.5,-162636580000.0,100,700
-49.6547,1.0,859.62726,202.21068,1,,0.4189424,1.0,[-0.131  0.106 -0.342 -0.744],1333584.6,True,,90383.35,17.804205,222.47292,9.983169,-49.6547,7.277658939361572,11498,222.47290988886408,23.26,9.999997,126.80221,-1,8,9.999997,7.045,1.0,100.0,0.016364321,100.0,976167300000000.0,-133047.22,-1332975800000.0,100,800
-77.805435,1.0,1529.4778,249.49951,1,,0.4189424,1.0,[-0.101  0.225 -0.363 -0.753],7799451.5,True,,150066.72,229.19531,296.33887,9.984309,-77.805435,8.395008087158203,14563,296.3388660670496,30.65,10.0,2212.608,-1,9,10.0,41.285988,1.0,100.0,0.02625847,100.0,46115525000000.0,-285126.62,-917176650000.0,100,900
-71.57675,1.0,1479.7522,283.89957,1,,0.4189424,1.0,[-0.159  0.148 -0.387 -0.828],55712904.0,True,,200681.23,719.19464,346.5289,9.981474,-71.57675,10.08960509300232,18130,346.52889603481714,35.67,9.999999,5845.568,-1,10,9.999999,160.5804,1.0,100.0,0.0698296,100.0,5807637000000000.0,-327101.94,-9634287000000.0,100,1000
-52.49338,1.0,1209.4739,279.42184,1,,0.4189424,1.0,[-0.106  0.248 -0.416 -0.87 ],12081945000.0,True,,221571.5,150202.48,378.80725,9.980515,-52.49338,11.665667057037354,22020,378.8072696494694,38.9,10.0,965063.56,-1,11,10.0,36651.805,1.0,100.0,0.12432869,100.0,1.9430544e+36,-306028.03,-1.1772666e+23,100,1100
-47.139282,1.0,1079.7715,213.65878,1,,0.4189424,1.0,[-0.213  0.155 -0.489 -1.063],35985916.0,True,,179740.69,370.30115,366.18384,9.982835,-47.139282,12.901712417602539,25784,366.1838489566895,37.64,9.999998,2616.884,-1,12,9.999998,145.68199,1.0,100.0,0.2790854,100.0,5.2752094e+16,-247054.47,-15460516000000.0,100,1200
-100.60797,1.0,2159.3486,339.72516,1,,0.4189424,1.0,[-0.164  0.264 -0.521 -1.078],48978830000.0,True,,441175.9,1698305.5,570.7562,9.986171,-100.60797,14.646096229553223,31594,570.7562600102015,58.1,9.999999,17073434.0,-1,13,9.999999,180635.84,1.0,100.0,0.009030861,100.0,2.324696e+26,-710382.9,-4.104573e+18,100,1300
-47.2062,1.0,1079.7013,238.3622,1,,0.4189424,1.0,[-0.06   0.33  -0.542 -1.08 ],4121383.8,True,,230281.78,46.88771,416.4916,9.981209,-47.2062,16.34752130508423,35861,416.4915999070729,42.67,9.999999,299.31943,-1,14,9.999999,23.40358,1.0,100.0,0.020432416,100.0,1334575700000000.0,-297586.8,-2458776000000.0,100,1400
-87.28168,1.0,2449.4382,405.22272,1,,0.4189424,1.0,[-0.13   0.246 -0.554 -1.137],50649376.0,True,,481568.53,457.41983,563.34985,9.987058,-87.28168,18.493749856948853,41597,563.3498943282083,57.36,9.999999,3473.9434,-1,15,9.999999,115.53561,1.0,100.0,0.03572129,100.0,911347350000.0,-827965.2,-330735520000.0,100,1500
-67.32919,1.0,1469.3188,330.42505,1,,0.4189424,1.0,[-0.145  0.366 -0.582 -1.131],876409800.0,True,,381829.47,9664.055,522.1578,9.985197,-67.32919,20.401145696640015,46921,522.1577899354297,53.24,10.0,97113.43,-1,16,10.0,1049.4869,1.0,100.0,0.31547102,100.0,1.1623891e+21,-506473.84,-4249593000000000.0,100,1600
-79.62908,1.0,1789.2335,312.8238,1,,0.4189424,1.0,[-0.237  0.303 -0.613 -1.178],7243187000.0,True,,429825.25,84679.625,576.16534,19.961025,-79.62908,21.933900117874146,52785,576.1653816053799,58.64,10.0,553990.7,-1,17,10.0,19041.713,1.0,100.0,0.06485586,100.0,5.432845e+23,-614656.25,-1.3623451e+17,100,1700
-88.56171,1.0,1879.1719,345.049,1,,0.4189424,1.0,[-0.14   0.382 -0.619 -1.181],252589890.0,True,,420158.28,2203.483,548.7253,9.979966,-88.56171,23.93525719642639,58375,548.7252956714447,55.9,10.0,22153.201,-1,18,10.0,241.29564,1.0,100.0,0.028170902,100.0,1.6856275e+16,-624037.8,-26470204000000.0,100,1800
-74.831894,1.0,1939.5535,365.29636,1,,0.4189424,1.0,[-0.246  0.378 -0.669 -1.226],17636768.0,True,,620809.06,78.28839,698.11725,9.980179,-74.831894,26.13481879234314,65459,698.1172340650243,70.84,10.0,512.2826,-1,19,10.0,25.703066,1.0,100.0,0.13693424,100.0,200298940.0,-838001.4,-3091483600.0,100,1900
-74.462105,1.0,1489.605,320.30396,1,,0.4189424,1.0,[-0.342  0.439 -0.715 -1.204],27527322000.0,True,,589572.94,121450.72,697.83826,9.9828825,-74.462105,28.235673666000366,72540,697.8383442798716,70.81,10.0,1218796.4,-1,20,10.0,13352.125,1.0,100.0,0.025714463,100.0,2.8235223e+22,-717683.0,-2.1526715e+16,100,2000
-76.5096,1.0,1739.5128,350.4044,1,,0.4189424,1.0,[-0.217  0.323 -0.811 -1.359],30078128000.0,True,,610787.2,535656.0,698.5728,9.979748,-76.5096,30.021970987319946,79628,698.5727812000455,70.88,10.0,4021558.2,-1,21,10.0,112895.26,1.0,100.0,0.009246891,100.0,6.4949527e+22,-785488.56,-4.4522846e+16,100,2100
-108.51337,1.0,2159.273,453.88168,1,,0.4189424,1.0,[-0.134  0.417 -0.822 -1.359],366705950.0,True,,876032.56,616.3979,818.5499,19.969307,-108.51337,32.856075286865234,87917,818.5499236566538,82.89,10.0,4306.5864,-1,22,10.0,157.70105,1.0,100.0,0.082754366,100.0,36377085000000.0,-1145221.0,-1623926900000.0,100,2200
-118.75844,1.0,2819.3398,524.97107,1,,0.4189424,1.0,[-0.15   0.319 -0.857 -1.427],12082864000.0,True,,1075381.2,46431.875,894.30804,9.981826,-118.75844,35.65688490867615,96963,894.3079703229369,90.46,10.0,384337.28,-1,23,10.0,12038.3125,1.0,100.0,0.06936049,100.0,1.052999e+24,-1534300.5,-4.7092114e+17,100,2300
-110.56985,1.0,2759.382,613.1305,1,,0.4189424,1.0,[-0.066  0.387 -0.911 -1.457],23989232.0,True,,1394025.6,62.516026,1009.0078,19.964277,-110.56985,38.94464063644409,107157,1009.0078685671392,101.94,10.0,629.4744,-1,24,10.0,9.02564,1.0,100.0,0.058160592,100.0,35164525000.0,-1833633.5,-82459700000.0,100,2400
-145.2613,1.0,3848.299,676.17285,1,,0.4189424,1.0,[-0.126  0.395 -0.923 -1.457],62608380.0,True,,1772457.4,142.23546,1146.8424,19.966774,-145.2613,42.59918999671936,118730,1146.8424695370327,115.73,10.0,1214.4365,-1,25,10.0,43.59686,1.0,100.0,0.10153636,100.0,1916719600.0,-2627484.0,-37495755000.0,100,2500
-199.58586,1.0,4788.25,737.0837,1,,0.4189424,1.0,[-0.07   0.402 -0.939 -1.477],168946370.0,True,,1728461.8,738.5427,1088.6548,9.980377,-199.58586,46.223368644714355,129721,1088.6549167735243,109.91,10.0,7428.3794,-1,26,10.0,83.85654,1.0,100.0,0.05061279,100.0,471092200000.0,-3052179.8,-908712940000.0,100,2600
-137.50168,1.0,3138.54,723.31226,1,,0.4189424,1.0,[-0.096  0.501 -1.004 -1.505],571252700.0,True,,1539784.5,518.1313,1008.26776,9.980516,-137.50168,49.6349663734436,139908,1008.2677439553657,101.87,10.0,4520.7935,-1,27,10.0,130.89407,1.0,100.0,0.29112208,100.0,6.08074e+20,-2108502.5,-1.4024035e+16,100,2700
-150.30016,1.0,4238.2573,716.38495,1,,0.4189424,1.0,[-0.125  0.418 -1.033 -1.589],135517010.0,True,,2362611.8,304.452,1359.9281,19.966293,-150.30016,53.832160234451294,153612,1359.9280303241064,137.04,10.0,2946.6785,-1,28,10.0,82.42499,1.0,100.0,0.08397135,100.0,388683170000.0,-3399703.5,-646700100000.0,100,2800
-206.99895,1.0,4999.3438,927.9662,1,,0.4189424,1.0,[-0.066  0.434 -1.04  -1.585],1573134500.0,True,,2455272.0,2262.4163,1262.5969,,-206.99895,57.1891667842865,166342,1262.5968739836453,127.3,10.0,22751.336,-1,29,10.0,275.5037,1.0,100.0,0.016866207,100.0,1.2419633e+18,-3898278.5,-1608126400000000.0,100,2900
-205.23647,1.0,4999.0386,921.5168,1,,0.4189424,1.0,[-0.112  0.381 -1.132 -1.629],105465176.0,True,,2902258.0,133.29832,1432.852,,-205.23647,61.39862775802612,180774,1432.8519617864115,144.32,10.0,1147.1592,-1,30,10.0,47.873993,1.0,100.0,0.087151326,100.0,43283767000.0,-4345089.0,-300280700000.0,100,3000
-237.89485,1.0,4998.5977,946.639,1,,0.4189424,1.0,[-0.054  0.402 -1.139 -1.63 ],204986910.0,True,,3097690.0,121.7244,1483.7671,9.979857,-237.89485,66.02414751052856,195716,1483.767038674859,149.42,10.0,1030.3801,-1,31,10.0,23.876167,1.0,100.0,0.038758237,100.0,113608030000.0,-4540267.0,-486433300000.0,100,3100
-215.4917,1.0,4999.1597,1302.1884,1,,0.4189424,1.0,[-0.01   0.364 -1.232 -1.69 ],1511843000.0,True,,4212615.5,587.6263,1586.4805,9.981391,-215.4917,70.36487674713135,211682,1586.4806206720796,159.66,10.0,5483.49,-1,32,10.0,93.64143,1.0,100.0,0.034746367,100.0,4.601432e+27,-5655518.0,-9.787684e+19,100,3200
-224.3887,1.0,4999.2344,999.8921,1,,0.4189424,1.0,[-0.062  0.335 -1.249 -1.697],715558800.0,True,,3831094.5,1359.8822,1682.6499,29.941889,-224.3887,75.78950905799866,228611,1682.6498520295,169.29,10.0,12038.056,-1,33,10.0,379.9311,1.0,100.0,0.041971,100.0,1.1038415e+18,-5274041.0,-1516002500000000.0,100,3300
-204.30286,1.0,4999.2705,1218.0631,1,,0.4189424,1.0,[-0.013  0.373 -1.254 -1.691],39099750.0,True,,4187645.2,7.9182334,1644.3746,9.980311,-204.30286,81.47565913200378,245158,1644.374491127864,165.47,10.0,46.036625,-1,34,10.0,6.133634,1.0,100.0,0.100664,100.0,1.9800698e+17,-5630612.0,-642085600000000.0,100,3400
