EpLenMean,InitialBound,MaxIWNorm,TimestepsSoFar,InitialReturnMean,VarianceInit,MeanIW,OptimizationReturnMean,ESSRenyi,MeanIWNorm,TimeElapsed,EpRewMean,ReturnMeanIW,ESSClassic,MinIWNorm,StdIWNorm,Iteration,Bound,MaxIW,InitialReturnMin,MeanEntropy,InitialReturnStd,EpThisIter,Weights,LearnableVariance,EpisodesSoFar,StdIW,ReturnStepMaxmin,EmpiricalD2,OptimizationReturnMin,MinIW,InitialReturnMax,ReturnStepMax,OptimizationReturnMax,J_sample_variance
6.92,33.453632,0.02178228,692,59.165695,-1,1.0421855,59.165695,89.05767,0.010421854,0.5189359188079834,59.16569807918628,70.35385,90.08131,0.0030770318,0.0034582422,1,43.10795,2.1782281,,1.4008031,42.00391,100,[-0. -0. -0. -0.  0.],True,100,0.34582424,9.999977,1.122868,,0.3077032,209.93811,9.999977,209.93811,5649.567
8.09,34.130043,1.1448586,1501,70.85991,-1,1.8586214,70.85991,7.6663203,0.018586213,1.8201289176940918,70.85991369789163,336.67194,2.5931551,7.7312585e-08,0.11391251,2,204.01622,114.48586,,1.0721998,54.09591,100,[-0.346 -0.337 -0.131  0.094 -0.018],True,200,11.391251,9.999992,13.044067,,7.731259e-06,299.89816,9.999992,299.89816,7546107.0
14.35,61.170715,0.5524479,2936,133.41527,-1,1.4001265,123.435616,12.749213,0.014001266,2.9151222705841064,133.4152838220621,484.67,5.4825897,7.9899155e-06,0.058134016,3,282.3385,55.244793,9.979674,0.902975,110.99318,100,[-0.364 -0.074 -0.553 -0.561 -0.347],True,300,5.813402,9.999999,7.8436213,,0.00079899153,589.8744,9.999999,579.8947,8189071.0
23.59,97.20067,0.25567743,5295,225.76332,-1,1.3559363,225.76332,27.15592,0.013559363,4.025553226470947,225.76332694445813,608.1599,16.53215,0.0003293838,0.030467317,4,361.45233,25.567745,,0.80041486,166.59958,100,[-0.636  0.08  -0.744 -1.009 -0.516],True,400,3.0467317,9.999999,3.6824384,,0.03293838,1049.7095,9.999999,1049.7095,7777982.5
30.5,216.49467,0.13589513,8345,294.84024,-1,1.0366536,294.84024,46.543777,0.010366535,5.220567464828491,294.8402389699529,397.12964,31.931683,0.0012458791,0.015135451,5,282.29218,13.589514,,0.7365737,154.14099,100,[-0.68   0.256 -0.829 -1.167 -0.619],True,500,1.5135452,10.0,2.148515,,0.124587916,639.68884,10.0,639.68884,706754.2
40.31,230.04227,15.623996,12376,392.8971,-1,16.13026,382.9156,0.15289098,0.16130258,6.517164707183838,392.89713290745254,9722.855,1.065706,1.0653758e-06,1.5541613,6,5557.9053,1562.3997,9.98155,0.6254598,181.76338,100,[-0.705  0.361 -0.93  -1.261 -0.682],True,600,155.41614,10.0,654.0608,,0.00010653758,1329.7043,10.0,1319.7228,8778946000.0
54.31,381.05615,1.2836729,17807,532.86206,-1,2.3793375,532.86206,5.7917128,0.023793373,8.244701385498047,532.8620567276063,1650.014,3.1321242,8.815206e-05,0.1323203,7,1019.22363,128.3673,,0.59728795,200.22498,100,[-0.675  0.536 -1.021 -1.192 -0.793],True,700,13.232029,10.0,17.26605,,0.008815207,1239.4899,10.0,1239.4899,103268664.0
56.71,380.58224,0.122380406,23478,556.87396,-1,1.2203908,546.89374,43.874657,0.012203907,9.681309700012207,556.8739926059125,783.7998,38.426624,0.0003416531,0.015448249,8,517.65063,12.238041,9.980235,0.5166932,289.97433,100,[-0.585  0.57  -1.055 -1.214 -0.822],True,800,1.5448251,10.0,2.27922,,0.03416531,1439.4163,10.0,1429.436,1911384.1
62.09,400.06555,0.037600607,29687,610.6622,-1,1.0506847,600.67975,77.99245,0.010506847,11.305175304412842,610.6621529530396,694.3646,74.54398,0.0020142717,0.006139902,9,455.89935,3.7600608,9.98243,0.4984136,280.575,100,[-0.647  0.618 -1.113 -1.24  -0.902],True,900,0.6139902,9.999999,1.2821754,,0.20142718,1719.5142,9.999999,1709.5317,520232.0
64.17,423.3075,12.169593,36104,631.46136,-1,13.656659,621.47955,0.5124742,0.1365666,12.80361270904541,631.4613645853012,9396.474,1.2507502,9.660213e-06,1.2134618,10,6488.7817,1216.9594,9.981805,0.46896312,272.2439,100,[-0.689  0.682 -1.155 -1.271 -0.921],True,1000,121.34619,9.999999,195.13179,,0.0009660213,1699.5688,9.999999,1689.587,6878378000.0
