VarianceInit,LearnableVariance,MeanIWNorm,OptimizationReturnMin,ESSClassic,MeanEntropy,OptimizationReturnMax,ReturnStepMax,ReturnMeanIW,MinIWNorm,InitialBound,InitialReturnMin,InitialReturnStd,EpRewMean,MaxIW,ReturnStepMaxmin,TimestepsSoFar,InitialReturnMax,EpThisIter,EpLenMean,OptimizationReturnMean,MeanIW,TimeElapsed,Bound,InitialReturnMean,StdIW,MaxIWNorm,MinIW,EmpiricalD2,Weights,ESSRenyi,J_sample_variance,EpisodesSoFar,Iteration,StdIWNorm
-1,True,0.13071914,,1.1093473,0.96458375,3998.5906,9.999999,50230.92,0.0001615327,612.08203,,634.7516,1101.807273945047,1241.0333,9.999999,83139,3998.5906,100,111.22,1101.8074,13.071914,83.00809001922607,41024.14,1101.8074,123.41928,12.410333,0.01615327,353.43573,[-0.22   0.645 -1.373 -2.351 -0.478],0.28293687,246193700000.0,1600,16,1.2341928
-1,True,0.14497107,,1.2803344,0.85796577,4988.236,9.999999,66087.99,8.838065e-06,398.52484,9.980036,784.7429,1010.6788506631373,1280.0757,9.999999,93349,4998.216,100,102.1,1000.6989,14.497108,92.35404515266418,53706.176,1010.67883,127.29799,12.800756,0.0008838065,409.117,[-0.099  0.537 -1.476 -2.204 -0.454],0.24442886,407529750000.0,1700,17,1.27298
-1,True,0.02675791,,2.0159569,0.78164047,4998.267,10.0,9862.616,3.6463072e-05,679.445,,1032.0961,1291.6052653977167,188.01266,10.0,106369,4998.267,100,130.2,1291.6052,2.6757913,103.18226861953735,6255.704,1291.6052,18.65474,1.8801266,0.0036463072,34.716904,[-0.045  0.541 -1.495 -2.199 -0.561],2.8804412,7623814000.0,1800,18,0.18654743
-1,True,0.010454338,,90.420006,0.78119045,4999.0,10.0,1818.5648,0.005663268,951.16406,,1159.8253,1563.414115732162,2.4557838,10.0,122106,4999.0,100,157.37,1563.4141,1.0454338,118.29647517204285,1181.0854,1563.4141,0.34028834,0.024557838,0.5663268,1.0841132,[-0.046  0.484 -1.566 -2.209 -0.637],92.24129,3221853.5,1900,19,0.0034028837
-1,True,0.010637798,,66.57123,0.7611019,4998.8975,10.0,2041.1797,0.00078621774,981.2418,,1204.9803,1593.4792084097548,5.2429495,10.0,138144,4998.8975,100,160.38,1593.4792,1.0637798,130.9279637336731,1297.0317,1593.4792,0.7538218,0.052429494,0.078621775,1.4773346,[-0.047  0.488 -1.645 -2.239 -0.638],67.68947,12167293.0,2000,20,0.007538218
-1,True,0.013684988,,26.4808,0.724277,4998.7104,9.999999,3457.8142,0.00010210987,1165.4185,,1462.8407,1777.6329570017622,15.073156,9.999999,156023,4998.7104,100,178.79,1777.6328,1.3684988,144.6371591091156,2344.1304,1777.6328,2.2802331,0.15073156,0.010210987,3.3091514,[-0.035  0.516 -1.696 -2.256 -0.658],30.219227,85870616.0,2100,21,0.02280233
-1,True,0.011401,,62.994907,0.7047345,4999.304,10.0,3092.8914,0.0010914452,1780.3739,,1454.8125,2392.6613156224007,4.284818,10.0,180048,4999.304,100,240.25,2392.6614,1.1401,162.24520683288574,2303.1912,2392.6614,0.8738179,0.04284818,0.109144524,1.6634669,[-0.023  0.471 -1.716 -2.246 -0.695],60.115414,16793732.0,2200,22,0.008738179
-1,True,0.010444116,,59.630604,0.6781336,4988.9883,10.0,2728.1462,0.0011067211,1728.2731,9.988653,1603.4639,2340.52035952851,6.7152023,10.0,203551,4998.977,100,235.03,2330.5315,1.0444114,180.18372082710266,1973.8687,2340.5203,0.85933596,0.06715202,0.11067212,1.51778,[-0.013  0.487 -1.772 -2.229 -0.714],65.885704,12645857.0,2300,23,0.008593359
-1,True,0.010849454,,54.538193,0.65839374,4989.236,10.0,3333.023,0.0016687872,1976.3938,9.980182,1686.8756,2588.6701563855822,5.345187,10.0,229526,4999.216,100,259.75,2578.6902,1.0849454,199.77751636505127,2532.4165,2588.6704,0.9905602,0.05345187,0.16687873,1.7097913,[-0.016  0.472 -1.802 -2.214 -0.741],58.48667,20803144.0,2400,24,0.009905602
-1,True,0.028624255,,1.657332,0.59283495,4639.543,10.0,13219.148,5.631494e-07,2190.929,359.64398,1561.9353,2803.202087127824,221.0581,10.0,257650,4999.187,100,281.24,2443.558,2.8624256,222.726824760437,7754.408,2803.2021,22.049583,2.210581,5.631494e-05,79.66159,[-0.019  0.44  -1.846 -2.186 -0.761],1.25531,10588852000.0,2500,25,0.22049583
-1,True,0.011910401,,40.08502,0.5907356,4999.151,10.0,4184.068,0.0009203246,2453.1123,,1611.7958,3065.3804685742493,9.054703,10.0,288387,4999.151,100,307.37,3065.3806,1.1910402,247.18345880508423,3218.8823,3065.3806,1.4561398,0.090547025,0.09203246,2.4850664,[-0.014  0.396 -1.855 -2.207 -0.826],40.24037,48909136.0,2600,26,0.014561397
-1,True,0.011967426,,20.312807,0.55423874,4989.2363,10.0,4515.332,0.00014843699,2338.0095,9.980502,1653.7593,2950.2859855040747,15.912232,10.0,317975,4999.217,100,295.88,2940.3057,1.1967425,267.39764976501465,3274.1255,2950.286,2.3703365,0.15912232,0.0148436995,4.109537,[-0.011  0.418 -1.858 -2.171 -0.828],24.333641,147406740.0,2700,27,0.023703365
-1,True,0.019847922,,2.3211265,0.48987007,4999.328,10.0,9058.258,2.535051e-06,3038.378,,1597.3656,3650.668200867495,129.5517,10.0,354546,4999.328,100,365.71,3650.6682,1.9847922,294.5263342857361,5313.2437,3650.6682,12.875555,1.295517,0.0002535051,37.410404,[-0.004  0.42  -1.868 -2.119 -0.865],2.6730533,4185641200.0,2800,28,0.12875555
-1,True,0.023460524,,5.0927186,0.53771955,4999.418,10.0,10025.173,3.347447e-05,3453.8867,,1563.9894,4066.188331898179,90.15941,10.0,395251,4999.418,100,407.05,4066.1885,2.3460526,325.26946997642517,6324.5186,4066.1885,10.127743,0.90159404,0.0033474471,36.528076,[ 0.007  0.413 -1.896 -2.148 -0.929],2.73762,2530241300.0,2900,29,0.10127742
-1,True,0.010807626,,46.68044,0.5101007,4729.6226,10.0,4599.533,0.0011256927,3246.7217,269.75177,1500.7267,3859.017662794285,7.5351872,10.0,433899,4999.3745,100,386.48,3589.2659,1.0807626,356.1509816646576,3732.5798,3859.0178,1.1550642,0.07535187,0.11256927,2.00479,[ 0.019  0.452 -1.945 -2.202 -0.881],49.880535,33730716.0,3000,30,0.011550642
-1,True,0.012390283,,31.567959,0.48081437,4999.5503,10.0,5536.233,0.00023487135,3529.897,,1481.571,4142.214676624362,12.1553955,10.0,475366,4999.5503,100,414.67,4142.2144,1.2390285,387.74221324920654,4402.9087,4142.2144,1.8242643,0.12155395,0.023487136,3.4257462,[ 0.013  0.464 -1.963 -2.222 -0.909],29.19072,85627100.0,3100,31,0.018242642
-1,True,0.013681903,,16.021332,0.5025423,4999.593,10.0,5961.7065,0.00021906896,3661.2693,,1518.3615,4273.591733828916,23.126083,10.0,518134,4999.593,100,427.68,4273.592,1.3681902,422.41802501678467,4524.833,4273.592,3.132432,0.23126082,0.021906896,5.5065126,[ 0.016  0.49  -2.    -2.284 -0.938],18.160315,244059550.0,3200,32,0.03132432
-1,True,0.013480988,,9.374087,0.52059954,4979.4434,10.0,6364.648,0.0004968227,3868.0913,19.968498,1276.3475,4480.391435308211,42.199688,10.0,562967,4999.4116,100,448.33,4460.4233,1.3480989,460.43490409851074,5379.5244,4480.391,4.191635,0.42199686,0.04968227,2.5885236,[ 0.006  0.512 -2.016 -2.251 -0.916],38.63206,442509860.0,3300,33,0.041916348
-1,True,0.067118995,,1.6040915,0.57544154,4649.68,10.0,31406.096,1.5657964e-05,3892.4077,349.79803,1050.5431,4504.715889722709,525.9491,10.0,608049,4999.478,100,450.82,4154.918,6.7118993,496.99036622047424,19889.336,4504.716,52.56775,5.259491,0.0015657966,353.76907,[-0.005  0.487 -2.039 -2.203 -0.898],0.28267026,59791483000.0,3400,34,0.5256775
-1,True,0.010817162,,50.28785,0.5768057,4999.452,10.0,4456.4775,0.0008611249,3082.689,,1529.272,3694.9944128391744,5.9702425,10.0,645063,4999.452,100,370.14,3694.9944,1.0817162,528.4967422485352,3577.2397,3694.9944,1.0755067,0.059702422,0.08611249,2.0619428,[-0.025  0.461 -2.045 -2.113 -0.843],48.49795,31411842.0,3500,35,0.010755066
-1,True,0.016885143,,24.539839,0.5472931,4999.434,10.0,7364.546,9.846785e-05,3267.9026,,1668.9507,3880.2061232229207,20.775478,10.0,683918,4999.434,100,388.55,3880.206,1.6885147,561.4615800380707,5773.873,3880.206,2.960928,0.20775478,0.009846785,6.748836,[-0.007  0.452 -2.077 -2.078 -0.842],14.817369,219208540.0,3600,36,0.029609278
-1,True,0.024653435,,2.1429212,0.48207825,4979.481,10.0,11934.724,6.2789477e-06,3527.369,19.963455,1296.9725,4139.673131186195,166.73352,10.0,725370,4999.4443,100,414.52,4119.71,2.4653432,594.5400714874268,7054.596,4139.6733,16.659824,1.6673352,0.00062789477,63.5225,[-0.02   0.484 -2.101 -2.056 -0.872],1.5742453,6957239000.0,3700,37,0.16659825
-1,True,0.012304498,,45.007393,0.4931336,4969.4937,10.0,5701.3525,0.0001975776,3983.2717,29.946348,1045.5122,4595.575823792923,6.372172,10.0,771356,4999.44,100,459.86,4565.63,1.2304499,629.1412270069122,4666.7954,4595.5757,1.3601104,0.06372172,0.01975776,2.854796,[-0.008  0.513 -2.115 -2.062 -0.937],35.028774,44328164.0,3800,38,0.013601103
-1,True,0.010701478,,72.9891,0.4896322,4999.5376,10.0,4856.205,0.0024275705,3901.9438,,1266.7666,4514.25954736475,4.757945,10.0,816527,4999.5376,100,451.71,4514.26,1.0701479,663.9398274421692,4147.593,4514.26,0.6510048,0.04757945,0.24275705,1.3392638,[-0.009  0.546 -2.124 -2.054 -0.926],74.667885,11310139.0,3900,39,0.006510048
-1,True,0.06656962,,1.4237562,0.55874634,4999.5327,10.0,32310.5,8.61829e-06,3951.2,,1216.893,4563.514819659294,556.68634,10.0,862188,4999.5327,100,456.61,4563.5146,6.656963,701.0321245193481,19927.195,4563.5146,55.39167,5.566863,0.000861829,408.99985,[-0.012  0.547 -2.124 -2.088 -0.929],0.24449886,77465985000.0,4000,40,0.5539167
-1,True,0.017350119,,6.356,0.499815,4969.393,10.0,8330.483,4.5600445e-06,3562.4392,29.960392,1395.035,4174.732717094082,50.10425,10.0,903978,4999.3535,100,417.9,4144.772,1.7350117,732.2014260292053,5569.925,4174.7324,6.6596346,0.5010425,0.00045600446,20.327082,[ 5.789e-04  5.393e-01 -2.128e+00 -2.105e+00 -8.602e-01],4.919545,1110049400.0,4100,41,0.06659635
-1,True,0.010618528,,54.740932,0.48250312,4999.459,10.0,5096.0312,0.0006196727,4041.5488,,1033.7579,4653.855467974039,4.754934,10.0,950541,4999.459,100,465.63,4653.8555,1.061853,765.8991694450378,4266.662,4653.8555,0.9655196,0.047549337,0.061967272,1.8346714,[-0.007  0.556 -2.162 -2.121 -0.919],54.505672,24779256.0,4200,42,0.009655196
-1,True,0.02350861,,3.0026453,0.48248532,4999.5693,10.0,9773.226,0.00016917982,3813.8647,,1333.4426,4426.18489758657,133.03802,10.0,994833,4999.5693,100,442.92,4426.185,2.350861,798.4886565208435,7476.1846,4426.185,13.361488,1.3303802,0.016917983,14.072819,[-0.002  0.563 -2.163 -2.096 -0.936],7.105897,3114090200.0,4300,43,0.13361487
-1,True,0.015731659,,25.09975,0.49016312,4689.72,10.0,7087.7754,6.723363e-05,3662.6423,309.76453,1172.9089,4274.951762137898,21.14548,10.0,1037633,4999.485,100,428.0,3965.1875,1.5731659,833.9877076148987,5617.8477,4274.9517,2.7175746,0.2114548,0.0067233634,5.7630215,[-0.031  0.545 -2.185 -2.025 -0.936],17.352009,162293970.0,4400,44,0.027175745
-1,True,0.038330447,,2.950631,0.5286178,4659.7793,10.0,16271.354,6.784469e-05,3703.3596,339.7619,1101.7223,4315.676140720938,215.51976,10.0,1080842,4999.541,100,432.09,3975.9143,3.8330448,866.8200788497925,10069.443,4315.6763,21.982788,2.1551976,0.006784469,102.58869,[-0.027  0.525 -2.19  -2.084 -0.929],0.9747663,8712929000.0,4500,45,0.21982786
-1,True,0.020107426,,5.0359316,0.53534174,4999.4043,10.0,9384.871,2.5807756e-05,2926.1267,,1469.9446,3538.426504146495,83.14143,10.0,1116302,4999.4043,100,354.6,3538.4263,2.0107427,895.3462653160095,6236.1553,3538.4263,8.731648,0.83141434,0.0025807756,26.444725,[-0.045  0.493 -2.202 -2.123 -0.89 ],3.7814724,1933666800.0,4600,46,0.08731648
-1,True,0.011292134,,53.996975,0.5445575,4999.57,10.0,5198.216,0.00088205445,3731.295,,1196.5997,4343.614799766314,6.884318,10.0,1159781,4999.57,100,434.79,4343.6147,1.1292135,929.4199743270874,4284.761,4343.6147,1.0422802,0.06884318,0.08820545,2.2254467,[-0.018  0.453 -2.216 -2.163 -0.884],44.9348,28921674.0,4700,47,0.0104228025
-1,True,0.011939497,,51.757595,0.5386135,4629.6777,10.0,5483.816,0.00073848426,3907.6724,369.79282,1086.7351,4519.980497142946,5.927721,10.0,1205015,4999.4707,100,452.34,4150.1875,1.1939497,960.5719933509827,4598.5044,4519.9805,1.1526927,0.05927721,0.07384843,2.090513,[-1.147e-03  4.444e-01 -2.217e+00 -2.172e+00 -8.744e-01],47.835148,30044212.0,4800,48,0.011526927
-1,True,0.21723314,,1.0733176,0.58994377,4639.657,10.0,107629.74,2.764677e-06,3911.9004,359.80072,1163.9534,4524.206447360033,2096.678,10.0,1250285,4999.458,100,452.7,4164.406,21.72331,995.8608379364014,81806.67,4524.206,208.554,20.96678,0.0002764677,1778.6012,[ 0.011  0.415 -2.222 -2.165 -0.88 ],0.05622396,945731700000.0,4900,49,2.0855403
-1,True,0.021830123,,2.8431675,0.6175827,4969.4575,10.0,6934.3574,5.9079666e-05,3210.8774,29.951025,1653.4799,3823.1774251637266,128.42154,10.0,1288566,4999.4087,100,382.81,3793.2263,2.183012,1025.9245872497559,4384.865,3823.1775,12.761202,1.2842153,0.0059079668,17.33719,[ 0.033  0.456 -2.229 -2.113 -0.829],5.767947,1377899500.0,5000,50,0.12761202
-1,True,0.014763298,,19.627514,0.5808491,4989.495,10.0,6893.5527,1.2570489e-05,3549.079,9.979958,1372.4525,4161.387520835334,13.763147,10.0,1330227,4999.475,100,416.61,4151.4077,1.4763298,1060.3440108299255,5234.417,4161.3877,2.9874759,0.13763148,0.0012570489,7.3421593,[-0.004  0.497 -2.221 -2.136 -0.801],13.619971,228166820.0,5100,51,0.02987476
-1,True,0.011605562,,48.70256,0.6021506,4999.3945,10.0,5182.887,0.0014635721,3975.0435,,1092.1025,4587.342567275872,6.1958675,10.0,1376130,4999.3945,100,459.03,4587.3423,1.1605563,1094.0786871910095,4297.849,4587.3423,1.1910722,0.061958674,0.14635722,2.0892859,[-4.844e-04  5.449e-01 -2.264e+00 -2.156e+00 -8.381e-01],47.863243,29828670.0,5200,52,0.011910723
