EpThisIter,ReturnStepMaxmin,MeanD2-0,DivergenceHarmonic,EpisodesSoFar,ESSRenyiArithmetic,WReturnMean,TimestepsSoFar,InitialReturnMean,EpRewMean,MinBehavPdf,InitialReturnStd,ESSRenyiHarmonic,TimeElapsed,MinIW,ReturnMeanIW,MeanIW,Penalization,ReturnStepMax,Inner Iteration,Weights,InitialReturnMax,StdWReturnMean,Bound,EmpiricalD2Harmonic,MinTargetPdf,LearnableVariance,MeanEntropy,EmpiricalD2Arithmetic,InitialReturnMin,InitialBound,EpLenMean,MaxIW,Iteration,VarianceInitializer,StdIW
100,9.999999,1.0,1.3181786e+25,100,100.0,7084.615,828,72.74739,72.74739175438627,-13.783079,42.337128,100.0,0.7925126552581787,0.1564569,409912930.0,38019.152,True,9.999999,1,[0. 0. 0. 0.],199.92407,,-8378315600000000.0,1.0,-13.783079,,0.4189424,1.0,9.980396,-9392.264,8.28,2638184.8,1,-1,268901.78
100,10.0,1.0,8452160000000000.0,200,100.0,61685.016,3126,219.67746,219.67746570323496,-31.917797,115.87418,100.0,2.1877176761627197,0.06374467,359231.4,5.7138805,True,10.0,1,[-0.539  0.052 -0.657 -0.524],609.9021,,-1974438200000.0,1.0,-31.917797,,0.4189424,1.0,9.982811,-83161.35,22.98,36.78798,2,-1,6.7326865
100,9.999999,1.0,1.0735416e+23,300,100.0,94183.92,5729,250.17755,250.17756501883724,-36.941673,177.75014,100.0,2.9502172470092773,0.07250984,151029250.0,1601.6318,True,9.999999,1,[-0.496  0.291 -0.716 -0.536],729.7672,,-1.0074361e+16,1.0,-36.941673,,0.4189424,1.0,,-124931.34,26.03,68147.305,3,-1,7556.32
100,9.999999,1.0,1.3975846e+24,400,100.0,91593.234,8455,262.45602,262.45601397726585,-32.307434,150.69864,100.0,3.7021474838256836,0.39810953,3879069.5,30.617308,True,9.999999,1,[-0.537  0.13  -0.75  -0.719],819.6919,,-4.5859543e+16,1.0,-32.307434,,0.4189424,1.0,9.982354,-130385.16,27.26,503.71164,4,-1,69.52949
100,9.999999,1.0,1492727800000.0,500,100.0,213324.9,12702,414.51187,414.51188036096227,-60.32183,203.7273,100.0,4.578110933303833,0.06504763,19038394.0,79.8271,True,9.999999,1,[-0.488  0.357 -0.818 -0.781],1009.57214,,-71914990000.0,1.0,-60.32183,,0.4189424,1.0,9.981344,-272170.66,42.47,4668.6426,5,-1,478.3125
100,10.0,1.0,3155309500000000.0,600,100.0,354235.9,18198,539.3869,539.3869151863818,-64.58157,251.59027,100.0,5.500982999801636,0.045118064,1083165700.0,3917.0283,True,10.0,1,[-0.392  0.343 -0.881 -1.003],1349.4977,,-5907235700000.0,1.0,-64.58157,,0.4189424,1.0,9.983439,-459380.0,54.96,168058.95,6,-1,19727.879
100,10.0,1.0,1541946600.0,700,100.0,563771.75,25015,671.42584,671.4259082894823,-68.73535,336.09372,100.0,6.625224351882935,0.07774972,44845452.0,48.255196,True,10.0,1,[-0.331  0.444 -0.913 -1.025],1569.6046,,-5630249500.0,1.0,-68.73535,,0.4189424,1.0,39.946747,-706011.7,68.17,2306.7065,7,-1,245.21983
100,9.999999,1.0,138124410000000.0,800,100.0,482468.97,31682,656.4461,656.4461670360974,-67.29124,227.04054,100.0,7.892543077468872,0.037841342,788541250.0,1300.8048,True,9.999999,1,[-0.47   0.51  -1.072 -1.14 ],1729.5669,,-2030570300000.0,1.0,-67.29124,,0.4189424,1.0,29.951262,-655178.25,66.67,40105.086,8,-1,5166.9707
100,10.0,1.0,4389800200000.0,900,100.0,460639.78,38081,629.65967,629.6595928178147,-66.31538,253.3152,100.0,8.991008520126343,0.05987396,37738620.0,85.86596,True,10.0,1,[-0.588  0.48  -1.089 -1.116],1829.42,,-404882600000.0,1.0,-66.31538,,0.4189424,1.0,349.77597,-653866.75,63.99,1126.2336,9,-1,218.22697
100,10.0,1.0,3.9734697e+19,1000,100.0,516313.25,44868,668.4464,668.4464186444696,-58.06327,263.6146,100.0,10.074646472930908,0.08806939,10646027000.0,6595.6504,True,10.0,1,[-0.499  0.543 -1.115 -1.173],1449.6094,,-764772700000000.0,1.0,-58.06327,,0.4189424,1.0,,-637636.2,67.87,382357.28,10,-1,39555.027
100,10.0,1.0,214960970000000.0,1100,100.0,485712.53,51459,648.8556,648.8556344886659,-70.63605,254.35985,100.0,11.118659734725952,0.30965796,95060730.0,175.488,True,10.0,1,[-0.696  0.581 -1.22  -1.278],1809.6082,,-2772063500000.0,1.0,-70.63605,,0.4189424,1.0,9.984469,-674777.06,65.91,5462.1123,11,-1,608.59924
100,10.0,1.0,653222700000000.0,1200,100.0,723905.75,59444,788.24054,788.2406045794866,-95.51402,320.285,100.0,12.443536281585693,0.010757602,2969422000.0,3370.0957,True,10.0,1,[-0.605  0.652 -1.233 -1.325],2109.488,,-6569322000000.0,1.0,-95.51402,,0.4189424,1.0,59.892662,-980824.25,79.85,217211.69,12,-1,21837.756
100,10.0,1.0,9386658000.0,1300,100.0,966973.56,68771,922.3949,922.3949421919112,-86.59279,340.8243,100.0,13.845625877380371,0.026419127,150047710.0,137.86185,True,10.0,1,[-0.586  0.779 -1.447 -1.338],1969.5343,,-21848158000.0,1.0,-86.59279,,0.4189424,1.0,9.98147,-1190932.6,93.27,4826.8105,13,-1,518.8581
100,10.0,1.0,5865408000000000.0,1400,100.0,1138715.9,78901,1002.6602,1002.6602003922784,-80.44845,365.2238,100.0,15.223929405212402,0.04011644,3326895000.0,2827.3743,True,10.0,1,[-0.504  0.81  -1.488 -1.417],1909.6252,,-16127772000000.0,1.0,-80.44845,,0.4189424,1.0,9.980049,-1349257.5,101.3,68259.055,14,-1,10480.252
100,10.0,1.0,2.8799464e+21,1500,100.0,1148182.5,88276,927.1662,927.1661755162971,-100.28438,537.1642,100.0,16.71467113494873,0.24908306,69692450000.0,28356.715,True,10.0,1,[-0.456  0.908 -1.515 -1.361],2409.2732,,-1.7984791e+16,1.0,-100.28438,,0.4189424,1.0,19.965233,-1483312.8,93.75,2179064.2,15,-1,221467.1
100,10.0,1.0,1.748382e+26,1600,100.0,1315859.6,99105,1072.5482,1072.548228962839,-97.07695,406.81686,100.0,18.36033535003662,0.007121959,37359990000.0,23208.518,True,10.0,1,[-0.549  0.838 -1.547 -1.392],2379.396,,-4.3220623e+18,1.0,-97.07695,,0.4189424,1.0,159.84396,-1642729.8,108.29,780379.3,16,-1,100817.37
