ReturnMeanIW,EpThisIter,MeanEntropy,MinIWNorm,Bound,MaxIWNorm,InitialReturnMin,J_sample_variance,EmpiricalD2,Iteration,OptimizationReturnMean,OptimizationReturnMin,InitialBound,TimeElapsed,InitialReturnMax,MinIW,ReturnStepMaxmin,InitialReturnStd,TimestepsSoFar,ESSClassic,EpLenMean,StdIW,VarianceInit,EpRewMean,StdIWNorm,MaxIW,MeanIW,EpisodesSoFar,MeanIWNorm,InitialReturnMean,LearnableVariance,ESSRenyi,ReturnStepMax,Weights,OptimizationReturnMax
144.40715,100,1.4791226,0.00023544906,91.22619,0.22278783,,377324.53,2.589579,1,63.058975,,30.011242,0.6724669933319092,269.83356,0.023544906,9.999996,47.75711,731,22.19461,7.31,2.3147616,-1,63.058977011122835,0.023147618,22.278784,1.2363038,100,0.012363038,63.058975,True,38.616314,9.999996,[ 0. -0. -0.  0.  0.],269.83356
166.00131,100,1.6168094,0.0023323137,90.31031,0.2837622,,1036579.8,2.9495592,2,76.349304,,32.276997,2.446500539779663,359.84882,0.23323138,9.999995,61.259346,1595,14.371693,8.64,2.8035884,-1,76.34929859279559,0.028035881,28.37622,1.1485754,200,0.0114857545,76.349304,True,33.90337,9.999995,[ 0.059  0.366 -0.333 -0.609  0.06 ],359.84882
198.99347,100,1.3092642,1.1755239e-05,98.7691,0.388776,,1264042.4,6.157138,3,90.54242,,50.151478,3.850653648376465,329.7906,0.001175524,9.999987,74.87364,2601,8.264451,10.06,4.2114325,-1,90.54241776658256,0.042114325,38.8776,1.2640611,300,0.012640609,90.54242,True,16.241312,9.999987,[ 0.107  0.331 -0.446 -0.849  0.198],329.7906
71096.66,100,0.8345936,2.8012918e-21,61424.594,154.52527,,504766430000.0,29501.88,4,128.52036,,72.20921,4.943620204925537,459.77856,2.8012919e-19,9.999989,107.00021,3987,1.0052996,13.86,1537.4666,-1,128.5203502821262,15.374667,15452.527,154.93427,400,1.5493428,128.52036,True,0.0033896144,9.999989,[ 0.246  0.418 -0.499 -1.103 -0.11 ],459.77856
491.61438,100,0.7880844,0.0012838395,315.71817,0.077268854,9.979481,742913.7,1.7693436,5,313.85947,,191.60275,7.599351644515991,1079.7041,0.12838395,10.0,215.91884,7327,49.92531,33.4,1.1361408,-1,323.838949297555,0.01136141,7.7268853,1.1344451,500,0.011344451,323.83896,True,56.518135,10.0,[ 0.014  0.981 -1.07  -1.701 -0.584],1069.7246
518.53815,100,0.7803714,0.0042653037,283.64963,0.02279263,9.9805,260769.75,1.1232207,6,437.91397,,226.2641,9.25698208808899,1809.6041,0.42653036,10.0,304.73337,11908,90.45498,45.81,0.34387213,-1,447.89445154795067,0.0034387212,2.279263,1.0585829,600,0.010585831,447.8945,True,89.0297,10.0,[-0.182  0.971 -1.258 -1.66  -0.631],1799.6237
563.4006,100,0.752928,0.002121587,305.9374,0.030852014,,519444.28,1.1749612,7,466.18304,,228.66122,11.580235242843628,1939.3567,0.21215871,9.999999,348.933,16672,81.74335,47.64,0.48074424,-1,466.1829840593239,0.0048074424,3.0852015,1.0172552,700,0.0101725515,466.18304,True,85.10919,9.999999,[-0.202  1.028 -1.422 -1.691 -0.639],1939.3567
883.38416,100,0.69281155,0.0006190767,525.22815,0.08076657,9.981955,3333289.8,1.7842978,8,630.5612,,372.4174,13.875568389892578,2189.2375,0.06190767,10.0,498.29352,23180,49.89724,65.08,1.0857538,-1,640.5431383405512,0.010857537,8.076657,1.0835246,800,0.010835244,640.54315,True,56.044456,10.0,[-0.213  1.086 -1.556 -1.768 -0.666],2179.2556
1169.2922,100,0.65184927,0.0011963799,693.0461,0.081604585,,7978008.5,1.5746144,9,752.47327,,372.9448,17.41895627975464,3098.837,0.119637996,10.0,578.706,30808,56.08878,76.28,0.98627794,-1,752.4732954149293,0.00986278,8.160459,1.1146785,900,0.011146785,752.47327,True,63.50761,10.0,[-0.248  1.109 -1.655 -1.782 -0.726],3098.837
5387.818,100,0.5943908,5.046705e-06,2869.3628,2.0499158,19.963964,1555783400.0,31.937056,10,1056.1147,,630.4359,21.316125631332397,3638.657,0.00050467055,10.0,776.56714,41673,2.2262237,108.65,20.40502,-1,1076.0786858983215,0.20405015,204.9916,3.0790038,1000,0.030790037,1076.0787,True,3.131159,10.0,[-0.29   1.16  -1.748 -1.825 -0.767],3618.693
