VarVanillaIw,MinNormIw,MaxVanillaIw,eRenyi2,VarRet,Bound,VarDiscRet,AvgDiscRet,ESSRenyi,Delta,AvgRet,MaxNormIw,VanillaAvgRet,IterType,VarJ,VarNormIw,BatchSize,AvgVanillaIw,AvgEpLen,AvgNormIw,MinVanillaIw,ESSClassic,J,EpsThisIter
0.0300532,0.00519963,1.46079,1.03116,2372.74114048,-218.569,2372.74114048,-123.056239525,96.978037477,0.2,-123.056239525,0.015018,-123.056239525,1,36.3327,3.17645e-06,100,0.97269,38.29,0.01,0.505763,96.9511947105,-119.877,100
0.0631612,0.00135694,1.49179,1.05556,3592.38375974,-214.05,3592.38375974,-121.804356536,94.736775533,0.2,-121.804356536,0.0147231,-121.804356536,1,34.985,6.15224e-06,100,1.01323,41.08,0.01,0.137489,94.2589322943,-115.392,100
0.0128726,0.00659005,1.27733,1.01616,736.605878394,-186.492,736.605878394,-112.450074114,98.4099752421,0.2,-112.450074114,0.0125945,-112.450074114,1,18.3829,1.25147e-06,100,1.0142,22.23,0.01,0.66836,98.7761867358,-111.192,100
0.059373,0.0021802,1.34625,1.04914,3166.64290268,-213.911,3166.64290268,-119.540254993,95.3164257795,0.2,-119.540254993,0.0134866,-119.540254993,1,17.2801,5.95853e-06,100,0.998217,38.24,0.01,0.217631,94.4296455166,-111.798,100
0.0143598,0.00548604,1.24208,1.0146,600.871955454,-180.07,600.871955454,-111.188664616,98.5609244598,0.2,-111.188664616,0.0121868,-111.188664616,1,14.0184,1.38239e-06,100,1.0192,24.91,0.01,0.559136,98.6499485968,-109.97,100
0.0072461,0.00689727,1.29324,1.00904,141.263008006,-153.085,141.263008006,-109.706133001,99.1038181385,0.2,-109.706133001,0.0127971,-109.706133001,1,8.70644,7.09528e-07,100,1.01057,22.49,0.01,0.697019,99.3024473584,-109.276,100
0.00741561,0.00569905,1.17803,1.00734,32.6555221861,-138.127,32.6555221861,-108.682141658,99.270894636,0.2,-108.682141658,0.0117307,-108.682141658,1,5.08777,7.35329e-07,100,1.00423,18.96,0.01,0.572315,99.2773041576,-108.463,100
0.026396,0.0032005,1.2955,1.02223,1254.55953977,-202.203,1254.55953977,-112.307651263,97.8253056236,0.2,-112.307651263,0.0129797,-112.307651263,1,18.8117,2.64968e-06,100,0.998095,24.85,0.01,0.31944,97.4438504653,-110.058,100
0.00477175,0.00776357,1.13593,1.00464,25.5743986081,-133.37,25.5743986081,-107.482495005,99.5379793285,0.2,-107.482495005,0.0112302,-107.482495005,1,4.96851,4.66384e-07,100,1.0115,18.12,0.01,0.785287,99.5403920189,-107.363,100
0.0225966,0.0041421,1.27312,1.01689,76.3262992965,-142.594,76.3262992965,-108.844241941,98.3386336375,0.2,-108.844241941,0.0128876,-108.844241941,1,6.91799,2.31552e-06,100,0.987864,21.17,0.01,0.409184,97.7589820812,-108.239,100
0.018348,0.00525827,1.19656,1.01644,1070.94341266,-197.128,1070.94341266,-111.633123717,98.3828869344,0.2,-111.633123717,0.0120086,-111.633123717,1,17.4622,1.848e-06,100,0.996422,22.58,0.01,0.523946,98.2033338062,-109.884,100
0.021702,0.00351554,1.2178,1.01996,97.7375243976,-142.319,97.7375243976,-109.218383251,98.0431363208,0.2,-109.218383251,0.0120578,-109.218383251,1,5.76255,2.12757e-06,100,1.00997,20.59,0.01,0.355059,97.9371478438,-108.359,100
0.0116255,0.00566851,1.1675,1.01264,1545.24512044,-210.227,1545.24512044,-111.630495173,98.7516497146,0.2,-111.630495173,0.0115473,-111.630495173,1,25.7869,1.13726e-06,100,1.01106,21.84,0.01,0.573119,98.8866575614,-110.202,100
0.00140666,0.00875168,1.06037,1.00143,7.42281239804,-131.049,7.42281239804,-107.610226808,99.8572720656,0.2,-107.610226808,0.0106008,-107.610226808,1,2.70814,1.40588e-07,100,1.00028,16.71,0.01,0.875411,99.8610081664,-107.582,100
