AvgVanillaIw,BatchSize,J,AvgDiscRet,eRenyi2,VarNormIw,Bound,IterType,MaxNormIw,VarVanillaIw,VarJ,EpsThisIter,AvgRet,MinNormIw,VanillaAvgRet,MinVanillaIw,VarDiscRet,MaxVanillaIw,AvgEpLen,ESSClassic,AvgNormIw,ESSRenyi,VarRet
0.9416278,100,-116.85715,-123.05623952521022,1.1366732,1.4458957e-05,-160.46097,1,0.021677079,0.1282022,24.754938,100,-123.05623952521022,0.0017133052,-123.05623952521022,0.16132958,2372.741140475182,2.041174,38.29,87.47807546326185,0.01,87.97603298799196,2372.741140475182
1.0113144,100,-109.31354,-110.55499036494194,1.1025622,9.453619e-06,-121.71235,1,0.016644416,0.09668754,7.202185,100,-110.55499036494194,0.0034880005,-110.55499036494194,0.35274652,68.50375680753336,1.6832738,22.0,91.44186186779619,0.01,90.69783182156009,68.50375680753336
0.97491837,100,-110.6117,-112.76145345768713,1.0475504,5.54671e-06,-153.0468,1,0.01549553,0.052719582,20.156166,100,-112.76145345768713,0.0031093578,-112.76145345768713,0.303137,1499.1787596591446,1.5106877,28.94,94.79462374750676,0.01,95.46079711043768,1499.1787596591446
1.018807,100,-107.4363,-107.79359512130894,1.028567,2.843607e-06,-119.06831,1,0.013994865,0.029515732,3.82524,100,-107.79359512130894,0.004826227,-107.79359512130894,0.49169943,20.28504946673477,1.4258068,19.01,97.2619220083659,0.01,97.22264492953086,20.28504946673477
1.0187334,100,-109.80503,-111.17867615826427,1.0317413,3.7616992e-06,-150.43736,1,0.017370967,0.039039575,24.286469,100,-111.17867615826427,0.0064986846,-111.17867615826427,0.6620427,1368.034395161758,1.7696383,23.87,96.40964881193887,0.01,96.92352504768124,1368.034395161758
1.0143502,100,-107.91504,-108.25545053056638,1.0264773,2.2975876e-06,-119.56763,1,0.012934109,0.023640022,3.4889243,100,-108.25545053056638,0.0050313757,-108.25545053056638,0.5103577,21.37121051622201,1.3119715,18.64,97.77596389941174,0.01,97.42056293576516,21.37121051622201
0.99456143,100,-107.450806,-107.7568592300867,1.0222293,2.9667099e-06,-121.17798,1,0.013578223,0.029345281,5.8102956,100,-107.7568592300867,0.0057752347,-107.7568592300867,0.5743826,46.5575068939024,1.3504378,21.17,97.1467523074804,0.01,97.82540829643474,46.5575068939024
1.0012408,100,-107.49089,-107.9242083861863,1.0225533,2.4770661e-06,-122.2426,1,0.012094019,0.024832172,3.8422697,100,-107.9242083861863,0.004206031,-107.9242083861863,0.421125,50.86651630479976,1.2109026,18.68,97.6064019425985,0.01,97.79441089724764,50.86651630479976
1.0126891,100,-107.63545,-107.67140302607558,1.0036525,2.033313e-07,-117.34241,1,0.011770983,0.0020852431,2.518078,100,-107.67140302607558,0.008814702,-107.67140302607558,0.89265525,6.6061655268047215,1.1920347,16.74,99.79909809822895,0.010000002,99.63608384455284,6.6061655268047215
1.0057832,100,-108.80431,-111.60437193060424,1.060608,6.309056e-06,-146.10686,1,0.01390571,0.06382241,12.874613,100,-111.60437193060424,0.0013971573,-111.60437193060424,0.14052373,1090.5942508057549,1.3986129,25.66,94.12123347541868,0.01,94.28553926733936,1090.5942508057549
0.9945949,100,-107.11432,-107.15780191171713,1.0046713,5.15643e-07,-116.89758,1,0.012235624,0.0051008384,2.751599,100,-107.15780191171713,0.008760334,-107.15780191171713,0.8712983,7.13077903853777,1.2169489,16.66,99.49214134296234,0.009999999,99.53503846914151,7.13077903853777
