TimeElapsed,VarianceInitializer,EpisodesSoFar,InitialReturnStd,DivergenceHarmonic,EpRewMean,ESSRenyiHarmonic,InitialReturnMean,Epsilon,MaxIW,MeanIW,ESSRenyiArithmetic,MeanEntropy,ReturnMeanIW,Bound,MinTargetPdf,Penalization,OptimizationReturnMin,OptimizationReturnMean,MeanD2-0,OptimizationReturnMax,TimestepsSoFar,ReturnStepMaxmin,StdWReturnMean,WReturnMean,EmpiricalD2Arithmetic,StdIW,InitialReturnMax,MinIW,EpThisIter,EpLenMean,EmpiricalD2Harmonic,Weights,Inner Iteration,LearnableVariance,InitialReturnMin,Iteration,ReturnStepMax,InitialBound,MinBehavPdf
23.79694890975952,-1.0,165,151.22624,1.1961664e+19,402.5410222580618,11.0,402.54102,1.0,1417.0011,192.43408,11.0,0.41894197,46453444.0,-195483090000000.0,-26.323818,True,,322.67804,1.0,489.95364,4336,9.999984,,184908.66,1.0,399.28134,569.81665,1.2433065,11,41.27272727272727,1.0,[ 0.28  -0.06  -0.736 -1.277],1,,79.86301,15,9.999984,-241430.25,-26.323818
25.37843418121338,-1.0,176,257.6088,1.20757e+18,449.76491599519926,11.0,449.76492,1.0,74302.82,7462.4546,11.0,0.41894197,3952039400.0,-172488470000000.0,-35.936184,True,,369.8995,1.0,869.70123,4842,9.999993,,268650.78,1.0,21168.104,949.56665,0.048450615,11,46.0,1.0,[ 0.05  -0.007 -0.801 -1.327],1,,79.86542,16,9.999993,-425612.94,-35.936184
27.272082328796387,-1.0,187,141.03004,999445570.0,474.3159588153731,11.0,474.31595,1.0,157.67055,27.456144,11.0,0.41894197,4817883.0,-2187043600.0,-28.478298,True,,384.4003,1.0,539.7914,5375,9.999997,,244865.12,1.0,48.060394,629.70703,0.99566454,11,48.45454545454545,1.0,[ 0.134  0.081 -0.812 -1.351],1,,89.91562,17,9.999997,-313892.47,-28.478298
29.456351280212402,-1.0,198,319.1571,4.912866e+35,673.329535074518,11.0,673.3295,1.0,7467.246,1075.0688,11.0,0.41894197,576069200.0,-1.5841406e+23,-51.318493,True,,583.4516,1.0,1049.5625,6127,9.999999,,555233.94,1.0,2195.2402,1139.4404,1.657207,11,68.36363636363636,1.0,[ 0.035  0.066 -0.847 -1.417],1,,89.87793,18,9.999999,-781244.06,-51.318493
30.987369537353516,-1.0,209,178.26566,2.3167386e+18,451.5858189443598,11.0,451.58582,1.0,3233.5166,351.77588,11.0,0.41894197,59466820.0,-148891720000000.0,-34.83941,True,,401.67462,1.0,699.7144,6635,9.999998,,235708.4,1.0,914.0348,749.6256,0.9434137,11,46.18181818181818,1.0,[ 0.068  0.184 -0.854 -1.395],1,,49.911182,19,9.999998,-333529.56,-34.83941
32.516934633255005,-1.0,220,343.4161,4.342096e+29,407.97988551428466,11.0,407.9799,1.0,2394.673,358.5873,11.0,0.41894197,230006860.0,-1.8198455e+20,-40.32954,True,,397.99557,1.0,1249.5817,7095,9.999998,,284382.2,1.0,747.9215,1259.5659,0.58471894,11,41.81818181818182,1.0,[-0.009  0.086 -0.858 -1.4  ],1,,9.984299,20,9.999998,-560558.1,-40.32954
33.536946058273315,-1.0,231,283.61557,112639820000.0,348.0101273745274,11.0,348.01013,1.0,146.63542,17.016638,11.0,0.41894197,6224637.0,-49444712000.0,-45.43638,True,,338.02768,1.0,909.9122,7489,9.999997,,201548.84,1.0,41.64508,919.8946,0.2899871,11,35.81818181818182,1.0,[-0.019 -0.038 -0.855 -1.39 ],1,,9.982449,21,9.999997,-348854.7,-45.43638
34.67739701271057,-1.0,242,149.56386,2462417400.0,385.2191340018175,11.0,385.21912,1.0,16.925207,5.993189,11.0,0.41894197,1288385.1,-4231653600.0,-27.075089,True,,255.337,1.0,569.9228,7924,9.999993,,170763.16,1.0,4.9397697,699.80493,0.74680287,11,39.54545454545455,1.0,[-0.113 -0.062 -0.868 -1.468],1,,129.88214,22,9.999993,-256013.84,-27.075089
36.00365900993347,-1.0,253,178.11584,1.5830522e+18,366.09188099122923,11.0,366.0919,1.0,17044.45,3927.1995,11.0,0.41894197,930679300.0,-101219870000000.0,-26.430666,True,,326.1581,1.0,639.8731,8338,9.999995,,165748.53,1.0,6154.115,679.8069,0.08292628,11,37.63636363636363,1.0,[-0.074  0.054 -0.886 -1.449],1,,39.93377,23,9.999995,-246196.5,-26.430666
37.339091539382935,-1.0,264,182.4685,3.2119862e+22,276.16495351821254,11.0,276.16495,1.0,188.6805,24.925453,11.0,0.41894197,2809499.0,-1.8012424e+16,-26.42364,True,,196.28441,1.0,679.9577,8653,9.999996,,109561.84,1.0,52.996395,759.83826,0.72991794,11,28.636363636363637,1.0,[-0.146 -0.046 -0.889 -1.472],1,,79.880554,24,9.999996,-210066.47,-26.42364
