LearnableVariance,ReturnStepMaxmin,EpLenMean,StdIW,EpThisIter,OptimizationReturnMin,OptimizationReturnMax,Bound,EmpiricalD2Arithmetic,Epsilon,Iteration,VarianceInitializer,Penalization,TimestepsSoFar,MaxIW,InitialReturnMax,MinTargetPdf,TimeElapsed,ESSRenyiArithmetic,StdWReturnMean,MeanEntropy,InitialReturnMin,OptimizationReturnMean,MinIW,MeanD2-0,ReturnMeanIW,EmpiricalD2Harmonic,Inner Iteration,MeanIW,EpisodesSoFar,EpRewMean,InitialReturnMean,MinBehavPdf,InitialReturnStd,Weights,WReturnMean,ReturnStepMax,InitialBound,DivergenceHarmonic,ESSRenyiHarmonic
,9.999996,65.0,2191619.5,11,,1299.6681,-2.1181041e+18,1.0,1.0,15,-1.0,True,4873,7652420.5,1349.5775,-54.94048,12.066581964492798,11.0,,0.41894197,49.909435,589.79,0.32685193,1.0,942083200000.0,1.0,1,730627.94,165,639.6994396599503,639.69946,-54.94048,393.4778,[ 0.034  0.219 -0.623 -1.67 ],564040.1,9.999996,-881099.2,4.4628964e+25,11.0
,9.999997,50.72727272727273,45.18626,11,,1069.9669,-330467050000.0,1.0,1.0,16,-1.0,True,5431,161.7247,1179.7808,-49.153038,13.014916896820068,11.0,,0.41894197,109.813866,387.2117,0.65052813,1.0,4154184.5,1.0,1,24.378498,176,497.02555892168004,497.02557,-49.153038,312.0564,[ 0.108  0.313 -0.622 -1.634],344413.6,9.999997,-586709.9,1860176000000.0,11.0
,9.999996,69.18181818181819,11.316704,11,,1729.5498,-1665004200000.0,1.0,1.0,17,-1.0,True,6192,41.068462,1759.4968,-75.76789,13.72428846359253,11.0,,0.41894197,29.946962,651.55334,0.5619086,1.0,8452293.0,1.0,1,8.041379,187,681.5003007354949,681.50024,-75.76789,559.65155,[ 0.05   0.225 -0.636 -1.701],777652.5,9.999996,-1316569.2,9545229000000.0,11.0
,9.999992,80.9090909090909,27.499128,11,,1739.6151,-680074000000000.0,1.0,1.0,18,-1.0,True,7082,80.23411,1809.5038,-79.38938,14.62973165512085,11.0,,0.41894197,69.88869,728.88696,0.77367216,1.0,24933094.0,1.0,1,20.59109,198,798.7756499749612,798.77563,-79.38938,518.40125,[-0.051  0.272 -0.669 -1.747],906782.44,9.999992,-1476768.1,1.4236009e+18,11.0
,9.999998,47.18181818181818,6080.3516,11,,819.9009,-6693743600000000.0,1.0,1.0,19,-1.0,True,7601,18024.24,849.8499,-40.191673,15.310275793075562,11.0,,0.41894197,29.949036,431.70087,0.27313563,1.0,819211900.0,1.0,1,3998.2632,209,461.6498974331309,461.64987,-40.191673,248.81313,[-0.161  0.328 -0.682 -1.734],275028.6,9.999998,-400755.6,2.8345425e+21,11.0
,9.999999,67.72727272727273,1279.5607,11,,1179.9274,-1.0183839e+16,1.0,1.0,20,-1.0,True,8346,4591.39,1219.8602,-59.166344,15.988454818725586,11.0,,0.41894197,39.93283,627.148,0.5287874,1.0,570315700.0,1.0,1,566.2431,220,667.0808085426021,667.0808,-59.166344,324.4659,[-0.26   0.251 -0.682 -1.731],550275.0,9.999999,-809313.8,1.5455981e+21,11.0
,9.999999,88.18181818181819,4691.709,11,,1329.6676,-8082568000000000.0,1.0,1.0,21,-1.0,True,9316,15272.894,1709.3967,-77.1581,16.83572220802307,11.0,,0.41894197,379.72913,491.8421,0.13402264,1.0,3999235800.0,1.0,1,2170.763,231,871.5712610069163,871.5712,-77.1581,356.25934,[-0.145  0.299 -0.686 -1.746],886557.2,9.999999,-1395220.9,2.5248802e+20,11.0
,9.999992,55.18181818181818,25157138.0,11,,869.5973,-6.519425e+20,1.0,1.0,22,-1.0,True,9923,87559610.0,869.5973,-40.52021,17.574483633041382,11.0,,0.41894197,,541.5753,0.07059991,1.0,1222254700000.0,1.0,1,8006565.0,242,541.5753224246777,541.5753,-40.52021,233.21548,[-0.197  0.186 -0.679 -1.762],347693.3,9.999992,-479331.12,2.452787e+31,11.0
,9.999993,69.81818181818181,129661.42,11,,1479.7418,-2.3031234e+16,1.0,1.0,23,-1.0,True,10691,438706.0,1549.6619,-59.20242,18.08213520050049,11.0,,0.41894197,69.91999,618.007,0.5502547,1.0,20215742000.0,1.0,1,59806.797,253,687.9270100020533,687.927,-59.20242,357.95724,[-0.256  0.419 -0.695 -1.692],601377.0,9.999993,-1019417.75,3.0352874e+21,11.0
,9.999998,105.63636363636364,847.75916,11,,1340.0891,-17713210000000.0,1.0,1.0,24,-1.0,True,11853,2983.0964,1679.7334,-81.956635,19.15250515937805,11.0,,0.41894197,339.64426,706.339,2.8731813,1.0,644929100.0,1.0,1,404.36096,264,1045.983298507337,1045.9833,-81.956635,381.25894,[-0.181  0.518 -0.698 -1.685],1239439.5,9.999998,-1730602.9,1300515200000000.0,11.0
